Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,2.2666666666666666,0
race,African-American,27,2,0,2.4,0
race,African-American,27,3,0,2.975609756097561,0
race,African-American,27,4,0,5.582608695652174,0
race,African-American,27,2,1,5.0,0
race,African-American,27,3,1,3.0,0
race,African-American,27,4,1,6.285714285714286,0
race,African-American,37,1,0,3.3958333333333335,0
race,African-American,37,2,0,3.9444444444444446,0
race,African-American,37,3,0,3.4242424242424243,0
race,African-American,37,4,0,5.77027027027027,0
race,African-American,37,4,1,7.0,0
race,African-American,31,1,0,3.116883116883117,0
race,African-American,31,2,0,3.5283018867924527,0
race,African-American,31,3,0,3.7241379310344827,0
race,African-American,31,4,0,5.942528735632184,0
race,African-American,31,3,1,4.0,0
race,African-American,31,4,1,7.125,0
race,African-American,56,1,0,3.875,0
race,African-American,56,2,0,3.8333333333333335,0
race,African-American,56,3,0,3.727272727272727,0
race,African-American,56,4,0,6.111111111111111,0
race,African-American,28,1,0,3.1333333333333333,0
race,African-American,28,2,0,3.245614035087719,0
race,African-American,28,3,0,4.434782608695652,0
race,African-American,28,4,0,5.299212598425197,0
race,African-American,28,3,1,0.0,0
race,African-American,28,4,1,5.75,0
race,African-American,25,1,0,2.3658536585365852,0
race,African-American,25,2,0,3.430379746835443,0
race,African-American,25,3,0,3.5652173913043477,0
race,African-American,25,4,0,4.782258064516129,0
race,African-American,25,1,1,1.0,0
race,African-American,25,4,1,6.6,0
race,African-American,41,1,0,3.4047619047619047,0
race,African-American,41,2,0,4.775,0
race,African-American,41,3,0,4.75,0
race,African-American,41,4,0,5.452830188679245,0
race,African-American,41,4,1,4.75,0
race,African-American,32,1,0,3.4054054054054053,0
race,African-American,32,2,0,3.8863636363636362,0
race,African-American,32,3,0,4.758620689655173,0
race,African-American,32,4,0,5.546511627906977,0
race,African-American,32,4,1,7.3,0
race,African-American,26,1,0,2.295774647887324,0
race,African-American,26,2,0,3.0,0
race,African-American,26,3,0,3.5555555555555554,0
race,African-American,26,4,0,5.051851851851852,0
race,African-American,26,3,1,11.0,0
race,African-American,26,4,1,6.4,0
race,African-American,33,1,0,3.5483870967741935,0
race,African-American,33,2,0,4.686274509803922,0
race,African-American,33,3,0,3.7714285714285714,0
race,African-American,33,4,0,5.34065934065934,0
race,African-American,33,1,1,6.0,0
race,African-American,33,2,1,10.0,0
race,African-American,33,3,1,7.0,0
race,African-American,33,4,1,7.5,0
race,African-American,52,1,0,3.9615384615384617,0
race,African-American,52,2,0,4.0,0
race,African-American,52,3,0,4.0,0
race,African-American,52,4,0,6.527777777777778,0
race,African-American,52,3,1,8.0,0
race,African-American,52,4,1,11.0,0
race,African-American,46,1,0,4.228571428571429,0
race,African-American,46,2,0,3.2093023255813953,0
race,African-American,46,3,0,4.6,0
race,African-American,46,4,0,5.711111111111111,0
race,African-American,46,4,1,6.0,0
race,African-American,44,1,0,2.8636363636363638,0
race,African-American,44,2,0,4.571428571428571,0
race,African-American,44,3,0,5.333333333333333,0
race,African-American,44,4,0,6.315789473684211,0
race,African-American,44,4,1,8.25,0
race,African-American,43,1,0,4.444444444444445,0
race,African-American,43,2,0,4.157894736842105,0
race,African-American,43,3,0,4.235294117647059,0
race,African-American,43,4,0,6.1568627450980395,0
race,African-American,43,3,1,10.0,0
race,African-American,43,4,1,6.0,0
race,African-American,47,1,0,3.3636363636363638,0
race,African-American,47,2,0,4.421052631578948,0
race,African-American,47,3,0,5.0,0
race,African-American,47,4,0,6.478260869565218,0
race,African-American,47,1,1,0.0,0
race,African-American,47,4,1,4.0,0
race,African-American,51,1,0,3.7142857142857144,0
race,African-American,51,2,0,4.285714285714286,0
race,African-American,51,3,0,4.0,0
race,African-American,51,4,0,6.454545454545454,0
race,African-American,54,1,0,2.869565217391304,0
race,African-American,54,2,0,3.1875,0
race,African-American,54,3,0,3.0,0
race,African-American,54,4,0,5.6,0
race,African-American,54,4,1,11.0,0
race,African-American,29,1,0,3.1948051948051948,0
race,African-American,29,2,0,2.5555555555555554,0
race,African-American,29,3,0,5.03030303030303,0
race,African-American,29,4,0,5.2682926829268295,0
race,African-American,29,2,1,6.0,0
race,African-American,29,4,1,8.555555555555555,0
race,African-American,30,1,0,2.913793103448276,0
race,African-American,30,2,0,3.7719298245614037,0
race,African-American,30,3,0,4.24,0
race,African-American,30,4,0,5.302083333333333,0
race,African-American,30,3,1,0.0,0
race,African-American,30,4,1,4.2,0
race,African-American,39,1,0,3.673076923076923,0
race,African-American,39,2,0,3.6857142857142855,0
race,African-American,39,3,0,4.96,0
race,African-American,39,4,0,5.964285714285714,0
race,African-American,39,3,1,5.0,0
race,African-American,39,4,1,9.0,0
race,African-American,34,1,0,3.9019607843137254,0
race,African-American,34,2,0,3.811320754716981,0
race,African-American,34,3,0,4.793103448275862,0
race,African-American,34,4,0,5.791208791208791,0
race,African-American,34,1,1,4.0,0
race,African-American,34,4,1,9.0,0
race,African-American,58,1,0,3.25,0
race,African-American,58,2,0,2.5555555555555554,0
race,African-American,58,3,0,5.181818181818182,0
race,African-American,58,4,0,6.157894736842105,0
race,African-American,58,1,1,5.0,0
race,African-American,38,1,0,3.8,0
race,African-American,38,2,0,4.142857142857143,0
race,African-American,38,3,0,4.045454545454546,0
race,African-American,38,4,0,6.176470588235294,0
race,African-American,38,1,1,3.5,0
race,African-American,38,2,1,2.0,0
race,African-American,38,3,1,10.0,0
race,African-American,38,4,1,8.0,0
race,African-American,40,1,0,4.421052631578948,0
race,African-American,40,2,0,3.642857142857143,0
race,African-American,40,3,0,4.461538461538462,0
race,African-American,40,4,0,5.7936507936507935,0
race,African-American,40,3,1,4.0,0
race,African-American,40,4,1,7.666666666666667,0
race,African-American,53,1,0,3.4827586206896552,0
race,African-American,53,2,0,4.380952380952381,0
race,African-American,53,3,0,5.615384615384615,0
race,African-American,53,4,0,5.944444444444445,0
race,African-American,53,3,1,6.0,0
race,African-American,53,4,1,8.0,0
race,African-American,50,1,0,3.8285714285714287,0
race,African-American,50,2,0,3.1666666666666665,0
race,African-American,50,3,0,5.909090909090909,0
race,African-American,50,4,0,5.538461538461538,0
race,African-American,50,4,1,5.0,0
race,African-American,35,1,0,2.780821917808219,0
race,African-American,35,2,0,3.8545454545454545,0
race,African-American,35,3,0,3.864864864864865,0
race,African-American,35,4,0,5.826086956521739,0
race,African-American,35,4,1,6.0,0
race,African-American,49,1,0,3.264705882352941,0
race,African-American,49,2,0,4.882352941176471,0
race,African-American,49,3,0,4.428571428571429,0
race,African-American,49,4,0,6.105263157894737,0
race,African-American,49,1,1,10.0,0
race,African-American,24,1,0,1.8679245283018868,0
race,African-American,24,2,0,2.5697674418604652,0
race,African-American,24,3,0,2.7254901960784315,0
race,African-American,24,4,0,4.488188976377953,0
race,African-American,24,3,1,5.0,0
race,African-American,24,4,1,5.666666666666667,0
race,African-American,21,1,0,2.7927927927927927,0
race,African-American,21,2,0,3.287671232876712,0
race,African-American,21,3,0,3.574468085106383,0
race,African-American,21,4,0,5.035398230088496,0
race,African-American,21,1,1,5.0,0
race,African-American,21,2,1,4.0,0
race,African-American,21,4,1,8.222222222222221,0
race,African-American,36,1,0,3.68,0
race,African-American,36,2,0,4.086956521739131,0
race,African-American,36,3,0,4.222222222222222,0
race,African-American,36,4,0,5.8875,0
race,African-American,36,4,1,7.0,0
race,African-American,42,1,0,3.9166666666666665,0
race,African-American,42,2,0,4.032258064516129,0
race,African-American,42,3,0,4.85,0
race,African-American,42,4,0,5.410714285714286,0
race,African-American,42,3,1,3.0,0
race,African-American,42,4,1,3.5,0
race,African-American,20,1,0,2.6120689655172415,0
race,African-American,20,2,0,2.8734177215189876,0
race,African-American,20,3,0,3.595744680851064,0
race,African-American,20,4,0,4.557894736842106,0
race,African-American,20,1,1,4.333333333333333,0
race,African-American,20,2,1,2.0,0
race,African-American,20,4,1,6.571428571428571,0
race,African-American,59,1,0,3.772727272727273,0
race,African-American,59,2,0,4.0,0
race,African-American,59,3,0,4.25,0
race,African-American,59,4,0,6.142857142857143,0
race,African-American,23,1,0,2.168141592920354,0
race,African-American,23,2,0,2.0714285714285716,0
race,African-American,23,3,0,3.3,0
race,African-American,23,4,0,4.583333333333333,0
race,African-American,23,2,1,4.0,0
race,African-American,23,4,1,6.571428571428571,0
race,African-American,60,1,0,3.3333333333333335,0
race,African-American,60,2,0,3.0,0
race,African-American,60,3,0,5.0,0
race,African-American,60,4,0,5.142857142857143,0
race,African-American,60,2,1,6.0,0
race,African-American,60,4,1,12.0,0
race,African-American,48,1,0,3.2941176470588234,0
race,African-American,48,2,0,4.0,0
race,African-American,48,3,0,4.368421052631579,0
race,African-American,48,4,0,5.906976744186046,0
race,African-American,48,4,1,6.5,0
race,African-American,45,1,0,3.3333333333333335,0
race,African-American,45,2,0,4.44,0
race,African-American,45,3,0,2.9411764705882355,0
