Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.012503397662408263,0
race,African-American,46,2,1,0.08138262962152702,0
race,African-American,46,4,1,0.18678709289047762,0
race,African-American,46,1,0,0.023505259969293767,0
race,African-American,46,2,0,0.018119554833296463,0
race,African-American,46,3,0,0.0524390164680821,0
race,African-American,46,4,0,0.10992284349447355,0
race,African-American,30,1,0,0.0238194632436547,0
race,African-American,30,2,0,0.05075880265164656,0
race,African-American,30,3,0,0.05312637645935549,0
race,African-American,30,4,0,0.1100836607793899,0
race,African-American,30,1,1,0.09782608695652174,0
race,African-American,30,3,1,0.10495798779203586,0
race,African-American,30,4,1,0.15776177476687864,0
race,African-American,29,1,0,0.021472200575909206,0
race,African-American,29,2,0,0.036177230558246475,0
race,African-American,29,3,0,0.06038434039317675,0
race,African-American,29,4,0,0.09119954822749965,0
race,African-American,29,2,1,0.11528608027327071,0
race,African-American,29,4,1,0.1376627584892203,0
race,African-American,22,1,0,0.014105022894753926,0
race,African-American,22,2,0,0.038423030809976756,0
race,African-American,22,3,0,0.04560367584845387,0
race,African-American,22,4,0,0.10207198094762777,0
race,African-American,22,1,1,0.01725923369002416,0
race,African-American,22,3,1,0.060489820005901446,0
race,African-American,22,4,1,0.1687122857074534,0
race,African-American,34,1,0,0.019446067819076616,0
race,African-American,34,2,0,0.03596313887857129,0
race,African-American,34,3,0,0.0586079830715898,0
race,African-American,34,4,0,0.11817058740162928,0
race,African-American,34,2,1,0.12855450236966826,0
race,African-American,34,4,1,0.19504702411142638,0
race,African-American,37,1,0,0.027207911651500806,0
race,African-American,37,2,0,0.0443283439051451,0
race,African-American,37,3,0,0.04711311481526593,0
race,African-American,37,4,0,0.08133378795642786,0
race,African-American,37,2,1,0.03469501958589815,0
race,African-American,37,4,1,0.10242867614187222,0
race,African-American,53,1,0,0.011232392371322102,0
race,African-American,53,2,0,0.0417915000991274,0
race,African-American,53,3,0,0.04777057451376783,0
race,African-American,53,4,0,0.10354065049046846,0
race,African-American,53,4,1,0.1964068111733433,0
race,African-American,23,1,0,0.023054426050182902,0
race,African-American,23,2,0,0.03585052187484568,0
race,African-American,23,3,0,0.03341462685740449,0
race,African-American,23,4,0,0.09060787641116023,0
race,African-American,23,1,1,0.034624312183684974,0
race,African-American,23,2,1,0.03315343099460293,0
race,African-American,23,3,1,0.06318722814049917,0
race,African-American,23,4,1,0.1484360809473972,0
race,African-American,24,1,0,0.021641239408164425,0
race,African-American,24,2,0,0.04100373374270169,0
race,African-American,24,3,0,0.03314989768973585,0
race,African-American,24,4,0,0.11170983730530998,0
race,African-American,24,2,1,0.11550098137775865,0
race,African-American,24,3,1,0.03315343099460293,0
race,African-American,24,4,1,0.1768505447605755,0
race,African-American,26,1,0,0.01846210391923467,0
race,African-American,26,2,0,0.03814996425003947,0
race,African-American,26,3,0,0.04355647771560689,0
race,African-American,26,4,0,0.10743849179776666,0
race,African-American,26,1,1,0.044369313403951754,0
race,African-American,26,2,1,0.06692593579943132,0
race,African-American,26,3,1,0.060489820005901446,0
race,African-American,26,4,1,0.12771665318201067,0
