Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.0006351870911381623,0
race,African-American,46,2,1,0.004645710395125184,0
race,African-American,46,4,1,0.046445598323977724,0
race,African-American,46,1,0,0.0010372767599982262,0
race,African-American,46,2,0,0.0009483166104384926,0
race,African-American,46,3,0,0.00249439825158475,0
race,African-American,46,4,0,0.019122833906632546,0
race,African-American,30,1,0,0.0017625241771188258,0
race,African-American,30,2,0,0.010063532501617832,0
race,African-American,30,3,0,0.008029036121963021,0
race,African-American,30,4,0,0.04313705513879168,0
race,African-American,30,1,1,0.009621838421333523,0
race,African-American,30,3,1,0.018609360399662333,0
race,African-American,30,4,1,0.08435863284855787,0
race,African-American,29,1,0,0.0013994189162904215,0
race,African-American,29,2,0,0.004097552656526033,0
race,African-American,29,3,0,0.007405663295831905,0
race,African-American,29,4,0,0.03545578869125434,0
race,African-American,29,2,1,0.023215791659239156,0
race,African-American,29,4,1,0.10338051073713261,0
race,African-American,22,1,0,0.0007701044163298738,0
race,African-American,22,2,0,0.003979447118482044,0
race,African-American,22,3,0,0.006223637001810879,0
race,African-American,22,4,0,0.032882529749744586,0
race,African-American,22,1,1,0.0005447255751348584,0
race,African-American,22,3,1,0.019713831784095116,0
race,African-American,22,4,1,0.09742691183489614,0
race,African-American,34,1,0,0.0017639645334355516,0
race,African-American,34,2,0,0.0035215090042083315,0
race,African-American,34,3,0,0.010713425742784655,0
race,African-American,34,4,0,0.04995741017960793,0
race,African-American,34,2,1,0.015126727667426553,0
race,African-American,34,4,1,0.09769133721821852,0
race,African-American,37,1,0,0.0017725659738713805,0
race,African-American,37,2,0,0.0035667230074365405,0
race,African-American,37,3,0,0.011223168215561623,0
race,African-American,37,4,0,0.023078357096951954,0
race,African-American,37,2,1,0.002088268375532668,0
race,African-American,37,4,1,0.055057421381504795,0
race,African-American,53,1,0,0.00042237593439444155,0
race,African-American,53,2,0,0.005023011856909089,0
race,African-American,53,3,0,0.003410762673589252,0
race,African-American,53,4,0,0.06090715829960188,0
