Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,49,1,0,0.008061742928867487,0
race,African-American,49,2,0,0.010927860563462366,0
race,African-American,49,3,0,0.0117121216077545,0
race,African-American,49,4,0,0.056536233739654794,0
race,African-American,49,1,1,0.01798620996209156,0
race,African-American,49,4,1,0.11920292202211755,0
race,African-American,27,1,1,0.02705936205092582,0
race,African-American,27,3,1,0.0066928509242848554,0
race,African-American,27,4,1,0.0920061653833256,0
race,African-American,27,1,0,0.01022202562359945,0
race,African-American,27,2,0,0.01648897650340375,0
race,African-American,27,3,0,0.025267480076292405,0
race,African-American,27,4,0,0.05909315221567331,0
race,African-American,26,1,0,0.011244659271434922,0
race,African-American,26,2,0,0.014792835711144476,0
race,African-American,26,3,0,0.014186180060787076,0
race,African-American,26,4,0,0.05445357160851036,0
race,African-American,26,1,1,0.03270604156982917,0
race,African-American,26,4,1,0.10233347001211322,0
race,African-American,28,1,0,0.009887158538096292,0
race,African-American,28,2,0,0.013714988132627833,0
race,African-American,28,3,0,0.01652697907829239,0
race,African-American,28,4,0,0.05077081061949818,0
race,African-American,28,4,1,0.11920292202211755,0
race,African-American,30,1,0,0.011047637592731757,0
race,African-American,30,2,0,0.015238261803949786,0
race,African-American,30,3,0,0.015006379156979246,0
race,African-American,30,4,0,0.050481310146792906,0
race,African-American,30,3,1,0.0066928509242848554,0
race,African-American,30,4,1,0.06557046701859916,0
race,African-American,31,1,0,0.01053451624006858,0
race,African-American,31,2,0,0.013925729356292995,0
race,African-American,31,3,0,0.013677696952982533,0
race,African-American,31,4,0,0.05227971050244249,0
race,African-American,31,2,1,0.0066928509242848554,0
race,African-American,31,3,1,0.027799431033916633,0
race,African-American,31,4,1,0.10125865981097985,0
race,African-American,56,1,0,0.008843966931486128,0
race,African-American,56,2,0,0.013468866346968877,0
race,African-American,56,3,0,0.012339530443188206,0
race,African-American,56,4,0,0.033292482633367426,0
race,African-American,42,1,0,0.013211597279846242,0
race,African-American,42,2,0,0.016358578279082773,0
race,African-American,42,3,0,0.01746380832703922,0
race,African-American,42,4,0,0.040702821794319125,0
race,African-American,42,2,1,0.01798620996209156,0
race,African-American,42,3,1,0.01798620996209156,0
race,African-American,42,4,1,0.0066928509242848554,0
race,African-American,68,1,0,0.01045730393688709,0
race,African-American,68,2,0,0.012339530443188206,0
race,African-American,68,4,0,0.0629478864732012,0
race,African-American,33,1,0,0.010689948862241814,0
race,African-American,33,2,0,0.014505798014264222,0
race,African-American,33,3,0,0.019304084027449597,0
race,African-American,33,4,0,0.046801998141689456,0
race,African-American,33,1,1,0.0066928509242848554,0
race,African-American,33,2,1,0.01798620996209156,0
race,African-American,33,4,1,0.09527723907393397,0
race,African-American,32,1,0,0.011975228538742829,0
race,African-American,32,2,0,0.015792009383638766,0
race,African-American,32,3,0,0.022255928592131206,0
race,African-American,32,4,0,0.05242348009411738,0
race,African-American,32,2,1,0.0066928509242848554,0
race,African-American,32,3,1,0.03270604156982917,0
race,African-American,32,4,1,0.06644494558983784,0
