Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,0.565782609360563,0
race,African-American,27,2,0,0.6511758248562219,0
race,African-American,27,3,0,0.6806775031184626,0
race,African-American,27,4,0,0.8397174233096416,0
race,African-American,27,2,1,0.8006176588299999,0
race,African-American,27,3,1,0.5280251273504881,0
race,African-American,27,4,1,0.8344703285396458,0
race,African-American,37,1,0,0.6096026704949414,0
race,African-American,37,2,0,0.6838365411407806,0
race,African-American,37,3,0,0.6872338067440079,0
race,African-American,37,4,0,0.8399632338954539,0
race,African-American,37,4,1,0.9161613482177753,0
race,African-American,31,1,0,0.5890258609571452,0
race,African-American,31,2,0,0.6514366667709773,0
race,African-American,31,3,0,0.7437505119866246,0
race,African-American,31,4,0,0.835318228077628,0
race,African-American,31,3,1,0.8156609055729575,0
race,African-American,31,4,1,0.9275100126766866,0
race,African-American,56,1,0,0.6456959741307167,0
race,African-American,56,2,0,0.6275691529081908,0
race,African-American,56,3,0,0.6248744344834537,0
race,African-American,56,4,0,0.7743252559498333,0
race,African-American,28,1,0,0.6025743514027152,0
race,African-American,28,2,0,0.6357397813500509,0
race,African-American,28,3,0,0.71414002808956,0
race,African-American,28,4,0,0.830166462050017,0
race,African-American,28,3,1,0.8122788029102256,0
race,African-American,28,4,1,0.9032462363931733,0
race,African-American,25,1,0,0.5762664799283023,0
race,African-American,25,2,0,0.6241907694631977,0
race,African-American,25,3,0,0.7180943230941391,0
race,African-American,25,4,0,0.8203759641547613,0
race,African-American,25,1,1,0.748642822974184,0
race,African-American,25,4,1,0.8353974682667069,0
race,African-American,41,1,0,0.5988552165797498,0
race,African-American,41,2,0,0.6628676977941014,0
race,African-American,41,3,0,0.6825354934652943,0
race,African-American,41,4,0,0.8161751103918468,0
race,African-American,41,4,1,0.8717184268785934,0
race,African-American,32,1,0,0.6132518088394416,0
race,African-American,32,2,0,0.6651017328519772,0
race,African-American,32,3,0,0.7645129938973985,0
race,African-American,32,4,0,0.8369997262027077,0
race,African-American,32,4,1,0.9081251062269562,0
race,African-American,26,1,0,0.5637861995240364,0
race,African-American,26,2,0,0.6490182735113575,0
race,African-American,26,3,0,0.6554881327719778,0
race,African-American,26,4,0,0.835781395423662,0
race,African-American,26,3,1,0.84509657791531,0
race,African-American,26,4,1,0.9394082972206992,0
race,African-American,33,1,0,0.6193043732019602,0
race,African-American,33,2,0,0.669992191746321,0
race,African-American,33,3,0,0.7362205244625012,0
race,African-American,33,4,0,0.8343798015239883,0
race,African-American,33,1,1,0.8003086000665316,0
race,African-American,33,2,1,0.9231167945925393,0
race,African-American,33,3,1,0.7696969889075884,0
race,African-American,33,4,1,0.9066335854542795,0
race,African-American,52,1,0,0.5729549354976063,0
race,African-American,52,2,0,0.6452019536301442,0
race,African-American,52,3,0,0.7971399015015471,0
race,African-American,52,4,0,0.8274607137439184,0
race,African-American,52,3,1,0.9419447978009946,0
race,African-American,52,4,1,0.9616385424268757,0
race,African-American,46,1,0,0.5926299019625079,0
race,African-American,46,2,0,0.6017528634528418,0
race,African-American,46,3,0,0.678208314871594,0
race,African-American,46,4,0,0.8053413944344749,0
race,African-American,46,4,1,0.887571053258809,0
race,African-American,44,1,0,0.5725240338102985,0
race,African-American,44,2,0,0.6797730939226493,0
race,African-American,44,3,0,0.7225930266415843,0
race,African-American,44,4,0,0.8248723207345083,0
race,African-American,44,4,1,0.9251517109812231,0
race,African-American,43,1,0,0.6097053399228143,0
race,African-American,43,2,0,0.638679203801368,0
race,African-American,43,3,0,0.71377453699421,0
race,African-American,43,4,0,0.8330416142812805,0
race,African-American,43,3,1,0.8560445086309714,0
race,African-American,43,4,1,0.9070162877762046,0
race,African-American,47,1,0,0.5520836258276786,0
race,African-American,47,2,0,0.64960567910891,0
race,African-American,47,3,0,0.665975684759867,0
race,African-American,47,4,0,0.8149075757500905,0
race,African-American,47,1,1,0.7417410109840463,0
race,African-American,47,4,1,0.8674937471738113,0
race,African-American,51,1,0,0.5747063810120949,0
race,African-American,51,2,0,0.6618221589171166,0
race,African-American,51,3,0,0.6273953302054398,0
race,African-American,51,4,0,0.8345002056062455,0
race,African-American,54,1,0,0.55276997848533,0
race,African-American,54,2,0,0.625668600276315,0
race,African-American,54,3,0,0.6702575178909438,0
race,African-American,54,4,0,0.789841166630682,0
race,African-American,54,4,1,0.9638522211167687,0
race,African-American,29,1,0,0.5680077897014927,0
race,African-American,29,2,0,0.6064217922565602,0
race,African-American,29,3,0,0.7121833430387082,0
race,African-American,29,4,0,0.8322208116870439,0
race,African-American,29,2,1,0.7777760052023996,0
race,African-American,29,4,1,0.9381994704359102,0
race,African-American,30,1,0,0.5923709280723066,0
race,African-American,30,2,0,0.6719033498094941,0
race,African-American,30,3,0,0.727340186035114,0
race,African-American,30,4,0,0.8278135984174698,0
race,African-American,30,3,1,0.737630689564524,0
race,African-American,30,4,1,0.856806504905616,0
race,African-American,39,1,0,0.6144701505460244,0
race,African-American,39,2,0,0.6641054473876415,0
race,African-American,39,3,0,0.7633418007610827,0
race,African-American,39,4,0,0.8740332034103817,0
race,African-American,39,3,1,0.8041342633982714,0
race,African-American,39,4,1,0.9610639136163338,0
race,African-American,34,1,0,0.6009264902337569,0
race,African-American,34,2,0,0.6346110910201914,0
race,African-American,34,3,0,0.7581853813945381,0
race,African-American,34,4,0,0.8370711734084105,0
race,African-American,34,1,1,0.6792530517002973,0
race,African-American,34,4,1,0.9106946700685041,0
race,African-American,58,1,0,0.5478213013998714,0
race,African-American,58,2,0,0.6021807052760438,0
race,African-American,58,3,0,0.7188358073234125,0
race,African-American,58,4,0,0.8017265084154946,0
race,African-American,58,1,1,0.8027688152437897,0
race,African-American,38,1,0,0.591609859953193,0
race,African-American,38,2,0,0.6380612853206298,0
