Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,0.5695564346807144,0
race,African-American,27,2,0,0.6340370917873114,0
race,African-American,27,3,0,0.6520551799822732,0
race,African-American,27,4,0,0.8120685465468706,0
race,African-American,27,2,1,0.6499434268506992,0
race,African-American,27,3,1,0.6856372451519102,0
race,African-American,27,4,1,0.8663472237100733,0
race,African-American,37,1,0,0.5967017840351171,0
race,African-American,37,2,0,0.648963767491268,0
race,African-American,37,3,0,0.6605714969543771,0
race,African-American,37,4,0,0.8073643300951577,0
race,African-American,37,1,1,0.5179331149643762,0
race,African-American,37,3,1,0.6681944206163936,0
race,African-American,37,4,1,0.9015417031982932,0
race,African-American,31,1,0,0.5860478988377289,0
race,African-American,31,2,0,0.6408472834433283,0
race,African-American,31,3,0,0.6974032174013918,0
race,African-American,31,4,0,0.8067639835638271,0
race,African-American,31,1,1,0.5797370790566477,0
race,African-American,31,3,1,0.6260816977891759,0
race,African-American,31,4,1,0.9001387538685246,0
race,African-American,56,1,1,0.5621784032599957,0
race,African-American,56,4,1,0.722767182592674,0
race,African-American,56,1,0,0.6192196639951021,0
race,African-American,56,2,0,0.6196248276746167,0
race,African-American,56,3,0,0.6174934064480861,0
race,African-American,56,4,0,0.7609028697450433,0
race,African-American,28,1,0,0.5982423166551586,0
race,African-American,28,2,0,0.6221937892574585,0
race,African-American,28,3,0,0.6888072190541298,0
race,African-American,28,4,0,0.8039954518662203,0
race,African-American,28,2,1,0.5679694706242352,0
race,African-American,28,3,1,0.7446358226263262,0
race,African-American,28,4,1,0.8862829906628643,0
race,African-American,25,1,0,0.578033690776972,0
race,African-American,25,2,0,0.6190050104784699,0
race,African-American,25,3,0,0.7054479368689384,0
race,African-American,25,4,0,0.8020813734445843,0
race,African-American,25,1,1,0.6195307242767845,0
race,African-American,25,2,1,0.7794059313079742,0
race,African-American,25,4,1,0.8818821219648599,0
race,African-American,41,1,0,0.5867920931112034,0
race,African-American,41,2,0,0.6279129685736038,0
race,African-American,41,3,0,0.6634297407125568,0
race,African-American,41,4,0,0.7747144099498892,0
race,African-American,41,1,1,0.5470329038246949,0
race,African-American,41,2,1,0.6653114284789101,0
race,African-American,41,4,1,0.8719434080652538,0
race,African-American,32,1,0,0.595851876700329,0
race,African-American,32,2,0,0.6321241680910433,0
race,African-American,32,3,0,0.7315321499926521,0
race,African-American,32,4,0,0.7941922971701209,0
race,African-American,32,2,1,0.8486433592964084,0
race,African-American,32,3,1,0.7532550814494663,0
race,African-American,32,4,1,0.8966796448236598,0
race,African-American,26,1,0,0.5825712137918105,0
race,African-American,26,2,0,0.6350212053054117,0
race,African-American,26,3,0,0.6716444258316163,0
race,African-American,26,4,0,0.8118173496068736,0
race,African-American,26,1,1,0.5179331149643762,0
race,African-American,26,2,1,0.7122674314840729,0
race,African-American,26,3,1,0.891883152545965,0
race,African-American,26,4,1,0.8762984407172615,0
race,African-American,33,1,0,0.6016054801188863,0
race,African-American,33,2,0,0.6477759360192417,0
race,African-American,33,3,0,0.7041623213742368,0
race,African-American,33,4,0,0.8040761470041937,0
race,African-American,33,1,1,0.6658637253807866,0
race,African-American,33,2,1,0.6842972875591348,0
race,African-American,33,3,1,0.7268470366197265,0
race,African-American,33,4,1,0.8747793608449855,0
race,African-American,52,1,0,0.5676127635020095,0
race,African-American,52,2,0,0.6174862267965978,0
race,African-American,52,3,0,0.7486898033044598,0
race,African-American,52,4,0,0.8068908416891357,0
race,African-American,52,3,1,0.9084926676194974,0
race,African-American,52,4,1,0.9031394664970669,0
race,African-American,46,1,0,0.5732557301989957,0
race,African-American,46,2,0,0.5798260304917134,0
race,African-American,46,3,0,0.6633459072100466,0
race,African-American,46,4,0,0.7822614647734301,0
race,African-American,46,4,1,0.8131691469975727,0
race,African-American,44,1,1,0.5120048128685607,0
race,African-American,44,4,1,0.8721810987985585,0
race,African-American,44,1,0,0.5573301409727341,0
race,African-American,44,2,0,0.6443984466578929,0
race,African-American,44,3,0,0.7128140633271097,0
