Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,2.2953929539295395,0
race,Caucasian,26,2,0,2.5108225108225106,0
race,Caucasian,26,3,0,2.923611111111111,0
race,Caucasian,26,4,0,3.3934426229508197,0
race,Caucasian,26,1,1,2.142857142857143,0
race,Caucasian,26,2,1,3.0,0
race,Caucasian,26,3,1,4.666666666666667,0
race,Caucasian,26,4,1,4.27906976744186,0
race,Caucasian,29,1,0,2.434108527131783,0
race,Caucasian,29,2,0,2.710526315789474,0
race,Caucasian,29,3,0,3.015873015873016,0
race,Caucasian,29,4,0,3.7592954990215266,0
race,Caucasian,29,1,1,2.75,0
race,Caucasian,29,2,1,2.0,0
race,Caucasian,29,3,1,3.4444444444444446,0
race,Caucasian,29,4,1,4.304347826086956,0
race,Caucasian,28,1,0,2.4749403341288785,0
race,Caucasian,28,2,0,2.8372093023255816,0
race,Caucasian,28,3,0,3.013888888888889,0
race,Caucasian,28,4,0,3.6546184738955825,0
race,Caucasian,28,1,1,2.3333333333333335,0
race,Caucasian,28,2,1,3.5,0
race,Caucasian,28,3,1,2.6666666666666665,0
race,Caucasian,28,4,1,4.705882352941177,0
race,Caucasian,41,1,0,2.5343511450381677,0
race,Caucasian,41,2,0,2.8656716417910446,0
race,Caucasian,41,3,0,3.1204819277108435,0
race,Caucasian,41,4,0,3.8384615384615386,0
race,Caucasian,41,1,1,3.5,0
race,Caucasian,41,2,1,3.1666666666666665,0
race,Caucasian,41,3,1,3.0,0
race,Caucasian,41,4,1,4.636363636363637,0
race,Caucasian,39,1,0,2.6549019607843136,0
race,Caucasian,39,2,0,2.7426470588235294,0
race,Caucasian,39,3,0,3.2911392405063293,0
race,Caucasian,39,4,0,3.849673202614379,0
race,Caucasian,39,1,1,2.0,0
race,Caucasian,39,2,1,2.6666666666666665,0
race,Caucasian,39,3,1,4.333333333333333,0
race,Caucasian,39,4,1,4.7,0
race,Caucasian,30,1,0,2.4583333333333335,0
race,Caucasian,30,2,0,2.8121827411167515,0
race,Caucasian,30,3,0,2.9545454545454546,0
race,Caucasian,30,4,0,3.730769230769231,0
race,Caucasian,30,1,1,2.5,0
race,Caucasian,30,2,1,3.0,0
race,Caucasian,30,3,1,3.4,0
race,Caucasian,30,4,1,4.888888888888889,0
race,Caucasian,48,1,0,2.45933014354067,0
race,Caucasian,48,2,0,2.9894736842105263,0
race,Caucasian,48,3,0,3.3376623376623376,0
race,Caucasian,48,4,0,3.8735632183908044,0
race,Caucasian,48,1,1,1.5,0
race,Caucasian,48,3,1,4.5,0
race,Caucasian,48,4,1,4.4,0
race,Caucasian,53,1,0,2.4140127388535033,0
race,Caucasian,53,2,0,2.8974358974358974,0
race,Caucasian,53,3,0,2.869565217391304,0
race,Caucasian,53,4,0,3.575,0
race,Caucasian,53,2,1,3.0,0
race,Caucasian,53,4,1,4.6,0
race,Caucasian,25,1,0,2.0952380952380953,0
race,Caucasian,25,2,0,2.481651376146789,0
race,Caucasian,25,3,0,2.574468085106383,0
race,Caucasian,25,4,0,3.4029850746268657,0
race,Caucasian,25,1,1,2.111111111111111,0
race,Caucasian,25,2,1,2.6,0
race,Caucasian,25,3,1,2.2,0
race,Caucasian,25,4,1,3.774193548387097,0
race,Caucasian,34,1,0,2.578666666666667,0
race,Caucasian,34,2,0,2.9313725490196076,0
race,Caucasian,34,3,0,2.9863013698630136,0
race,Caucasian,34,4,0,3.8185745140388767,0
race,Caucasian,34,1,1,4.0,0
race,Caucasian,34,2,1,3.6,0
race,Caucasian,34,3,1,3.5,0
race,Caucasian,34,4,1,4.4411764705882355,0
race,Caucasian,38,1,0,2.562043795620438,0
race,Caucasian,38,2,0,2.9746835443037973,0
race,Caucasian,38,3,0,3.2526315789473683,0
race,Caucasian,38,4,0,3.8728323699421967,0
race,Caucasian,38,1,1,3.0,0
race,Caucasian,38,2,1,4.0,0
race,Caucasian,38,4,1,4.653846153846154,0
race,Caucasian,49,1,1,2.3333333333333335,0
race,Caucasian,49,2,1,6.0,0
race,Caucasian,49,3,1,4.0,0
race,Caucasian,49,4,1,4.777777777777778,0
