Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.04963301632114934,0
race,African-American,46,2,1,0.05454545454545454,0
race,African-American,46,3,1,0.07233107781557276,0
race,African-American,46,4,1,0.2542265282085614,0
race,African-American,46,1,0,0.04283803499440067,0
race,African-American,46,2,0,0.05126066153325963,0
race,African-American,46,3,0,0.09797882352912153,0
race,African-American,46,4,0,0.1653579514468889,0
race,African-American,30,1,0,0.04874097286195461,0
race,African-American,30,2,0,0.06797015807821265,0
race,African-American,30,3,0,0.08853746525409904,0
race,African-American,30,4,0,0.1280798786548823,0
race,African-American,30,1,1,0.06870229007633588,0
race,African-American,30,2,1,0.06870229007633588,0
race,African-American,30,3,1,0.09966123850308586,0
race,African-American,30,4,1,0.23134233759364187,0
race,African-American,29,1,0,0.04119919442632669,0
race,African-American,29,2,0,0.058604434071849454,0
race,African-American,29,3,0,0.07927386486191272,0
race,African-American,29,4,0,0.1221424763956398,0
race,African-American,29,1,1,0.061155721283331056,0
race,African-American,29,3,1,0.11838753244642963,0
race,African-American,29,4,1,0.1745089404031108,0
race,African-American,22,1,0,0.038493932530863195,0
race,African-American,22,2,0,0.0790263206152043,0
race,African-American,22,3,0,0.08153400409632346,0
race,African-American,22,4,0,0.1484589259437681,0
race,African-American,22,1,1,0.043699128923176705,0
race,African-American,22,2,1,0.03776524152520407,0
race,African-American,22,3,1,0.11976439790575916,0
race,African-American,22,4,1,0.15885414142790916,0
race,African-American,34,1,0,0.040573599112592035,0
race,African-American,34,2,0,0.056307926089878946,0
race,African-American,34,3,0,0.08771366651980717,0
race,African-American,34,4,0,0.14707100649822416,0
race,African-American,34,1,1,0.07338461788305733,0
race,African-American,34,2,1,0.05094288128308337,0
race,African-American,34,3,1,0.04352544007716422,0
race,African-American,34,4,1,0.23213575089285118,0
race,African-American,37,1,0,0.04615970671885296,0
race,African-American,37,2,0,0.06367870252436784,0
race,African-American,37,3,0,0.08007789131550265,0
race,African-American,37,4,0,0.11696646782395216,0
race,African-American,37,1,1,0.06870229007633588,0
race,African-American,37,2,1,0.1817548746518106,0
race,African-American,37,4,1,0.1253787282951264,0
race,African-American,53,1,0,0.0375976866733267,0
race,African-American,53,2,0,0.06651326115614006,0
race,African-American,53,3,0,0.07613485820306101,0
race,African-American,53,4,0,0.12173836303256769,0
race,African-American,53,1,1,0.06184816880911957,0
race,African-American,53,4,1,0.3382967246782401,0
race,African-American,23,1,0,0.046469419907428894,0
race,African-American,23,2,0,0.07723591368134368,0
race,African-American,23,3,0,0.07345694026829934,0
race,African-American,23,4,0,0.1412565267827113,0
race,African-American,23,1,1,0.057355313040732867,0
race,African-American,23,2,1,0.06883372729985948,0
race,African-American,23,3,1,0.20111309097258542,0
race,African-American,23,4,1,0.23317300524737086,0
race,African-American,24,1,0,0.04431522839090482,0
race,African-American,24,2,0,0.06974116409250539,0
race,African-American,24,3,0,0.05705504985929477,0
race,African-American,24,4,0,0.15359376991278864,0
race,African-American,24,1,1,0.025723777883246323,0
race,African-American,24,2,1,0.18076644974692696,0
race,African-American,24,4,1,0.3034807200993919,0
race,African-American,26,1,1,0.04600833600512985,0
race,African-American,26,2,1,0.05532242242012071,0
race,African-American,26,3,1,0.07393731677617806,0
race,African-American,26,4,1,0.1603619314512918,0
race,African-American,26,1,0,0.040255752200200515,0
race,African-American,26,2,0,0.06430687677262069,0
race,African-American,26,3,0,0.06434610865879037,0
race,African-American,26,4,0,0.14066996477933308,0
race,African-American,35,1,0,0.04476757501401832,0
race,African-American,35,2,0,0.05754426801503574,0
race,African-American,35,3,0,0.07692705263959213,0
race,African-American,35,4,0,0.15392868837323287,0
race,African-American,35,1,1,0.0657162657034984,0
race,African-American,35,3,1,0.056189151599443675,0
race,African-American,35,4,1,0.21781542204355575,0
race,African-American,38,1,0,0.04923589100291148,0
race,African-American,38,2,0,0.05695761545625414,0
race,African-American,38,3,0,0.1026280436071816,0
race,African-American,38,4,0,0.1238323529896349,0
race,African-American,38,2,1,0.09322722193695006,0
race,African-American,38,4,1,0.31198513289788166,0
race,African-American,25,1,1,0.05359106992626237,0
race,African-American,25,2,1,0.09155790964680444,0
race,African-American,25,3,1,0.12076902454254221,0
race,African-American,25,4,1,0.15948394551334877,0
race,African-American,25,1,0,0.043248999939517946,0
race,African-American,25,2,0,0.05598862163045872,0
race,African-American,25,3,0,0.06581755641886894,0
race,African-American,25,4,0,0.15562087071695885,0
race,African-American,32,1,0,0.03613495928970611,0
race,African-American,32,2,0,0.04427126999889626,0
race,African-American,32,3,0,0.08673578554148102,0
race,African-American,32,4,0,0.13620374655194967,0
race,African-American,32,2,1,0.0751413037765189,0
race,African-American,32,3,1,0.11709913506320692,0
race,African-American,32,4,1,0.16472963540409544,0
race,African-American,42,1,0,0.039645853251409444,0
race,African-American,42,2,0,0.058390944422893186,0
race,African-American,42,3,0,0.08069692691308701,0
race,African-American,42,4,0,0.14093106792856483,0
race,African-American,42,2,1,0.05532242242012071,0
race,African-American,42,4,1,0.18076644974692696,0
race,African-American,41,1,0,0.04727964433725104,0
race,African-American,41,2,0,0.08563284136806569,0
race,African-American,41,3,0,0.07872313198387354,0
race,African-American,41,4,0,0.12495921525898074,0
race,African-American,41,1,1,0.04352544007716422,0
race,African-American,41,3,1,0.19362745098039216,0
race,African-American,41,4,1,0.11820455253552437,0
race,African-American,33,1,0,0.03814100982409833,0
race,African-American,33,2,0,0.07591030963553916,0
race,African-American,33,3,0,0.06577532996826259,0
race,African-American,33,4,0,0.1370010851448952,0
race,African-American,33,1,1,0.052043288771371765,0
race,African-American,33,2,1,0.0839967625917736,0
race,African-American,33,3,1,0.10486770846281726,0
race,African-American,33,4,1,0.19222515798154008,0
race,African-American,31,1,0,0.04288798657457144,0
race,African-American,31,2,0,0.06758020682331455,0
race,African-American,31,3,0,0.0703783918315374,0
race,African-American,31,4,0,0.16475534020213922,0
race,African-American,31,1,1,0.025723777883246323,0
race,African-American,31,2,1,0.0849210669569951,0
race,African-American,31,4,1,0.23535021032543665,0
race,African-American,50,1,0,0.03980886209281857,0
race,African-American,50,2,0,0.04632714922296362,0
race,African-American,50,3,0,0.0613409527181484,0
race,African-American,50,4,0,0.1558003317568288,0
race,African-American,50,1,1,0.044766888041147035,0
race,African-American,50,2,1,0.05454545454545454,0
race,African-American,50,4,1,0.17818933679560378,0
race,African-American,28,1,0,0.04086130964896494,0
race,African-American,28,2,0,0.05204315048633766,0
race,African-American,28,3,0,0.0710023344455185,0
race,African-American,28,4,0,0.14767804148119587,0
race,African-American,28,1,1,0.05094335946063125,0
race,African-American,28,2,1,0.06855791962174941,0
race,African-American,28,3,1,0.12161813785466145,0
race,African-American,28,4,1,0.1878999701095176,0
race,African-American,52,1,0,0.0416326898062241,0
race,African-American,52,2,0,0.06935149081682007,0
race,African-American,52,3,0,0.07158750307993517,0
race,African-American,52,4,0,0.1134235639125876,0
race,African-American,52,2,1,0.03318347248983087,0
race,African-American,52,3,1,0.25908507909362977,0
race,African-American,52,4,1,0.18076644974692696,0
race,African-American,51,1,0,0.04202123145815005,0
race,African-American,51,2,0,0.07605716763201341,0
race,African-American,51,3,0,0.05942042872920834,0
race,African-American,51,4,0,0.09808201198797581,0
race,African-American,51,2,1,0.049393414211438474,0
race,African-American,51,3,1,0.25908507909362977,0
race,African-American,51,4,1,0.14548553464670322,0
race,African-American,40,1,0,0.04850000672335063,0
race,African-American,40,2,0,0.056922811421744095,0
race,African-American,40,3,0,0.10209397403297397,0
race,African-American,40,4,0,0.14043557271785248,0
race,African-American,40,1,1,0.09291059670087658,0
race,African-American,40,2,1,0.14481185860889395,0
race,African-American,40,4,1,0.22686027795210736,0
race,African-American,60,1,0,0.0351795914148658,0
race,African-American,60,2,0,0.0392819068408905,0
race,African-American,60,3,0,0.05454545454545454,0
race,African-American,60,4,0,0.18741605633779504,0
race,African-American,60,1,1,0.04352544007716422,0
race,African-American,60,2,1,0.09140586189766518,0
race,African-American,60,4,1,0.0993006993006993,0
race,African-American,39,1,0,0.04947523717394352,0
race,African-American,39,2,0,0.06844094711063588,0
race,African-American,39,3,0,0.08665248628519902,0
race,African-American,39,4,0,0.1383900526862538,0
race,African-American,39,2,1,0.05094288128308337,0
race,African-American,39,3,1,0.09140586189766518,0
race,African-American,39,4,1,0.25908507909362977,0
race,African-American,47,1,0,0.04372848229287558,0
race,African-American,47,2,0,0.06355852823574347,0
race,African-American,47,3,0,0.05312411542648833,0
race,African-American,47,4,0,0.13227934439087327,0
race,African-American,47,2,1,0.09402654867256637,0
race,African-American,47,3,1,0.0692868287630168,0
race,African-American,47,4,1,0.0996907234925005,0
race,African-American,36,1,0,0.041433162785549364,0
race,African-American,36,2,0,0.058015163353758926,0
race,African-American,36,3,0,0.08557900676267396,0
race,African-American,36,4,0,0.13091851335716756,0
race,African-American,36,1,1,0.002812374447569305,0
race,African-American,36,2,1,0.03318347248983087,0
race,African-American,36,4,1,0.19428245154325693,0
race,African-American,44,1,0,0.04251057218446925,0
race,African-American,44,2,0,0.05922862672801419,0
race,African-American,44,3,0,0.08329687377785606,0
race,African-American,44,4,0,0.12556694355703457,0
race,African-American,44,1,1,0.06628326798378759,0
race,African-American,44,2,1,0.056189151599443675,0
race,African-American,44,4,1,0.18300581404340346,0
race,African-American,48,1,0,0.03980293603657914,0
race,African-American,48,2,0,0.06565370360483941,0
race,African-American,48,3,0,0.07026819804211556,0
race,African-American,48,4,0,0.1605227346264807,0
race,African-American,48,2,1,0.09135802469135802,0
race,African-American,48,4,1,0.16210894302852366,0
race,African-American,49,1,0,0.041416771185274565,0
race,African-American,49,2,0,0.054669939959767065,0
race,African-American,49,3,0,0.06004760017220582,0
race,African-American,49,4,0,0.15115609517616643,0
race,African-American,49,1,1,0.09402654867256637,0
race,African-American,49,2,1,0.05454545454545454,0
race,African-American,49,4,1,0.19031629143336862,0
race,African-American,63,1,0,0.034786787745511014,0
race,African-American,63,2,0,0.07334814955459472,0
race,African-American,63,4,0,0.10355483454638346,0
race,African-American,27,1,1,0.06234761538775513,0
race,African-American,27,2,1,0.10082145752006784,0
race,African-American,27,3,1,0.06351108448172559,0
race,African-American,27,4,1,0.3206403446004986,0
race,African-American,27,1,0,0.05083549915970379,0
race,African-American,27,2,0,0.08325828211850823,0
race,African-American,27,3,0,0.09674762880719033,0
race,African-American,27,4,0,0.12648845181050986,0
race,African-American,21,1,0,0.04225047034150262,0
race,African-American,21,2,0,0.05758221813793238,0
race,African-American,21,3,0,0.06853827504399487,0
race,African-American,21,4,0,0.1459930826642235,0
race,African-American,21,1,1,0.0324852972572075,0
race,African-American,21,2,1,0.10469457603168904,0
race,African-American,21,4,1,0.19666490963374586,0
race,African-American,43,1,0,0.03859219160786197,0
race,African-American,43,2,0,0.06053785350313726,0
race,African-American,43,3,0,0.061918220386137125,0
race,African-American,43,4,0,0.11068798222179457,0
race,African-American,43,1,1,0.046459427144301346,0
race,African-American,43,4,1,0.17199965280528587,0
race,African-American,45,1,0,0.042502626415985956,0
race,African-American,45,2,0,0.05274504362906997,0
race,African-American,45,3,0,0.05908308977242547,0
race,African-American,45,4,0,0.11182164191975928,0
race,African-American,45,1,1,0.06628326798378759,0
race,African-American,45,2,1,0.029453625186538594,0
race,African-American,45,4,1,0.24116897004422483,0
race,African-American,55,1,0,0.04169762763560944,0
race,African-American,55,2,0,0.05922841925884985,0
race,African-American,55,3,0,0.03095269638258938,0
race,African-American,55,4,0,0.1219428493001906,0
race,African-American,55,1,1,0.1817548746518106,0
race,African-American,55,2,1,0.05454545454545454,0
race,African-American,55,4,1,0.3276866066701959,0
race,African-American,59,1,0,0.03709389211769613,0
race,African-American,59,2,0,0.0826892330393207,0
race,African-American,59,3,0,0.04352544007716422,0
race,African-American,59,4,0,0.17429506514584397,0
race,African-American,59,1,1,0.025723777883246323,0
race,African-American,59,3,1,0.049393414211438474,0
race,African-American,20,1,0,0.04080666473549031,0
race,African-American,20,2,0,0.06550817951492476,0
race,African-American,20,3,0,0.07848422352940866,0
race,African-American,20,4,0,0.11996357549430076,0
race,African-American,20,1,1,0.07438907902971287,0
race,African-American,20,2,1,0.07191320402970378,0
race,African-American,20,3,1,0.25908507909362977,0
race,African-American,20,4,1,0.1575956850188236,0
race,African-American,19,1,0,0.038076544940942716,0
race,African-American,19,2,0,0.07672968420455528,0
race,African-American,19,3,0,0.07515765765414154,0
race,African-American,19,4,0,0.1387656145864817,0
race,African-American,19,1,1,0.056568224541123,0
race,African-American,19,2,1,0.10479002982919969,0
race,African-American,19,3,1,0.10569160443069325,0
race,African-American,19,4,1,0.1741129418823174,0
race,African-American,54,1,0,0.05598787894882903,0
race,African-American,54,2,0,0.06563715546917653,0
race,African-American,54,3,0,0.0546776689000378,0
race,African-American,54,4,0,0.0937046233334777,0
race,African-American,54,1,1,0.03462460898020527,0
race,African-American,54,3,1,0.025960170697012803,0
race,African-American,62,3,1,0.1306791569086651,0
race,African-American,62,1,0,0.030514407147037736,0
race,African-American,62,2,0,0.057882205037039954,0
race,African-American,62,3,0,0.06365652750607262,0
race,African-American,62,4,0,0.18076644974692696,0
race,African-American,61,1,0,0.04655832448671535,0
race,African-American,61,2,0,0.04554637254486645,0
race,African-American,61,4,0,0.09519218376000826,0
race,African-American,65,1,1,0.04600833600512985,0
race,African-American,65,3,1,0.049393414211438474,0
race,African-American,65,4,1,0.71,0
race,African-American,65,1,0,0.037591552679191585,0
race,African-American,65,2,0,0.05353020591260469,0
race,African-American,65,3,0,0.04600833600512985,0
race,African-American,65,4,0,0.026737967914438502,0
race,African-American,56,1,1,0.04352544007716422,0
race,African-American,56,4,1,0.17578386815914968,0
race,African-American,56,1,0,0.03990434710540502,0
race,African-American,56,2,0,0.062149775230436785,0
race,African-American,56,3,0,0.0648363416574581,0
race,African-American,56,4,0,0.15596569068829125,0
race,African-American,57,1,0,0.04250631988763363,0
race,African-American,57,2,0,0.06564620095103409,0
race,African-American,57,3,0,0.07625001717709462,0
race,African-American,57,4,0,0.09614165221030041,0
race,African-American,57,1,1,0.01634877384196185,0
race,African-American,64,1,0,0.02811218042490717,0
race,African-American,64,2,0,0.025723777883246323,0
race,African-American,64,3,0,0.04399010030423594,0
race,African-American,64,4,0,0.05187367978257638,0
race,African-American,64,4,1,0.21958762886597938,0
race,African-American,66,1,0,0.02597652218075137,0
race,African-American,66,2,0,0.055360227066239255,0
race,African-American,66,3,0,0.03318347248983087,0
race,African-American,66,1,1,0.06870229007633588,0
