Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.0005129383058831915,0
race,Caucasian,26,2,0,0.0008987773008499375,0
race,Caucasian,26,3,0,0.002510821643577404,0
race,Caucasian,26,4,0,0.013408112840938647,0
race,Caucasian,26,1,1,0.0006681923746562254,0
race,Caucasian,26,2,1,0.003962932147082195,0
race,Caucasian,26,3,1,0.004648170371518537,0
race,Caucasian,26,4,1,0.05756208408062913,0
race,Caucasian,29,1,0,0.0005897377291211846,0
race,Caucasian,29,2,0,0.001199897739661536,0
race,Caucasian,29,3,0,0.0020837719121833656,0
race,Caucasian,29,4,0,0.012680589344782313,0
race,Caucasian,29,1,1,0.00068043395189159,0
race,Caucasian,29,2,1,0.0010009634126027357,0
race,Caucasian,29,3,1,0.006312482955493835,0
race,Caucasian,29,4,1,0.025254434994143708,0
race,Caucasian,28,1,0,0.0005183205102694846,0
race,Caucasian,28,2,0,0.0011190871151464752,0
race,Caucasian,28,3,0,0.0018372946344282835,0
race,Caucasian,28,4,0,0.01197877472815783,0
race,Caucasian,28,1,1,0.0009323674499437703,0
race,Caucasian,28,2,1,0.0063494163590569,0
race,Caucasian,28,3,1,0.0030817168560418936,0
race,Caucasian,28,4,1,0.03414087357203782,0
race,Caucasian,41,1,0,0.0005021504054433453,0
race,Caucasian,41,2,0,0.001080278491976277,0
race,Caucasian,41,3,0,0.0017900680962295334,0
race,Caucasian,41,4,0,0.008516074872011281,0
race,Caucasian,41,1,1,0.0010042080193612458,0
race,Caucasian,41,2,1,0.0013480396513356888,0
race,Caucasian,41,3,1,0.001455275134330462,0
race,Caucasian,41,4,1,0.014993692030057999,0
race,Caucasian,39,1,0,0.0005324609446175259,0
race,Caucasian,39,2,0,0.0011189208335963656,0
race,Caucasian,39,3,0,0.0019753961939884207,0
race,Caucasian,39,4,0,0.009353644692667173,0
race,Caucasian,39,1,1,0.000682066348713357,0
race,Caucasian,39,2,1,0.0013954425332249022,0
race,Caucasian,39,3,1,0.004908875544825774,0
race,Caucasian,39,4,1,0.03024867250517423,0
race,Caucasian,30,1,0,0.0005414311908704136,0
race,Caucasian,30,2,0,0.0009989062147888706,0
race,Caucasian,30,3,0,0.0017783780145778577,0
race,Caucasian,30,4,0,0.01173858416037649,0
race,Caucasian,30,1,1,0.000608629853449055,0
race,Caucasian,30,2,1,0.0008064152430542906,0
race,Caucasian,30,3,1,0.004079597339809079,0
race,Caucasian,30,4,1,0.06618918443065931,0
race,Caucasian,48,1,0,0.00036907696902586614,0
race,Caucasian,48,2,0,0.0007110493472379022,0
race,Caucasian,48,3,0,0.0013691210306603753,0
race,Caucasian,48,4,0,0.007897913660505917,0
race,Caucasian,48,1,1,0.0003346592063029563,0
race,Caucasian,48,3,1,0.002628126179842902,0
race,Caucasian,48,4,1,0.0033163818642056543,0
race,Caucasian,53,1,0,0.00030245733301024195,0
race,Caucasian,53,2,0,0.0006860695935270128,0
race,Caucasian,53,3,0,0.000784980970641245,0
race,Caucasian,53,4,0,0.0036457429527086273,0
race,Caucasian,53,2,1,0.0005195463092686015,0
race,Caucasian,53,4,1,0.0036259897887481207,0
race,Caucasian,25,1,0,0.00046307932146447237,0
race,Caucasian,25,2,0,0.00100447116211511,0
race,Caucasian,25,3,0,0.001956051954708171,0
race,Caucasian,25,4,0,0.01329259393123739,0
race,Caucasian,25,1,1,0.0006615527348974155,0
race,Caucasian,25,2,1,0.0012800095462732542,0
race,Caucasian,25,3,1,0.0024866400493726015,0
race,Caucasian,25,4,1,0.03969737376951989,0
race,Caucasian,34,1,0,0.0004620069658727599,0
race,Caucasian,34,2,0,0.0010896306189895032,0
race,Caucasian,34,3,0,0.0020007713300514494,0
race,Caucasian,34,4,0,0.010882894400463021,0
race,Caucasian,34,1,1,0.0023821432700318044,0
race,Caucasian,34,2,1,0.001611224876343694,0
race,Caucasian,34,3,1,0.00261246510300941,0
race,Caucasian,34,4,1,0.039394699190480734,0
race,Caucasian,38,1,0,0.000537143519848683,0
race,Caucasian,38,2,0,0.0009894696018060002,0
race,Caucasian,38,3,0,0.001773291291606797,0
race,Caucasian,38,4,0,0.010559663726839896,0
race,Caucasian,38,1,1,0.0007796903898370126,0
race,Caucasian,38,2,1,0.003442000166755756,0
race,Caucasian,38,4,1,0.020738109954320388,0
race,Caucasian,49,1,1,0.00044291513991551325,0
race,Caucasian,49,2,1,0.0006082275851942053,0
race,Caucasian,49,3,1,0.0012882237796465234,0
race,Caucasian,49,4,1,0.009400123667424015,0
race,Caucasian,49,1,0,0.00036231313904759707,0
race,Caucasian,49,2,0,0.0005462398133181083,0
race,Caucasian,49,3,0,0.0017316827439212517,0
race,Caucasian,49,4,0,0.005677287755337745,0
race,Caucasian,52,1,0,0.0002890444511289602,0
race,Caucasian,52,2,0,0.0006313309401217251,0
race,Caucasian,52,3,0,0.0014120515424729798,0
race,Caucasian,52,4,0,0.005394550824172957,0
race,Caucasian,52,1,1,0.0006685616836392325,0
race,Caucasian,52,3,1,0.0010602459776421478,0
race,Caucasian,52,4,1,0.06677363531128334,0
race,Caucasian,32,1,0,0.00047572766082354037,0
race,Caucasian,32,2,0,0.0009590504193480717,0
race,Caucasian,32,3,0,0.0021575020815086275,0
race,Caucasian,32,4,0,0.011238127557322931,0
race,Caucasian,32,1,1,0.0012897363350475057,0
race,Caucasian,32,2,1,0.001578636488633798,0
race,Caucasian,32,3,1,0.0016074103837810036,0
race,Caucasian,32,4,1,0.052000083818570644,0
race,Caucasian,44,1,0,0.00046338273591814395,0
race,Caucasian,44,2,0,0.0007710848867531386,0
race,Caucasian,44,3,0,0.0017491511224841196,0
race,Caucasian,44,4,0,0.006956241296051079,0
race,Caucasian,44,1,1,0.00037721817972557353,0
race,Caucasian,44,2,1,0.0010243040132947856,0
race,Caucasian,44,3,1,0.002034716970795222,0
race,Caucasian,44,4,1,0.006280081335977839,0
race,Caucasian,37,1,0,0.0004979282211827827,0
race,Caucasian,37,2,0,0.0011990114774301675,0
race,Caucasian,37,3,0,0.0012826958225564677,0
race,Caucasian,37,4,0,0.011781003352463905,0
race,Caucasian,37,1,1,0.00062453388588585,0
race,Caucasian,37,2,1,0.0015181302551783241,0
race,Caucasian,37,3,1,0.002116859486358747,0
race,Caucasian,37,4,1,0.02017826074644502,0
race,Caucasian,36,1,0,0.0004932850982735543,0
race,Caucasian,36,2,0,0.0009570706053530753,0
race,Caucasian,36,3,0,0.002209418002908679,0
race,Caucasian,36,4,0,0.01357714199941522,0
race,Caucasian,36,1,1,0.0008876001423672459,0
race,Caucasian,36,2,1,0.0026622811770795007,0
race,Caucasian,36,3,1,0.001923522763419784,0
race,Caucasian,36,4,1,0.021882831450766173,0
race,Caucasian,27,1,0,0.0005197184489475733,0
race,Caucasian,27,2,0,0.001008229691563936,0
race,Caucasian,27,3,0,0.0019020068720981068,0
race,Caucasian,27,4,0,0.011068246893601794,0
race,Caucasian,27,1,1,0.0009164187118848345,0
race,Caucasian,27,2,1,0.007192468734975008,0
race,Caucasian,27,3,1,0.0015494961989019646,0
race,Caucasian,27,4,1,0.030711910162196602,0
race,Caucasian,45,1,0,0.0005147045209763788,0
race,Caucasian,45,2,0,0.0013621892823567445,0
race,Caucasian,45,3,0,0.0016583773741253322,0
race,Caucasian,45,4,0,0.010647938372418812,0
race,Caucasian,45,1,1,0.0014768308365057466,0
race,Caucasian,45,2,1,0.0004104357988211951,0
race,Caucasian,45,3,1,0.008117032776820009,0
race,Caucasian,45,4,1,0.01759223246778718,0
race,Caucasian,58,1,0,0.0003050085378420524,0
race,Caucasian,58,2,0,0.0005357062346731532,0
race,Caucasian,58,3,0,0.0008305037552763069,0
race,Caucasian,58,4,0,0.006380883790117253,0
race,Caucasian,58,1,1,0.0005068638109707871,0
race,Caucasian,58,2,1,0.0009320116076806161,0
race,Caucasian,58,4,1,0.028678880051710924,0
race,Caucasian,24,1,0,0.0005142364443108928,0
race,Caucasian,24,2,0,0.0010359419355932531,0
race,Caucasian,24,3,0,0.0017120211623312088,0
race,Caucasian,24,4,0,0.011370076398548845,0
race,Caucasian,24,1,1,0.0013369263201940512,0
race,Caucasian,24,2,1,0.004715809923613205,0
race,Caucasian,24,3,1,0.0010328859048497872,0
race,Caucasian,24,4,1,0.05065127895447915,0
race,Caucasian,55,1,0,0.00028053451161537087,0
race,Caucasian,55,2,0,0.000464189962308724,0
race,Caucasian,55,3,0,0.0009017043472572945,0
race,Caucasian,55,4,0,0.005877692308950009,0
race,Caucasian,55,1,1,0.0005732760540760283,0
race,Caucasian,55,2,1,0.00024042167721274088,0
race,Caucasian,55,3,1,0.003278439297585313,0
race,Caucasian,55,4,1,0.007155323599289072,0
race,Caucasian,43,1,0,0.0004242386225275194,0
race,Caucasian,43,2,0,0.0008448960650928726,0
race,Caucasian,43,3,0,0.0019268751149504122,0
race,Caucasian,43,4,0,0.009483126720906369,0
race,Caucasian,43,1,1,0.0007029717238038348,0
race,Caucasian,43,2,1,0.0015991148390129136,0
race,Caucasian,43,3,1,0.002469797712775129,0
race,Caucasian,43,4,1,0.02820514833610786,0
race,Caucasian,23,1,0,0.000492537846030322,0
race,Caucasian,23,2,0,0.0010551480270877198,0
race,Caucasian,23,3,0,0.0016768015791328833,0
race,Caucasian,23,4,0,0.009172937420924496,0
race,Caucasian,23,1,1,0.0005250532843072078,0
race,Caucasian,23,2,1,0.001329104842162326,0
race,Caucasian,23,3,1,0.005423104670470625,0
race,Caucasian,23,4,1,0.0380574151854197,0
race,Caucasian,46,1,0,0.0003648736187491931,0
race,Caucasian,46,2,0,0.000685622557178577,0
race,Caucasian,46,3,0,0.0012124443309731777,0
race,Caucasian,46,4,0,0.005319657571434727,0
race,Caucasian,46,1,1,0.0003892791817115382,0
race,Caucasian,46,2,1,0.004230621755848225,0
race,Caucasian,46,3,1,0.0012018782592971024,0
race,Caucasian,46,4,1,0.053951147905149065,0
race,Caucasian,35,1,0,0.0004604300508225034,0
race,Caucasian,35,2,0,0.0010915475512574772,0
race,Caucasian,35,3,0,0.0015333060616112238,0
race,Caucasian,35,4,0,0.008567567592474092,0
race,Caucasian,35,1,1,0.000744257176769637,0
race,Caucasian,35,2,1,0.0027420119878136763,0
race,Caucasian,35,3,1,0.002770512552597313,0
race,Caucasian,35,4,1,0.024357947302958226,0
race,Caucasian,31,1,0,0.0005515684218710153,0
race,Caucasian,31,2,0,0.0009715889587652236,0
race,Caucasian,31,3,0,0.002154065965307271,0
race,Caucasian,31,4,0,0.012395900183039765,0
race,Caucasian,31,1,1,0.000913658753177327,0
race,Caucasian,31,2,1,0.0010576197643897424,0
race,Caucasian,31,3,1,0.0026881481929134474,0
race,Caucasian,31,4,1,0.03945345679745172,0
race,Caucasian,64,1,0,0.00021581052198159118,0
race,Caucasian,64,2,0,0.0004319429187740477,0
race,Caucasian,64,3,0,0.0005414868569508229,0
race,Caucasian,64,4,0,0.0037872591906317624,0
race,Caucasian,64,1,1,0.0002911165349296224,0
race,Caucasian,18,1,0,0.0009931211700443551,0
race,Caucasian,18,2,0,0.001463619789448063,0
race,Caucasian,18,3,0,0.002560749725245332,0
race,Caucasian,18,4,0,0.0027028246364370874,0
race,Caucasian,18,1,1,0.001986946901270513,0
