Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.017986209962091552,0
race,Caucasian,26,2,0,0.026886573259793375,0
race,Caucasian,26,3,0,0.031007599461244064,0
race,Caucasian,26,4,0,0.06061384902565515,0
race,Caucasian,26,1,1,0.01798620996209156,0
race,Caucasian,26,2,1,0.027799431033916633,0
race,Caucasian,26,3,1,0.036720541099212155,0
race,Caucasian,26,4,1,0.08836695785632488,0
race,Caucasian,30,1,0,0.017986209962091555,0
race,Caucasian,30,2,0,0.028427863910437452,0
race,Caucasian,30,3,0,0.031418056304152134,0
race,Caucasian,30,4,0,0.0647621955593098,0
race,Caucasian,30,1,1,0.01798620996209156,0
race,Caucasian,30,2,1,0.02534612576596036,0
race,Caucasian,30,3,1,0.04742587317756678,0
race,Caucasian,30,4,1,0.09706813281926528,0
race,Caucasian,34,1,0,0.01798620996209156,0
race,Caucasian,34,2,0,0.026439182568515133,0
race,Caucasian,34,3,0,0.03248957345795067,0
race,Caucasian,34,4,0,0.06378674001732547,0
race,Caucasian,34,1,1,0.01798620996209156,0
race,Caucasian,34,2,1,0.03270604156982917,0
race,Caucasian,34,3,1,0.04742587317756678,0
race,Caucasian,34,4,1,0.09170174207369938,0
race,Caucasian,35,1,0,0.017986209962091555,0
race,Caucasian,35,2,0,0.02688281148325165,0
race,Caucasian,35,3,0,0.03159090281166723,0
race,Caucasian,35,4,0,0.06440340314887905,0
race,Caucasian,35,1,1,0.01798620996209156,0
race,Caucasian,35,2,1,0.027799431033916633,0
race,Caucasian,35,3,1,0.04742587317756678,0
race,Caucasian,35,4,1,0.09170174207369941,0
race,Caucasian,51,1,0,0.017986209962091555,0
race,Caucasian,51,2,0,0.024359745297400627,0
race,Caucasian,51,3,0,0.03157374683077243,0
race,Caucasian,51,4,0,0.05237617826213805,0
race,Caucasian,51,1,1,0.01798620996209156,0
race,Caucasian,51,2,1,0.027799431033916633,0
race,Caucasian,51,3,1,0.04742587317756678,0
race,Caucasian,51,4,1,0.09527723907393394,0
race,Caucasian,38,1,0,0.017986209962091555,0
race,Caucasian,38,2,0,0.025966841556648097,0
race,Caucasian,38,3,0,0.03206604889123189,0
race,Caucasian,38,4,0,0.06415541392684349,0
race,Caucasian,38,1,1,0.01798620996209156,0
race,Caucasian,38,2,1,0.040065957373697975,0
race,Caucasian,38,3,1,0.04742587317756678,0
race,Caucasian,38,4,1,0.07994137361029366,0
race,Caucasian,44,1,0,0.01798620996209156,0
race,Caucasian,44,2,0,0.027151388132947055,0
race,Caucasian,44,3,0,0.030400525775846177,0
