Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,2.2925531914893615,0
race,Caucasian,26,2,0,2.515021459227468,0
race,Caucasian,26,3,0,2.9798657718120807,0
race,Caucasian,26,4,0,3.428884026258206,0
race,Caucasian,26,2,1,3.0,0
race,Caucasian,26,3,1,5.0,0
race,Caucasian,26,4,1,5.076923076923077,0
race,Caucasian,29,1,0,2.4427480916030535,0
race,Caucasian,29,2,0,2.6767241379310347,0
race,Caucasian,29,3,0,3.037593984962406,0
race,Caucasian,29,4,0,3.7808471454880292,0
race,Caucasian,29,1,1,2.0,0
race,Caucasian,29,2,1,4.5,0
race,Caucasian,29,3,1,3.5,0
race,Caucasian,29,4,1,4.714285714285714,0
race,Caucasian,28,1,0,2.474537037037037,0
race,Caucasian,28,2,0,2.857142857142857,0
race,Caucasian,28,3,0,3.0,0
race,Caucasian,28,4,0,3.6903846153846156,0
race,Caucasian,28,1,1,1.5,0
race,Caucasian,28,2,1,2.0,0
race,Caucasian,28,4,1,5.083333333333333,0
race,Caucasian,41,1,0,2.5522388059701493,0
race,Caucasian,41,2,0,2.8785714285714286,0
race,Caucasian,41,3,0,3.1176470588235294,0
race,Caucasian,41,4,0,3.884476534296029,0
race,Caucasian,41,1,1,4.0,0
race,Caucasian,41,4,1,4.8,0
race,Caucasian,39,1,0,2.649805447470817,0
race,Caucasian,39,2,0,2.741007194244604,0
race,Caucasian,39,3,0,3.308641975308642,0
race,Caucasian,39,4,0,3.8975155279503104,0
race,Caucasian,39,3,1,5.0,0
race,Caucasian,39,4,1,4.25,0
race,Caucasian,30,1,0,2.4587628865979383,0
race,Caucasian,30,2,0,2.800995024875622,0
race,Caucasian,30,3,0,2.9708029197080292,0
race,Caucasian,30,4,0,3.792682926829268,0
race,Caucasian,30,2,1,4.0,0
race,Caucasian,30,3,1,3.4,0
race,Caucasian,30,4,1,4.666666666666667,0
race,Caucasian,48,1,0,2.4413145539906105,0
race,Caucasian,48,2,0,2.9894736842105263,0
race,Caucasian,48,3,0,3.367088607594937,0
race,Caucasian,48,4,0,3.8870056497175143,0
race,Caucasian,48,4,1,4.0,0
race,Caucasian,53,1,0,2.4140127388535033,0
race,Caucasian,53,2,0,2.9,0
race,Caucasian,53,3,0,2.869565217391304,0
race,Caucasian,53,4,0,3.6031746031746033,0
race,Caucasian,53,4,1,5.25,0
race,Caucasian,25,1,0,2.0957943925233646,0
race,Caucasian,25,2,0,2.482300884955752,0
race,Caucasian,25,3,0,2.5724137931034483,0
race,Caucasian,25,4,0,3.423076923076923,0
race,Caucasian,25,1,1,2.0,0
race,Caucasian,25,2,1,3.0,0
race,Caucasian,25,3,1,1.0,0
race,Caucasian,25,4,1,3.6666666666666665,0
race,Caucasian,34,1,0,2.5936675461741423,0
race,Caucasian,34,2,0,2.9622641509433962,0
race,Caucasian,34,3,0,3.0,0
race,Caucasian,34,4,0,3.8466257668711656,0
race,Caucasian,34,2,1,3.0,0
race,Caucasian,34,3,1,3.5,0
race,Caucasian,34,4,1,4.75,0
race,Caucasian,38,1,0,2.568345323741007,0
race,Caucasian,38,2,0,3.012121212121212,0
race,Caucasian,38,3,0,3.2526315789473683,0
race,Caucasian,38,4,0,3.918032786885246,0
race,Caucasian,38,1,1,3.0,0
race,Caucasian,38,2,1,5.0,0
race,Caucasian,38,4,1,4.5,0
race,Caucasian,49,1,0,2.5359116022099446,0
race,Caucasian,49,2,0,2.761904761904762,0
race,Caucasian,49,3,0,3.2133333333333334,0
race,Caucasian,49,4,0,3.684729064039409,0
race,Caucasian,49,1,1,3.0,0
race,Caucasian,49,2,1,6.0,0
race,Caucasian,49,4,1,5.0,0
race,Caucasian,52,1,0,2.403314917127072,0
race,Caucasian,52,2,0,2.8795180722891565,0
race,Caucasian,52,3,0,3.02,0
race,Caucasian,52,4,0,3.5751633986928106,0
race,Caucasian,52,4,1,5.0,0
race,Caucasian,32,1,0,2.4523076923076923,0
race,Caucasian,32,2,0,2.83,0
race,Caucasian,32,3,0,3.306122448979592,0
race,Caucasian,32,4,0,3.9064885496183206,0
race,Caucasian,32,1,1,3.5,0
race,Caucasian,32,2,1,4.0,0
race,Caucasian,32,4,1,4.916666666666667,0
race,Caucasian,44,1,0,2.6371308016877637,0
race,Caucasian,44,2,0,2.9914529914529915,0
race,Caucasian,44,3,0,3.0930232558139537,0
race,Caucasian,44,4,0,3.718213058419244,0
race,Caucasian,44,4,1,4.75,0
race,Caucasian,37,1,0,2.5807560137457046,0
race,Caucasian,37,2,0,3.0290697674418605,0
race,Caucasian,37,3,0,3.1809523809523808,0
race,Caucasian,37,4,0,3.8037825059101653,0
race,Caucasian,37,1,1,3.0,0
race,Caucasian,37,2,1,3.0,0
race,Caucasian,37,3,1,4.0,0
race,Caucasian,37,4,1,5.222222222222222,0
race,Caucasian,36,1,0,2.651898734177215,0
race,Caucasian,36,2,0,2.88265306122449,0
race,Caucasian,36,3,0,3.169491525423729,0
race,Caucasian,36,4,0,4.0576923076923075,0
