Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.0038585733112444544,0
race,Caucasian,26,2,0,0.005185731998453752,0
race,Caucasian,26,3,0,0.007204259194508822,0
race,Caucasian,26,4,0,0.018072035378752294,0
race,Caucasian,26,2,1,0.03269476372924649,0
race,Caucasian,26,3,1,0.03269476372924649,0
race,Caucasian,26,4,1,0.09851464802659958,0
race,Caucasian,29,1,0,0.004689912180242563,0
race,Caucasian,29,2,0,0.005208044411177062,0
race,Caucasian,29,3,0,0.0076094199498685875,0
race,Caucasian,29,4,0,0.02091914642507842,0
race,Caucasian,29,1,1,0.035007563475635196,0
race,Caucasian,29,2,1,0.03269476372924649,0
race,Caucasian,29,3,1,0.005517538072530334,0
race,Caucasian,29,4,1,0.041397183409209844,0
race,Caucasian,28,1,0,0.003917852303916855,0
race,Caucasian,28,2,0,0.005503102228184471,0
race,Caucasian,28,3,0,0.0060645868870820045,0
race,Caucasian,28,4,0,0.01977205226528943,0
race,Caucasian,28,1,1,0.035007563475635196,0
race,Caucasian,28,2,1,0.010872793871878662,0
race,Caucasian,28,4,1,0.048198235024785076,0
race,Caucasian,41,1,0,0.0035742630864464505,0
race,Caucasian,41,2,0,0.005944982060320581,0
race,Caucasian,41,3,0,0.003918309809630925,0
race,Caucasian,41,4,0,0.014960817574926259,0
race,Caucasian,41,1,1,0.03232119509791119,0
race,Caucasian,41,4,1,0.022871889595889042,0
race,Caucasian,39,1,0,0.004346654742172517,0
race,Caucasian,39,2,0,0.005293080380338793,0
race,Caucasian,39,3,0,0.007263180600138995,0
race,Caucasian,39,4,0,0.01875996802260001,0
race,Caucasian,39,3,1,0.03269476372924649,0
race,Caucasian,39,4,1,0.037438101541354504,0
race,Caucasian,30,1,0,0.00412990855070977,0
race,Caucasian,30,2,0,0.005573993149000794,0
race,Caucasian,30,3,0,0.008357415117768134,0
race,Caucasian,30,4,0,0.021456521064729957,0
race,Caucasian,30,2,1,0.009650909491266839,0
race,Caucasian,30,3,1,0.02485421032009446,0
race,Caucasian,30,4,1,0.043991743647553504,0
race,Caucasian,48,1,0,0.0036574042174512033,0
race,Caucasian,48,2,0,0.004552620093216826,0
race,Caucasian,48,3,0,0.0054009587784583845,0
race,Caucasian,48,4,0,0.01401043455707593,0
race,Caucasian,48,4,1,0.0185678570305756,0
race,Caucasian,53,1,0,0.0024986128363434605,0
race,Caucasian,53,2,0,0.0046745725614332,0
race,Caucasian,53,3,0,0.0033560829644191854,0
race,Caucasian,53,4,0,0.010515936788822318,0
race,Caucasian,53,4,1,0.04384845034091781,0
race,Caucasian,25,1,0,0.0040839293423864794,0
race,Caucasian,25,2,0,0.0058938870663183575,0
race,Caucasian,25,3,0,0.005912043784990227,0
race,Caucasian,25,4,0,0.017401137945977523,0
race,Caucasian,25,1,1,0.0012815086531226486,0
race,Caucasian,25,2,1,0.048027822635973105,0
race,Caucasian,25,3,1,0.004104383075753737,0
race,Caucasian,25,4,1,0.049940331711715906,0
race,Caucasian,34,1,0,0.004073541876642981,0
race,Caucasian,34,2,0,0.005517782207723983,0
race,Caucasian,34,3,0,0.006325635816721836,0
race,Caucasian,34,4,0,0.016410215483917363,0
race,Caucasian,34,2,1,0.028800007744428334,0
race,Caucasian,34,3,1,0.023893053032216574,0
race,Caucasian,34,4,1,0.0451368647421337,0
race,Caucasian,38,1,0,0.0038545047832547687,0
race,Caucasian,38,2,0,0.005624767596179354,0
race,Caucasian,38,3,0,0.0061481149267866185,0
race,Caucasian,38,4,0,0.017493646299858712,0
race,Caucasian,38,1,1,0.013093380206366415,0
race,Caucasian,38,2,1,0.03269476372924649,0
race,Caucasian,38,4,1,0.042061059446700404,0
race,Caucasian,49,1,0,0.0034437297976340204,0
race,Caucasian,49,2,0,0.004768959720989527,0
race,Caucasian,49,3,0,0.005321543421252435,0
race,Caucasian,49,4,0,0.01624587117175752,0
race,Caucasian,49,1,1,0.06336088154269973,0
race,Caucasian,49,2,1,0.006930693069306931,0
race,Caucasian,49,4,1,0.03108757865331027,0
race,Caucasian,52,1,0,0.0023314419621175684,0
race,Caucasian,52,2,0,0.0048717639155896825,0
race,Caucasian,52,3,0,0.006971958688494709,0
race,Caucasian,52,4,0,0.011897773805023977,0
race,Caucasian,52,4,1,0.03286528655109355,0
race,Caucasian,32,1,0,0.0038171901891043583,0
race,Caucasian,32,2,0,0.006442768582394088,0
race,Caucasian,32,3,0,0.0066899202654653765,0
race,Caucasian,32,4,0,0.019628153583493565,0
race,Caucasian,32,1,1,0.03269476372924649,0
race,Caucasian,32,2,1,0.008186425494154652,0
race,Caucasian,32,4,1,0.049986473412023925,0
race,Caucasian,44,1,0,0.003228464214629283,0
race,Caucasian,44,2,0,0.005906007997728302,0
race,Caucasian,44,3,0,0.0056919183922110525,0
race,Caucasian,44,4,0,0.01525629483770832,0
race,Caucasian,44,4,1,0.043457619447599426,0
race,Caucasian,37,1,0,0.004269113290717259,0
race,Caucasian,37,2,0,0.007097433421697835,0
race,Caucasian,37,3,0,0.005184533218665301,0
race,Caucasian,37,4,0,0.0174428616218984,0
race,Caucasian,37,1,1,0.0012815086531226486,0
race,Caucasian,37,2,1,0.015334418182129278,0
race,Caucasian,37,3,1,0.023893053032216574,0
race,Caucasian,37,4,1,0.05626576792549873,0
race,Caucasian,36,1,0,0.003714427029311989,0
race,Caucasian,36,2,0,0.005671507799242408,0
race,Caucasian,36,3,0,0.007961357514965949,0
race,Caucasian,36,4,0,0.0193454315201234,0
race,Caucasian,36,1,1,0.01981272839927671,0
race,Caucasian,36,2,1,0.005517538072530334,0
race,Caucasian,36,3,1,0.03269476372924649,0
race,Caucasian,36,4,1,0.06263869940903154,0
race,Caucasian,27,1,0,0.004054353435268513,0
race,Caucasian,27,2,0,0.0054493451195908385,0
race,Caucasian,27,3,0,0.007654397861602154,0
race,Caucasian,27,4,0,0.017272368930685397,0
race,Caucasian,27,1,1,0.0067924692389388,0
race,Caucasian,27,2,1,0.01981272839927671,0
race,Caucasian,27,4,1,0.038517837580514365,0
race,Caucasian,45,1,0,0.004093850725850295,0
race,Caucasian,45,2,0,0.00578256175899374,0
race,Caucasian,45,3,0,0.0064218721028402185,0
race,Caucasian,45,4,0,0.015646736550191075,0
race,Caucasian,45,4,1,0.0808725725108934,0
race,Caucasian,58,1,0,0.0020414540381014984,0
race,Caucasian,58,2,0,0.005232743684346154,0
race,Caucasian,58,3,0,0.006930669618467878,0
race,Caucasian,58,4,0,0.010777489711998616,0
race,Caucasian,58,2,1,0.015091342335186657,0
race,Caucasian,24,1,0,0.004066915661095688,0
race,Caucasian,24,2,0,0.005543273415547963,0
race,Caucasian,24,3,0,0.006952814910843084,0
race,Caucasian,24,4,0,0.019352532331255574,0
race,Caucasian,24,1,1,0.006930693069306931,0
race,Caucasian,24,4,1,0.030252342576956342,0
race,Caucasian,55,1,0,0.0029255855064964477,0
race,Caucasian,55,2,0,0.004528192714058269,0
race,Caucasian,55,3,0,0.005469432935240344,0
race,Caucasian,55,4,0,0.013435518065690521,0
race,Caucasian,55,3,1,0.03269476372924649,0
race,Caucasian,43,1,0,0.003913147318314701,0
race,Caucasian,43,2,0,0.0062173563008821224,0
race,Caucasian,43,3,0,0.006552391714570496,0
race,Caucasian,43,4,0,0.015742312497061074,0
race,Caucasian,43,1,1,0.01967450456890858,0
race,Caucasian,43,4,1,0.05590692470251707,0
race,Caucasian,23,1,0,0.003396196538749276,0
race,Caucasian,23,2,0,0.005696206884578055,0
race,Caucasian,23,3,0,0.006229934769495364,0
race,Caucasian,23,4,0,0.014984356259749849,0
race,Caucasian,23,2,1,0.0255471685658733,0
race,Caucasian,23,3,1,0.004104383075753737,0
race,Caucasian,23,4,1,0.04375987339988118,0
race,Caucasian,46,1,0,0.003449191949329102,0
race,Caucasian,46,2,0,0.0051450754973455404,0
race,Caucasian,46,3,0,0.0044275263431943395,0
race,Caucasian,46,4,0,0.013875942767135652,0
race,Caucasian,46,3,1,0.004104383075753737,0
race,Caucasian,46,4,1,0.040966315653180735,0
race,Caucasian,35,1,0,0.004273003400681006,0
race,Caucasian,35,2,0,0.006564164386632662,0
race,Caucasian,35,3,0,0.0070053776589857186,0
race,Caucasian,35,4,0,0.018376657025152107,0
race,Caucasian,35,1,1,0.048027822635973105,0
race,Caucasian,35,3,1,0.018146783824334604,0
race,Caucasian,35,4,1,0.04918812772788025,0
race,Caucasian,31,1,0,0.00464012221332238,0
race,Caucasian,31,2,0,0.004148391321977746,0
race,Caucasian,31,3,0,0.007883674496033556,0
race,Caucasian,31,4,0,0.01792405575818476,0
race,Caucasian,31,2,1,0.005379314242162203,0
race,Caucasian,31,3,1,0.015091342335186657,0
race,Caucasian,31,4,1,0.054904204920096324,0
race,Caucasian,64,1,0,0.0026451150571906545,0
race,Caucasian,64,2,0,0.006992752951937256,0
race,Caucasian,64,3,0,0.010101963082927608,0
race,Caucasian,64,4,0,0.014863487021238363,0
race,Caucasian,18,1,0,0.005029851173496873,0
race,Caucasian,18,2,0,0.0043218727563347275,0
race,Caucasian,18,3,0,0.004234687776350182,0
race,Caucasian,18,4,0,0.007157091108724701,0
race,Caucasian,18,1,1,0.006654245408570668,0
race,Caucasian,18,2,1,0.06336088154269973,0
race,Caucasian,18,3,1,0.006930693069306931,0
race,Caucasian,18,4,1,0.006654245408570668,0
race,Caucasian,33,1,0,0.0037946154326796073,0
race,Caucasian,33,2,0,0.006895439286158971,0
race,Caucasian,33,3,0,0.00787106502510719,0
race,Caucasian,33,4,0,0.018006708955904865,0
race,Caucasian,33,1,1,0.006930693069306931,0
race,Caucasian,33,2,1,0.010872793871878662,0
race,Caucasian,33,3,1,0.01698813619118457,0
race,Caucasian,33,4,1,0.055056123091516154,0
race,Caucasian,47,1,0,0.0033842661162740927,0
race,Caucasian,47,2,0,0.006267718202741221,0
race,Caucasian,47,3,0,0.004505031328037661,0
race,Caucasian,47,4,0,0.01405812234347332,0
race,Caucasian,47,1,1,0.01981272839927671,0
race,Caucasian,47,4,1,0.03269476372924649,0
race,Caucasian,57,1,0,0.0032485206252206435,0
race,Caucasian,57,2,0,0.005358027942018128,0
race,Caucasian,57,3,0,0.004328891501995847,0
race,Caucasian,57,4,0,0.014812969746942607,0
race,Caucasian,57,3,1,0.010872793871878662,0
race,Caucasian,42,1,0,0.00318392617899482,0
race,Caucasian,42,2,0,0.004253956767727748,0
race,Caucasian,42,3,0,0.009040346588249266,0
race,Caucasian,42,4,0,0.016664729377589706,0
race,Caucasian,42,1,1,0.013093380206366415,0
race,Caucasian,42,4,1,0.03816926003445153,0
race,Caucasian,40,1,0,0.0035781236967661334,0
race,Caucasian,40,2,0,0.0062449499021323745,0
race,Caucasian,40,3,0,0.007563000300379917,0
race,Caucasian,40,4,0,0.01785808978309201,0
race,Caucasian,40,3,1,0.03269476372924649,0
race,Caucasian,40,4,1,0.0549154129691911,0
race,Caucasian,56,1,0,0.003023182542826709,0
race,Caucasian,56,2,0,0.0042248480315048255,0
race,Caucasian,56,3,0,0.004962779108283027,0
race,Caucasian,56,4,0,0.011203500014804468,0
race,Caucasian,51,1,0,0.002975145317883161,0
race,Caucasian,51,2,0,0.004214835271694019,0
race,Caucasian,51,3,0,0.006213124049766708,0
race,Caucasian,51,4,0,0.015060490073385993,0
race,Caucasian,51,2,1,0.006654245408570668,0
race,Caucasian,51,4,1,0.015091342335186657,0
race,Caucasian,50,1,0,0.0042926339514286335,0
race,Caucasian,50,2,0,0.0043089475939836275,0
race,Caucasian,50,3,0,0.004824831389884334,0
race,Caucasian,50,4,0,0.011068262050473138,0
race,Caucasian,50,4,1,0.0670525385540937,0
race,Caucasian,54,1,0,0.00304236409981216,0
race,Caucasian,54,2,0,0.004166938149186253,0
race,Caucasian,54,3,0,0.00569381806076307,0
race,Caucasian,54,4,0,0.012429565523232624,0
race,Caucasian,54,4,1,0.225,0
race,Caucasian,22,1,0,0.004028234390603284,0
race,Caucasian,22,2,0,0.005063706437461199,0
race,Caucasian,22,3,0,0.005893959506528903,0
race,Caucasian,22,4,0,0.013272751665541451,0
race,Caucasian,22,1,1,0.044133066651154955,0
race,Caucasian,22,2,1,0.03269476372924649,0
race,Caucasian,22,3,1,0.006930693069306931,0
race,Caucasian,22,4,1,0.025590566018786447,0
race,Caucasian,19,1,0,0.0036384338280824303,0
race,Caucasian,19,2,0,0.005561029589535432,0
