Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,1.3828588989680731e-05,0
race,African-American,27,2,0,4.38799370342329e-05,0
race,African-American,27,3,0,3.251346462739777e-05,0
race,African-American,27,4,0,0.0009277724024661318,0
race,African-American,27,4,1,0.06917993435751559,0
race,African-American,37,1,0,1.4682898338711543e-05,0
race,African-American,37,2,0,5.3879292871771475e-05,0
race,African-American,37,3,0,3.425432308386507e-05,0
race,African-American,37,4,0,0.001615291656661062,0
race,African-American,37,3,1,0.00017012988728455712,0
race,African-American,37,4,1,0.0033213325030026783,0
race,African-American,31,1,0,2.3674546249678107e-05,0
race,African-American,31,2,0,5.8563289329590236e-05,0
race,African-American,31,3,0,6.878183403336839e-05,0
race,African-American,31,4,0,0.0017053379485815255,0
race,African-American,31,4,1,0.010241341525511387,0
race,African-American,56,1,0,3.293586916067289e-05,0
race,African-American,56,2,0,5.783320994406242e-06,0
race,African-American,56,3,0,3.1702391045811796e-05,0
race,African-American,56,4,0,0.0004121703014072586,0
race,African-American,28,1,0,1.884086249644177e-05,0
race,African-American,28,2,0,4.934417312608679e-05,0
race,African-American,28,3,0,7.13990951845174e-05,0
race,African-American,28,4,0,0.0004112118874242675,0
race,African-American,28,4,1,0.0002513653087527479,0
race,African-American,25,1,0,1.67139618700488e-05,0
race,African-American,25,2,0,3.524499509752352e-05,0
race,African-American,25,3,0,7.723649910252224e-05,0
race,African-American,25,4,0,0.0006057717113834515,0
race,African-American,25,4,1,0.008674154990868297,0
race,African-American,41,1,0,2.3198857126660917e-05,0
race,African-American,41,2,0,8.609100350600661e-05,0
race,African-American,41,3,0,4.9858436199993094e-05,0
race,African-American,41,4,0,0.0005492687661002258,0
race,African-American,32,1,0,1.8787191961078135e-05,0
race,African-American,32,2,0,2.0749471860439343e-05,0
race,African-American,32,3,0,0.000257899795428577,0
race,African-American,32,4,0,0.0009309130437120812,0
race,African-American,32,3,1,0.0004694270875189604,0
race,African-American,32,4,1,0.00517756682175122,0
race,African-American,26,1,0,2.535434471372536e-05,0
race,African-American,26,2,0,5.0616033653889664e-05,0
race,African-American,26,3,0,5.1042083996009946e-05,0
race,African-American,26,4,0,0.001009874047998512,0
race,African-American,26,4,1,0.00588449589342246,0
race,African-American,33,1,0,1.8203853778691505e-05,0
race,African-American,33,2,0,5.907626988659372e-05,0
race,African-American,33,3,0,0.0001084137866770397,0
race,African-American,33,4,0,0.0010483109970651889,0
race,African-American,33,1,1,5.085040988084595e-06,0
race,African-American,33,4,1,0.039645651154807206,0
race,African-American,52,1,0,4.566483681703488e-06,0
race,African-American,52,2,0,5.4661260608287795e-05,0
race,African-American,52,3,0,5.12271863648642e-05,0
race,African-American,52,4,0,0.0007422621770018143,0
race,African-American,52,3,1,0.0013957773759776277,0
race,African-American,52,4,1,0.0033110568964006596,0
race,African-American,46,1,0,3.088131723825167e-05,0
race,African-American,46,2,0,2.131381382674278e-05,0
race,African-American,46,3,0,9.702287153163029e-05,0
race,African-American,46,4,0,0.00026241897500995444,0
race,African-American,44,1,0,1.2618465746315216e-05,0
race,African-American,44,2,0,6.858897668709984e-05,0
race,African-American,44,3,0,8.93520127334446e-05,0
race,African-American,44,4,0,0.0013815585082235856,0
race,African-American,44,4,1,0.004366446939930416,0
race,African-American,43,1,0,2.675406614181161e-05,0
race,African-American,43,2,0,4.4276135278927994e-05,0
race,African-American,43,3,0,4.133048243058795e-05,0
race,African-American,43,4,0,0.0009411865876687203,0
race,African-American,43,3,1,0.00012772666053820415,0
race,African-American,43,4,1,0.0009103371381684114,0
race,African-American,47,1,0,9.671887860664607e-06,0
race,African-American,47,2,0,0.00017402504444270035,0
race,African-American,47,3,0,1.6938178877063673e-05,0
race,African-American,47,4,0,0.0003006528104638287,0
race,African-American,51,1,0,7.366063138131093e-06,0
race,African-American,51,2,0,2.2773067559915114e-05,0
race,African-American,51,3,0,2.182102438498141e-05,0
race,African-American,51,4,0,0.0017016617283857785,0
race,African-American,54,1,0,2.614524838569405e-05,0
race,African-American,54,2,0,2.750944643102441e-05,0
race,African-American,54,3,0,7.440068872185025e-06,0
race,African-American,54,4,0,0.001332562847459259,0
race,African-American,54,4,1,0.005807646870148237,0
race,African-American,29,1,0,1.1386876300612036e-05,0
race,African-American,29,2,0,3.9324462407560055e-05,0
race,African-American,29,3,0,3.9019477658835994e-05,0
