Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.002457817994017256,0
race,Caucasian,26,2,0,0.0036448199751881196,0
race,Caucasian,26,3,0,0.005829714908960643,0
race,Caucasian,26,4,0,0.020748630571903973,0
race,Caucasian,26,2,1,0.04742587317756678,0
race,Caucasian,26,3,1,0.04742587317756678,0
race,Caucasian,26,4,1,0.08393387641388785,0
race,Caucasian,29,1,0,0.0033019266180169915,0
race,Caucasian,29,2,0,0.0035295357907498596,0
race,Caucasian,29,3,0,0.005698870611280701,0
race,Caucasian,29,4,0,0.02238002779843554,0
race,Caucasian,29,1,1,0.012339530443188206,0
race,Caucasian,29,2,1,0.04742587317756678,0
race,Caucasian,29,3,1,0.0016918371755177098,0
race,Caucasian,29,4,1,0.05167694319215539,0
race,Caucasian,28,1,0,0.002548376360067193,0
race,Caucasian,28,2,0,0.00434546158475324,0
race,Caucasian,28,3,0,0.00538295991595941,0
race,Caucasian,28,4,0,0.020974237131548494,0
race,Caucasian,28,1,1,0.012339530443188206,0
race,Caucasian,28,2,1,0.012339530443188206,0
race,Caucasian,28,4,1,0.06283253836940964,0
race,Caucasian,41,1,0,0.0027103816108345474,0
race,Caucasian,41,2,0,0.005175267165903956,0
race,Caucasian,41,3,0,0.0032535712287836967,0
race,Caucasian,41,4,0,0.017001736479498455,0
race,Caucasian,41,1,1,0.009448630578246102,0
race,Caucasian,41,4,1,0.02524473163315897,0
race,Caucasian,39,1,0,0.003090563718830227,0
race,Caucasian,39,2,0,0.004019009097154927,0
race,Caucasian,39,3,0,0.005872310167283055,0
race,Caucasian,39,4,0,0.017346911414376495,0
race,Caucasian,39,3,1,0.04742587317756678,0
race,Caucasian,39,4,1,0.0372426176142463,0
race,Caucasian,30,1,0,0.0030910714170788315,0
race,Caucasian,30,2,0,0.004509244923903919,0
race,Caucasian,30,3,0,0.005762569980519539,0
race,Caucasian,30,4,0,0.022225286437362844,0
race,Caucasian,30,2,1,0.009050561347670396,0
race,Caucasian,30,3,1,0.01820043904408708,0
race,Caucasian,30,4,1,0.04556696588161646,0
race,Caucasian,48,1,0,0.00266209726185887,0
race,Caucasian,48,2,0,0.004485382826170635,0
race,Caucasian,48,3,0,0.0040487103014702356,0
race,Caucasian,48,4,0,0.014631432212589337,0
race,Caucasian,48,4,1,0.02705936205092582,0
race,Caucasian,53,1,0,0.0018092017764873428,0
race,Caucasian,53,2,0,0.0038688255498317515,0
race,Caucasian,53,3,0,0.003183278039866743,0
race,Caucasian,53,4,0,0.010094609023236608,0
race,Caucasian,53,4,1,0.04782696402151518,0
race,Caucasian,25,1,0,0.0026097621014202176,0
race,Caucasian,25,2,0,0.004695997193841974,0
race,Caucasian,25,3,0,0.005033816416996155,0
race,Caucasian,25,4,0,0.019993476251371864,0
race,Caucasian,25,1,1,0.0009110511944006454,0
race,Caucasian,25,2,1,0.01798620996209156,0
race,Caucasian,25,3,1,0.0024726231566347743,0
race,Caucasian,25,4,1,0.06359908579522268,0
race,Caucasian,34,1,0,0.002813748490097397,0
race,Caucasian,34,2,0,0.004584800396331929,0
race,Caucasian,34,3,0,0.005108751023123861,0
race,Caucasian,34,4,0,0.01847970810563685,0
race,Caucasian,34,2,1,0.03270604156982917,0
race,Caucasian,34,3,1,0.03270604156982917,0
race,Caucasian,34,4,1,0.04569256917555382,0
race,Caucasian,38,1,0,0.002795649413129946,0
race,Caucasian,38,2,0,0.004720492954796406,0
race,Caucasian,38,3,0,0.0051199557697571415,0
race,Caucasian,38,4,0,0.01966276722130543,0
race,Caucasian,38,1,1,0.009448630578246102,0
race,Caucasian,38,2,1,0.04742587317756678,0
race,Caucasian,38,4,1,0.05965610854762418,0
race,Caucasian,49,1,0,0.00270571707075487,0
race,Caucasian,49,2,0,0.0043971026167748065,0
race,Caucasian,49,3,0,0.002822012048349906,0
race,Caucasian,49,4,0,0.015939165984553406,0
race,Caucasian,49,1,1,0.01798620996209156,0
race,Caucasian,49,2,1,0.0024726231566347743,0
race,Caucasian,49,4,1,0.02915961931066488,0
race,Caucasian,52,1,0,0.0018143895622626278,0
race,Caucasian,52,2,0,0.0028312455521786544,0
race,Caucasian,52,3,0,0.00525657974633572,0
race,Caucasian,52,4,0,0.012570725299399848,0
race,Caucasian,52,4,1,0.06083777258937616,0
race,Caucasian,32,1,0,0.002756610005349523,0
race,Caucasian,32,2,0,0.004570589190562802,0
race,Caucasian,32,3,0,0.005983974339394831,0
race,Caucasian,32,4,0,0.021929828156417138,0
race,Caucasian,32,1,1,0.01798620996209156,0
race,Caucasian,32,2,1,0.010229416559363167,0
race,Caucasian,32,4,1,0.06903194780577689,0
race,Caucasian,44,1,0,0.002343182224790354,0
race,Caucasian,44,2,0,0.005358190697404076,0
race,Caucasian,44,3,0,0.004147514261752779,0
race,Caucasian,44,4,0,0.016989415801445015,0
race,Caucasian,44,4,1,0.055186879825383985,0
race,Caucasian,37,1,0,0.0029732256771390396,0
race,Caucasian,37,2,0,0.006924703507337707,0
race,Caucasian,37,3,0,0.004013560716859877,0
race,Caucasian,37,4,0,0.01849801637004766,0
race,Caucasian,37,1,1,0.0009110511944006454,0
race,Caucasian,37,2,1,0.020270525008712164,0
race,Caucasian,37,3,1,0.01798620996209156,0
race,Caucasian,37,4,1,0.05184124809063059,0
race,Caucasian,36,1,0,0.002807411349148486,0
race,Caucasian,36,2,0,0.004412713610076542,0
race,Caucasian,36,3,0,0.0062548980809252926,0
race,Caucasian,36,4,0,0.02266295844650721,0
race,Caucasian,36,1,1,0.012339530443188206,0
race,Caucasian,36,2,1,0.0024726231566347743,0
race,Caucasian,36,3,1,0.04742587317756678,0
race,Caucasian,36,4,1,0.05481979762877098,0
race,Caucasian,27,1,0,0.003020125408953486,0
race,Caucasian,27,2,0,0.003975848241283591,0
race,Caucasian,27,3,0,0.006270535159156249,0
race,Caucasian,27,4,0,0.021192368753930116,0
race,Caucasian,27,1,1,0.004582737040459815,0
race,Caucasian,27,2,1,0.024949248167100778,0
race,Caucasian,27,4,1,0.06704320731155887,0
race,Caucasian,45,1,0,0.0027114688262426996,0
race,Caucasian,45,2,0,0.0048334937283745815,0
race,Caucasian,45,3,0,0.005209954762559601,0
race,Caucasian,45,4,0,0.017058123512101918,0
race,Caucasian,45,4,1,0.0846041698412022,0
race,Caucasian,58,1,0,0.001734243246504427,0
race,Caucasian,58,2,0,0.0038764487926974517,0
race,Caucasian,58,3,0,0.003223011239896324,0
race,Caucasian,58,4,0,0.010007103491766962,0
race,Caucasian,58,2,1,0.01798620996209156,0
race,Caucasian,24,1,0,0.0027705095038945875,0
race,Caucasian,24,2,0,0.004889275210764111,0
race,Caucasian,24,3,0,0.00525906709576978,0
race,Caucasian,24,4,0,0.018582770942719335,0
race,Caucasian,24,1,1,0.004582737040459815,0
race,Caucasian,24,4,1,0.03028647380343595,0
race,Caucasian,55,1,0,0.0027918878315820674,0
race,Caucasian,55,2,0,0.003571059652539167,0
race,Caucasian,55,3,0,0.005627862847193412,0
race,Caucasian,55,4,0,0.009937137702092909,0
race,Caucasian,55,3,1,0.0066928509242848554,0
race,Caucasian,43,1,0,0.0027153515532338398,0
race,Caucasian,43,2,0,0.0047282751219643255,0
race,Caucasian,43,3,0,0.0056376299196290395,0
race,Caucasian,43,4,0,0.016875558052847888,0
race,Caucasian,43,1,1,0.012339530443188206,0
race,Caucasian,43,4,1,0.05952226907158837,0
race,Caucasian,23,1,0,0.0023180983125273237,0
race,Caucasian,23,2,0,0.004414790960062525,0
race,Caucasian,23,3,0,0.004543519748689642,0
race,Caucasian,23,4,0,0.01717406154762289,0
race,Caucasian,23,2,1,0.02843725187790644,0
race,Caucasian,23,3,1,0.0024726231566347743,0
race,Caucasian,23,4,1,0.047826964021515185,0
race,Caucasian,46,1,0,0.0023152857745421447,0
race,Caucasian,46,2,0,0.004181030713666123,0
race,Caucasian,46,3,0,0.0035875870356115638,0
race,Caucasian,46,4,0,0.012156965134164656,0
race,Caucasian,46,3,1,0.0009110511944006454,0
race,Caucasian,46,4,1,0.0539366263881922,0
race,Caucasian,35,1,0,0.002792866312981707,0
race,Caucasian,35,2,0,0.006161271258400817,0
race,Caucasian,35,3,0,0.005752107040446549,0
race,Caucasian,35,4,0,0.01951926901324824,0
race,Caucasian,35,1,1,0.03270604156982917,0
race,Caucasian,35,3,1,0.024034978021314397,0
race,Caucasian,35,4,1,0.06378858718847415,0
race,Caucasian,31,1,0,0.0033667468098437076,0
race,Caucasian,31,2,0,0.0032592257453267185,0
race,Caucasian,31,3,0,0.007742028811280481,0
race,Caucasian,31,4,0,0.02040969237533494,0
race,Caucasian,31,2,1,0.0038019510593427504,0
race,Caucasian,31,3,1,0.01798620996209156,0
race,Caucasian,31,4,1,0.0660564683137845,0
race,Caucasian,64,1,0,0.0021139520573549165,0
race,Caucasian,64,2,0,0.00635812831659262,0
race,Caucasian,64,3,0,0.0028899275620345275,0
race,Caucasian,64,4,0,0.010289625177948538,0
race,Caucasian,18,1,0,0.003002550382799748,0
race,Caucasian,18,2,0,0.0040590612318273855,0
race,Caucasian,18,3,0,0.004187996538495873,0
race,Caucasian,18,4,0,0.00665488338872805,0
race,Caucasian,18,1,1,0.0066928509242848554,0
race,Caucasian,18,2,1,0.01798620996209156,0
race,Caucasian,18,3,1,0.0066928509242848554,0
race,Caucasian,18,4,1,0.0066928509242848554,0
race,Caucasian,33,1,0,0.002863561568137076,0
race,Caucasian,33,2,0,0.004367053444427546,0
race,Caucasian,33,3,0,0.005475638999970728,0
race,Caucasian,33,4,0,0.020729828104043085,0
race,Caucasian,33,1,1,0.0024726231566347743,0
race,Caucasian,33,2,1,0.012339530443188206,0
race,Caucasian,33,3,1,0.024168462185983713,0
race,Caucasian,33,4,1,0.06714604271120068,0
race,Caucasian,47,1,0,0.0024088441247487606,0
race,Caucasian,47,2,0,0.005425881360526073,0
race,Caucasian,47,3,0,0.0029321276435121057,0
race,Caucasian,47,4,0,0.014475015533287077,0
race,Caucasian,47,1,1,0.010229416559363167,0
race,Caucasian,47,4,1,0.04742587317756678,0
race,Caucasian,57,1,0,0.002196326064070831,0
race,Caucasian,57,2,0,0.004072765138016627,0
race,Caucasian,57,3,0,0.003317728985292677,0
race,Caucasian,57,4,0,0.013236812337817525,0
race,Caucasian,57,3,1,0.012339530443188206,0
race,Caucasian,42,1,0,0.0025209555634885536,0
race,Caucasian,42,2,0,0.0032821705857143265,0
race,Caucasian,42,3,0,0.006551476669848269,0
race,Caucasian,42,4,0,0.01879470246124894,0
race,Caucasian,42,1,1,0.009448630578246102,0
race,Caucasian,42,4,1,0.03244145650392278,0
race,Caucasian,40,1,0,0.0027581436692370727,0
race,Caucasian,40,2,0,0.005197108288408762,0
race,Caucasian,40,3,0,0.007050234761758419,0
race,Caucasian,40,4,0,0.018216314203492068,0
race,Caucasian,40,3,1,0.04742587317756678,0
race,Caucasian,40,4,1,0.04341893222665032,0
race,Caucasian,56,1,0,0.002208681384899943,0
race,Caucasian,56,2,0,0.003707564931405897,0
race,Caucasian,56,3,0,0.0034985000360713415,0
race,Caucasian,56,4,0,0.011336361059852567,0
race,Caucasian,51,1,0,0.002342639860544693,0
race,Caucasian,51,2,0,0.002876977180518361,0
race,Caucasian,51,3,0,0.004478146154988909,0
race,Caucasian,51,4,0,0.014102661018736298,0
race,Caucasian,51,2,1,0.0066928509242848554,0
race,Caucasian,51,4,1,0.01798620996209156,0
race,Caucasian,50,1,0,0.002708647693752974,0
race,Caucasian,50,2,0,0.0037198154572435373,0
race,Caucasian,50,3,0,0.004215041115538892,0
race,Caucasian,50,4,0,0.0084704458899033,0
race,Caucasian,50,4,1,0.02146772906459617,0
race,Caucasian,54,1,0,0.0023210298704461545,0
race,Caucasian,54,2,0,0.003427730182742299,0
race,Caucasian,54,3,0,0.004932614525239641,0
race,Caucasian,54,4,0,0.011844190064228922,0
race,Caucasian,54,4,1,0.11920292202211755,0
race,Caucasian,22,1,0,0.0028489481295074287,0
race,Caucasian,22,2,0,0.0036902112165821213,0
race,Caucasian,22,3,0,0.004335705784069404,0
race,Caucasian,22,4,0,0.01273423466323041,0
race,Caucasian,22,1,1,0.01798620996209156,0
race,Caucasian,22,2,1,0.01798620996209156,0
race,Caucasian,22,3,1,0.0024726231566347743,0
race,Caucasian,22,4,1,0.03901694839891033,0
race,Caucasian,19,1,0,0.0025305502036618278,0
race,Caucasian,19,2,0,0.004155053447284605,0
