Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,0.5704811212686797,0
race,African-American,27,2,0,0.6515928833069866,0
race,African-American,27,3,0,0.6074128659588143,0
race,African-American,27,4,0,0.8099545874253425,0
race,African-American,27,4,1,0.8963493150971864,0
race,African-American,37,1,0,0.6111660864240966,0
race,African-American,37,2,0,0.6693325030611068,0
race,African-American,37,3,0,0.6294852270198308,0
race,African-American,37,4,0,0.7842429451602496,0
race,African-American,37,3,1,0.8803829497334678,0
race,African-American,37,4,1,0.957319705284448,0
race,African-American,31,1,0,0.6136303368732983,0
race,African-American,31,2,0,0.663144797643348,0
race,African-American,31,3,0,0.7057815587536271,0
race,African-American,31,4,0,0.7962810616805794,0
race,African-American,31,4,1,0.9659056056132672,0
race,African-American,56,1,0,0.6366235152413323,0
race,African-American,56,2,0,0.5493375241884622,0
race,African-American,56,3,0,0.5673505710202831,0
race,African-American,56,4,0,0.7191369949706705,0
race,African-American,28,1,0,0.6314117824764316,0
race,African-American,28,2,0,0.6361895846167808,0
race,African-American,28,3,0,0.6627570547269104,0
race,African-American,28,4,0,0.7951020507370683,0
race,African-American,28,4,1,0.9497022808573022,0
race,African-American,25,1,0,0.6136325000238092,0
race,African-American,25,2,0,0.6291211694760072,0
race,African-American,25,3,0,0.6945354909359398,0
race,African-American,25,4,0,0.8004701762803775,0
race,African-American,25,4,1,0.9706443317790008,0
race,African-American,41,1,0,0.5641838473287123,0
race,African-American,41,2,0,0.6018517291130951,0
race,African-American,41,3,0,0.6351840634414667,0
race,African-American,41,4,0,0.7335178067264597,0
race,African-American,32,1,0,0.6443157763482322,0
race,African-American,32,2,0,0.6277351746182421,0
race,African-American,32,3,0,0.7338063199228703,0
race,African-American,32,4,0,0.7988426580111796,0
race,African-American,32,3,1,0.9650468684781686,0
race,African-American,32,4,1,0.9664848665516372,0
race,African-American,26,1,0,0.6211321212670923,0
race,African-American,26,2,0,0.627601436898628,0
race,African-American,26,3,0,0.6570740361278804,0
race,African-American,26,4,0,0.811387596089587,0
race,African-American,26,4,1,0.9754986615374532,0
race,African-American,33,1,0,0.6366262219226431,0
race,African-American,33,2,0,0.6684800303779039,0
race,African-American,33,3,0,0.6851450703869775,0
race,African-American,33,4,0,0.7867000497771861,0
race,African-American,33,1,1,0.7373582197046906,0
race,African-American,33,4,1,0.9889411915478011,0
race,African-American,52,1,0,0.5279663597041395,0
race,African-American,52,2,0,0.6201160968076909,0
race,African-American,52,3,0,0.72336308146596,0
race,African-American,52,4,0,0.7868351348290169,0
race,African-American,52,3,1,0.9714331033647364,0
race,African-American,52,4,1,0.9823157233760462,0
race,African-American,46,1,0,0.5928800461165933,0
race,African-American,46,2,0,0.5285581614707543,0
race,African-American,46,3,0,0.6008268076569996,0
race,African-American,46,4,0,0.7672885839814846,0
race,African-American,44,1,0,0.5250136108864826,0
race,African-American,44,2,0,0.6079221485685505,0
race,African-American,44,3,0,0.6747824490450312,0
race,African-American,44,4,0,0.7743462291077102,0
race,African-American,44,4,1,0.9836278567887355,0
race,African-American,43,1,0,0.5872246932341167,0
race,African-American,43,2,0,0.553674280108509,0
race,African-American,43,3,0,0.6458362298384939,0
race,African-American,43,4,0,0.7571868883973817,0
race,African-American,43,3,1,0.8534352026612645,0
race,African-American,43,4,1,0.9423661685523103,0
race,African-American,47,1,0,0.5218672307680831,0
race,African-American,47,2,0,0.6201340207162385,0
race,African-American,47,3,0,0.5699446518884417,0
race,African-American,47,4,0,0.7550566557537779,0
race,African-American,51,1,0,0.5438245385881083,0
race,African-American,51,2,0,0.6154997250223381,0
race,African-American,51,3,0,0.5553152387642322,0
race,African-American,51,4,0,0.7727445629232028,0
race,African-American,54,1,0,0.536164802493834,0
race,African-American,54,2,0,0.5445280302921394,0
race,African-American,54,3,0,0.530911583076954,0
race,African-American,54,4,0,0.7200792796034889,0
race,African-American,54,4,1,0.9750941939151222,0
race,African-American,29,1,0,0.5781963878966779,0
race,African-American,29,2,0,0.6055193381175232,0
race,African-American,29,3,0,0.6753592871600906,0
race,African-American,29,4,0,0.8040357080608139,0
race,African-American,29,2,1,0.9626511415275134,0
race,African-American,29,4,1,0.9445024117046106,0
race,African-American,30,1,0,0.6382107226462271,0
race,African-American,30,2,0,0.6705342849164058,0
race,African-American,30,3,0,0.7156658193398264,0
race,African-American,30,4,0,0.7739424955915407,0
race,African-American,30,4,1,0.900628555089188,0
race,African-American,39,1,0,0.6283114050032848,0
race,African-American,39,2,0,0.6187351018541359,0
race,African-American,39,3,0,0.7270244969902497,0
race,African-American,39,4,0,0.8435543817886877,0
race,African-American,34,1,0,0.6174076725860321,0
race,African-American,34,2,0,0.616691267052427,0
race,African-American,34,3,0,0.7380224525451141,0
race,African-American,34,4,0,0.8067565139254158,0
race,African-American,34,1,1,0.7545988711881618,0
race,African-American,34,4,1,0.9330410026813212,0
race,African-American,58,1,0,0.49032806425192227,0
race,African-American,58,2,0,0.4589413039129956,0
race,African-American,58,3,0,0.6586673203323261,0
race,African-American,58,4,0,0.7807512099791968,0
race,African-American,58,1,1,0.8899714340031187,0
race,African-American,38,1,0,0.6109737627840812,0
race,African-American,38,2,0,0.6298890464888972,0
race,African-American,38,3,0,0.7197939520562132,0
race,African-American,38,4,0,0.813468950683755,0
race,African-American,40,1,0,0.5955522324656968,0
race,African-American,40,2,0,0.5757220246192538,0
race,African-American,40,3,0,0.636138105194243,0
race,African-American,40,4,0,0.7303593643476001,0
race,African-American,40,3,1,0.4209644547600614,0
race,African-American,40,4,1,0.9586680724834726,0
race,African-American,53,1,0,0.5455904533699535,0
race,African-American,53,2,0,0.5777275776590647,0
race,African-American,53,3,0,0.6532456440547855,0
race,African-American,53,4,0,0.7645213562187873,0
race,African-American,53,4,1,0.9338816641111344,0
race,African-American,50,1,0,0.5755089276902758,0
race,African-American,50,2,0,0.5483379664877805,0
race,African-American,50,3,0,0.6679287653465142,0
race,African-American,50,4,0,0.7326514161417961,0
race,African-American,50,4,1,0.7485266672898598,0
race,African-American,35,1,0,0.6128463875160817,0
race,African-American,35,2,0,0.6378045083234188,0
race,African-American,35,3,0,0.6763691279536684,0
race,African-American,35,4,0,0.8068479406103305,0
race,African-American,49,1,0,0.5593486534593511,0
race,African-American,49,2,0,0.5462604717816858,0
race,African-American,49,3,0,0.625424548850644,0
race,African-American,49,4,0,0.7750399955400991,0
race,African-American,24,1,0,0.5869536859243044,0
race,African-American,24,2,0,0.6159276999835351,0
race,African-American,24,3,0,0.6451052637995558,0
race,African-American,24,4,0,0.7758883910182371,0
race,African-American,24,1,1,0.8744582396055618,0
race,African-American,24,3,1,0.9570504409400372,0
race,African-American,24,4,1,0.9068455948185141,0
race,African-American,21,1,0,0.6156865777822722,0
race,African-American,21,2,0,0.6541566585026313,0
race,African-American,21,3,0,0.6453783607002939,0
race,African-American,21,4,0,0.7929046132402802,0
race,African-American,21,4,1,0.9577692152188847,0
race,African-American,36,1,0,0.6375573829124968,0
race,African-American,36,2,0,0.6265998845595502,0
race,African-American,36,3,0,0.6891209894779884,0
race,African-American,36,4,0,0.795835278842486,0
race,African-American,36,4,1,0.9656869707353768,0
race,African-American,42,1,0,0.5663563711240341,0
race,African-American,42,2,0,0.5348335810612459,0
race,African-American,42,3,0,0.612029268459825,0
race,African-American,42,4,0,0.7404611698647392,0
race,African-American,42,2,1,0.86794288122016,0
race,African-American,20,1,0,0.6185508620491774,0
race,African-American,20,2,0,0.6360483757483758,0
race,African-American,20,3,0,0.6848290879590236,0
race,African-American,20,4,0,0.7827974435890753,0
race,African-American,20,2,1,0.5785295129613234,0
race,African-American,20,4,1,0.8428173130992812,0
race,African-American,59,4,1,0.9697507024473527,0
race,African-American,59,1,0,0.5296052028406396,0
race,African-American,59,2,0,0.5508043144494708,0
race,African-American,59,3,0,0.59557108615601,0
race,African-American,59,4,0,0.7586635857512198,0
race,African-American,23,1,0,0.590368817907767,0
race,African-American,23,2,0,0.619122593441172,0
race,African-American,23,3,0,0.668766527495859,0
race,African-American,23,4,0,0.7787981035685108,0
race,African-American,23,2,1,0.9683650845925136,0
race,African-American,23,4,1,0.9635741565409303,0
race,African-American,60,1,0,0.5457654436467642,0
race,African-American,60,2,0,0.5634296132018847,0
race,African-American,60,3,0,0.5806198317114901,0
race,African-American,60,4,0,0.6943656231723244,0
race,African-American,60,4,1,0.9778908393168709,0
race,African-American,48,1,0,0.5583773825025815,0
race,African-American,48,2,0,0.5445618284394151,0
race,African-American,48,3,0,0.6065228805402718,0
race,African-American,48,4,0,0.77127922671415,0
race,African-American,48,4,1,0.9765948206798275,0
race,African-American,45,1,0,0.6004116878224719,0
race,African-American,45,2,0,0.590315007266141,0
race,African-American,45,3,0,0.47511212424137067,0
race,African-American,45,4,0,0.8060209641595601,0
race,African-American,61,1,0,0.6061846231544904,0
race,African-American,61,2,0,0.4336950988823337,0
race,African-American,61,3,0,0.7604563090322212,0
race,African-American,61,4,0,0.6733200323445303,0
race,African-American,63,1,0,0.5267638248920801,0
race,African-American,63,2,0,0.3969000269559564,0
race,African-American,63,3,0,0.7408683169344906,0
race,African-American,63,4,0,0.7173690987754213,0
