Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,1.2777777777777777,0
race,African-American,27,2,0,1.58,0
race,African-American,27,3,0,1.7560975609756098,0
race,African-American,27,4,0,2.6923076923076925,0
race,African-American,27,2,1,3.0,0
race,African-American,27,3,1,3.0,0
race,African-American,27,4,1,3.2,0
race,African-American,37,1,0,1.7291666666666667,0
race,African-American,37,2,0,1.6666666666666667,0
race,African-American,37,3,0,2.121212121212121,0
race,African-American,37,4,0,2.7012987012987013,0
race,African-American,37,4,1,3.5,0
race,African-American,31,1,0,1.4342105263157894,0
race,African-American,31,2,0,1.830188679245283,0
race,African-American,31,3,0,1.8666666666666667,0
race,African-American,31,4,0,2.5319148936170213,0
race,African-American,31,1,1,2.0,0
race,African-American,31,4,1,6.0,0
race,African-American,56,4,1,4.0,0
race,African-American,56,1,0,1.9375,0
race,African-American,56,2,0,1.8888888888888888,0
race,African-American,56,3,0,1.7272727272727273,0
race,African-American,56,4,0,2.823529411764706,0
race,African-American,28,1,0,1.4933333333333334,0
race,African-American,28,2,0,1.5964912280701755,0
race,African-American,28,3,0,1.7826086956521738,0
race,African-American,28,4,0,2.595419847328244,0
race,African-American,28,3,1,0.0,0
race,African-American,25,1,0,1.2619047619047619,0
race,African-American,25,2,0,1.6708860759493671,0
race,African-American,25,3,0,1.6521739130434783,0
race,African-American,25,4,0,2.3225806451612905,0
race,African-American,25,4,1,4.0,0
race,African-American,41,1,0,1.7142857142857142,0
race,African-American,41,2,0,1.9487179487179487,0
race,African-American,41,3,0,1.6875,0
race,African-American,41,4,0,2.508771929824561,0
race,African-American,41,2,1,4.0,0
race,African-American,32,1,0,1.472972972972973,0
race,African-American,32,2,0,2.0454545454545454,0
race,African-American,32,3,0,2.1379310344827585,0
race,African-American,32,4,0,2.3555555555555556,0
race,African-American,32,4,1,4.0,0
race,African-American,26,1,0,1.2112676056338028,0
race,African-American,26,2,0,1.71875,0
race,African-American,26,3,0,1.6666666666666667,0
race,African-American,26,4,0,2.4748201438848922,0
race,African-American,26,2,1,3.0,0
race,African-American,26,3,1,5.0,0
race,African-American,26,4,1,2.0,0
race,African-American,33,1,0,1.8571428571428572,0
race,African-American,33,2,0,2.156862745098039,0
race,African-American,33,3,0,2.1142857142857143,0
race,African-American,33,4,0,2.431578947368421,0
race,African-American,33,2,1,5.0,0
race,African-American,33,3,1,3.0,0
race,African-American,52,1,0,2.0384615384615383,0
race,African-American,52,2,0,2.32,0
race,African-American,52,3,0,2.625,0
race,African-American,52,4,0,3.027027027027027,0
race,African-American,46,1,0,2.085714285714286,0
race,African-American,46,2,0,1.5813953488372092,0
race,African-American,46,3,0,1.68,0
race,African-American,46,4,0,2.6739130434782608,0
race,African-American,44,1,0,1.441860465116279,0
race,African-American,44,2,0,2.25,0
race,African-American,44,3,0,2.4444444444444446,0
race,African-American,44,4,0,2.7796610169491527,0
