Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,6.430832479130851e-05,0
race,African-American,27,2,0,9.468871049893383e-05,0
race,African-American,27,3,0,7.998162500996573e-05,0
race,African-American,27,4,0,0.002129270909833501,0
race,African-American,27,2,1,3.2443890446274916e-05,0
race,African-American,27,3,1,0.0006671755802316198,0
race,African-American,27,4,1,0.0006872225223972085,0
race,African-American,37,1,0,6.496755769731752e-05,0
race,African-American,37,2,0,1.487676642780401e-05,0
race,African-American,37,3,0,1.914497240067299e-05,0
race,African-American,37,4,0,0.000491719669966258,0
race,African-American,37,4,1,0.002294109773842406,0
race,African-American,31,1,0,3.7931946440435626e-05,0
race,African-American,31,2,0,4.497122707152949e-05,0
race,African-American,31,3,0,5.709010325670586e-05,0
race,African-American,31,4,0,0.0010740243924702725,0
race,African-American,31,1,1,4.258013756748744e-05,0
race,African-American,31,4,1,0.0023557335339536144,0
race,African-American,56,4,1,3.660253439980545e-05,0
race,African-American,56,1,0,9.887592951135519e-05,0
race,African-American,56,2,0,0.00015407336668607822,0
race,African-American,56,3,0,1.0494856111244918e-05,0
race,African-American,56,4,0,0.000672733120196947,0
race,African-American,28,1,0,5.281519000575466e-05,0
race,African-American,28,2,0,3.5459405641335904e-05,0
race,African-American,28,3,0,8.499970079745828e-05,0
race,African-American,28,4,0,0.001988182927156237,0
race,African-American,28,3,1,2.426666724709785e-06,0
race,African-American,25,1,0,2.774000156978276e-05,0
race,African-American,25,2,0,0.00011427071766781732,0
race,African-American,25,3,0,4.669809823189806e-05,0
race,African-American,25,4,0,0.0017246235368092817,0
race,African-American,25,4,1,0.0009713843664679516,0
race,African-American,41,1,0,5.705232984458826e-05,0
race,African-American,41,2,0,9.657688597467979e-05,0
race,African-American,41,3,0,1.0139545911025554e-05,0
race,African-American,41,4,0,0.0003304950235398425,0
race,African-American,41,2,1,0.00011396370679371842,0
race,African-American,32,1,0,3.806557020869827e-05,0
race,African-American,32,2,0,8.679387934428373e-05,0
race,African-American,32,3,0,6.65957280680657e-05,0
race,African-American,32,4,0,0.001553249832437844,0
race,African-American,32,4,1,0.002580643474032114,0
race,African-American,26,1,0,1.113557696795892e-05,0
race,African-American,26,2,0,4.499738177778144e-05,0
race,African-American,26,3,0,1.795828368324704e-05,0
race,African-American,26,4,0,0.0050003641302940076,0
race,African-American,26,2,1,0.0006657635339862893,0
race,African-American,26,3,1,0.00019512668357748403,0
race,African-American,26,4,1,4.9610528218083166e-05,0
race,African-American,33,1,0,1.5540760993873118e-05,0
race,African-American,33,2,0,1.5425991561994736e-05,0
race,African-American,33,3,0,0.00010873023018569225,0
race,African-American,33,4,0,0.0007460903201468208,0
race,African-American,33,2,1,3.627825843593637e-05,0
race,African-American,33,3,1,2.86417557397592e-05,0
race,African-American,52,1,0,6.77030120970512e-06,0
race,African-American,52,2,0,2.6582714289432415e-05,0
race,African-American,52,3,0,0.00016165112068968455,0
race,African-American,52,4,0,0.0006092234837617551,0
race,African-American,46,1,0,0.00013925840753056438,0
race,African-American,46,2,0,1.618197211962211e-05,0
race,African-American,46,3,0,5.388818360820604e-05,0
race,African-American,46,4,0,0.0006339396280063552,0
race,African-American,44,1,0,2.7260467884449338e-05,0
race,African-American,44,2,0,0.00016448988268862586,0
race,African-American,44,3,0,0.00015238502277765828,0
race,African-American,44,4,0,0.0005859501535767012,0
race,African-American,44,1,1,1.0495688789265935e-05,0
race,African-American,44,4,1,0.02049722604402457,0
race,African-American,43,1,0,1.945789282416158e-05,0
race,African-American,43,2,0,8.194238237217666e-05,0
race,African-American,43,3,0,0.0008356647508360024,0
race,African-American,43,4,0,0.0009580294302978868,0
race,African-American,43,3,1,5.294549022174686e-05,0
race,African-American,47,1,0,2.3576057706174934e-05,0
race,African-American,47,2,0,4.8244303876792904e-05,0
race,African-American,47,3,0,9.295911324547545e-06,0
race,African-American,47,4,0,0.0004865345805124347,0
race,African-American,47,1,1,0.0006901287809411661,0
race,African-American,51,1,0,5.6132916784848494e-05,0
race,African-American,51,2,0,7.075513887550138e-06,0
race,African-American,51,3,0,3.5737746243922625e-06,0
race,African-American,51,4,0,0.0005503887924649127,0
race,African-American,54,1,0,5.119362380471317e-06,0
race,African-American,54,2,0,7.210658741671388e-05,0
race,African-American,54,3,0,1.5096200220369316e-05,0
race,African-American,54,4,0,0.001079148458998626,0
race,African-American,29,1,0,4.376854020799464e-05,0
race,African-American,29,2,0,4.212442437226533e-05,0
race,African-American,29,3,0,0.000292282584118656,0
race,African-American,29,4,0,0.000619571068053871,0
race,African-American,29,2,1,3.514490056887856e-06,0
race,African-American,29,4,1,0.00019902672403573885,0
race,African-American,30,1,0,3.6310459668226086e-05,0
race,African-American,30,2,0,4.550992047208844e-05,0
race,African-American,30,3,0,4.189066758532449e-05,0
race,African-American,30,4,0,0.0007801480096124747,0
race,African-American,30,4,1,0.0048514246991774234,0
race,African-American,39,1,0,1.5065868410360104e-05,0
race,African-American,39,2,0,4.620969612490396e-05,0
race,African-American,39,3,0,0.00025541141685677066,0
race,African-American,39,4,0,0.00045261677257623045,0
race,African-American,39,4,1,0.00016458055471980964,0
race,African-American,34,1,0,5.05827171207031e-05,0
race,African-American,34,2,0,0.00015726533975640047,0
race,African-American,34,3,0,2.272481988459667e-05,0
race,African-American,34,4,0,0.0013319651736435152,0
race,African-American,34,4,1,9.784851615714653e-05,0
race,African-American,58,1,0,6.825646528772734e-06,0
race,African-American,58,2,0,1.5603111809273016e-06,0
race,African-American,58,3,0,6.8336585288509935e-06,0
race,African-American,58,4,0,6.594927992467464e-05,0
race,African-American,38,1,0,2.1617592416509186e-05,0
race,African-American,38,2,0,1.5603156461223917e-05,0
race,African-American,38,3,0,4.387351220300856e-05,0
race,African-American,38,4,0,0.0005344118651710739,0
race,African-American,38,1,1,0.0014490757527178758,0
race,African-American,38,2,1,1.5574043501140482e-05,0
race,African-American,38,4,1,0.011296575200683124,0
race,African-American,40,1,0,1.6779718267951193e-05,0
race,African-American,40,2,0,0.00026137518312914216,0
race,African-American,40,3,0,5.5182025992464225e-05,0
race,African-American,40,4,0,0.0011103176197040945,0
race,African-American,40,2,1,1.6318830245947626e-06,0
race,African-American,40,4,1,0.003470509544681769,0
race,African-American,53,1,0,1.3254803329662549e-05,0
race,African-American,53,2,0,1.2954371897446937e-05,0
race,African-American,53,3,0,0.00014950930673450003,0
race,African-American,53,4,0,0.00017147472898854186,0
race,African-American,53,3,1,0.00013402153639997702,0
race,African-American,53,4,1,0.002612321424272499,0
race,African-American,50,1,0,5.1419040687787554e-05,0
race,African-American,50,2,0,8.692928637072885e-05,0
race,African-American,50,3,0,5.4956012518349096e-05,0
race,African-American,50,4,0,0.0007248638734211704,0
race,African-American,35,1,0,2.6951328199118998e-05,0
race,African-American,35,2,0,4.864655444412e-05,0
race,African-American,35,3,0,9.48188712269849e-05,0
race,African-American,35,4,0,0.0006172035825014404,0
race,African-American,35,3,1,2.693616790549097e-05,0
race,African-American,35,4,1,0.005774595408683866,0
race,African-American,49,1,0,1.666089116540901e-05,0
race,African-American,49,2,0,2.9328567202003116e-05,0
race,African-American,49,3,0,5.231315632918936e-06,0
race,African-American,49,4,0,0.0006974136479930606,0
race,African-American,24,1,0,1.9168321099248678e-05,0
race,African-American,24,2,0,2.7350278135725274e-05,0
race,African-American,24,3,0,0.0001784320577858212,0
race,African-American,24,4,0,0.0009589814164311097,0
race,African-American,24,4,1,0.0082528833016973,0
race,African-American,21,1,0,2.021566265208104e-05,0
race,African-American,21,2,0,8.829658304622168e-05,0
race,African-American,21,3,0,4.787115861466826e-05,0
race,African-American,21,4,0,0.0017284847493973163,0
race,African-American,21,4,1,0.010256329420082097,0
race,African-American,36,1,0,0.00010502909096028579,0
race,African-American,36,2,0,1.6458333547691404e-05,0
race,African-American,36,3,0,0.00013830322210714018,0
race,African-American,36,4,0,0.001996511209607584,0
race,African-American,42,1,0,5.280496849828392e-05,0
race,African-American,42,2,0,2.8669890028058702e-05,0
race,African-American,42,3,0,0.00015298489268127487,0
race,African-American,42,4,0,0.00034586887225704344,0
race,African-American,42,2,1,2.3283910763854484e-05,0
race,African-American,42,4,1,0.00023100994252343477,0
race,African-American,20,1,0,9.652555374792597e-06,0
race,African-American,20,2,0,8.974760468727575e-05,0
race,African-American,20,3,0,0.00010560390190031993,0
