Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.6924171511018102,0
race,African-American,46,2,0,0.8077849101572004,0
race,African-American,46,3,0,0.7868539643428932,0
race,African-American,46,4,0,0.8426735238501373,0
race,African-American,46,1,1,0.8177918053371476,0
race,African-American,46,3,1,0.7950349605052387,0
race,African-American,46,4,1,0.9886318248387425,0
race,African-American,30,1,0,0.6785825003636218,0
race,African-American,30,2,0,0.74017076696539,0
race,African-American,30,3,0,0.7907145795350908,0
race,African-American,30,4,0,0.8645918763508353,0
race,African-American,30,1,1,0.7742487882235918,0
race,African-American,30,3,1,0.8637686841015532,0
race,African-American,30,4,1,0.9920735244968524,0
race,African-American,29,1,0,0.7053899307420437,0
race,African-American,29,2,0,0.7631419807774292,0
race,African-American,29,3,0,0.7770633096599381,0
race,African-American,29,4,0,0.8302620098805585,0
race,African-American,29,3,1,0.9854260890985269,0
race,African-American,29,4,1,0.9925550209367504,0
race,African-American,22,1,0,0.6776027878090208,0
race,African-American,22,2,0,0.7511965597946607,0
race,African-American,22,3,0,0.7423959653307652,0
race,African-American,22,4,0,0.848072755512703,0
race,African-American,22,1,1,0.797307568027841,0
race,African-American,22,3,1,0.9803641030112358,0
race,African-American,22,4,1,0.9539685782808909,0
race,African-American,34,1,0,0.6600120524651546,0
race,African-American,34,2,0,0.7271771531902949,0
race,African-American,34,3,0,0.7776536141800382,0
race,African-American,34,4,0,0.8562390347372091,0
race,African-American,34,1,1,0.9743388968283497,0
race,African-American,34,3,1,0.7231665779974001,0
race,African-American,34,4,1,0.9863922506496007,0
race,African-American,37,1,0,0.7097320825817304,0
race,African-American,37,2,0,0.7133699073325858,0
race,African-American,37,3,0,0.758012450228236,0
race,African-American,37,4,0,0.8092108158992144,0
race,African-American,53,1,0,0.6544558124078477,0
race,African-American,53,2,0,0.7461402737208888,0
race,African-American,53,3,0,0.8081707607717858,0
race,African-American,53,4,0,0.8438195410119875,0
race,African-American,53,4,1,0.9925169154957492,0
race,African-American,23,1,0,0.7125111129479015,0
race,African-American,23,2,0,0.7459636335329131,0
race,African-American,23,3,0,0.7302195859697732,0
race,African-American,23,4,0,0.8396336202132909,0
race,African-American,23,2,1,0.9464508766145336,0
race,African-American,23,3,1,0.9732928726529427,0
race,African-American,23,4,1,0.9055084580333304,0
race,African-American,24,1,0,0.6888325823240103,0
race,African-American,24,2,0,0.7580250556868082,0
race,African-American,24,3,0,0.7273863973421756,0
race,African-American,24,4,0,0.8594329885557332,0
race,African-American,24,1,1,0.9453587488737181,0
race,African-American,24,2,1,0.8876695512604049,0
race,African-American,24,4,1,0.9743729880520404,0
race,African-American,26,1,0,0.6620607851659193,0
race,African-American,26,2,0,0.7582389650426004,0
race,African-American,26,3,0,0.7126748754593246,0
race,African-American,26,4,0,0.8377427018930966,0
race,African-American,26,1,1,0.9729187957598845,0
race,African-American,26,2,1,0.774087122826685,0
race,African-American,26,3,1,0.9790060897881325,0
race,African-American,26,4,1,0.9864407596376559,0
race,African-American,35,1,0,0.6755589407226628,0
race,African-American,35,2,0,0.7468672212548262,0
race,African-American,35,3,0,0.7217852445756725,0
race,African-American,35,4,0,0.854652587674215,0
race,African-American,35,1,1,0.9571277250324688,0
race,African-American,35,4,1,0.9908025330830035,0
race,African-American,38,1,0,0.6473013575427928,0
race,African-American,38,2,0,0.7538243296521311,0
race,African-American,38,3,0,0.7898845317941939,0
race,African-American,38,4,0,0.8039346941870834,0
race,African-American,38,1,1,0.9540213975975314,0
race,African-American,38,4,1,0.989667662933278,0
race,African-American,25,1,0,0.6800379368757066,0
race,African-American,25,2,0,0.6656357916187787,0
race,African-American,25,3,0,0.7583025367330098,0
race,African-American,25,4,0,0.838159968505685,0
race,African-American,25,1,1,0.9524731369456141,0
race,African-American,25,2,1,0.9713660059070074,0
race,African-American,25,3,1,0.9769349881697686,0
race,African-American,25,4,1,0.9804359614550808,0
race,African-American,32,1,0,0.6572216300093506,0
race,African-American,32,2,0,0.6629226618846406,0
race,African-American,32,3,0,0.7205651474319806,0
race,African-American,32,4,0,0.8423214288852725,0
race,African-American,32,1,1,0.9554574358271299,0
race,African-American,32,2,1,0.9751058217724337,0
race,African-American,32,3,1,0.8706156485086414,0
race,African-American,32,4,1,0.9819058338152413,0
race,African-American,42,1,0,0.657944966751611,0
race,African-American,42,2,0,0.742723274549057,0
race,African-American,42,3,0,0.7934507201102293,0
race,African-American,42,4,0,0.8425556689367351,0
race,African-American,41,1,0,0.6725551799728597,0
race,African-American,41,2,0,0.7539927719718065,0
race,African-American,41,3,0,0.7355002380742777,0
race,African-American,41,4,0,0.7937947951050084,0
race,African-American,41,4,1,0.9831060567679115,0
race,African-American,33,1,0,0.6563938104327354,0
race,African-American,33,2,0,0.745654470144756,0
race,African-American,33,3,0,0.7303814049815022,0
race,African-American,33,4,0,0.820369280049188,0
race,African-American,33,1,1,0.9740196824492098,0
race,African-American,33,2,1,0.9686972008665798,0
race,African-American,33,3,1,0.9379909375576299,0
race,African-American,33,4,1,0.9552216627746225,0
race,African-American,31,1,0,0.6606207044842429,0
race,African-American,31,2,0,0.722252841067351,0
race,African-American,31,3,0,0.7174357333663943,0
race,African-American,31,4,0,0.8622397042686059,0
race,African-American,31,1,1,0.9465377210331538,0
race,African-American,31,2,1,0.9856686344160084,0
race,African-American,31,4,1,0.9566409873743562,0
race,African-American,50,1,0,0.6433339860518507,0
race,African-American,50,2,0,0.7526632338053529,0
race,African-American,50,3,0,0.7845707526096893,0
race,African-American,50,4,0,0.8662811894234992,0
race,African-American,50,1,1,0.955549363402971,0
race,African-American,28,1,0,0.6772155507559999,0
race,African-American,28,2,0,0.757813141157943,0
race,African-American,28,3,0,0.7850510417457301,0
race,African-American,28,4,0,0.8581264719330124,0
race,African-American,28,1,1,0.6632079348067021,0
race,African-American,28,2,1,0.9681364164538575,0
race,African-American,28,3,1,0.9831604291799539,0
race,African-American,28,4,1,0.9912498316747689,0
race,African-American,52,1,0,0.6795975700822474,0
race,African-American,52,2,0,0.7865361708784413,0
race,African-American,52,3,0,0.8289600936268824,0
race,African-American,52,4,0,0.7970194189589166,0
race,African-American,52,2,1,0.946246701774757,0
race,African-American,51,1,0,0.6437113164948555,0
race,African-American,51,2,0,0.783912835200101,0
race,African-American,51,3,0,0.6889027533681317,0
race,African-American,51,4,0,0.7737476388322178,0
race,African-American,51,3,1,0.9824914679865544,0
race,African-American,51,4,1,0.9114897855304089,0
race,African-American,40,1,0,0.6458920175702079,0
race,African-American,40,2,0,0.6754607077539482,0
race,African-American,40,3,0,0.7677216376233988,0
race,African-American,40,4,0,0.8413112646260222,0
race,African-American,40,4,1,0.9861963598269005,0
race,African-American,60,1,0,0.6584682863520234,0
race,African-American,60,2,0,0.8008123805372528,0
race,African-American,60,4,0,0.8365450269637792,0
race,African-American,60,2,1,0.9538205486508234,0
race,African-American,60,3,1,0.9804289221118915,0
race,African-American,39,1,0,0.6488023252007731,0
race,African-American,39,2,0,0.7120029699259369,0
race,African-American,39,3,0,0.757876249642959,0
race,African-American,39,4,0,0.8402051810512179,0
race,African-American,39,2,1,0.8685838016011207,0
race,African-American,47,1,0,0.6864095161897169,0
race,African-American,47,2,0,0.7566884762781105,0
race,African-American,47,3,0,0.7153446221713718,0
race,African-American,47,4,0,0.8313464577267601,0
race,African-American,47,4,1,0.9898880046292731,0
race,African-American,36,1,0,0.6616446409904404,0
race,African-American,36,2,0,0.7579093174430436,0
race,African-American,36,3,0,0.7966370531767784,0
race,African-American,36,4,0,0.8247523281465974,0
race,African-American,36,1,1,0.4754418248028817,0
race,African-American,36,2,1,0.7664694332432436,0
race,African-American,36,3,1,0.98970316301588,0
race,African-American,36,4,1,0.9833052327389669,0
race,African-American,44,1,0,0.653467364245046,0
race,African-American,44,2,0,0.7537363037252116,0
race,African-American,44,3,0,0.7544164199452525,0
race,African-American,44,4,0,0.8466688365273017,0
race,African-American,44,1,1,0.6419169266381467,0
race,African-American,44,4,1,0.9839186515840749,0
race,African-American,48,1,0,0.6750671353096567,0
race,African-American,48,2,0,0.7355225661614074,0
race,African-American,48,3,0,0.7525099125946996,0
race,African-American,48,4,0,0.8318906178565089,0
race,African-American,48,1,1,0.946246701774757,0
race,African-American,48,2,1,0.9694101378349088,0
race,African-American,48,4,1,0.9873229457835259,0
race,African-American,49,1,0,0.6171576438536436,0
race,African-American,49,2,0,0.7652337946321175,0
race,African-American,49,3,0,0.8034014195365113,0
race,African-American,49,4,0,0.8586665559687141,0
race,African-American,49,1,1,0.9790118960626646,0
race,African-American,49,4,1,0.9915680939456251,0
race,African-American,63,1,0,0.5926611832915609,0
race,African-American,63,2,0,0.7510684168353703,0
race,African-American,63,4,0,0.8418267863777097,0
race,African-American,27,2,1,0.9772735499006987,0
race,African-American,27,3,1,0.9435783981694241,0
