Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,4.5,0
race,African-American,46,2,1,5.5,0
race,African-American,46,4,1,5.4,0
race,African-American,46,1,0,3.28,0
race,African-American,46,2,0,3.6666666666666665,0
race,African-American,46,3,0,4.0,0
race,African-American,46,4,0,4.428571428571429,0
race,African-American,30,1,0,3.0,0
race,African-American,30,2,0,2.9565217391304346,0
race,African-American,30,3,0,3.8518518518518516,0
race,African-American,30,4,0,4.053571428571429,0
race,African-American,30,1,1,3.5,0
race,African-American,30,2,1,5.333333333333333,0
race,African-American,30,3,1,4.5,0
race,African-American,30,4,1,4.8,0
race,African-American,29,1,0,2.8028169014084505,0
race,African-American,29,2,0,3.212121212121212,0
race,African-American,29,3,0,3.9130434782608696,0
race,African-American,29,4,0,3.7857142857142856,0
race,African-American,29,1,1,3.0,0
race,African-American,29,2,1,4.25,0
race,African-American,29,3,1,5.0,0
race,African-American,29,4,1,4.1,0
race,African-American,22,1,0,2.5757575757575757,0
race,African-American,22,2,0,2.9814814814814814,0
race,African-American,22,3,0,2.8846153846153846,0
race,African-American,22,4,0,3.8933333333333335,0
race,African-American,22,1,1,2.7777777777777777,0
race,African-American,22,2,1,2.5,0
race,African-American,22,3,1,4.5,0
race,African-American,22,4,1,4.181818181818182,0
race,African-American,34,1,0,3.0,0
race,African-American,34,2,0,3.3,0
race,African-American,34,3,0,4.068965517241379,0
race,African-American,34,4,0,4.298245614035087,0
race,African-American,34,1,1,5.0,0
race,African-American,34,2,1,4.2,0
race,African-American,34,3,1,3.0,0
race,African-American,34,4,1,4.928571428571429,0
race,African-American,37,1,0,3.3783783783783785,0
race,African-American,37,2,0,3.2333333333333334,0
race,African-American,37,3,0,3.4545454545454546,0
race,African-American,37,4,0,4.25,0
race,African-American,37,1,1,5.0,0
race,African-American,37,3,1,5.0,0
race,African-American,37,4,1,5.25,0
race,African-American,53,1,0,3.142857142857143,0
race,African-American,53,2,0,4.0,0
race,African-American,53,3,0,4.0,0
race,African-American,53,4,0,4.55,0
race,African-American,53,1,1,4.0,0
race,African-American,53,2,1,4.0,0
race,African-American,53,4,1,6.0,0
race,African-American,23,1,0,2.5157894736842104,0
race,African-American,23,2,0,2.92,0
race,African-American,23,3,0,2.9375,0
race,African-American,23,4,0,3.36144578313253,0
race,African-American,23,1,1,3.1,0
race,African-American,23,2,1,3.1666666666666665,0
race,African-American,23,3,1,3.0,0
race,African-American,23,4,1,4.25,0
race,African-American,24,1,1,3.1666666666666665,0
race,African-American,24,2,1,3.6,0
race,African-American,24,3,1,3.0,0
race,African-American,24,4,1,4.8125,0
race,African-American,24,1,0,2.507042253521127,0
race,African-American,24,2,0,3.056603773584906,0
race,African-American,24,3,0,2.6923076923076925,0
race,African-American,24,4,0,3.712328767123288,0
race,African-American,26,1,0,2.6375,0
race,African-American,26,2,0,3.27027027027027,0
race,African-American,26,3,0,3.2580645161290325,0
race,African-American,26,4,0,3.9767441860465116,0
race,African-American,26,1,1,3.0,0
race,African-American,26,2,1,3.0,0
race,African-American,26,3,1,2.0,0
race,African-American,26,4,1,4.235294117647059,0
race,African-American,35,1,0,3.111111111111111,0
race,African-American,35,2,0,3.2962962962962963,0
race,African-American,35,3,0,3.3684210526315788,0
race,African-American,35,4,0,4.377358490566038,0
race,African-American,35,1,1,3.0,0
race,African-American,35,2,1,3.3333333333333335,0
race,African-American,35,3,1,6.0,0
race,African-American,35,4,1,4.6923076923076925,0
race,African-American,38,1,0,3.057142857142857,0
race,African-American,38,2,0,3.259259259259259,0
race,African-American,38,3,0,4.133333333333334,0
race,African-American,38,4,0,4.185185185185185,0
race,African-American,38,1,1,3.3333333333333335,0
race,African-American,38,2,1,3.5,0
race,African-American,38,4,1,4.875,0
race,African-American,25,1,1,3.0,0
race,African-American,25,2,1,3.5,0
race,African-American,25,3,1,3.6666666666666665,0
race,African-American,25,4,1,3.909090909090909,0
race,African-American,25,1,0,2.7222222222222223,0
race,African-American,25,2,0,2.806451612903226,0
race,African-American,25,3,0,3.4,0
race,African-American,25,4,0,3.7037037037037037,0
race,African-American,32,1,0,3.0681818181818183,0
race,African-American,32,2,0,3.142857142857143,0
race,African-American,32,3,0,3.75,0
race,African-American,32,4,0,3.890625,0
race,African-American,32,2,1,3.3333333333333335,0
race,African-American,32,3,1,6.0,0
race,African-American,32,4,1,4.5,0
race,African-American,42,1,0,3.259259259259259,0
race,African-American,42,2,0,3.4,0
race,African-American,42,3,0,4.25,0
race,African-American,42,4,0,4.447368421052632,0
race,African-American,42,1,1,4.0,0
race,African-American,42,2,1,3.0,0
race,African-American,42,4,1,6.0,0
race,African-American,41,1,0,3.2413793103448274,0
race,African-American,41,2,0,3.6,0
race,African-American,41,3,0,3.6153846153846154,0
race,African-American,41,4,0,3.935483870967742,0
race,African-American,41,1,1,4.0,0
race,African-American,41,2,1,5.0,0
race,African-American,41,3,1,5.0,0
race,African-American,41,4,1,4.875,0
race,African-American,33,1,0,2.988235294117647,0
race,African-American,33,2,0,3.3448275862068964,0
race,African-American,33,3,0,3.36,0
race,African-American,33,4,0,4.4035087719298245,0
race,African-American,33,1,1,4.0,0
race,African-American,33,2,1,4.0,0
race,African-American,33,3,1,4.0,0
race,African-American,33,4,1,5.0,0
race,African-American,31,1,0,2.8933333333333335,0
race,African-American,31,2,0,3.4166666666666665,0
race,African-American,31,3,0,3.5,0
race,African-American,31,4,0,4.362068965517241,0
race,African-American,31,2,1,4.333333333333333,0
race,African-American,31,3,1,3.0,0
race,African-American,31,4,1,5.533333333333333,0
race,African-American,50,1,0,2.6666666666666665,0
race,African-American,50,2,0,2.9375,0
race,African-American,50,3,0,3.25,0
race,African-American,50,4,0,4.428571428571429,0
race,African-American,50,1,1,2.5,0
race,African-American,50,2,1,3.5,0
race,African-American,50,4,1,5.25,0
race,African-American,28,1,0,2.7966101694915255,0
race,African-American,28,2,0,2.7777777777777777,0
race,African-American,28,3,0,3.56,0
race,African-American,28,4,0,3.9245283018867925,0
race,African-American,28,1,1,3.25,0
race,African-American,28,2,1,4.75,0
race,African-American,28,3,1,4.166666666666667,0
race,African-American,28,4,1,4.9411764705882355,0
race,African-American,52,1,0,3.5172413793103448,0
race,African-American,52,2,0,3.3333333333333335,0
race,African-American,52,3,0,3.875,0
race,African-American,52,4,0,4.315789473684211,0
race,African-American,52,3,1,4.0,0
race,African-American,52,4,1,4.666666666666667,0
race,African-American,51,1,0,3.4,0
race,African-American,51,2,0,4.25,0
race,African-American,51,3,0,3.6,0
race,African-American,51,4,0,4.08,0
race,African-American,51,1,1,4.0,0
race,African-American,51,2,1,2.5,0
race,African-American,51,4,1,5.0,0
race,African-American,40,1,0,3.2857142857142856,0
race,African-American,40,2,0,3.3076923076923075,0
race,African-American,40,3,0,4.411764705882353,0
race,African-American,40,4,0,4.0212765957446805,0
race,African-American,40,1,1,2.0,0
race,African-American,40,2,1,4.0,0
race,African-American,40,3,1,5.0,0
race,African-American,40,4,1,5.666666666666667,0
race,African-American,60,1,0,4.25,0
race,African-American,60,2,0,2.8,0
race,African-American,60,3,0,4.0,0
race,African-American,60,4,0,4.25,0
race,African-American,39,1,0,3.282051282051282,0
race,African-American,39,2,0,3.4827586206896552,0
race,African-American,39,3,0,3.6666666666666665,0
race,African-American,39,4,0,4.464285714285714,0
race,African-American,39,1,1,3.0,0
race,African-American,39,2,1,4.5,0
race,African-American,39,3,1,1.0,0
race,African-American,39,4,1,4.333333333333333,0
race,African-American,47,1,0,2.6666666666666665,0
race,African-American,47,2,0,3.4615384615384617,0
race,African-American,47,3,0,3.727272727272727,0
race,African-American,47,4,0,4.428571428571429,0
race,African-American,47,1,1,4.0,0
race,African-American,47,2,1,5.0,0
race,African-American,47,3,1,3.0,0
race,African-American,47,4,1,4.25,0
race,African-American,36,1,0,3.35,0
race,African-American,36,2,0,3.1666666666666665,0
race,African-American,36,3,0,3.8,0
race,African-American,36,4,0,4.018867924528302,0
race,African-American,36,1,1,6.0,0
race,African-American,36,2,1,5.0,0
race,African-American,36,4,1,4.7272727272727275,0
race,African-American,44,1,0,3.0357142857142856,0
race,African-American,44,2,0,4.0,0
race,African-American,44,3,0,3.5,0
race,African-American,44,4,0,4.25,0
race,African-American,44,1,1,5.0,0
race,African-American,44,2,1,4.0,0
race,African-American,44,4,1,4.5,0
race,African-American,48,1,1,5.0,0
race,African-American,48,2,1,5.5,0
race,African-American,48,4,1,4.666666666666667,0
race,African-American,48,1,0,3.4,0
race,African-American,48,2,0,3.526315789473684,0
race,African-American,48,3,0,3.6666666666666665,0
race,African-American,48,4,0,4.6923076923076925,0
