Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.04701582404842094,0
race,Caucasian,26,2,0,0.06560588525057996,0
race,Caucasian,26,3,0,0.08729081040985098,0
race,Caucasian,26,4,0,0.14892004420324828,0
race,Caucasian,26,1,1,0.08030930598078881,0
race,Caucasian,26,2,1,0.10737005961403923,0
race,Caucasian,26,3,1,0.11982629221893491,0
race,Caucasian,26,4,1,0.21200962274656543,0
race,Caucasian,29,1,0,0.04870429862405703,0
race,Caucasian,29,2,0,0.07119929646017333,0
race,Caucasian,29,3,0,0.08482158409162946,0
race,Caucasian,29,4,0,0.14687689365137951,0
race,Caucasian,29,1,1,0.07189533329133348,0
race,Caucasian,29,2,1,0.10182756518668011,0
race,Caucasian,29,3,1,0.1234702266125219,0
race,Caucasian,29,4,1,0.21426185332106393,0
race,Caucasian,28,1,0,0.046135464417996104,0
race,Caucasian,28,2,0,0.06899673538801392,0
race,Caucasian,28,3,0,0.08181271624105878,0
race,Caucasian,28,4,0,0.141890845499617,0
race,Caucasian,28,1,1,0.08090630708367945,0
race,Caucasian,28,2,1,0.09357637502476004,0
race,Caucasian,28,3,1,0.1327702867101474,0
race,Caucasian,28,4,1,0.2237668783419033,0
race,Caucasian,41,1,0,0.03940408219521174,0
race,Caucasian,41,2,0,0.05858951893569306,0
race,Caucasian,41,3,0,0.07223814190606721,0
race,Caucasian,41,4,0,0.13135025849806214,0
race,Caucasian,41,1,1,0.08028900421863194,0
race,Caucasian,41,2,1,0.11259268672480496,0
race,Caucasian,41,3,1,0.1505938447475707,0
race,Caucasian,41,4,1,0.1768923549735175,0
race,Caucasian,39,1,0,0.04767621936320703,0
race,Caucasian,39,2,0,0.0642141781226366,0
race,Caucasian,39,3,0,0.07678277954988025,0
race,Caucasian,39,4,0,0.1497643051773683,0
race,Caucasian,39,1,1,0.07123345463680072,0
race,Caucasian,39,2,1,0.09849531780367944,0
race,Caucasian,39,3,1,0.09302429717217581,0
race,Caucasian,39,4,1,0.19109660698008887,0
race,Caucasian,30,1,0,0.04721588032236373,0
race,Caucasian,30,2,0,0.06635128210323268,0
race,Caucasian,30,3,0,0.07946545845000808,0
race,Caucasian,30,4,0,0.14258686071456167,0
race,Caucasian,30,1,1,0.07327369870781006,0
race,Caucasian,30,2,1,0.08149338571089006,0
race,Caucasian,30,3,1,0.09791595729247193,0
race,Caucasian,30,4,1,0.23394319997875068,0
race,Caucasian,48,1,0,0.040476402970379785,0
race,Caucasian,48,2,0,0.06679618767700923,0
race,Caucasian,48,3,0,0.07859450988739056,0
race,Caucasian,48,4,0,0.12526642165927013,0
race,Caucasian,48,1,1,0.049179627614325476,0
race,Caucasian,48,2,1,0.09323323303513315,0
race,Caucasian,48,3,1,0.10244466225163563,0
race,Caucasian,48,4,1,0.20172814032551994,0
race,Caucasian,53,1,0,0.04704652574158164,0
race,Caucasian,53,2,0,0.06653243210067325,0
race,Caucasian,53,3,0,0.06603337968902435,0
race,Caucasian,53,4,0,0.10514746408313067,0
race,Caucasian,53,1,1,0.048239203447947875,0
race,Caucasian,53,2,1,0.08515717631952288,0
race,Caucasian,53,3,1,0.02494460724751626,0
race,Caucasian,53,4,1,0.15383163254272428,0
race,Caucasian,25,1,0,0.042661257043463796,0
race,Caucasian,25,2,0,0.06529569867152427,0
race,Caucasian,25,3,0,0.07790752236417657,0
race,Caucasian,25,4,0,0.1419101751458519,0
race,Caucasian,25,1,1,0.07218215365646566,0
race,Caucasian,25,2,1,0.06888709250882707,0
race,Caucasian,25,3,1,0.11745105715498344,0
race,Caucasian,25,4,1,0.2203631407493546,0
race,Caucasian,34,1,1,0.08559800005753201,0
race,Caucasian,34,2,1,0.10078323254944184,0
race,Caucasian,34,3,1,0.08794169642810767,0
race,Caucasian,34,4,1,0.20143742035886872,0
race,Caucasian,34,1,0,0.04927406841743965,0
race,Caucasian,34,2,0,0.060900352789283886,0
race,Caucasian,34,3,0,0.08064818423267907,0
race,Caucasian,34,4,0,0.14632202989391985,0
race,Caucasian,38,1,0,0.04865291381752451,0
race,Caucasian,38,2,0,0.06471617048215025,0
race,Caucasian,38,3,0,0.09514252714169899,0
race,Caucasian,38,4,0,0.14614723994475248,0
race,Caucasian,38,1,1,0.11173378607988294,0
race,Caucasian,38,2,1,0.10481695186704962,0
race,Caucasian,38,3,1,0.060462833586416846,0
race,Caucasian,38,4,1,0.20460741944247324,0
race,Caucasian,49,1,1,0.0763028569195105,0
race,Caucasian,49,2,1,0.08283283790492049,0
