Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,0.002135728694964421,0
race,African-American,27,2,0,0.004773892319887033,0
race,African-American,27,3,0,0.007749225280766371,0
race,African-American,27,4,0,0.05863535976919927,0
race,African-American,27,1,1,0.003911682883611714,0
race,African-American,27,2,1,0.011872446975536377,0
race,African-American,27,3,1,0.011233682152082298,0
race,African-American,27,4,1,0.07948915890613467,0
race,African-American,37,1,0,0.0031486358949430896,0
race,African-American,37,2,0,0.006575806699989385,0
race,African-American,37,3,0,0.00962263348850212,0
race,African-American,37,4,0,0.039900961561634474,0
race,African-American,37,1,1,0.0017353185195072382,0
race,African-American,37,2,1,0.0034879474661203102,0
race,African-American,37,3,1,0.002246241834386258,0
race,African-American,37,4,1,0.058418896070871244,0
race,African-American,31,1,0,0.0026594839087790115,0
race,African-American,31,2,0,0.005396351530691192,0
race,African-American,31,3,0,0.008155045204273471,0
race,African-American,31,4,0,0.055566678509782884,0
race,African-American,31,1,1,0.0027314330117187272,0
race,African-American,31,2,1,0.0013393105450264665,0
race,African-American,31,3,1,0.01867743831606166,0
race,African-American,31,4,1,0.13056975248489822,0
race,African-American,56,1,0,0.0018873692396459342,0
race,African-American,56,2,0,0.0031401481822590374,0
race,African-American,56,3,0,0.0032942204535715,0
race,African-American,56,4,0,0.01349572175631017,0
race,African-American,56,1,1,0.006582455888380008,0
race,African-American,56,4,1,0.15421976710613267,0
race,African-American,28,1,0,0.0034142683512100097,0
race,African-American,28,2,0,0.006945073582550236,0
race,African-American,28,3,0,0.012142354669679658,0
race,African-American,28,4,0,0.037660220253628154,0
race,African-American,28,1,1,0.0034607543719031306,0
race,African-American,28,2,1,0.021552008666611878,0
race,African-American,28,3,1,0.05587212144635222,0
race,African-American,28,4,1,0.09597357390105936,0
race,African-American,25,1,0,0.0026116777691096303,0
race,African-American,25,2,0,0.004217418395161462,0
race,African-American,25,3,0,0.012960939846904818,0
race,African-American,25,4,0,0.0458512238282221,0
race,African-American,25,2,1,0.017224498929416965,0
race,African-American,25,3,1,0.025659145121510032,0
race,African-American,25,4,1,0.06055430028740443,0
race,African-American,41,1,1,0.0021565057044166183,0
race,African-American,41,2,1,0.0038765568022918417,0
race,African-American,41,4,1,0.04073260390373369,0
race,African-American,41,1,0,0.0035658883355365128,0
race,African-American,41,2,0,0.005812168154089221,0
race,African-American,41,3,0,0.007007467716938024,0
race,African-American,41,4,0,0.03757848920930342,0
race,African-American,32,1,0,0.0028213228346362805,0
race,African-American,32,2,0,0.0076302276176699515,0
race,African-American,32,3,0,0.022622210752608316,0
race,African-American,32,4,0,0.04125708295767579,0
race,African-American,32,1,1,0.0018198099117308704,0
race,African-American,32,3,1,0.003500872074405716,0
race,African-American,32,4,1,0.15491866998858203,0
race,African-American,26,1,0,0.002562717439806081,0
race,African-American,26,2,0,0.0061251823980808225,0
race,African-American,26,3,0,0.009140989279571085,0
race,African-American,26,4,0,0.04518295948090586,0
race,African-American,26,1,1,0.0021881272208976346,0
race,African-American,26,2,1,0.009889433723512621,0
race,African-American,26,3,1,0.024074007300406913,0
race,African-American,26,4,1,0.07654458565898548,0
race,African-American,33,1,0,0.0029156682483484787,0
race,African-American,33,2,0,0.007083165111415931,0
race,African-American,33,3,0,0.013785866595971818,0
race,African-American,33,4,0,0.05067464146521644,0
race,African-American,33,1,1,0.005854539370758491,0
race,African-American,33,2,1,0.026218378755070836,0
race,African-American,33,3,1,0.017116911913875908,0
race,African-American,33,4,1,0.11501231140829125,0
race,African-American,52,1,0,0.0017925467990565337,0
race,African-American,52,2,0,0.00463638880116551,0
race,African-American,52,3,0,0.010020405870976318,0
race,African-American,52,4,0,0.02702232888778044,0
race,African-American,52,2,1,0.0041189711319892745,0
race,African-American,52,4,1,0.008387794463797735,0
race,African-American,46,1,0,0.0021017802540838713,0
race,African-American,46,2,0,0.0023751201057537656,0
race,African-American,46,3,0,0.006857313743245702,0
race,African-American,46,4,0,0.021969035860187787,0
race,African-American,46,1,1,0.0026997126177188344,0
race,African-American,46,2,1,0.023220975332780155,0
race,African-American,46,3,1,0.10141455298483024,0
race,African-American,46,4,1,0.12325494610606169,0
race,African-American,44,1,1,0.00312920410813291,0
race,African-American,44,2,1,0.0062477118619605875,0
race,African-American,44,4,1,0.13710346032030837,0
race,African-American,44,1,0,0.002260664390298588,0
race,African-American,44,2,0,0.00602758661465836,0
race,African-American,44,3,0,0.0060128888741853926,0
race,African-American,44,4,0,0.02646996472394413,0
race,African-American,43,1,0,0.0028160591893637683,0
