Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.02914046794015366,0
race,Caucasian,26,2,0,0.04497079370683493,0
race,Caucasian,26,3,0,0.061647487952740374,0
race,Caucasian,26,4,0,0.132247772329694,0
race,Caucasian,26,1,1,0.03270604156982917,0
race,Caucasian,26,2,1,0.08088039425429615,0
race,Caucasian,26,3,1,0.1024325143042499,0
race,Caucasian,26,4,1,0.1802824386323911,0
race,Caucasian,30,1,0,0.028869358046854848,0
race,Caucasian,30,2,0,0.052068193147538785,0
race,Caucasian,30,3,0,0.07792820445514911,0
race,Caucasian,30,4,0,0.13033082154947886,0
race,Caucasian,30,1,1,0.03737234068681135,0
race,Caucasian,30,2,1,0.06472167097600456,0
race,Caucasian,30,3,1,0.061648765914176035,0
race,Caucasian,30,4,1,0.19092202223328175,0
race,Caucasian,47,1,0,0.030955382127527777,0
race,Caucasian,47,2,0,0.04877461041233339,0
race,Caucasian,47,3,0,0.053563753533733674,0
race,Caucasian,47,4,0,0.11179047713851842,0
race,Caucasian,47,1,1,0.03270604156982917,0
race,Caucasian,47,2,1,0.11031813114787015,0
race,Caucasian,47,3,1,0.068080482435142,0
race,Caucasian,47,4,1,0.15266366515747223,0
race,Caucasian,35,1,0,0.027618711875711965,0
race,Caucasian,35,2,0,0.04883441933201631,0
race,Caucasian,35,3,0,0.07002019978821072,0
race,Caucasian,35,4,0,0.13202234591442277,0
race,Caucasian,35,1,1,0.03692340457233025,0
race,Caucasian,35,2,1,0.07922608435736725,0
race,Caucasian,35,3,1,0.115670622965933,0
race,Caucasian,35,4,1,0.1643947821779128,0
race,Caucasian,32,1,0,0.027555258762782222,0
race,Caucasian,32,2,0,0.04601582323870941,0
race,Caucasian,32,3,0,0.0668479764463416,0
race,Caucasian,32,4,0,0.12687694334717603,0
race,Caucasian,32,1,1,0.02902608366789477,0
race,Caucasian,32,2,1,0.0905414263495587,0
race,Caucasian,32,3,1,0.12427713790590118,0
race,Caucasian,32,4,1,0.17615458635494022,0
race,Caucasian,39,1,0,0.03041629857872393,0
race,Caucasian,39,2,0,0.046837653416302145,0
race,Caucasian,39,3,0,0.06190884408699633,0
race,Caucasian,39,4,0,0.12742892829862126,0
race,Caucasian,39,1,1,0.03650985605228338,0
race,Caucasian,39,2,1,0.0898043385224798,0
race,Caucasian,39,3,1,0.06010525478574748,0
race,Caucasian,39,4,1,0.16209694077978376,0
race,Caucasian,24,1,0,0.030276707608014146,0
race,Caucasian,24,2,0,0.048951447348746596,0
race,Caucasian,24,3,0,0.06561152327869975,0
race,Caucasian,24,4,0,0.11959185169607939,0
race,Caucasian,24,1,1,0.034546020520796375,0
race,Caucasian,24,2,1,0.057894299099160024,0
race,Caucasian,24,3,1,0.10416425919927785,0
race,Caucasian,24,4,1,0.1669325199975103,0
race,Caucasian,38,1,0,0.029605180850431304,0
race,Caucasian,38,2,0,0.048629454239365225,0
race,Caucasian,38,3,0,0.08229468896950597,0
race,Caucasian,38,4,0,0.13419385361192857,0
race,Caucasian,38,1,1,0.03855278291488144,0
race,Caucasian,38,2,1,0.08689229586341274,0
race,Caucasian,38,3,1,0.0975132485593583,0
race,Caucasian,38,4,1,0.17382793579620964,0
race,Caucasian,36,1,0,0.02913562525253084,0
race,Caucasian,36,2,0,0.052503132431825236,0
race,Caucasian,36,3,0,0.0842659650505893,0
race,Caucasian,36,4,0,0.12544412797020354,0
race,Caucasian,36,1,1,0.03761265210574171,0
race,Caucasian,36,2,1,0.07737547145095575,0
race,Caucasian,36,3,1,0.11724375066204454,0
race,Caucasian,36,4,1,0.1936953169254923,0
race,Caucasian,52,1,0,0.029466789317171442,0
race,Caucasian,52,2,0,0.049802661723552286,0
race,Caucasian,52,3,0,0.05159362325477294,0
race,Caucasian,52,4,0,0.11865901007221179,0
race,Caucasian,52,1,1,0.029762075248281644,0
race,Caucasian,52,2,1,0.09957867973207103,0
race,Caucasian,52,3,1,0.05639800428313563,0
race,Caucasian,52,4,1,0.17241559247776705,0
race,Caucasian,41,1,1,0.04006595737369798,0
race,Caucasian,41,2,1,0.06823866199113048,0
race,Caucasian,41,3,1,0.09527723907393397,0
race,Caucasian,41,4,1,0.16499440531884152,0
race,Caucasian,41,1,0,0.029200221360219696,0
race,Caucasian,41,2,0,0.051872286400339966,0
race,Caucasian,41,3,0,0.05930078403117622,0
race,Caucasian,41,4,0,0.12482610954044832,0
race,Caucasian,34,1,1,0.033480769549183775,0
race,Caucasian,34,2,1,0.07066230859233891,0
race,Caucasian,34,3,1,0.07744764131501004,0
race,Caucasian,34,4,1,0.18394985068071446,0
race,Caucasian,34,1,0,0.027601342765064592,0
race,Caucasian,34,2,0,0.04724012000947361,0
race,Caucasian,34,3,0,0.06570375753381648,0
race,Caucasian,34,4,0,0.1337293301484591,0
race,Caucasian,50,1,1,0.02452835734330827,0
race,Caucasian,50,2,1,0.07933467736398475,0
race,Caucasian,50,3,1,0.09527723907393397,0
race,Caucasian,50,4,1,0.1623877389351204,0
race,Caucasian,50,1,0,0.030511899146782595,0
race,Caucasian,50,2,0,0.05968461253516884,0
race,Caucasian,50,3,0,0.06954948465048896,0
race,Caucasian,50,4,0,0.1126092352546057,0
race,Caucasian,61,1,1,0.01798620996209156,0
race,Caucasian,61,3,1,0.08331439759984216,0
race,Caucasian,61,4,1,0.17612790948491863,0
race,Caucasian,61,1,0,0.0326780091206886,0
race,Caucasian,61,2,0,0.0435940728427876,0
race,Caucasian,61,3,0,0.07911021000298996,0
race,Caucasian,61,4,0,0.10828550635493422,0
race,Caucasian,33,1,0,0.02766615102227214,0
race,Caucasian,33,2,0,0.052443205451759824,0
race,Caucasian,33,3,0,0.06549367635033843,0
race,Caucasian,33,4,0,0.13133471363856936,0
race,Caucasian,33,1,1,0.030381857631765333,0
race,Caucasian,33,2,1,0.08305381907075558,0
race,Caucasian,33,3,1,0.10431954398426185,0
race,Caucasian,33,4,1,0.17667408698718914,0
race,Caucasian,46,1,0,0.028613210342311884,0
race,Caucasian,46,2,0,0.05001715500993228,0
race,Caucasian,46,3,0,0.06665201484800524,0
race,Caucasian,46,4,0,0.12452924398715642,0
race,Caucasian,46,1,1,0.03672054109921216,0
race,Caucasian,46,2,1,0.10441697552737389,0
race,Caucasian,46,3,1,0.09430852729877251,0
race,Caucasian,46,4,1,0.18944191324085158,0
race,Caucasian,43,1,0,0.028248496952962776,0
race,Caucasian,43,2,0,0.04884518590249436,0
race,Caucasian,43,3,0,0.06347896214385085,0
race,Caucasian,43,4,0,0.12935482071686918,0
race,Caucasian,43,1,1,0.03761265210574171,0
race,Caucasian,43,2,1,0.09140136214781741,0
race,Caucasian,43,3,1,0.06436082742919699,0
race,Caucasian,43,4,1,0.18587573112991068,0
race,Caucasian,49,1,1,0.03859397421292422,0
race,Caucasian,49,2,1,0.06644494558983784,0
race,Caucasian,49,3,1,0.12613460592038206,0
race,Caucasian,49,4,1,0.1943813917789951,0
race,Caucasian,49,1,0,0.030583926904235573,0
race,Caucasian,49,2,0,0.05317692212757004,0
race,Caucasian,49,3,0,0.057215841137793794,0
race,Caucasian,49,4,0,0.11748757496197333,0
race,Caucasian,27,1,1,0.027186104716927565,0
race,Caucasian,27,2,1,0.04043514448101341,0
race,Caucasian,27,3,1,0.12367458817306284,0
race,Caucasian,27,4,1,0.17443052898717107,0
race,Caucasian,27,1,0,0.0280987030908758,0
race,Caucasian,27,2,0,0.04623261838223393,0
race,Caucasian,27,3,0,0.07257650545004214,0
race,Caucasian,27,4,0,0.12669502134817312,0
race,Caucasian,58,1,0,0.033723651928091396,0
race,Caucasian,58,2,0,0.0582006313362318,0
race,Caucasian,58,3,0,0.048164247392197636,0
race,Caucasian,58,4,0,0.12770812625146316,0
race,Caucasian,58,1,1,0.05801021958483567,0
race,Caucasian,58,2,1,0.06859456599210455,0
race,Caucasian,58,3,1,0.2689414213699951,0
race,Caucasian,58,4,1,0.19407217169605634,0
race,Caucasian,44,1,0,0.032515839719361485,0
race,Caucasian,44,2,0,0.04299662960322427,0
race,Caucasian,44,3,0,0.06896993752045062,0
race,Caucasian,44,4,0,0.10892229408921225,0
race,Caucasian,44,1,1,0.04859839339698499,0
race,Caucasian,44,2,1,0.06088527793390096,0
race,Caucasian,44,3,1,0.07963443969790776,0
race,Caucasian,44,4,1,0.1791259659519978,0
race,Caucasian,31,1,0,0.02709926646023419,0
race,Caucasian,31,2,0,0.04819484704586501,0
race,Caucasian,31,3,0,0.06910405421026358,0
race,Caucasian,31,4,0,0.13716901587471253,0
race,Caucasian,31,1,1,0.031367875060034835,0
race,Caucasian,31,2,1,0.08876136790418443,0
race,Caucasian,31,3,1,0.11056362107654936,0
race,Caucasian,31,4,1,0.1925279135155053,0
race,Caucasian,28,1,1,0.02728294571434689,0
race,Caucasian,28,2,1,0.08604041532446736,0
race,Caucasian,28,3,1,0.09839711253193713,0
race,Caucasian,28,4,1,0.17557777876754566,0
race,Caucasian,28,1,0,0.02985859414334385,0
race,Caucasian,28,2,0,0.046590039073262736,0
race,Caucasian,28,3,0,0.07287054543168597,0
race,Caucasian,28,4,0,0.12687657231750532,0
race,Caucasian,37,1,0,0.028280220997149715,0
race,Caucasian,37,2,0,0.05322969596318904,0
race,Caucasian,37,3,0,0.07272248300394897,0
race,Caucasian,37,4,0,0.127389519368127,0
race,Caucasian,37,1,1,0.029762075248281648,0
race,Caucasian,37,2,1,0.09738278288486334,0
race,Caucasian,37,3,1,0.07818098585061406,0
race,Caucasian,37,4,1,0.17749103653280812,0
race,Caucasian,40,1,0,0.0280382777452796,0
race,Caucasian,40,2,0,0.048975345274046275,0
