Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.629346540098331,0
race,Caucasian,26,2,0,0.6589488669724415,0
race,Caucasian,26,3,0,0.7218373922677513,0
race,Caucasian,26,4,0,0.8026116826361187,0
race,Caucasian,26,1,1,0.6939600861558228,0
race,Caucasian,26,2,1,0.73725299920444,0
race,Caucasian,26,3,1,0.7783208908062484,0
race,Caucasian,26,4,1,0.8607419422787658,0
race,Caucasian,29,1,0,0.63322199821197,0
race,Caucasian,29,2,0,0.6865753185645751,0
race,Caucasian,29,3,0,0.7206367543564526,0
race,Caucasian,29,4,0,0.8038744132122316,0
race,Caucasian,29,1,1,0.6758165524110215,0
race,Caucasian,29,2,1,0.7382817009160414,0
race,Caucasian,29,3,1,0.7953785533973805,0
race,Caucasian,29,4,1,0.8831353646376691,0
race,Caucasian,28,1,0,0.6304761402227561,0
race,Caucasian,28,2,0,0.677297324622653,0
race,Caucasian,28,3,0,0.70952881949726,0
race,Caucasian,28,4,0,0.8008727614153109,0
race,Caucasian,28,1,1,0.6753961736300521,0
race,Caucasian,28,2,1,0.7404264542285006,0
race,Caucasian,28,3,1,0.8143550177112063,0
race,Caucasian,28,4,1,0.8791031584428343,0
race,Caucasian,41,1,0,0.6163121596031857,0
race,Caucasian,41,2,0,0.6564281241269098,0
race,Caucasian,41,3,0,0.7090497245572946,0
race,Caucasian,41,4,0,0.8012333791412224,0
race,Caucasian,41,1,1,0.7063637936619224,0
race,Caucasian,41,2,1,0.7876086569202554,0
race,Caucasian,41,3,1,0.8330436870430826,0
race,Caucasian,41,4,1,0.8513208433861233,0
race,Caucasian,39,1,0,0.631866617668435,0
race,Caucasian,39,2,0,0.6742654657900927,0
race,Caucasian,39,3,0,0.7186767371020246,0
race,Caucasian,39,4,0,0.8081912174455201,0
race,Caucasian,39,1,1,0.6791731548009495,0
race,Caucasian,39,2,1,0.7490372179060316,0
race,Caucasian,39,3,1,0.7517960115265138,0
race,Caucasian,39,4,1,0.865335896130165,0
race,Caucasian,30,1,0,0.6323178135120147,0
race,Caucasian,30,2,0,0.6777661308310576,0
race,Caucasian,30,3,0,0.7123439738514968,0
race,Caucasian,30,4,0,0.8048497353480735,0
race,Caucasian,30,1,1,0.6865926810997579,0
race,Caucasian,30,2,1,0.6741844060447068,0
race,Caucasian,30,3,1,0.7653057039724912,0
race,Caucasian,30,4,1,0.8920215312966704,0
race,Caucasian,48,1,0,0.5744593274543603,0
race,Caucasian,48,2,0,0.6410570530640217,0
race,Caucasian,48,3,0,0.684193925244436,0
race,Caucasian,48,4,0,0.7624065397188288,0
race,Caucasian,48,1,1,0.6091212246680556,0
race,Caucasian,48,2,1,0.7110953744513099,0
race,Caucasian,48,3,1,0.691207200917918,0
race,Caucasian,48,4,1,0.8302464160638385,0
race,Caucasian,53,1,0,0.5987153284489007,0
race,Caucasian,53,2,0,0.6464580395011484,0
race,Caucasian,53,3,0,0.6585775333848293,0
race,Caucasian,53,4,0,0.7319400461709665,0
race,Caucasian,53,1,1,0.5942804315216877,0
race,Caucasian,53,2,1,0.6752959144806204,0
race,Caucasian,53,3,1,0.5390370085196469,0
race,Caucasian,53,4,1,0.8440422843753138,0
race,Caucasian,25,1,0,0.6190541780570026,0
race,Caucasian,25,2,0,0.6630338243437648,0
race,Caucasian,25,3,0,0.69276736876915,0
race,Caucasian,25,4,0,0.7907183987808766,0
race,Caucasian,25,1,1,0.674048428544483,0
race,Caucasian,25,2,1,0.6767208240032186,0
race,Caucasian,25,3,1,0.7878093476920426,0
race,Caucasian,25,4,1,0.8764815954939187,0
race,Caucasian,34,1,1,0.6755808197811568,0
race,Caucasian,34,2,1,0.7548349067239917,0
race,Caucasian,34,3,1,0.7369457078199055,0
race,Caucasian,34,4,1,0.8741317893703533,0
