Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.04588831382903667,0
race,Caucasian,26,2,0,0.06477174058069679,0
race,Caucasian,26,3,0,0.09484877657414664,0
race,Caucasian,26,4,0,0.17211720404652012,0
race,Caucasian,26,1,1,0.05493759245440359,0
race,Caucasian,26,2,1,0.11630890937245786,0
race,Caucasian,26,3,1,0.16018116827521314,0
race,Caucasian,26,4,1,0.2580043468841862,0
race,Caucasian,29,1,0,0.04941280465149639,0
race,Caucasian,29,2,0,0.07017581402245081,0
race,Caucasian,29,3,0,0.10079584568381687,0
race,Caucasian,29,4,0,0.17611105864108273,0
race,Caucasian,29,1,1,0.07097947829896468,0
race,Caucasian,29,2,1,0.12016737947581319,0
race,Caucasian,29,3,1,0.1215620445645471,0
race,Caucasian,29,4,1,0.25380323799805204,0
race,Caucasian,28,1,0,0.04554979029739965,0
race,Caucasian,28,2,0,0.07320156295137016,0
race,Caucasian,28,3,0,0.09393461294388405,0
race,Caucasian,28,4,0,0.1665106084651918,0
race,Caucasian,28,1,1,0.09276846729821896,0
race,Caucasian,28,2,1,0.09267510524942847,0
race,Caucasian,28,3,1,0.12466147513355703,0
race,Caucasian,28,4,1,0.25825445447687917,0
race,Caucasian,41,1,0,0.04210162728275336,0
race,Caucasian,41,2,0,0.06315816077247909,0
race,Caucasian,41,3,0,0.08387504761334649,0
race,Caucasian,41,4,0,0.15994965797527597,0
race,Caucasian,41,1,1,0.06857365796663187,0
race,Caucasian,41,2,1,0.09801695631165899,0
race,Caucasian,41,3,1,0.12310823394355087,0
race,Caucasian,41,4,1,0.21036941893357905,0
race,Caucasian,39,1,0,0.043923053898087316,0
race,Caucasian,39,2,0,0.060540650674178145,0
race,Caucasian,39,3,0,0.09148041990968019,0
race,Caucasian,39,4,0,0.17007761697467222,0
race,Caucasian,39,1,1,0.06340644394016483,0
race,Caucasian,39,2,1,0.08859040912986785,0
race,Caucasian,39,3,1,0.20649314534329594,0
race,Caucasian,39,4,1,0.23011272090107834,0
race,Caucasian,30,1,0,0.04934197996934139,0
race,Caucasian,30,2,0,0.0687855273956862,0
race,Caucasian,30,3,0,0.0905982258587232,0
race,Caucasian,30,4,0,0.17472341724837917,0
race,Caucasian,30,1,1,0.07713256748061449,0
race,Caucasian,30,2,1,0.12261561542537294,0
race,Caucasian,30,3,1,0.1271955116736743,0
race,Caucasian,30,4,1,0.2605936808834822,0
race,Caucasian,48,1,0,0.036376101988417134,0
race,Caucasian,48,2,0,0.0556705493442339,0
race,Caucasian,48,3,0,0.07919724151077356,0
race,Caucasian,48,4,0,0.13577869334952544,0
race,Caucasian,48,1,1,0.09796413879889003,0
race,Caucasian,48,2,1,0.08494689739103636,0
race,Caucasian,48,3,1,0.06785412595410376,0
race,Caucasian,48,4,1,0.1826808109283759,0
race,Caucasian,53,1,0,0.03019271547527429,0
race,Caucasian,53,2,0,0.048754211745512976,0
race,Caucasian,53,3,0,0.04908045586198229,0
race,Caucasian,53,4,0,0.11571204773355855,0
race,Caucasian,53,1,1,0.06081022159497881,0
race,Caucasian,53,2,1,0.06181500352648128,0
race,Caucasian,53,3,1,0.06060606060606061,0
race,Caucasian,53,4,1,0.14491647076240802,0
race,Caucasian,25,1,0,0.04084546531920157,0
race,Caucasian,25,2,0,0.06403124398321255,0
race,Caucasian,25,3,0,0.08128316205007649,0
race,Caucasian,25,4,0,0.16362996680278558,0
race,Caucasian,25,1,1,0.05585472613250005,0
race,Caucasian,25,2,1,0.0910418091402011,0
race,Caucasian,25,3,1,0.12092544013849453,0
race,Caucasian,25,4,1,0.272294452407362,0
race,Caucasian,34,1,1,0.06851284644143162,0
race,Caucasian,34,2,1,0.1469214219303801,0
race,Caucasian,34,3,1,0.14364891874255695,0
race,Caucasian,34,4,1,0.270012681663207,0
race,Caucasian,34,1,0,0.04976621665194313,0
race,Caucasian,34,2,0,0.07777799528585093,0
race,Caucasian,34,3,0,0.09233192014706094,0
race,Caucasian,34,4,0,0.18372710905374093,0
race,Caucasian,38,1,0,0.04464101349733075,0
race,Caucasian,38,2,0,0.06327745604928672,0
race,Caucasian,38,3,0,0.09180209033319175,0
race,Caucasian,38,4,0,0.1633977837275061,0
race,Caucasian,38,1,1,0.08243837905505924,0
race,Caucasian,38,2,1,0.110510588849322,0
race,Caucasian,38,3,1,0.1287850204595956,0
race,Caucasian,38,4,1,0.2532717931754058,0
race,Caucasian,49,1,1,0.07128238998477847,0
race,Caucasian,49,2,1,0.07870334978179558,0
race,Caucasian,49,3,1,0.11545291739642341,0
race,Caucasian,49,4,1,0.1573389292358619,0
race,Caucasian,49,1,0,0.033180032642229566,0
race,Caucasian,49,2,0,0.054860264071827494,0
race,Caucasian,49,3,0,0.05794101386374569,0
race,Caucasian,49,4,0,0.13100120783307712,0
race,Caucasian,52,1,0,0.03177946043750143,0
race,Caucasian,52,2,0,0.05217737102582523,0
race,Caucasian,52,3,0,0.06828041161757803,0
race,Caucasian,52,4,0,0.11888500091889605,0
race,Caucasian,52,1,1,0.030545414637754113,0
race,Caucasian,52,2,1,0.0648803107968942,0
race,Caucasian,52,3,1,0.09726356911693093,0
race,Caucasian,52,4,1,0.22113055129747228,0
race,Caucasian,32,1,0,0.04811816449824503,0
race,Caucasian,32,2,0,0.06910381650312873,0
race,Caucasian,32,3,0,0.10896232339490954,0
race,Caucasian,32,4,0,0.18114802908724753,0
race,Caucasian,32,1,1,0.08057925089090025,0
race,Caucasian,32,2,1,0.0971958281234251,0
race,Caucasian,32,3,1,0.15988032538742084,0
race,Caucasian,32,4,1,0.28676133913100843,0
race,Caucasian,44,1,0,0.03839881812128804,0
race,Caucasian,44,2,0,0.057967451539433106,0
race,Caucasian,44,3,0,0.06453098693470179,0
race,Caucasian,44,4,0,0.13981115822581186,0
race,Caucasian,44,1,1,0.05345720875107185,0
race,Caucasian,44,2,1,0.0678198958334229,0
race,Caucasian,44,3,1,0.11135742656531655,0
race,Caucasian,44,4,1,0.24293607907105247,0
race,Caucasian,37,1,0,0.04240431804610446,0
race,Caucasian,37,2,0,0.07933824005413785,0
race,Caucasian,37,3,0,0.08318069533874782,0
race,Caucasian,37,4,0,0.17509555064442034,0
race,Caucasian,37,1,1,0.06762546857118867,0
race,Caucasian,37,2,1,0.09654706558050936,0
race,Caucasian,37,3,1,0.1349404921857939,0
race,Caucasian,37,4,1,0.27273745079024386,0
race,Caucasian,36,1,0,0.04666599076200321,0
race,Caucasian,36,2,0,0.06749881803092089,0
race,Caucasian,36,3,0,0.09387079503400088,0
race,Caucasian,36,4,0,0.1919523894194388,0
race,Caucasian,36,1,1,0.07003403575148573,0
race,Caucasian,36,2,1,0.10487906966705006,0
race,Caucasian,36,3,1,0.1443547122149697,0
race,Caucasian,36,4,1,0.23875036741565292,0
race,Caucasian,27,1,0,0.04549153196077435,0
race,Caucasian,27,2,0,0.07163609074987608,0
race,Caucasian,27,3,0,0.08843400921766395,0
race,Caucasian,27,4,0,0.17215826860338265,0
race,Caucasian,27,1,1,0.07667479265743408,0
race,Caucasian,27,2,1,0.1216508094272176,0
race,Caucasian,27,3,1,0.17287128478746971,0
race,Caucasian,27,4,1,0.275730743592807,0
race,Caucasian,45,1,0,0.03775678850439361,0
race,Caucasian,45,2,0,0.05505567295166994,0
race,Caucasian,45,3,0,0.07467371373176121,0
race,Caucasian,45,4,0,0.14925669607597153,0
race,Caucasian,45,1,1,0.07095849929499107,0
race,Caucasian,45,2,1,0.06209367652484099,0
race,Caucasian,45,3,1,0.08996197365080787,0
race,Caucasian,45,4,1,0.21535310263590518,0
race,Caucasian,58,1,0,0.029058354515432316,0
race,Caucasian,58,2,0,0.05107308397431259,0
race,Caucasian,58,3,0,0.05333895819604359,0
race,Caucasian,58,4,0,0.1011401565402861,0
race,Caucasian,58,1,1,0.05190165013467781,0
race,Caucasian,58,2,1,0.06060606060606061,0
race,Caucasian,58,4,1,0.2109311349923844,0
race,Caucasian,24,1,0,0.04264606659487646,0
race,Caucasian,24,2,0,0.06325226350380653,0
race,Caucasian,24,3,0,0.07933476486405819,0
race,Caucasian,24,4,0,0.1624531121927607,0
race,Caucasian,24,1,1,0.0663871697267381,0
race,Caucasian,24,2,1,0.09877177621427884,0
race,Caucasian,24,3,1,0.118199883446865,0
race,Caucasian,24,4,1,0.2620361947878485,0
race,Caucasian,55,1,0,0.034627339634120645,0
race,Caucasian,55,2,0,0.051989212593334284,0
race,Caucasian,55,3,0,0.05366660187474246,0
race,Caucasian,55,4,0,0.1106349442550346,0
race,Caucasian,55,2,1,0.0688124697904649,0
race,Caucasian,55,3,1,0.07180966898954703,0
race,Caucasian,55,4,1,0.22687102295333747,0
race,Caucasian,43,1,0,0.03594645981829219,0
race,Caucasian,43,2,0,0.053275277500722265,0
race,Caucasian,43,3,0,0.07754200868809698,0
race,Caucasian,43,4,0,0.14580145729451072,0
race,Caucasian,43,1,1,0.07075617900680546,0
race,Caucasian,43,2,1,0.0770956871019218,0
race,Caucasian,43,3,1,0.13840543777800052,0
race,Caucasian,43,4,1,0.2673872822304205,0
race,Caucasian,23,1,0,0.0419855957051958,0
race,Caucasian,23,2,0,0.06094619974598637,0
race,Caucasian,23,3,0,0.06825648587250993,0
race,Caucasian,23,4,0,0.145327699589845,0
race,Caucasian,23,1,1,0.04031911877862865,0
race,Caucasian,23,2,1,0.08749436155242547,0
race,Caucasian,23,3,1,0.16248123961366726,0
race,Caucasian,23,4,1,0.24077753090343357,0
race,Caucasian,46,1,0,0.036893582439554075,0
race,Caucasian,46,2,0,0.05151740865396553,0
race,Caucasian,46,3,0,0.06801232464675293,0
race,Caucasian,46,4,0,0.13792186939444545,0
race,Caucasian,46,1,1,0.06117710639177915,0
race,Caucasian,46,2,1,0.09401105521863605,0
race,Caucasian,46,3,1,0.10278606796954837,0
race,Caucasian,46,4,1,0.22561266828281704,0
race,Caucasian,35,1,0,0.04840136881047054,0
race,Caucasian,35,2,0,0.07773037764507237,0
race,Caucasian,35,3,0,0.0918515345351898,0
race,Caucasian,35,4,0,0.17143215235468634,0
race,Caucasian,35,1,1,0.10270908703743654,0
race,Caucasian,35,2,1,0.06824168813912451,0
race,Caucasian,35,3,1,0.17130098585188175,0
race,Caucasian,35,4,1,0.2528170923317605,0
race,Caucasian,31,1,0,0.05027444053000321,0
race,Caucasian,31,2,0,0.07146052250300661,0
race,Caucasian,31,3,0,0.10068668838559203,0
race,Caucasian,31,4,0,0.167709417617436,0
race,Caucasian,31,1,1,0.05745294753966514,0
race,Caucasian,31,2,1,0.09310642398255052,0
race,Caucasian,31,3,1,0.17079315341889406,0
race,Caucasian,31,4,1,0.27949295303625765,0
race,Caucasian,64,1,0,0.030962911380373204,0
race,Caucasian,64,2,0,0.049870838369288774,0
race,Caucasian,64,3,0,0.07755772049208612,0
race,Caucasian,64,4,0,0.1325633136004406,0
race,Caucasian,64,1,1,0.07005253940455342,0
race,Caucasian,64,2,1,0.08794507780419278,0
race,Caucasian,64,3,1,0.0852252881592735,0
race,Caucasian,64,4,1,0.2344245773722744,0
race,Caucasian,18,1,0,0.042064469368015105,0
race,Caucasian,18,2,0,0.06976000472884127,0
race,Caucasian,18,3,0,0.07114770766405977,0
race,Caucasian,18,4,0,0.1329056508766773,0
race,Caucasian,18,1,1,0.065304592704204,0
race,Caucasian,18,2,1,0.11382866134812877,0
race,Caucasian,18,3,1,0.1617976980143263,0
race,Caucasian,18,4,1,0.1860690210444037,0
race,Caucasian,33,1,0,0.05078787393833629,0
race,Caucasian,33,2,0,0.07348071543283854,0
race,Caucasian,33,3,0,0.09653734298162808,0
race,Caucasian,33,4,0,0.1810950216347934,0
race,Caucasian,33,1,1,0.11048838228438823,0
race,Caucasian,33,2,1,0.08519753864143376,0
race,Caucasian,33,3,1,0.14753697347876232,0
race,Caucasian,33,4,1,0.27412550213386805,0
race,Caucasian,47,1,0,0.036693899892428425,0
race,Caucasian,47,2,0,0.06185425606115768,0
race,Caucasian,47,3,0,0.06551055778341718,0
race,Caucasian,47,4,0,0.14668486733075797,0
race,Caucasian,47,1,1,0.08169987889582307,0
race,Caucasian,47,2,1,0.10776812715602224,0
race,Caucasian,47,3,1,0.14924967790939625,0
race,Caucasian,47,4,1,0.18207148104905738,0
race,Caucasian,57,1,0,0.02990085028986561,0
race,Caucasian,57,2,0,0.0465973597437089,0
race,Caucasian,57,3,0,0.05136590332748776,0
race,Caucasian,57,4,0,0.11035179051045076,0
race,Caucasian,57,1,1,0.05997248490904202,0
race,Caucasian,57,2,1,0.031806827643630305,0
race,Caucasian,57,3,1,0.07913708757411168,0
race,Caucasian,57,4,1,0.14279351219056902,0
race,Caucasian,42,1,0,0.03582051777023553,0
race,Caucasian,42,2,0,0.04866027327557454,0
race,Caucasian,42,3,0,0.08639246091266103,0
race,Caucasian,42,4,0,0.15818634136520832,0
race,Caucasian,42,1,1,0.05116273149729109,0
race,Caucasian,42,2,1,0.09996281621738431,0
race,Caucasian,42,3,1,0.14585541140368974,0
race,Caucasian,42,4,1,0.23027432038917167,0
race,Caucasian,40,1,0,0.04455649874828675,0
race,Caucasian,40,2,0,0.06082542762712955,0
race,Caucasian,40,3,0,0.09549935403561584,0
race,Caucasian,40,4,0,0.16165263216375894,0
race,Caucasian,40,1,1,0.04291883541298789,0
race,Caucasian,40,2,1,0.10267946049904476,0
race,Caucasian,40,3,1,0.1607305060569957,0
race,Caucasian,40,4,1,0.2603655080745651,0
race,Caucasian,56,1,0,0.028632611305429136,0
race,Caucasian,56,2,0,0.055175101675863036,0
race,Caucasian,56,3,0,0.05909318154500299,0
race,Caucasian,56,4,0,0.104807385357894,0
race,Caucasian,56,1,1,0.061257397618467345,0
race,Caucasian,56,2,1,0.06060606060606061,0
race,Caucasian,56,3,1,0.1295173045521526,0
race,Caucasian,56,4,1,0.11989468303415977,0
race,Caucasian,51,1,0,0.03458893924032159,0
race,Caucasian,51,2,0,0.04363987980769842,0
race,Caucasian,51,3,0,0.05635179988791747,0
race,Caucasian,51,4,0,0.12411936448265319,0
race,Caucasian,51,1,1,0.04994468435198772,0
race,Caucasian,51,2,1,0.10167602206754135,0
race,Caucasian,51,3,1,0.07496066507342981,0
race,Caucasian,51,4,1,0.15302840700209458,0
race,Caucasian,50,1,0,0.032555708548242655,0
race,Caucasian,50,2,0,0.05224073351742782,0
race,Caucasian,50,3,0,0.06489639726512221,0
race,Caucasian,50,4,0,0.1173687095479605,0
race,Caucasian,50,1,1,0.05226394156982334,0
race,Caucasian,50,2,1,0.08148157947910024,0
race,Caucasian,50,3,1,0.08283824282962057,0
race,Caucasian,50,4,1,0.1902593197405329,0
race,Caucasian,54,1,0,0.03141479696870803,0
race,Caucasian,54,2,0,0.04584292545974287,0
race,Caucasian,54,3,0,0.06107174322304531,0
race,Caucasian,54,4,0,0.11536085075539576,0
race,Caucasian,54,1,1,0.0616861294292536,0
race,Caucasian,54,2,1,0.030634382918433886,0
race,Caucasian,54,3,1,0.09685971196651053,0
race,Caucasian,54,4,1,0.19546752540125853,0
race,Caucasian,22,1,0,0.04102587905822363,0
race,Caucasian,22,2,0,0.05520964805301905,0
race,Caucasian,22,3,0,0.08087041201138243,0
race,Caucasian,22,4,0,0.14365019428993564,0
race,Caucasian,22,1,1,0.08353336064869708,0
race,Caucasian,22,2,1,0.06563664926556244,0
race,Caucasian,22,3,1,0.1263267992300943,0
race,Caucasian,22,4,1,0.21782833721749942,0
race,Caucasian,19,1,0,0.039257048238785966,0
race,Caucasian,19,2,0,0.05588542657735827,0
race,Caucasian,19,3,0,0.0764745868874563,0
race,Caucasian,19,4,0,0.10360607697251968,0
race,Caucasian,19,1,1,0.050051390732615726,0
race,Caucasian,19,2,1,0.11306692949673254,0
race,Caucasian,19,3,1,0.16068555027447634,0
race,Caucasian,19,4,1,0.21398420702521417,0
race,Caucasian,60,1,0,0.035308885457424624,0
race,Caucasian,60,2,0,0.039797250922055875,0
race,Caucasian,60,3,0,0.037913074635701365,0
race,Caucasian,60,4,0,0.10812724198210562,0
race,Caucasian,60,4,1,0.1724757196587621,0
race,Caucasian,63,1,0,0.019826204211926813,0
race,Caucasian,63,2,0,0.045029334738098795,0
race,Caucasian,63,3,0,0.05956105925375625,0
race,Caucasian,63,4,0,0.09767167904826678,0
race,Caucasian,63,3,1,0.10892586989409984,0
race,Caucasian,63,4,1,0.12037914691943127,0
race,Caucasian,67,1,0,0.028589835766258776,0
race,Caucasian,67,2,0,0.03887585874796138,0
race,Caucasian,67,3,0,0.02326627840133164,0
race,Caucasian,67,4,0,0.13755493231031968,0
race,Caucasian,67,4,1,0.0852252881592735,0
race,Caucasian,59,1,0,0.025194171272753856,0
race,Caucasian,59,2,0,0.03957320524782067,0
race,Caucasian,59,3,0,0.052073158691201105,0
race,Caucasian,59,4,0,0.09161391188352369,0
race,Caucasian,59,1,1,0.07005253940455342,0
race,Caucasian,59,3,1,0.15328328164952942,0
race,Caucasian,59,4,1,0.19051811511804626,0
race,Caucasian,66,1,0,0.03056654489568472,0
race,Caucasian,66,2,0,0.05184975798455765,0
race,Caucasian,66,3,0,0.030092575100081526,0
race,Caucasian,66,4,0,0.07545868447670388,0
race,Caucasian,66,2,1,0.0852252881592735,0
race,Caucasian,66,4,1,0.07202216066481995,0
race,Caucasian,20,1,0,0.03772250957404315,0
race,Caucasian,20,2,0,0.06043466681738104,0
race,Caucasian,20,3,0,0.07380982650735363,0
race,Caucasian,20,4,0,0.13873169744564687,0
race,Caucasian,20,1,1,0.044419168465548275,0
race,Caucasian,20,2,1,0.08102024891198135,0
race,Caucasian,20,3,1,0.14850933501863736,0
race,Caucasian,20,4,1,0.22577586030704488,0
race,Caucasian,21,1,0,0.03828080521025793,0
race,Caucasian,21,2,0,0.056947059044432896,0
race,Caucasian,21,3,0,0.06980592572822544,0
race,Caucasian,21,4,0,0.14259891007427092,0
race,Caucasian,21,1,1,0.06535033702312068,0
race,Caucasian,21,2,1,0.11909075262578867,0
race,Caucasian,21,3,1,0.15672948994964506,0
race,Caucasian,21,4,1,0.2566937229515089,0
race,Caucasian,62,1,0,0.03171524120792362,0
race,Caucasian,62,2,0,0.040544876857879934,0
race,Caucasian,62,3,0,0.034394416867331495,0
race,Caucasian,62,4,0,0.08216654071852404,0
race,Caucasian,62,2,1,0.18745978897252782,0
race,Caucasian,62,4,1,0.13568957829200837,0
race,Caucasian,61,1,0,0.03285159819949724,0
race,Caucasian,61,2,0,0.08373488639474208,0
race,Caucasian,61,3,0,0.05424806691056461,0
race,Caucasian,61,4,0,0.09340143866527377,0
race,Caucasian,61,4,1,0.10356419737883474,0
race,Caucasian,70,1,0,0.030331798328287998,0
race,Caucasian,70,2,0,0.045899580515311234,0
race,Caucasian,70,3,0,0.012646208599140507,0
race,Caucasian,70,4,0,0.09141208463804329,0
race,Caucasian,70,4,1,0.0852252881592735,0
race,Caucasian,65,1,0,0.034447022758229855,0
race,Caucasian,65,2,0,0.029406560587671243,0
race,Caucasian,65,3,0,0.05559723027190224,0
race,Caucasian,65,4,0,0.08869783496505709,0
race,Caucasian,65,4,1,0.16869326532343434,0
race,Caucasian,69,1,0,0.015250294548522428,0
race,Caucasian,69,2,0,0.053542262379880336,0
race,Caucasian,69,3,0,0.04374066467429229,0
race,Caucasian,69,4,0,0.11514974370893376,0
race,Caucasian,69,2,1,0.06060606060606061,0
race,Caucasian,69,4,1,0.16860715825786976,0
race,Caucasian,68,1,0,0.028759973373202376,0
race,Caucasian,68,2,0,0.06461150195491978,0
race,Caucasian,68,3,0,0.04681692624317877,0
race,Caucasian,68,4,0,0.10715622070979136,0
race,Caucasian,68,4,1,0.0852252881592735,0
race,African-American,49,1,0,0.034812993833001606,0
race,African-American,49,2,0,0.05540496822623472,0
race,African-American,49,3,0,0.07335776738605396,0
race,African-American,49,4,0,0.1461217336550815,0
race,African-American,49,1,1,0.07483261126427727,0
race,African-American,49,2,1,0.05149945418253665,0
race,African-American,49,3,1,0.0852252881592735,0
race,African-American,49,4,1,0.1839626497912199,0
race,African-American,27,1,1,0.11856684676242961,0
race,African-American,27,2,1,0.17614877150878067,0
race,African-American,27,3,1,0.12231547764889363,0
race,African-American,27,4,1,0.25964369541780485,0
race,African-American,27,1,0,0.052628834463632694,0
race,African-American,27,2,0,0.07572834210659228,0
race,African-American,27,3,0,0.07782798736273806,0
race,African-American,27,4,0,0.17908790492148746,0
race,African-American,31,1,0,0.05319680386756784,0
race,African-American,31,2,0,0.07728615224224518,0
race,African-American,31,3,0,0.09316640544688419,0
race,African-American,31,4,0,0.19017620083571987,0
race,African-American,31,1,1,0.10514111472369858,0
race,African-American,31,2,1,0.08217356864692693,0
race,African-American,31,3,1,0.12364906095342611,0
