Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,0.002489360035996022,0
race,African-American,27,2,0,0.009071628407851754,0
race,African-American,27,3,0,0.007930829659683166,0
race,African-American,27,4,0,0.09967002854396904,0
race,African-American,27,1,1,0.015720397628264517,0
race,African-American,27,2,1,0.007480700893887953,0
race,African-American,27,3,1,0.019868888780388252,0
race,African-American,27,4,1,0.20691288782780964,0
race,African-American,37,1,0,0.003670456167196611,0
race,African-American,37,2,0,0.009771487394934043,0
race,African-American,37,3,0,0.010806632411007102,0
race,African-American,37,4,0,0.05927760933246912,0
race,African-American,37,2,1,0.0015103194748338513,0
race,African-American,37,3,1,0.00943066508371761,0
race,African-American,37,4,1,0.1709786420384248,0
race,African-American,31,1,0,0.003494386949960293,0
race,African-American,31,2,0,0.008955938073023667,0
race,African-American,31,3,0,0.013173321189305542,0
race,African-American,31,4,0,0.07352313411719687,0
race,African-American,31,1,1,0.002583960422816191,0
race,African-American,31,2,1,0.0012755938356414822,0
race,African-American,31,3,1,0.01112183259072834,0
race,African-American,31,4,1,0.2129097654552728,0
race,African-American,56,1,0,0.0019733036753323287,0
race,African-American,56,2,0,0.0023330275681412997,0
race,African-American,56,3,0,0.002113750427849341,0
race,African-American,56,4,0,0.017928373656590283,0
race,African-American,56,1,1,0.0038166955655860326,0
race,African-American,56,4,1,0.38347923848628174,0
race,African-American,28,1,1,0.0012702370168527627,0
race,African-American,28,2,1,0.0052656287125047024,0
race,African-American,28,3,1,0.03523738566344724,0
race,African-American,28,4,1,0.14951815420470632,0
race,African-American,28,1,0,0.005019593331123597,0
race,African-American,28,2,0,0.009066802726439485,0
race,African-American,28,3,0,0.013185221374526882,0
race,African-American,28,4,0,0.06493267277220877,0
race,African-American,25,1,0,0.004014156378803977,0
race,African-American,25,2,0,0.006953397449151247,0
race,African-American,25,3,0,0.012934658986327788,0
race,African-American,25,4,0,0.07070825105300638,0
race,African-American,25,1,1,0.0028445606629416815,0
race,African-American,25,2,1,0.006132005145707322,0
race,African-American,25,3,1,0.04113255743703059,0
race,African-American,25,4,1,0.17331263782498596,0
race,African-American,41,2,1,0.0027505001705577913,0
race,African-American,41,3,1,0.0035199629992488666,0
race,African-American,41,4,1,0.05755730210929295,0
race,African-American,41,1,0,0.0045903803001496645,0
race,African-American,41,2,0,0.008409968077380856,0
race,African-American,41,3,0,0.008294921156380357,0
race,African-American,41,4,0,0.05126363990699765,0
race,African-American,32,1,0,0.003619647720515158,0
race,African-American,32,2,0,0.00933572356889209,0
race,African-American,32,3,0,0.03694265434176954,0
race,African-American,32,4,0,0.06351242660517283,0
race,African-American,32,1,1,0.0016224777239898704,0
race,African-American,32,2,1,0.01965738652077697,0
race,African-American,32,4,1,0.20322794398627098,0
race,African-American,26,1,0,0.00368494593912924,0
race,African-American,26,2,0,0.009493369697149107,0
race,African-American,26,3,0,0.011149059885274383,0
race,African-American,26,4,0,0.0794594445409166,0
race,African-American,26,1,1,0.0028431618054436517,0
race,African-American,26,2,1,0.01713931968950939,0
race,African-American,26,3,1,0.04144663572823752,0
race,African-American,26,4,1,0.22926606025149251,0
race,African-American,33,1,0,0.0040659181881743936,0
race,African-American,33,2,0,0.00711443275547399,0
race,African-American,33,3,0,0.01689125095318475,0
race,African-American,33,4,0,0.091612478446635,0
race,African-American,33,1,1,0.005674541558302109,0
race,African-American,33,2,1,0.02896816898222716,0
race,African-American,33,3,1,0.02475339052511489,0
race,African-American,33,4,1,0.16902691916756957,0
race,African-American,52,1,0,0.0012679501572751173,0
race,African-American,52,2,0,0.0034739785882185055,0
race,African-American,52,3,0,0.013404478347384107,0
race,African-American,52,4,0,0.030920542018645473,0
race,African-American,52,3,1,0.08658485506471457,0
race,African-American,52,4,1,0.1736712294770689,0
race,African-American,46,1,0,0.002444042369956407,0
race,African-American,46,2,0,0.0025822524765847592,0
race,African-American,46,3,0,0.011948457439733738,0
race,African-American,46,4,0,0.04831508927998493,0
race,African-American,46,1,1,0.002934191714883474,0
race,African-American,46,3,1,0.0437930470034833,0
race,African-American,46,4,1,0.08541574583356598,0
race,African-American,44,1,0,0.0024671091598915855,0
race,African-American,44,2,0,0.010497077010670621,0
race,African-American,44,3,0,0.009452253683948267,0
race,African-American,44,4,0,0.049844576092762,0
race,African-American,44,1,1,0.0011664875326083853,0
race,African-American,44,2,1,0.00972745058305765,0
race,African-American,44,3,1,0.03968588797678743,0
race,African-American,44,4,1,0.18659612324142127,0
race,African-American,43,1,0,0.0030731010582522086,0
race,African-American,43,2,0,0.0041251832308883156,0
race,African-American,43,3,0,0.01610362501834881,0
race,African-American,43,4,0,0.06205855027707513,0
race,African-American,43,1,1,0.0023888836033991593,0
race,African-American,43,3,1,0.018540358477002004,0
race,African-American,43,4,1,0.16334318426114883,0
race,African-American,47,1,0,0.0016246739712157834,0
