Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,29,1,0,0.027037890500307315,0
race,Caucasian,29,2,0,0.04958526208796699,0
race,Caucasian,29,3,0,0.07028941429510342,0
race,Caucasian,29,4,0,0.1631870579278304,0
race,Caucasian,29,1,1,0.052949383981834366,0
race,Caucasian,29,2,1,0.08171651880613641,0
race,Caucasian,29,3,1,0.09532880995020197,0
race,Caucasian,29,4,1,0.2908063924115389,0
race,Caucasian,35,1,0,0.026574845091412433,0
race,Caucasian,35,2,0,0.05961035902626796,0
race,Caucasian,35,3,0,0.07516416420810655,0
race,Caucasian,35,4,0,0.17510331179918517,0
race,Caucasian,35,1,1,0.042929470538671397,0
race,Caucasian,35,2,1,0.0647731208731154,0
race,Caucasian,35,3,1,0.1130502660286688,0
race,Caucasian,35,4,1,0.23226502157638573,0
race,Caucasian,34,1,0,0.02639121293387623,0
race,Caucasian,34,2,0,0.05711145213324289,0
race,Caucasian,34,3,0,0.08489383577536709,0
race,Caucasian,34,4,0,0.18012986644270568,0
race,Caucasian,34,1,1,0.04114076757483134,0
race,Caucasian,34,2,1,0.079997964069961,0
race,Caucasian,34,3,1,0.0830825566284909,0
race,Caucasian,34,4,1,0.3024878510226387,0
race,Caucasian,44,1,0,0.026121801768077362,0
race,Caucasian,44,2,0,0.05980395165942526,0
race,Caucasian,44,3,0,0.0663368720293782,0
race,Caucasian,44,4,0,0.1576126612857648,0
race,Caucasian,44,1,1,0.03157374683077244,0
race,Caucasian,44,2,1,0.10252198609753746,0
race,Caucasian,44,3,1,0.09932072134792158,0
race,Caucasian,44,4,1,0.22946393304202573,0
race,Caucasian,43,1,0,0.0262940611871766,0
race,Caucasian,43,2,0,0.05596739888897573,0
race,Caucasian,43,3,0,0.06915208577730063,0
race,Caucasian,43,4,0,0.13756520057901242,0
race,Caucasian,43,1,1,0.03434157841513335,0
race,Caucasian,43,2,1,0.08831172928117415,0
race,Caucasian,43,3,1,0.1602307181917895,0
race,Caucasian,43,4,1,0.22472633781079177,0
race,Caucasian,53,1,0,0.02415904257178798,0
race,Caucasian,53,2,0,0.05027961599642731,0
race,Caucasian,53,3,0,0.05934552330304698,0
race,Caucasian,53,4,0,0.12484496102765533,0
race,Caucasian,53,1,1,0.0441174850171918,0
race,Caucasian,53,2,1,0.07995311752986237,0
race,Caucasian,53,3,1,0.11920292202211753,0
race,Caucasian,53,4,1,0.22541944996057853,0
race,Caucasian,31,1,0,0.02641555457092901,0
race,Caucasian,31,2,0,0.055934133189773985,0
race,Caucasian,31,3,0,0.08059203348883084,0
race,Caucasian,31,4,0,0.17515416608530723,0
race,Caucasian,31,1,1,0.03650985605228338,0
race,Caucasian,31,2,1,0.08468462040818032,0
race,Caucasian,31,3,1,0.14219987434778633,0
race,Caucasian,31,4,1,0.26901864203266634,0
race,Caucasian,52,1,0,0.025540742234512734,0
race,Caucasian,52,2,0,0.04457134801399095,0
race,Caucasian,52,3,0,0.04877448119778442,0
race,Caucasian,52,4,0,0.14788897112524396,0
race,Caucasian,52,1,1,0.03270604156982917,0
race,Caucasian,52,2,1,0.07595448179597336,0
race,Caucasian,52,3,1,0.03270604156982917,0
race,Caucasian,52,4,1,0.16496682057761175,0
race,Caucasian,28,1,0,0.02720081353486923,0
race,Caucasian,28,2,0,0.05161928167164669,0
race,Caucasian,28,3,0,0.07281385253692041,0
race,Caucasian,28,4,0,0.1656030279841816,0
race,Caucasian,28,1,1,0.0421474874710374,0
race,Caucasian,28,2,1,0.06371594130851697,0
race,Caucasian,28,3,1,0.10758365841795775,0
race,Caucasian,28,4,1,0.27093275137612677,0
race,Caucasian,36,1,0,0.029073082182645666,0
race,Caucasian,36,2,0,0.061284578823868376,0
race,Caucasian,36,3,0,0.0720933580779685,0
race,Caucasian,36,4,0,0.17979862334820212,0
race,Caucasian,36,1,1,0.04834884094585537,0
race,Caucasian,36,2,1,0.1057162806013023,0
