Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.6795024459021016,0
race,African-American,46,2,1,0.8142334552769355,0
race,African-American,46,4,1,0.8804984861504889,0
race,African-American,46,1,0,0.6141677661679835,0
race,African-American,46,2,0,0.6797552214190988,0
race,African-American,46,3,0,0.7588206290452981,0
race,African-American,46,4,0,0.8590931545103591,0
race,African-American,30,1,0,0.6816225390887914,0
race,African-American,30,2,0,0.7268852147091817,0
race,African-American,30,3,0,0.781035372219328,0
race,African-American,30,4,0,0.8506543216666566,0
race,African-American,30,1,1,0.7853523768807597,0
race,African-American,30,2,1,0.9453472311515082,0
race,African-American,30,3,1,0.8683593932644393,0
race,African-American,30,4,1,0.90960086637675,0
race,African-American,29,1,0,0.6736030125054043,0
race,African-American,29,2,0,0.712565355397129,0
race,African-American,29,3,0,0.7954321340450382,0
race,African-American,29,4,0,0.8325640027211938,0
race,African-American,29,1,1,0.6976746471079758,0
race,African-American,29,2,1,0.8219923822178775,0
race,African-American,29,3,1,0.8750595375672967,0
race,African-American,29,4,1,0.8693276257951259,0
race,African-American,22,1,0,0.6440985606787974,0
race,African-American,22,2,0,0.7492333568572308,0
race,African-American,22,3,0,0.7315961481831689,0
race,African-American,22,4,0,0.8405544500934556,0
race,African-American,22,1,1,0.6611053873505227,0
race,African-American,22,2,1,0.7256841694899371,0
race,African-American,22,3,1,0.8554882291726382,0
race,African-American,22,4,1,0.903756671103924,0
race,African-American,34,1,0,0.6529181333578431,0
race,African-American,34,2,0,0.7219086491809671,0
race,African-American,34,3,0,0.7904394633112771,0
race,African-American,34,4,0,0.853207939224871,0
race,African-American,34,1,1,0.7745333351817169,0
race,African-American,34,2,1,0.7671934081757149,0
race,African-American,34,3,1,0.7195069268932037,0
race,African-American,34,4,1,0.9137994697119984,0
race,African-American,37,1,0,0.6739399410229441,0
race,African-American,37,2,0,0.6943369696375414,0
race,African-American,37,3,0,0.7228644496344595,0
race,African-American,37,4,0,0.8025534329648863,0
race,African-American,37,1,1,0.7956803950707595,0
race,African-American,37,2,1,0.8101350184345296,0
race,African-American,37,4,1,0.8673253965426759,0
race,African-American,53,1,0,0.5775270828046157,0
race,African-American,53,2,0,0.7150923851800068,0
race,African-American,53,3,0,0.7006591718473129,0
race,African-American,53,4,0,0.8163624738873689,0
race,African-American,53,1,1,0.657784294421649,0
race,African-American,53,2,1,0.7291508694319772,0
race,African-American,53,3,1,0.9398188095479277,0
race,African-American,53,4,1,0.9413173038962803,0
race,African-American,23,1,0,0.668678958298938,0
race,African-American,23,2,0,0.7275590791845128,0
race,African-American,23,3,0,0.7317145428122297,0
race,African-American,23,4,0,0.8242425954288441,0
race,African-American,23,1,1,0.7800147374074341,0
race,African-American,23,2,1,0.7371171668809453,0
race,African-American,23,3,1,0.8053615630417588,0
race,African-American,23,4,1,0.8880225284172485,0
race,African-American,24,1,0,0.6609877050742085,0
race,African-American,24,2,0,0.73146909638969,0
race,African-American,24,3,0,0.7014580083794033,0
race,African-American,24,4,0,0.8470740566164486,0
race,African-American,24,1,1,0.7842078058236037,0
race,African-American,24,2,1,0.8421643648540181,0
race,African-American,24,3,1,0.7813217147083139,0
race,African-American,24,4,1,0.9016360378070134,0
race,African-American,26,1,1,0.7130998213607979,0
race,African-American,26,2,1,0.7675593420940566,0
race,African-American,26,3,1,0.8238764538752328,0
race,African-American,26,4,1,0.8908288044701358,0
race,African-American,26,1,0,0.6584695230900249,0
race,African-American,26,2,0,0.7285053835345382,0
race,African-American,26,3,0,0.7263849031100914,0
race,African-American,26,4,0,0.8396702525645151,0
race,African-American,35,1,1,0.7649529268562775,0
race,African-American,35,2,1,0.7693781467488604,0
race,African-American,35,3,1,0.8115193371332401,0
race,African-American,35,4,1,0.9088231081190848,0
race,African-American,35,1,0,0.6693071830712598,0
race,African-American,35,2,0,0.7204594638954359,0
race,African-American,35,3,0,0.7510391041799951,0
race,African-American,35,4,0,0.8478991855056214,0
race,African-American,38,1,0,0.636843301681939,0
race,African-American,38,2,0,0.740394972102246,0
race,African-American,38,3,0,0.7653640332158208,0
race,African-American,38,4,0,0.8155451573119382,0
race,African-American,38,1,1,0.7669674275884819,0
race,African-American,38,2,1,0.8162873018493292,0
race,African-American,38,3,1,0.8845921307270409,0
race,African-American,38,4,1,0.8994172474706581,0
race,African-American,25,1,0,0.6702626755128752,0
race,African-American,25,2,0,0.704901554824975,0
race,African-American,25,3,0,0.7684139572449912,0
race,African-American,25,4,0,0.8452104027665609,0
race,African-American,25,1,1,0.7581615935441491,0
race,African-American,25,2,1,0.7178370710785973,0
race,African-American,25,3,1,0.8307445900286917,0
race,African-American,25,4,1,0.9239452681599071,0
race,African-American,32,1,0,0.6512232203384659,0
race,African-American,32,2,0,0.6934203177650206,0
