Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,2.2740963855421685,0
race,Caucasian,26,2,0,2.4461538461538463,0
race,Caucasian,26,3,0,2.8018018018018016,0
race,Caucasian,26,4,0,3.2,0
race,Caucasian,26,1,1,2.4318181818181817,0
race,Caucasian,26,2,1,2.871794871794872,0
race,Caucasian,26,3,1,3.5384615384615383,0
race,Caucasian,26,4,1,3.9371428571428573,0
race,Caucasian,29,1,0,2.378612716763006,0
race,Caucasian,29,2,0,2.583756345177665,0
race,Caucasian,29,3,0,2.961904761904762,0
race,Caucasian,29,4,0,3.5833333333333335,0
race,Caucasian,29,1,1,2.877551020408163,0
race,Caucasian,29,2,1,3.27027027027027,0
race,Caucasian,29,3,1,3.3333333333333335,0
race,Caucasian,29,4,1,4.208121827411167,0
race,Caucasian,28,1,0,2.4285714285714284,0
race,Caucasian,28,2,0,2.776595744680851,0
race,Caucasian,28,3,0,2.9919354838709675,0
race,Caucasian,28,4,0,3.346031746031746,0
race,Caucasian,28,1,1,2.7142857142857144,0
race,Caucasian,28,2,1,3.2903225806451615,0
race,Caucasian,28,3,1,3.0384615384615383,0
race,Caucasian,28,4,1,4.267281105990784,0
race,Caucasian,41,1,0,2.504032258064516,0
race,Caucasian,41,2,0,2.697247706422018,0
race,Caucasian,41,3,0,3.0135135135135136,0
race,Caucasian,41,4,0,3.6721311475409837,0
race,Caucasian,41,1,1,3.227272727272727,0
race,Caucasian,41,2,1,3.5161290322580645,0
race,Caucasian,41,3,1,3.8181818181818183,0
race,Caucasian,41,4,1,4.3232323232323235,0
race,Caucasian,39,1,1,3.1333333333333333,0
race,Caucasian,39,2,1,3.0526315789473686,0
race,Caucasian,39,3,1,4.3125,0
race,Caucasian,39,4,1,4.481481481481482,0
race,Caucasian,39,1,0,2.5859030837004404,0
race,Caucasian,39,2,0,2.691666666666667,0
race,Caucasian,39,3,0,3.090909090909091,0
race,Caucasian,39,4,0,3.614678899082569,0
race,Caucasian,30,1,0,2.401734104046243,0
