Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.16650314372064534,0
race,African-American,46,2,1,0.21218250285158735,0
race,African-American,46,3,1,0.39633866905707976,0
race,African-American,46,4,1,0.6343826969390988,0
race,African-American,46,1,0,0.16324469003567307,0
race,African-American,46,2,0,0.2868263385816765,0
race,African-American,46,3,0,0.243771882915778,0
race,African-American,46,4,0,0.4600684367438685,0
race,African-American,30,1,0,0.20205783721316356,0
race,African-American,30,2,0,0.2605080898853647,0
race,African-American,30,3,0,0.3172853886931393,0
race,African-American,30,4,0,0.3623733200141901,0
race,African-American,30,1,1,0.24465191443896772,0
race,African-American,30,2,1,0.4268831653613768,0
race,African-American,30,3,1,0.4166799286302715,0
race,African-American,30,4,1,0.5195466211124387,0
race,African-American,29,1,0,0.20294438722436736,0
race,African-American,29,2,0,0.23768478624584208,0
race,African-American,29,3,0,0.30379961454358917,0
race,African-American,29,4,0,0.36608921552732254,0
race,African-American,29,1,1,0.27196264660945774,0
race,African-American,29,2,1,0.3296654042916472,0
race,African-American,29,3,1,0.40748032521484684,0
race,African-American,29,4,1,0.5184445216773755,0
race,African-American,22,1,0,0.18284993672406216,0
race,African-American,22,2,0,0.27205503666986036,0
race,African-American,22,3,0,0.29425253960003894,0
race,African-American,22,4,0,0.4179722002655148,0
race,African-American,22,1,1,0.2172874084521134,0
race,African-American,22,2,1,0.3845368317832457,0
race,African-American,22,3,1,0.32624362921755246,0
race,African-American,22,4,1,0.5676224291910217,0
race,African-American,34,1,0,0.19483629089810622,0
race,African-American,34,2,0,0.25871053076149325,0
race,African-American,34,3,0,0.3284194892985184,0
race,African-American,34,4,0,0.4027442505153617,0
race,African-American,34,1,1,0.2967767493515404,0
race,African-American,34,2,1,0.2650033695984351,0
race,African-American,34,3,1,0.31469196039768155,0
race,African-American,34,4,1,0.5973341215133003,0
race,African-American,37,1,0,0.22094174188601362,0
race,African-American,37,2,0,0.2744464485341714,0
race,African-American,37,3,0,0.30120254557891246,0
race,African-American,37,4,0,0.33950389543484666,0
race,African-American,37,1,1,0.29607495753503354,0
race,African-American,37,2,1,0.304054038200696,0
