Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,1,5.4,0
race,African-American,27,2,1,3.7777777777777777,0
race,African-American,27,3,1,3.4,0
race,African-American,27,4,1,6.121951219512195,0
race,African-American,27,1,0,2.0823529411764707,0
race,African-American,27,2,0,2.1666666666666665,0
race,African-American,27,3,0,2.918918918918919,0
race,African-American,27,4,0,5.37037037037037,0
race,African-American,37,1,0,3.422222222222222,0
race,African-American,37,2,0,3.8529411764705883,0
race,African-American,37,3,0,3.2222222222222223,0
race,African-American,37,4,0,5.442622950819672,0
race,African-American,37,1,1,3.0,0
race,African-American,37,2,1,5.5,0
race,African-American,37,3,1,4.333333333333333,0
race,African-American,37,4,1,7.222222222222222,0
race,African-American,31,1,0,3.0,0
race,African-American,31,2,0,3.489795918367347,0
race,African-American,31,3,0,3.8620689655172415,0
race,African-American,31,4,0,5.485294117647059,0
race,African-American,31,1,1,4.0,0
race,African-American,31,2,1,4.0,0
race,African-American,31,3,1,0.0,0
race,African-American,31,4,1,7.444444444444445,0
race,African-American,56,1,1,4.333333333333333,0
race,African-American,56,2,1,9.0,0
race,African-American,56,4,1,8.5,0
race,African-American,56,1,0,3.769230769230769,0
race,African-American,56,2,0,3.5294117647058822,0
race,African-American,56,3,0,3.727272727272727,0
race,African-American,56,4,0,5.8125,0
race,African-American,28,1,1,3.75,0
race,African-American,28,2,1,4.111111111111111,0
race,African-American,28,3,1,4.5,0
race,African-American,28,4,1,6.40625,0
race,African-American,28,1,0,3.0985915492957745,0
race,African-American,28,2,0,3.0833333333333335,0
race,African-American,28,3,0,4.333333333333333,0
race,African-American,28,4,0,4.959595959595959,0
race,African-American,25,1,1,2.0,0
race,African-American,25,2,1,5.0,0
race,African-American,25,3,1,5.142857142857143,0
race,African-American,25,4,1,5.775,0
race,African-American,25,1,0,2.35,0
race,African-American,25,2,0,3.2777777777777777,0
race,African-American,25,3,0,3.282051282051282,0
race,African-American,25,4,0,4.438202247191011,0
race,African-American,41,1,1,1.0,0
race,African-American,41,2,1,5.666666666666667,0
race,African-American,41,3,1,6.0,0
race,African-American,41,4,1,6.1,0
race,African-American,41,1,0,3.58974358974359,0
race,African-American,41,2,0,4.617647058823529,0
race,African-American,41,3,0,4.666666666666667,0
race,African-American,41,4,0,5.25531914893617,0
race,African-American,32,1,0,3.414285714285714,0
race,African-American,32,2,0,3.7435897435897436,0
race,African-American,32,3,0,4.653846153846154,0
race,African-American,32,4,0,5.256756756756757,0
race,African-American,32,1,1,3.25,0
race,African-American,32,2,1,5.0,0
race,African-American,32,3,1,5.666666666666667,0
race,African-American,32,4,1,7.318181818181818,0
race,African-American,26,1,1,3.8333333333333335,0
race,African-American,26,2,1,4.181818181818182,0
race,African-American,26,3,1,5.75,0
race,African-American,26,4,1,6.894736842105263,0
race,African-American,26,1,0,2.1538461538461537,0
race,African-American,26,2,0,2.767857142857143,0
race,African-American,26,3,0,3.515151515151515,0
race,African-American,26,4,0,4.431372549019608,0
race,African-American,33,1,0,3.358490566037736,0
race,African-American,33,2,0,4.541666666666667,0
race,African-American,33,3,0,3.36,0
