Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.095814254380901,0
race,Caucasian,26,2,0,0.12933940868999289,0
race,Caucasian,26,3,0,0.16588086228094945,0
race,Caucasian,26,4,0,0.24214240650512014,0
race,Caucasian,26,1,1,0.12204212665463247,0
race,Caucasian,26,2,1,0.18399506703967494,0
race,Caucasian,26,3,1,0.22132219958909152,0
race,Caucasian,26,4,1,0.3549598126989787,0
race,Caucasian,29,1,0,0.09959325160334598,0
race,Caucasian,29,2,0,0.13194997575682382,0
race,Caucasian,29,3,0,0.15205282555351918,0
race,Caucasian,29,4,0,0.23581112731256584,0
race,Caucasian,29,1,1,0.12257867472872988,0
race,Caucasian,29,2,1,0.17021603346160985,0
race,Caucasian,29,3,1,0.22187889794849208,0
race,Caucasian,29,4,1,0.3563907477633562,0
race,Caucasian,28,1,0,0.09715253804175057,0
race,Caucasian,28,2,0,0.1312815596379898,0
race,Caucasian,28,3,0,0.15196445155197272,0
race,Caucasian,28,4,0,0.22943136129780206,0
race,Caucasian,28,1,1,0.12018231248898924,0
race,Caucasian,28,2,1,0.1750438103674711,0
race,Caucasian,28,3,1,0.21099964300336607,0
race,Caucasian,28,4,1,0.3700680316620479,0
race,Caucasian,41,1,0,0.09501916225961266,0
race,Caucasian,41,2,0,0.1128219258729091,0
race,Caucasian,41,3,0,0.15693634914104912,0
race,Caucasian,41,4,0,0.21912143481227458,0
race,Caucasian,41,1,1,0.12161300264391205,0
race,Caucasian,41,2,1,0.19387624414937982,0
race,Caucasian,41,3,1,0.1939392699065695,0
race,Caucasian,41,4,1,0.3186336740213716,0
race,Caucasian,39,1,0,0.09918797511657124,0
race,Caucasian,39,2,0,0.13036219826006792,0
race,Caucasian,39,3,0,0.155083790778748,0
race,Caucasian,39,4,0,0.23901421294259134,0
race,Caucasian,39,1,1,0.11131643053400718,0
race,Caucasian,39,2,1,0.164999754571932,0
race,Caucasian,39,3,1,0.1905442779606583,0
race,Caucasian,39,4,1,0.326810317026135,0
race,Caucasian,30,1,0,0.09863960945783072,0
race,Caucasian,30,2,0,0.12814962849613482,0
race,Caucasian,30,3,0,0.15109643609333284,0
race,Caucasian,30,4,0,0.24353225913886137,0
race,Caucasian,30,1,1,0.11956985705889583,0
race,Caucasian,30,2,1,0.1492187264601061,0
race,Caucasian,30,3,1,0.22531205000746438,0
race,Caucasian,30,4,1,0.3507435480826045,0
race,Caucasian,48,1,0,0.07252031997656751,0
race,Caucasian,48,2,0,0.09673883271289382,0
race,Caucasian,48,3,0,0.12434855446823517,0
race,Caucasian,48,4,0,0.18932634962962058,0
race,Caucasian,48,1,1,0.08305248573016427,0
race,Caucasian,48,2,1,0.14127908050722177,0
race,Caucasian,48,3,1,0.14598503955788472,0
race,Caucasian,48,4,1,0.2693046954388229,0
race,Caucasian,53,1,0,0.06832624947807579,0
race,Caucasian,53,2,0,0.09577192819331137,0
race,Caucasian,53,3,0,0.09545736241594713,0
race,Caucasian,53,4,0,0.1678393047739061,0
