Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.013156944233384016,0
race,Caucasian,26,2,0,0.025925766206469206,0
race,Caucasian,26,3,0,0.0680770561382913,0
race,Caucasian,26,4,0,0.1459491384846617,0
race,Caucasian,26,1,1,0.015199264088307908,0
race,Caucasian,26,2,1,0.05019255683131044,0
race,Caucasian,26,3,1,0.07665358729634617,0
race,Caucasian,26,4,1,0.3059421928273472,0
race,Caucasian,29,1,0,0.013526979559731327,0
race,Caucasian,29,2,0,0.02894712664881123,0
race,Caucasian,29,3,0,0.0484736865805563,0
race,Caucasian,29,4,0,0.13114318291297286,0
race,Caucasian,29,1,1,0.01813435596568515,0
race,Caucasian,29,2,1,0.05526421928434417,0
race,Caucasian,29,3,1,0.1349075397269392,0
race,Caucasian,29,4,1,0.29471415761469977,0
race,Caucasian,28,1,0,0.012589450148526835,0
race,Caucasian,28,2,0,0.02900051326844915,0
race,Caucasian,28,3,0,0.03856026354167393,0
race,Caucasian,28,4,0,0.1237376930023633,0
race,Caucasian,28,1,1,0.0150334845348195,0
race,Caucasian,28,2,1,0.06238118445701467,0
race,Caucasian,28,3,1,0.08712793226649532,0
race,Caucasian,28,4,1,0.2954955563098647,0
race,Caucasian,41,1,0,0.010886832455708147,0
race,Caucasian,41,2,0,0.020718181099842598,0
race,Caucasian,41,3,0,0.043169844487124694,0
race,Caucasian,41,4,0,0.11286291291927907,0
race,Caucasian,41,1,1,0.021058995391129508,0
race,Caucasian,41,2,1,0.05840680617150272,0
race,Caucasian,41,3,1,0.08022581977451088,0
race,Caucasian,41,4,1,0.22610300688739182,0
race,Caucasian,39,1,0,0.012031506316835316,0
race,Caucasian,39,2,0,0.029056156243962947,0
race,Caucasian,39,3,0,0.05145350797363248,0
race,Caucasian,39,4,0,0.11767732216008593,0
race,Caucasian,39,1,1,0.01744184114575644,0
race,Caucasian,39,2,1,0.043768018540298485,0
race,Caucasian,39,3,1,0.10424406391325294,0
race,Caucasian,39,4,1,0.2232035569041644,0
race,Caucasian,30,1,0,0.012869939407828435,0
race,Caucasian,30,2,0,0.028742073114655573,0
race,Caucasian,30,3,0,0.043608136489644754,0
race,Caucasian,30,4,0,0.1331212783402982,0
race,Caucasian,30,1,1,0.017466389174756083,0
race,Caucasian,30,2,1,0.03760547020224631,0
race,Caucasian,30,3,1,0.10256905320017377,0
race,Caucasian,30,4,1,0.32813900442104316,0
race,Caucasian,48,1,0,0.008071020681715406,0
race,Caucasian,48,2,0,0.017318694587441764,0
race,Caucasian,48,3,0,0.037620077597527994,0
race,Caucasian,48,4,0,0.10176878576828115,0
race,Caucasian,48,1,1,0.009727349728957262,0
race,Caucasian,48,2,1,0.03208106544674444,0
