Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,30,1,1,0.08493859448532814,0
race,Caucasian,30,2,1,0.19386381008204845,0
race,Caucasian,30,3,1,0.2431036911561913,0
race,Caucasian,30,4,1,0.3372313323326017,0
race,Caucasian,30,1,0,0.07393265010874288,0
race,Caucasian,30,2,0,0.11550296783811134,0
race,Caucasian,30,3,0,0.13993013394089093,0
race,Caucasian,30,4,0,0.25322519373929586,0
race,Caucasian,27,1,1,0.09152086607387655,0
race,Caucasian,27,2,1,0.14860639739980513,0
race,Caucasian,27,3,1,0.2001376411572113,0
race,Caucasian,27,4,1,0.32002069786539566,0
race,Caucasian,27,1,0,0.06679427401747826,0
race,Caucasian,27,2,0,0.09895734710922492,0
race,Caucasian,27,3,0,0.14764243529021873,0
race,Caucasian,27,4,0,0.22002797277192598,0
race,Caucasian,41,1,0,0.07623564314192752,0
race,Caucasian,41,2,0,0.11401393042591655,0
race,Caucasian,41,3,0,0.14656354576497854,0
race,Caucasian,41,4,0,0.23513388514062789,0
race,Caucasian,41,1,1,0.1072639606564646,0
race,Caucasian,41,2,1,0.19533569482275276,0
race,Caucasian,41,3,1,0.1793730205463366,0
race,Caucasian,41,4,1,0.36294247105437255,0
race,Caucasian,51,1,0,0.08014525945769811,0
race,Caucasian,51,2,0,0.1150004947683674,0
race,Caucasian,51,3,0,0.1469934610120773,0
race,Caucasian,51,4,0,0.22407821170519915,0
race,Caucasian,51,1,1,0.08713920906175593,0
race,Caucasian,51,2,1,0.16242709338285227,0
race,Caucasian,51,3,1,0.2807191386823082,0
race,Caucasian,51,4,1,0.3268575488451929,0
race,Caucasian,32,1,0,0.07219498192005865,0
race,Caucasian,32,2,0,0.10495283006913729,0
race,Caucasian,32,3,0,0.14466995024540924,0
race,Caucasian,32,4,0,0.2458754489144298,0
race,Caucasian,32,1,1,0.0958662297081031,0
race,Caucasian,32,2,1,0.18517398541079108,0
race,Caucasian,32,3,1,0.22598824088730202,0
race,Caucasian,32,4,1,0.3448170344043594,0
race,Caucasian,42,1,0,0.08058799745781459,0
race,Caucasian,42,2,0,0.1013041941315639,0
race,Caucasian,42,3,0,0.14879361348960152,0
race,Caucasian,42,4,0,0.2643138165761287,0
race,Caucasian,42,1,1,0.1086360223274771,0
race,Caucasian,42,2,1,0.1617991425109497,0
race,Caucasian,42,3,1,0.28009765916524854,0
race,Caucasian,42,4,1,0.3353681905375015,0
race,Caucasian,20,1,0,0.05836933128524005,0
race,Caucasian,20,2,0,0.08132344412488822,0
race,Caucasian,20,3,0,0.10941275021903277,0
race,Caucasian,20,4,0,0.15138897354634684,0
race,Caucasian,20,1,1,0.07016107143324778,0
race,Caucasian,20,2,1,0.09808210081267069,0
race,Caucasian,20,3,1,0.11450991829731665,0
race,Caucasian,20,4,1,0.23856716870484815,0
race,Caucasian,34,1,1,0.09759339942831545,0
race,Caucasian,34,2,1,0.18704275480530408,0
race,Caucasian,34,3,1,0.19842607222683317,0
race,Caucasian,34,4,1,0.35246633180539266,0
race,Caucasian,34,1,0,0.07416344221715708,0
race,Caucasian,34,2,0,0.11474488311487523,0
race,Caucasian,34,3,0,0.140618490761003,0
race,Caucasian,34,4,0,0.2755422248963001,0
race,Caucasian,31,1,0,0.07652969584901154,0
race,Caucasian,31,2,0,0.11114644574645705,0
race,Caucasian,31,3,0,0.1592005723579281,0
race,Caucasian,31,4,0,0.2594869219924903,0
race,Caucasian,31,1,1,0.0916332031191687,0
race,Caucasian,31,2,1,0.1804649182489447,0
race,Caucasian,31,3,1,0.2678211018059683,0
race,Caucasian,31,4,1,0.34307497548800386,0
race,Caucasian,46,1,0,0.07403588238110193,0
race,Caucasian,46,2,0,0.10854081911919931,0
race,Caucasian,46,3,0,0.1344842266988469,0
race,Caucasian,46,4,0,0.23047107706961228,0
race,Caucasian,46,1,1,0.08055374187505174,0
race,Caucasian,46,2,1,0.18234644896147473,0
race,Caucasian,46,3,1,0.2361171909982982,0
race,Caucasian,46,4,1,0.3467498230835545,0
race,Caucasian,26,1,1,0.07491675849117603,0
race,Caucasian,26,2,1,0.1588457150258038,0
race,Caucasian,26,3,1,0.21119588813083975,0
race,Caucasian,26,4,1,0.30787357242024316,0
race,Caucasian,26,1,0,0.06756726697890944,0
race,Caucasian,26,2,0,0.0965631526852365,0
race,Caucasian,26,3,0,0.1512268631477557,0
race,Caucasian,26,4,0,0.2200879340744748,0
race,Caucasian,56,1,0,0.07794469729235565,0
race,Caucasian,56,2,0,0.12105556801140496,0
race,Caucasian,56,3,0,0.1363624618511579,0
race,Caucasian,56,4,0,0.21730889074578286,0
race,Caucasian,56,1,1,0.09527723907393397,0
race,Caucasian,56,2,1,0.08331439759984216,0
race,Caucasian,56,3,1,0.14519007218989313,0
race,Caucasian,56,4,1,0.3250241634082798,0
race,Caucasian,36,1,0,0.08145341240679119,0
race,Caucasian,36,2,0,0.12669413789103914,0
race,Caucasian,36,3,0,0.1685984487576265,0
race,Caucasian,36,4,0,0.25725286063095365,0
race,Caucasian,36,1,1,0.08709213701271325,0
race,Caucasian,36,2,1,0.22580478961997166,0
race,Caucasian,36,3,1,0.23852507250596988,0
race,Caucasian,36,4,1,0.35797054336866446,0
race,Caucasian,25,1,1,0.07491675849117602,0
race,Caucasian,25,2,1,0.14735347956417183,0
race,Caucasian,25,3,1,0.1821801080948985,0
race,Caucasian,25,4,1,0.2956853058938884,0
race,Caucasian,25,1,0,0.06395643603184387,0
race,Caucasian,25,2,0,0.09480395561207677,0
race,Caucasian,25,3,0,0.13613586537927477,0
race,Caucasian,25,4,0,0.22016635430813963,0
race,Caucasian,28,1,0,0.07390364774553003,0
race,Caucasian,28,2,0,0.10948513940440098,0
race,Caucasian,28,3,0,0.14694204067835653,0
race,Caucasian,28,4,0,0.2376147154236661,0
race,Caucasian,28,1,1,0.08946924895536795,0
race,Caucasian,28,2,1,0.15202533116468514,0
race,Caucasian,28,3,1,0.21680982254112247,0
race,Caucasian,28,4,1,0.341195127683268,0
race,Caucasian,49,1,1,0.0988196019688704,0
race,Caucasian,49,2,1,0.09049210248429725,0
