Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.621171408562369,0
race,African-American,46,2,1,0.690663216760111,0
race,African-American,46,3,1,0.7445167176913506,0
race,African-American,46,4,1,0.8801186902376629,0
race,African-American,46,1,0,0.5875029186530959,0
race,African-American,46,2,0,0.6627661323314435,0
race,African-American,46,3,0,0.6218036848302507,0
race,African-American,46,4,0,0.7886681439706308,0
race,African-American,30,1,0,0.6305706866739816,0
race,African-American,30,2,0,0.6955476244106192,0
race,African-American,30,3,0,0.7380215177498385,0
race,African-American,30,4,0,0.7587218494424288,0
race,African-American,30,1,1,0.6495821205307072,0
race,African-American,30,2,1,0.7796263289616447,0
race,African-American,30,3,1,0.7811450143885557,0
race,African-American,30,4,1,0.8532615992872638,0
race,African-American,29,1,0,0.6268539374755691,0
race,African-American,29,2,0,0.6640812700721113,0
race,African-American,29,3,0,0.7271423860691568,0
race,African-American,29,4,0,0.7597116187570495,0
race,African-American,29,1,1,0.6522449685621273,0
race,African-American,29,2,1,0.7027097169877626,0
race,African-American,29,3,1,0.7857005323089669,0
race,African-American,29,4,1,0.8221357329533532,0
race,African-American,22,1,0,0.6127573774904501,0
race,African-American,22,2,0,0.6857038099691992,0
race,African-American,22,3,0,0.7132887175738725,0
race,African-American,22,4,0,0.7902657194541931,0
race,African-American,22,1,1,0.6333903957978136,0
race,African-American,22,2,1,0.7505886836868219,0
race,African-American,22,3,1,0.7213966528078762,0
race,African-American,22,4,1,0.8474355294810473,0
race,African-American,34,1,0,0.612115629834367,0
race,African-American,34,2,0,0.6612327264293716,0
race,African-American,34,3,0,0.7359204918032942,0
race,African-American,34,4,0,0.7822920734458362,0
race,African-American,34,1,1,0.7024446112940678,0
race,African-American,34,2,1,0.6573057407434891,0
race,African-American,34,3,1,0.695769363049451,0
race,African-American,34,4,1,0.8692710870694326,0
race,African-American,37,1,0,0.6149727765460584,0
race,African-American,37,2,0,0.6453536358602749,0
race,African-American,37,3,0,0.6545798759149373,0
race,African-American,37,4,0,0.7225488989927336,0
race,African-American,37,1,1,0.6972970370852731,0
