Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,2.159090909090909,0
race,African-American,27,2,0,2.44,0
race,African-American,27,3,0,2.9,0
race,African-American,27,4,0,5.6173913043478265,0
race,African-American,27,1,1,7.0,0
race,African-American,27,2,1,3.0,0
race,African-American,27,3,1,4.5,0
race,African-American,27,4,1,5.714285714285714,0
race,African-American,37,1,0,3.3958333333333335,0
race,African-American,37,2,0,3.914285714285714,0
race,African-American,37,3,0,3.6129032258064515,0
race,African-American,37,4,0,5.685714285714286,0
race,African-American,37,2,1,3.0,0
race,African-American,37,3,1,0.5,0
race,African-American,37,4,1,7.111111111111111,0
race,African-American,31,1,0,3.1447368421052633,0
race,African-American,31,2,0,3.5283018867924527,0
race,African-American,31,3,0,3.7333333333333334,0
race,African-American,31,4,0,5.865168539325842,0
race,African-American,31,1,1,1.0,0
race,African-American,31,4,1,8.666666666666666,0
race,African-American,56,1,0,3.8,0
race,African-American,56,2,0,3.5294117647058822,0
race,African-American,56,3,0,3.727272727272727,0
race,African-American,56,4,0,5.823529411764706,0
race,African-American,56,1,1,5.0,0
race,African-American,56,2,1,9.0,0
race,African-American,56,4,1,11.0,0
race,African-American,28,1,0,3.1095890410958904,0
race,African-American,28,2,0,3.245614035087719,0
race,African-American,28,3,0,4.340425531914893,0
race,African-American,28,4,0,5.31404958677686,0
race,African-American,28,1,1,4.0,0
race,African-American,28,4,1,5.3,0
race,African-American,25,1,0,2.3333333333333335,0
race,African-American,25,2,0,3.430379746835443,0
race,African-American,25,3,0,3.4318181818181817,0
race,African-American,25,4,0,4.798319327731092,0
race,African-American,25,3,1,6.5,0
race,African-American,25,4,1,5.5,0
race,African-American,41,1,0,3.4047619047619047,0
race,African-American,41,2,0,4.7368421052631575,0
race,African-American,41,3,0,4.75,0
race,African-American,41,4,0,5.3090909090909095,0
race,African-American,41,2,1,5.5,0
race,African-American,41,4,1,8.0,0
race,African-American,32,1,0,3.375,0
race,African-American,32,2,0,3.9302325581395348,0
race,African-American,32,3,0,4.607142857142857,0
race,African-American,32,4,0,5.595505617977528,0
race,African-American,32,1,1,4.5,0
race,African-American,32,2,1,2.0,0
race,African-American,32,3,1,9.0,0
race,African-American,32,4,1,7.428571428571429,0
race,African-American,26,1,0,2.295774647887324,0
race,African-American,26,2,0,2.9696969696969697,0
race,African-American,26,3,0,3.75,0
race,African-American,26,4,0,5.0,0
race,African-American,26,2,1,5.0,0
race,African-American,26,3,1,4.0,0
race,African-American,26,4,1,6.75,0
race,African-American,33,1,0,3.540983606557377,0
race,African-American,33,2,0,4.686274509803922,0
race,African-American,33,3,0,3.6857142857142855,0
race,African-American,33,4,0,5.285714285714286,0
race,African-American,33,1,1,5.0,0
race,African-American,33,2,1,10.0,0
race,African-American,33,3,1,10.0,0
race,African-American,33,4,1,8.75,0
race,African-American,52,1,0,3.9615384615384617,0
race,African-American,52,2,0,4.0,0
race,African-American,52,3,0,4.0,0
race,African-American,52,4,0,6.457142857142857,0
race,African-American,52,3,1,8.0,0
race,African-American,52,4,1,10.0,0
race,African-American,46,1,0,4.235294117647059,0
race,African-American,46,2,0,3.2093023255813953,0
race,African-American,46,3,0,4.6,0
race,African-American,46,4,0,5.636363636363637,0
race,African-American,46,1,1,4.0,0
race,African-American,46,4,1,7.5,0
race,African-American,44,1,0,2.7906976744186047,0
race,African-American,44,2,0,4.571428571428571,0
race,African-American,44,3,0,5.0588235294117645,0
race,African-American,44,4,0,6.196428571428571,0
race,African-American,44,1,1,6.0,0
race,African-American,44,3,1,10.0,0
race,African-American,44,4,1,9.2,0
race,African-American,43,1,0,4.470588235294118,0
race,African-American,43,2,0,3.8333333333333335,0
race,African-American,43,3,0,4.1875,0
race,African-American,43,4,0,5.8936170212765955,0
race,African-American,43,1,1,4.0,0
race,African-American,43,2,1,10.0,0
race,African-American,43,3,1,7.5,0
race,African-American,43,4,1,8.6,0
race,African-American,47,1,0,3.264705882352941,0
race,African-American,47,2,0,4.277777777777778,0
race,African-American,47,3,0,5.0,0
race,African-American,47,4,0,6.311111111111111,0
race,African-American,47,2,1,7.0,0
race,African-American,47,4,1,9.0,0
race,African-American,51,1,0,3.7037037037037037,0
race,African-American,51,2,0,4.285714285714286,0
race,African-American,51,3,0,4.0,0
race,African-American,51,4,0,6.290322580645161,0
race,African-American,51,1,1,4.0,0
race,African-American,51,4,1,9.0,0
race,African-American,54,1,0,2.869565217391304,0
race,African-American,54,2,0,3.1875,0
race,African-American,54,3,0,2.6,0
race,African-American,54,4,0,5.708333333333333,0
race,African-American,54,3,1,9.0,0
race,African-American,54,4,1,7.0,0
race,African-American,29,1,0,3.1052631578947367,0
race,African-American,29,2,0,2.5081967213114753,0
race,African-American,29,3,0,5.03030303030303,0
race,African-American,29,4,0,5.432,0
