Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.029260666806802647,0
race,African-American,46,2,0,0.03940730552477272,0
race,African-American,46,3,0,0.03467500838664599,0
race,African-American,46,4,0,0.08848691879905124,0
race,African-American,46,1,1,0.015017975483508736,0
race,African-American,46,2,1,0.037399309551208286,0
race,African-American,46,3,1,0.1870238335642892,0
race,African-American,46,4,1,0.1863586149300435,0
race,African-American,30,1,0,0.04103971662374004,0
race,African-American,30,2,0,0.06797933559334982,0
race,African-American,30,3,0,0.06393679288793312,0
race,African-American,30,4,0,0.0885420822121617,0
race,African-American,30,1,1,0.03823944565635827,0
race,African-American,30,3,1,0.06408906273506845,0
race,African-American,30,4,1,0.17477946822605764,0
race,African-American,29,1,0,0.03782387526582355,0
race,African-American,29,2,0,0.04977415018798137,0
race,African-American,29,3,0,0.0641055529093092,0
race,African-American,29,4,0,0.07978615543228733,0
race,African-American,29,1,1,0.1161785463575909,0
race,African-American,29,2,1,0.15179015857213968,0
race,African-American,29,4,1,0.11745509081507592,0
race,African-American,22,1,0,0.02730012603898085,0
race,African-American,22,2,0,0.05211935134764972,0
race,African-American,22,3,0,0.04798688671814198,0
race,African-American,22,4,0,0.10262784193121866,0
race,African-American,22,1,1,0.045028536673251934,0
race,African-American,22,2,1,0.06336805555555555,0
race,African-American,22,3,1,0.0369752571587434,0
race,African-American,22,4,1,0.1372501213540723,0
race,African-American,34,1,0,0.040897584714059236,0
race,African-American,34,2,0,0.03749828448429846,0
race,African-American,34,3,0,0.06120578119090679,0
race,African-American,34,4,0,0.11536011263891868,0
race,African-American,34,1,1,0.11092985318107668,0
race,African-American,34,2,1,0.0168108929623771,0
race,African-American,34,4,1,0.21690540354398954,0
race,African-American,37,1,0,0.033799729396403355,0
race,African-American,37,2,0,0.043032456697814414,0
race,African-American,37,3,0,0.0460949334362741,0
race,African-American,37,4,0,0.08610284339054779,0
race,African-American,37,1,1,0.06408906273506845,0
race,African-American,37,4,1,0.25036710719530103,0
race,African-American,53,1,0,0.02119812542318488,0
race,African-American,53,2,0,0.045204625272289835,0
race,African-American,53,3,0,0.024672301398521994,0
race,African-American,53,4,0,0.10645948778932364,0
race,African-American,53,1,1,0.09292035398230089,0
race,African-American,53,4,1,0.32872241488615295,0
race,African-American,23,1,0,0.035720629933419804,0
race,African-American,23,2,0,0.05263389490866754,0
race,African-American,23,3,0,0.05289902230013168,0
race,African-American,23,4,0,0.09408676447297669,0
race,African-American,23,1,1,0.06004533912103236,0
race,African-American,23,2,1,0.13778054862842892,0
race,African-American,23,3,1,0.12795002767172875,0
race,African-American,23,4,1,0.2107534552620515,0
race,African-American,24,1,0,0.033541617683974186,0
race,African-American,24,2,0,0.04625109781108082,0
race,African-American,24,3,0,0.04484987915158869,0
race,African-American,24,4,0,0.11399716097890841,0
race,African-American,24,1,1,0.06336805555555555,0
race,African-American,24,2,1,0.25396825396825395,0
race,African-American,24,4,1,0.2083272723033587,0
race,African-American,26,1,0,0.03057803411521148,0
race,African-American,26,2,0,0.04933639387143966,0
race,African-American,26,3,0,0.03741658410693145,0
race,African-American,26,4,0,0.10412833831744366,0
race,African-American,26,1,1,0.04808227453191908,0
race,African-American,26,2,1,0.08200583468441858,0
race,African-American,26,3,1,0.08701208996961048,0
race,African-American,26,4,1,0.21249739682224036,0
race,African-American,35,1,0,0.034890039199621234,0
race,African-American,35,2,0,0.04731014006023688,0
race,African-American,35,3,0,0.06426883062933755,0
race,African-American,35,4,0,0.09578558923561716,0
race,African-American,35,1,1,0.0901988461238467,0
race,African-American,35,2,1,0.06935991498190211,0
race,African-American,35,4,1,0.12454582313413336,0
race,African-American,38,1,0,0.034234735629373236,0
race,African-American,38,2,0,0.0557761743604483,0
race,African-American,38,3,0,0.06434280678370993,0
race,African-American,38,4,0,0.0922579909634594,0
race,African-American,38,2,1,0.0168108929623771,0
race,African-American,38,4,1,0.23267663270610833,0
race,African-American,25,1,0,0.034316834483229586,0
race,African-American,25,2,0,0.04247730147824092,0
race,African-American,25,3,0,0.060764214530516565,0
race,African-American,25,4,0,0.10568489727276716,0
race,African-American,25,1,1,0.030675198592492927,0
race,African-American,25,2,1,0.09607756721022477,0
race,African-American,25,3,1,0.1108269828286483,0
race,African-American,25,4,1,0.2363149721531095,0
race,African-American,32,1,0,0.03587433875182596,0
race,African-American,32,2,0,0.03784730876635848,0
race,African-American,32,3,0,0.06998538451388617,0
race,African-American,32,4,0,0.11613243589818013,0
race,African-American,32,3,1,0.006320930900732653,0
race,African-American,32,4,1,0.1627573983237271,0
race,African-American,42,1,0,0.02897688232249544,0
race,African-American,42,2,0,0.04163047243739442,0
race,African-American,42,3,0,0.044193239764017365,0
race,African-American,42,4,0,0.10682116921977465,0
race,African-American,42,2,1,0.15853658536585366,0
race,African-American,42,4,1,0.12669779518453467,0
race,African-American,41,1,0,0.03460981129367741,0
race,African-American,41,2,0,0.06438433627136136,0
race,African-American,41,3,0,0.06167071865556506,0
race,African-American,41,4,0,0.09053344469644403,0
race,African-American,41,1,1,0.08951477969882878,0
race,African-American,41,4,1,0.2066693771092108,0
race,African-American,33,1,1,0.09292035398230089,0
race,African-American,33,4,1,0.2810067015960635,0
race,African-American,33,1,0,0.033969151955305976,0
race,African-American,33,2,0,0.050870175580531404,0
race,African-American,33,3,0,0.05584114671532576,0
race,African-American,33,4,0,0.10201615326081567,0
race,African-American,31,1,0,0.03268302211076995,0
race,African-American,31,2,0,0.050046947758830666,0
race,African-American,31,3,0,0.053709708536014554,0
race,African-American,31,4,0,0.12842617671944923,0
race,African-American,31,2,1,0.19411764705882353,0
race,African-American,31,4,1,0.24933804577013377,0
race,African-American,50,1,0,0.015017449851457317,0
race,African-American,50,2,0,0.03972599105212753,0
race,African-American,50,3,0,0.0661777622362889,0
race,African-American,50,4,0,0.08720125749525905,0
race,African-American,50,1,1,0.02203103120496336,0
race,African-American,50,2,1,0.2605042016806723,0
race,African-American,50,4,1,0.2822380524536859,0
race,African-American,28,1,0,0.028925036507652414,0
race,African-American,28,2,0,0.04064600988604797,0
race,African-American,28,3,0,0.07038160956814479,0
race,African-American,28,4,0,0.1004136634034862,0
race,African-American,28,2,1,0.06336805555555555,0
race,African-American,28,3,1,0.12185642424434473,0
race,African-American,28,4,1,0.12346288328806306,0
race,African-American,52,1,0,0.01781477127008641,0
race,African-American,52,2,0,0.04195353854117282,0
race,African-American,52,3,0,0.045505986784374786,0
race,African-American,52,4,0,0.06971451307651816,0
race,African-American,51,1,0,0.027415050475105517,0
race,African-American,51,2,0,0.06755231785155505,0
race,African-American,51,3,0,0.0321435371857392,0
race,African-American,51,4,0,0.07178977634104287,0
race,African-American,51,2,1,0.20516129032258065,0
race,African-American,51,3,1,0.07077625570776255,0
race,African-American,51,4,1,0.2649865591397849,0
race,African-American,40,1,0,0.03994233075454555,0
race,African-American,40,2,0,0.04476539904683793,0
race,African-American,40,3,0,0.06898462848859131,0
race,African-American,40,4,0,0.09910296448393484,0
race,African-American,40,1,1,0.0351966068189013,0
race,African-American,40,2,1,0.09240687679083094,0
race,African-American,40,3,1,0.14504373177842567,0
race,African-American,40,4,1,0.26535873508835367,0
race,African-American,60,1,0,0.01901256840169307,0
race,African-American,60,2,0,0.0191752931985449,0
race,African-American,60,3,0,0.024514811031664963,0
race,African-American,60,4,0,0.030290870178510624,0
race,African-American,60,1,1,0.10048038430744596,0
race,African-American,39,1,0,0.03978177971547373,0
race,African-American,39,2,0,0.04119880134541125,0
race,African-American,39,3,0,0.0430924681003195,0
race,African-American,39,4,0,0.10488652048709639,0
race,African-American,39,2,1,0.06408906273506845,0
race,African-American,39,4,1,0.4258064516129032,0
race,African-American,47,1,0,0.020379824121782953,0
race,African-American,47,2,0,0.05252470099163869,0
race,African-American,47,3,0,0.05411936525696678,0
race,African-American,47,4,0,0.08151717567541754,0
race,African-American,47,3,1,0.12276205804293581,0
race,African-American,47,4,1,0.3407674250992223,0
race,African-American,36,1,0,0.03021738840034438,0
race,African-American,36,2,0,0.045524312271300965,0
race,African-American,36,3,0,0.06349543376495981,0
race,African-American,36,4,0,0.1085020427957723,0
race,African-American,36,1,1,0.11092985318107668,0
race,African-American,44,1,0,0.03145326732657907,0
race,African-American,44,2,0,0.055200738433017864,0
race,African-American,44,3,0,0.035545944164228155,0
race,African-American,44,4,0,0.10613076500423084,0
race,African-American,44,1,1,0.03693340794627868,0
race,African-American,44,2,1,0.026527262136584566,0
race,African-American,44,3,1,0.22943722943722944,0
race,African-American,44,4,1,0.1133422029218039,0
race,African-American,48,1,0,0.0234969271071988,0
race,African-American,48,2,0,0.04024834470719822,0
race,African-American,48,3,0,0.036345685129431794,0
race,African-American,48,4,0,0.07815644972222664,0
race,African-American,48,2,1,0.10625091030085572,0
race,African-American,48,4,1,0.32870466609747945,0
race,African-American,49,1,0,0.02204712221287229,0
race,African-American,49,2,0,0.03384911537179557,0
race,African-American,49,3,0,0.06368545173077338,0
race,African-American,49,4,0,0.06757063913588608,0
race,African-American,49,4,1,0.25036710719530103,0
race,African-American,63,1,0,0.0368440285990211,0
race,African-American,63,2,0,0.057164615929235475,0
race,African-American,63,4,0,0.05814933624076631,0
race,African-American,27,1,0,0.03725193953652082,0
race,African-American,27,2,0,0.06596097608693507,0
race,African-American,27,3,0,0.05985408259411574,0
race,African-American,27,4,0,0.10358376094511483,0
race,African-American,27,1,1,0.06408906273506845,0
race,African-American,27,2,1,0.05579964234980807,0
race,African-American,27,3,1,0.25036710719530103,0
