Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.002169670872540837,0
race,African-American,46,2,0,0.00360988695419531,0
race,African-American,46,3,0,0.003449537828505101,0
race,African-American,46,4,0,0.020663410551782457,0
race,African-American,46,1,1,0.0004068712239275427,0
race,African-American,46,2,1,0.0045742484683610985,0
race,African-American,46,3,1,0.0701093834144253,0
race,African-American,46,4,1,0.13622533777528817,0
race,African-American,30,1,0,0.0035897692448769243,0
race,African-American,30,2,0,0.010705194250038779,0
race,African-American,30,3,0,0.008950428448082613,0
race,African-American,30,4,0,0.01600734732147029,0
race,African-American,30,1,1,0.0018650779728348426,0
race,African-American,30,3,1,0.005772722946799067,0
race,African-American,30,4,1,0.07700889925482525,0
race,African-American,29,1,0,0.0019957752703890514,0
race,African-American,29,2,0,0.0035032143611382163,0
race,African-American,29,3,0,0.011665434089152583,0
race,African-American,29,4,0,0.019104224466042864,0
race,African-American,29,1,1,0.005433464168737176,0
race,African-American,29,2,1,0.056814752419788506,0
race,African-American,29,4,1,0.04907854608325564,0
race,African-American,22,1,0,0.0019292356707819424,0
race,African-American,22,2,0,0.009319543419596977,0
race,African-American,22,3,0,0.005508722566537732,0
race,African-American,22,4,0,0.030361029839284306,0
race,African-American,22,1,1,0.0030425031724281,0
race,African-American,22,2,1,0.0016626073018185853,0
race,African-American,22,3,1,0.0015522740459382454,0
race,African-American,22,4,1,0.07486283561819454,0
race,African-American,34,1,0,0.002042710814886947,0
race,African-American,34,2,0,0.0020759452856705433,0
race,African-American,34,3,0,0.006785346456294524,0
race,African-American,34,4,0,0.02641926585372244,0
race,African-American,34,1,1,0.0047881091652817445,0
race,African-American,34,2,1,0.0014700526299549212,0
race,African-American,34,4,1,0.16073187160604516,0
race,African-American,37,1,0,0.0021878761332725237,0
race,African-American,37,2,0,0.004134191940575431,0
race,African-American,37,3,0,0.004725692995225949,0
race,African-American,37,4,0,0.020481433407052708,0
race,African-American,37,1,1,0.0034845031752347485,0
race,African-American,37,4,1,0.3256908599912098,0
race,African-American,53,1,0,0.000743054742117864,0
race,African-American,53,2,0,0.002891023282198944,0
race,African-American,53,3,0,0.0033875209747919813,0
race,African-American,53,4,0,0.027211338106399172,0
race,African-American,53,1,1,0.0026933392286328235,0
race,African-American,53,4,1,0.175579600694135,0
race,African-American,23,1,0,0.00422472109812886,0
race,African-American,23,2,0,0.007778434962833633,0
race,African-American,23,3,0,0.012127261112845875,0
race,African-American,23,4,0,0.016237241959617493,0
race,African-American,23,1,1,0.003444998061410755,0
race,African-American,23,2,1,0.020435797343215222,0
race,African-American,23,3,1,0.00895881782285937,0
race,African-American,23,4,1,0.10689609760078099,0
race,African-American,24,1,0,0.0025142441940847545,0
race,African-American,24,2,0,0.004599528867664041,0
race,African-American,24,3,0,0.007102836804824597,0
race,African-American,24,4,0,0.03897609893752825,0
race,African-American,24,1,1,0.00992263248027156,0
race,African-American,24,2,1,0.09839154683922549,0
race,African-American,24,4,1,0.1191821257646528,0
race,African-American,26,1,0,0.0017998672550968943,0
race,African-American,26,2,0,0.0067567381624221955,0
race,African-American,26,3,0,0.0030810578007609353,0
race,African-American,26,4,0,0.02110160257912023,0
race,African-American,26,1,1,0.0014524861115407452,0
race,African-American,26,2,1,0.01953508439745031,0
race,African-American,26,3,1,0.024905969249952736,0
race,African-American,26,4,1,0.12901370545432345,0
race,African-American,35,1,0,0.0020537707368018824,0
race,African-American,35,2,0,0.0034744033856728717,0
race,African-American,35,3,0,0.007053235814553168,0
race,African-American,35,4,0,0.02037145120296231,0
race,African-American,35,1,1,0.005937864961187257,0
race,African-American,35,2,1,0.007175876796952397,0
race,African-American,35,4,1,0.038882442198097486,0
race,African-American,38,1,0,0.0017917288345236874,0
race,African-American,38,2,0,0.00827115499906269,0
race,African-American,38,3,0,0.00958443586816088,0
race,African-American,38,4,0,0.02747542011945099,0
race,African-American,38,2,1,0.00019534341278566343,0
race,African-American,38,4,1,0.11957800597227197,0
race,African-American,25,1,0,0.0025254140208581626,0
race,African-American,25,2,0,0.002023281061106742,0
race,African-American,25,3,0,0.007236748157677496,0
race,African-American,25,4,0,0.034405675466886075,0
race,African-American,25,1,1,0.0013246263429706725,0
race,African-American,25,2,1,0.003912294295545728,0
race,African-American,25,3,1,0.013281547858976556,0
race,African-American,25,4,1,0.16028842678656632,0
race,African-American,32,1,0,0.0016779523868655428,0
race,African-American,32,2,0,0.0024407316937044943,0
race,African-American,32,3,0,0.011346746732414781,0
race,African-American,32,4,0,0.024818270501426657,0
race,African-American,32,3,1,0.00013334134871472619,0
race,African-American,32,4,1,0.020636026352939315,0
race,African-American,42,1,0,0.0020721326418468,0
race,African-American,42,2,0,0.0030259945925326585,0
race,African-American,42,3,0,0.0032601878244249262,0
race,African-American,42,4,0,0.0204104185175514,0
race,African-American,42,2,1,0.0249489507677704,0
race,African-American,42,4,1,0.018442352917567337,0
race,African-American,41,1,0,0.0017428356738919488,0
race,African-American,41,2,0,0.008811125988439744,0
race,African-American,41,3,0,0.00588554371554627,0
race,African-American,41,4,0,0.015139551924324183,0
race,African-American,41,1,1,0.006795022828587671,0
race,African-American,41,4,1,0.03857581723494532,0
race,African-American,33,1,1,0.0062369599303540215,0
race,African-American,33,4,1,0.2019644355618476,0
race,African-American,33,1,0,0.0015678198076787603,0
race,African-American,33,2,0,0.003999425300640929,0
race,African-American,33,3,0,0.004468624796302569,0
race,African-American,33,4,0,0.02285609931757717,0
race,African-American,31,1,0,0.0016612661336678233,0
race,African-American,31,2,0,0.005809268520314793,0
race,African-American,31,3,0,0.011187986540172825,0
race,African-American,31,4,0,0.03566584559577206,0
race,African-American,31,2,1,0.02321648770830361,0
race,African-American,31,4,1,0.2497227239228846,0
race,African-American,50,1,0,0.0005247254446501258,0
race,African-American,50,2,0,0.0016883655318893464,0
race,African-American,50,3,0,0.008204595435944836,0
race,African-American,50,4,0,0.014095461717697644,0
race,African-American,50,1,1,0.0009796461500094897,0
race,African-American,50,2,1,0.02862693125891202,0
race,African-American,50,4,1,0.06050185595610282,0
race,African-American,28,1,0,0.0014779589616768461,0
race,African-American,28,2,0,0.004732119815919914,0
race,African-American,28,3,0,0.010984796790755213,0
race,African-American,28,4,0,0.026047408371085084,0
race,African-American,28,2,1,0.003213054239391793,0
race,African-American,28,3,1,0.049221288683966816,0
race,African-American,28,4,1,0.04218332363434547,0
race,African-American,52,1,0,0.0007064228519895175,0
race,African-American,52,2,0,0.0021911627536794847,0
race,African-American,52,3,0,0.006823993964507596,0
race,African-American,52,4,0,0.0066059091083818695,0
race,African-American,51,1,0,0.0010815702430011585,0
race,African-American,51,2,0,0.008256560364562841,0
race,African-American,51,3,0,0.002298854422893697,0
race,African-American,51,4,0,0.025887599552665112,0
race,African-American,51,2,1,0.05143974848536006,0
race,African-American,51,3,1,0.01613579895737922,0
race,African-American,51,4,1,0.07167862282857514,0
race,African-American,40,1,0,0.002771934913508756,0
race,African-American,40,2,0,0.0018638857808904767,0
race,African-American,40,3,0,0.005029905954811066,0
race,African-American,40,4,0,0.0158206646040781,0
race,African-American,40,1,1,0.0012811037064194078,0
race,African-American,40,2,1,0.005626362559345827,0
race,African-American,40,3,1,0.011992447262179743,0
race,African-American,40,4,1,0.14494670209943977,0
race,African-American,60,1,0,0.0004603032894305272,0
race,African-American,60,2,0,0.0005834231377782961,0
race,African-American,60,3,0,0.0016260337844233807,0
race,African-American,60,4,0,0.004192994245066464,0
race,African-American,60,1,1,0.0023718719414427413,0
race,African-American,39,1,0,0.0043784953937864475,0
race,African-American,39,2,0,0.00269658927479496,0
race,African-American,39,3,0,0.0015014283625214963,0
race,African-American,39,4,0,0.017544633229215463,0
race,African-American,39,2,1,0.0013294378175359829,0
race,African-American,39,4,1,0.19825413619302407,0
race,African-American,47,1,0,0.0008537873136341738,0
race,African-American,47,2,0,0.006228995680298368,0
race,African-American,47,3,0,0.006645682967725127,0
race,African-American,47,4,0,0.016028595255189064,0
race,African-American,47,3,1,0.021551009600529372,0
race,African-American,47,4,1,0.15776277255414672,0
race,African-American,36,1,0,0.0015420602777095629,0
race,African-American,36,2,0,0.005186836308803874,0
race,African-American,36,3,0,0.007275654734354057,0
race,African-American,36,4,0,0.02282884917451313,0
race,African-American,36,1,1,0.008237459150842907,0
race,African-American,44,1,0,0.0013342031394201982,0
race,African-American,44,2,0,0.0030395847696728148,0
race,African-American,44,3,0,0.0012699497075913913,0
race,African-American,44,4,0,0.02313687878288853,0
race,African-American,44,1,1,0.0008996540826262334,0
race,African-American,44,2,1,0.0003592987145581859,0
race,African-American,44,3,1,0.029159734465390514,0
race,African-American,44,4,1,0.039219995154513944,0
race,African-American,48,1,0,0.001454310327100791,0
race,African-American,48,2,0,0.00467737055040069,0
race,African-American,48,3,0,0.0023277372068907887,0
race,African-American,48,4,0,0.018119631112134042,0
race,African-American,48,2,1,0.018302682508047605,0
race,African-American,48,4,1,0.3108599309795618,0
race,African-American,49,1,0,0.0017305672367931035,0
race,African-American,49,2,0,0.002535590573987103,0
race,African-American,49,3,0,0.009511354167634881,0
race,African-American,49,4,0,0.01270161930926618,0
race,African-American,49,4,1,0.05841639958821608,0
race,African-American,63,1,0,0.00033978761200186035,0
race,African-American,63,2,0,0.0013142721214545409,0
race,African-American,63,4,0,0.005492444245833353,0
race,African-American,27,1,0,0.0031670240505558248,0
race,African-American,27,2,0,0.012904908717545337,0
race,African-American,27,3,0,0.008903801538149608,0
race,African-American,27,4,0,0.034208207457836586,0
race,African-American,27,1,1,0.0052298973588197455,0
race,African-American,27,2,1,0.008203149714500311,0
race,African-American,27,3,1,0.23692628446775252,0
race,African-American,27,4,1,0.09452218565841092,0
race,African-American,21,1,0,0.0026421705416261173,0
race,African-American,21,2,0,0.009425389199836168,0
race,African-American,21,3,0,0.005838335071747246,0
race,African-American,21,4,0,0.021678072088167633,0
