Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,27,1,1,0.042215577775964706,0
race,Caucasian,27,2,1,0.05356310740453077,0
race,Caucasian,27,3,1,0.1289072794796879,0
race,Caucasian,27,4,1,0.17242898245233967,0
race,Caucasian,27,1,0,0.027430387945533576,0
race,Caucasian,27,2,0,0.040431530913972294,0
race,Caucasian,27,3,0,0.05606863570654195,0
race,Caucasian,27,4,0,0.11308460110683602,0
race,Caucasian,29,1,0,0.02758055443912173,0
race,Caucasian,29,2,0,0.03878485444194476,0
race,Caucasian,29,3,0,0.05257681379095365,0
race,Caucasian,29,4,0,0.10088003533679314,0
race,Caucasian,29,1,1,0.04852858072643118,0
race,Caucasian,29,2,1,0.06767330010541882,0
race,Caucasian,29,3,1,0.115327045096001,0
race,Caucasian,29,4,1,0.17438735340712547,0
race,Caucasian,49,1,0,0.023634585914557266,0
race,Caucasian,49,2,0,0.03702754604225912,0
race,Caucasian,49,3,0,0.04989942339689955,0
race,Caucasian,49,4,0,0.08012321058710252,0
race,Caucasian,49,1,1,0.04742587317756678,0
race,Caucasian,49,2,1,0.06153833505392529,0
race,Caucasian,49,4,1,0.19484522190340334,0
race,Caucasian,32,1,0,0.025062763794075217,0
race,Caucasian,32,2,0,0.0429950633805451,0
race,Caucasian,32,3,0,0.053623719632868,0
race,Caucasian,32,4,0,0.10589342394307016,0
race,Caucasian,32,1,1,0.04345633279689176,0
race,Caucasian,32,2,1,0.06817395217277156,0
race,Caucasian,32,3,1,0.1080969334293083,0
race,Caucasian,32,4,1,0.17177170243398196,0
race,Caucasian,24,1,0,0.02750369003830867,0
race,Caucasian,24,2,0,0.0452984554219268,0
race,Caucasian,24,3,0,0.04788090796050092,0
race,Caucasian,24,4,0,0.10664368786725165,0
race,Caucasian,24,1,1,0.05801021958483566,0
race,Caucasian,24,2,1,0.07646984860087135,0
race,Caucasian,24,3,1,0.09537301355843172,0
race,Caucasian,24,4,1,0.14883885159530272,0
race,Caucasian,40,1,0,0.025139351505936925,0
race,Caucasian,40,2,0,0.03807447413917623,0
race,Caucasian,40,3,0,0.04255565277589086,0
race,Caucasian,40,4,0,0.09600555345859652,0
race,Caucasian,40,1,1,0.08331439759984216,0
race,Caucasian,40,2,1,0.027799431033916633,0
race,Caucasian,40,3,1,0.10983254385272116,0
race,Caucasian,40,4,1,0.18615281249595217,0
race,Caucasian,25,1,0,0.027315971529599182,0
race,Caucasian,25,2,0,0.04408772314379759,0
race,Caucasian,25,3,0,0.04587398139262864,0
race,Caucasian,25,4,0,0.10904074491142653,0
race,Caucasian,25,1,1,0.04481398778779705,0
race,Caucasian,25,2,1,0.057196039091968826,0
race,Caucasian,25,3,1,0.13670342453002055,0
race,Caucasian,25,4,1,0.15629528331991718,0
race,Caucasian,30,1,0,0.026255720885876348,0
race,Caucasian,30,2,0,0.0453963489447924,0
race,Caucasian,30,3,0,0.05190991577747719,0
race,Caucasian,30,4,0,0.11587273297441805,0
race,Caucasian,30,1,1,0.041624237236580215,0
race,Caucasian,30,2,1,0.11010387802535221,0
race,Caucasian,30,3,1,0.11497469264817223,0
race,Caucasian,30,4,1,0.17742895014656032,0
race,Caucasian,56,1,0,0.026255746049275542,0
race,Caucasian,56,2,0,0.03773730289767618,0
race,Caucasian,56,3,0,0.04108358296827711,0
race,Caucasian,56,4,0,0.07185856084686677,0
race,Caucasian,56,3,1,0.2689414213699951,0
race,Caucasian,56,4,1,0.16911575513807675,0
race,Caucasian,23,1,0,0.02779212402286572,0
race,Caucasian,23,2,0,0.0465884061959453,0
race,Caucasian,23,3,0,0.04808802734969795,0
race,Caucasian,23,4,0,0.09306535632131165,0
race,Caucasian,23,1,1,0.03948679241621674,0
race,Caucasian,23,2,1,0.07670781709050299,0
race,Caucasian,23,3,1,0.1173061598112372,0
race,Caucasian,23,4,1,0.13371611346563392,0
race,Caucasian,35,1,0,0.027464601385975267,0
race,Caucasian,35,2,0,0.03949026612148875,0
race,Caucasian,35,3,0,0.056895835849056976,0
race,Caucasian,35,4,0,0.11518238935803712,0
race,Caucasian,35,1,1,0.06726078545005926,0
race,Caucasian,35,2,1,0.07595448179597336,0
race,Caucasian,35,3,1,0.07350117652801709,0
race,Caucasian,35,4,1,0.175928726039859,0
race,Caucasian,48,1,0,0.02408443257055651,0
race,Caucasian,48,2,0,0.039563811881030794,0
race,Caucasian,48,3,0,0.04764033288566027,0
race,Caucasian,48,4,0,0.09728103313271594,0
race,Caucasian,48,1,1,0.045358130577332414,0
race,Caucasian,48,2,1,0.07595448179597336,0
race,Caucasian,48,3,1,0.07595448179597336,0
race,Caucasian,48,4,1,0.18005438437739377,0
