Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,27,1,0,0.5914319969837223,0
race,African-American,27,2,0,0.6684844589357026,0
race,African-American,27,3,0,0.6399196194628209,0
race,African-American,27,4,0,0.8148873899959879,0
race,African-American,27,1,1,0.7064630634633505,0
race,African-American,27,2,1,0.5392143703739413,0
race,African-American,27,3,1,0.7108517558780889,0
race,African-American,27,4,1,0.8028702556252855,0
race,African-American,37,1,0,0.6131086753217397,0
race,African-American,37,2,0,0.6794095882972824,0
race,African-American,37,3,0,0.6468876812462754,0
race,African-American,37,4,0,0.7698612288321236,0
race,African-American,37,2,1,0.5325324513300328,0
race,African-American,37,3,1,0.8208632864305226,0
race,African-American,37,4,1,0.9119999804398693,0
race,African-American,31,1,0,0.6313679720262135,0
race,African-American,31,2,0,0.6796598674435137,0
race,African-American,31,3,0,0.7059740349426602,0
race,African-American,31,4,0,0.7960423419063771,0
race,African-American,31,1,1,0.5286868067732308,0
race,African-American,31,4,1,0.9525930541537996,0
race,African-American,56,1,0,0.6254140485311884,0
race,African-American,56,2,0,0.5701065948759607,0
race,African-American,56,3,0,0.5925005171875278,0
race,African-American,56,4,0,0.7188491787816456,0
race,African-American,56,1,1,0.6407818609132504,0
race,African-American,56,2,1,0.8175660082796412,0
race,African-American,56,4,1,0.9629771682449358,0
race,African-American,28,1,0,0.6432505229840725,0
race,African-American,28,2,0,0.6574107392070284,0
race,African-American,28,3,0,0.6814591812177294,0
race,African-American,28,4,0,0.7953340990727218,0
race,African-American,28,1,1,0.6363497134824889,0
race,African-American,28,4,1,0.8559296202021338,0
race,African-American,25,1,0,0.6272694201274616,0
race,African-American,25,2,0,0.6516453758639928,0
race,African-American,25,3,0,0.7065813272473608,0
race,African-American,25,4,0,0.8015231550750987,0
race,African-American,25,3,1,0.8290676678709274,0
race,African-American,25,4,1,0.8731596825173824,0
race,African-American,41,1,0,0.5886233604974018,0
race,African-American,41,2,0,0.6263246270977568,0
race,African-American,41,3,0,0.6446728488232354,0
race,African-American,41,4,0,0.7470507785715185,0
race,African-American,41,2,1,0.7437884324196412,0
race,African-American,41,4,1,0.8978256852153134,0
race,African-American,32,1,0,0.6458009196934535,0
race,African-American,32,2,0,0.6533387030515019,0
race,African-American,32,3,0,0.7371541059924429,0
race,African-American,32,4,0,0.795255958133832,0
race,African-American,32,1,1,0.638350852638494,0
race,African-American,32,2,1,0.6042694614124436,0
race,African-American,32,3,1,0.9274155097448435,0
race,African-American,32,4,1,0.8712562884273384,0
race,African-American,26,1,0,0.6430933244536544,0
race,African-American,26,2,0,0.6514103946221264,0
race,African-American,26,3,0,0.6785128008279947,0
race,African-American,26,4,0,0.8056509229311822,0
race,African-American,26,2,1,0.5952327673985297,0
race,African-American,26,3,1,0.8835276372447002,0
race,African-American,26,4,1,0.9135985432299143,0
race,African-American,33,1,0,0.6390930157396157,0
race,African-American,33,2,0,0.6757929502360003,0
race,African-American,33,3,0,0.6983904994534602,0
race,African-American,33,4,0,0.7851981470109177,0
race,African-American,33,1,1,0.6566395453094905,0
race,African-American,33,2,1,0.9292253060572984,0
race,African-American,33,3,1,0.8496209639842948,0
race,African-American,33,4,1,0.954099079189299,0
race,African-American,52,1,0,0.5549057264580662,0
race,African-American,52,2,0,0.6215055360971621,0
race,African-American,52,3,0,0.7096949022766321,0
race,African-American,52,4,0,0.7788338050891677,0
race,African-American,52,3,1,0.9611680517733668,0
race,African-American,52,4,1,0.9609961248548933,0
race,African-American,46,1,0,0.5992732965423365,0
race,African-American,46,2,0,0.5585044458194598,0
race,African-American,46,3,0,0.6244090129052999,0
race,African-American,46,4,0,0.7602168379020651,0
race,African-American,46,1,1,0.5254686932267044,0
race,African-American,46,4,1,0.8752562394272627,0
race,African-American,44,1,0,0.5375650817705637,0
race,African-American,44,2,0,0.6234582092552243,0
race,African-American,44,3,0,0.6662769132740606,0
race,African-American,44,4,0,0.7611107682109876,0
race,African-American,44,1,1,0.5929496121625398,0
race,African-American,44,3,1,0.9483455057922351,0
race,African-American,44,4,1,0.930007231716656,0
race,African-American,43,1,0,0.5993438926224736,0
