Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,4.0,0
race,African-American,46,2,1,3.3333333333333335,0
race,African-American,46,3,1,2.5,0
race,African-American,46,4,1,4.0,0
race,African-American,46,1,0,1.88,0
race,African-American,46,2,0,2.727272727272727,0
race,African-American,46,3,0,1.5714285714285714,0
race,African-American,46,4,0,2.7142857142857144,0
race,African-American,30,1,0,1.4666666666666666,0
race,African-American,30,2,0,1.8461538461538463,0
race,African-American,30,3,0,2.2962962962962963,0
race,African-American,30,4,0,2.3389830508474576,0
race,African-American,30,1,1,1.2,0
race,African-American,30,3,1,2.75,0
race,African-American,30,4,1,4.166666666666667,0
race,African-American,29,1,0,1.647887323943662,0
race,African-American,29,2,0,2.0,0
race,African-American,29,3,0,2.0,0
race,African-American,29,4,0,2.295774647887324,0
race,African-American,29,1,1,1.0,0
race,African-American,29,2,1,4.0,0
race,African-American,29,3,1,3.6666666666666665,0
race,African-American,29,4,1,3.111111111111111,0
race,African-American,22,1,0,1.2816901408450705,0
race,African-American,22,2,0,1.4807692307692308,0
race,African-American,22,3,0,1.48,0
race,African-American,22,4,0,1.890625,0
race,African-American,22,1,1,2.5,0
race,African-American,22,2,1,2.3333333333333335,0
race,African-American,22,3,1,3.0,0
race,African-American,22,4,1,2.727272727272727,0
race,African-American,34,1,0,1.6511627906976745,0
race,African-American,34,2,0,1.8235294117647058,0
race,African-American,34,3,0,2.4615384615384617,0
race,African-American,34,4,0,2.381818181818182,0
race,African-American,34,1,1,4.0,0
race,African-American,34,2,1,4.0,0
race,African-American,34,3,1,2.5,0
race,African-American,34,4,1,4.5,0
race,African-American,37,1,0,1.6285714285714286,0
race,African-American,37,2,0,2.037037037037037,0
race,African-American,37,3,0,1.9090909090909092,0
race,African-American,37,4,0,2.4791666666666665,0
race,African-American,37,1,1,4.0,0
race,African-American,37,2,1,2.0,0
race,African-American,37,3,1,5.0,0
race,African-American,37,4,1,3.75,0
race,African-American,53,1,0,1.6956521739130435,0
race,African-American,53,2,0,2.076923076923077,0
race,African-American,53,3,0,2.6,0
race,African-American,53,4,0,2.590909090909091,0
race,African-American,53,2,1,2.0,0
race,African-American,53,3,1,4.0,0
race,African-American,53,4,1,4.0,0
race,African-American,23,1,0,1.3368421052631578,0
race,African-American,23,2,0,1.6666666666666667,0
race,African-American,23,3,0,1.375,0
race,African-American,23,4,0,2.0240963855421685,0
race,African-American,23,1,1,2.7,0
race,African-American,23,2,1,2.0,0
race,African-American,23,3,1,3.2,0
race,African-American,23,4,1,2.7,0
race,African-American,24,1,0,1.2567567567567568,0
race,African-American,24,2,0,1.6274509803921569,0
race,African-American,24,3,0,1.5555555555555556,0
race,African-American,24,4,0,2.2615384615384615,0
race,African-American,24,1,1,3.3333333333333335,0
race,African-American,24,2,1,2.857142857142857,0
race,African-American,24,4,1,3.375,0
race,African-American,26,1,1,2.5,0
race,African-American,26,2,1,3.3333333333333335,0
race,African-American,26,3,1,3.0,0
race,African-American,26,4,1,3.75,0
race,African-American,26,1,0,1.3421052631578947,0
race,African-American,26,2,0,1.9166666666666667,0
race,African-American,26,3,0,1.7419354838709677,0
race,African-American,26,4,0,2.2528735632183907,0
race,African-American,35,1,1,2.3333333333333335,0
race,African-American,35,4,1,4.5,0
race,African-American,35,1,0,1.7096774193548387,0
race,African-American,35,2,0,2.2,0
race,African-American,35,3,0,1.95,0
race,African-American,35,4,0,2.4615384615384617,0
race,African-American,38,1,0,1.8918918918918919,0
race,African-American,38,2,0,1.8518518518518519,0
race,African-American,38,3,0,2.357142857142857,0
race,African-American,38,4,0,2.15625,0
race,African-American,38,1,1,3.0,0
race,African-American,38,2,1,2.5,0
race,African-American,38,3,1,5.0,0
race,African-American,38,4,1,5.333333333333333,0
race,African-American,25,1,0,1.3918918918918919,0
race,African-American,25,2,0,1.2580645161290323,0
race,African-American,25,3,0,1.75,0
race,African-American,25,4,0,2.107142857142857,0
race,African-American,25,1,1,4.0,0
race,African-American,25,2,1,3.0,0
race,African-American,25,3,1,3.0,0
race,African-American,25,4,1,3.526315789473684,0
race,African-American,32,1,0,1.558139534883721,0
race,African-American,32,2,0,1.5454545454545454,0
race,African-American,32,3,0,1.75,0
race,African-American,32,4,0,2.3230769230769233,0
race,African-American,32,1,1,3.0,0
race,African-American,32,2,1,5.0,0
race,African-American,32,3,1,3.0,0
race,African-American,32,4,1,4.4,0
race,African-American,42,1,0,1.75,0
race,African-American,42,2,0,2.1153846153846154,0
race,African-American,42,3,0,2.5,0
race,African-American,42,4,0,2.5,0
race,African-American,42,2,1,3.0,0
race,African-American,42,4,1,5.0,0
race,African-American,41,1,0,1.59375,0
race,African-American,41,2,0,1.8,0
race,African-American,41,3,0,2.0714285714285716,0
race,African-American,41,4,0,2.27027027027027,0
race,African-American,41,2,1,4.0,0
race,African-American,41,4,1,3.0,0
race,African-American,33,1,0,1.7349397590361446,0
race,African-American,33,2,0,1.8928571428571428,0
race,African-American,33,3,0,1.92,0
race,African-American,33,4,0,2.1041666666666665,0
race,African-American,33,1,1,2.6666666666666665,0
race,African-American,33,2,1,3.5,0
race,African-American,33,3,1,4.0,0
race,African-American,33,4,1,3.9565217391304346,0
race,African-American,31,1,0,1.5070422535211268,0
race,African-American,31,2,0,1.7567567567567568,0
race,African-American,31,3,0,1.6666666666666667,0
race,African-American,31,4,0,2.6315789473684212,0
race,African-American,31,1,1,3.75,0
race,African-American,31,2,1,5.5,0
race,African-American,31,4,1,3.8125,0
race,African-American,50,1,0,1.4193548387096775,0
race,African-American,50,2,0,1.9444444444444444,0
race,African-American,50,3,0,2.25,0
race,African-American,50,4,0,2.772727272727273,0
race,African-American,50,1,1,3.0,0
race,African-American,50,4,1,5.0,0
race,African-American,28,1,0,1.5901639344262295,0
race,African-American,28,2,0,1.7894736842105263,0
race,African-American,28,3,0,2.0,0
race,African-American,28,4,0,2.3333333333333335,0
race,African-American,28,1,1,3.5,0
race,African-American,28,2,1,4.5,0
race,African-American,28,3,1,2.6,0
race,African-American,28,4,1,3.4615384615384617,0
race,African-American,52,1,0,1.7407407407407407,0
race,African-American,52,2,0,2.0,0
race,African-American,52,3,0,2.111111111111111,0
race,African-American,52,4,0,2.0526315789473686,0
race,African-American,52,1,1,3.0,0
race,African-American,52,2,1,4.0,0
race,African-American,52,4,1,3.6666666666666665,0
race,African-American,51,1,0,1.75,0
race,African-American,51,2,0,2.1,0
race,African-American,51,3,0,1.7777777777777777,0
race,African-American,51,4,0,2.090909090909091,0
race,African-American,51,1,1,4.0,0
race,African-American,51,3,1,5.0,0
race,African-American,51,4,1,3.6666666666666665,0
race,African-American,40,1,0,1.7291666666666667,0
race,African-American,40,2,0,1.5769230769230769,0
race,African-American,40,3,0,2.611111111111111,0
race,African-American,40,4,0,2.5531914893617023,0
race,African-American,40,1,1,1.5,0
race,African-American,40,2,1,1.0,0
race,African-American,40,3,1,3.0,0
race,African-American,40,4,1,3.8333333333333335,0
race,African-American,60,2,1,3.0,0
race,African-American,60,3,1,4.0,0
race,African-American,60,1,0,2.25,0
race,African-American,60,2,0,2.0,0
race,African-American,60,4,0,2.0,0
race,African-American,39,1,0,1.6,0
race,African-American,39,2,0,2.0,0
race,African-American,39,3,0,1.9,0
race,African-American,39,4,0,2.142857142857143,0
race,African-American,39,1,1,0.0,0
race,African-American,39,2,1,3.75,0
race,African-American,39,4,1,4.666666666666667,0
race,African-American,47,1,0,1.5,0
race,African-American,47,2,0,2.2666666666666666,0
race,African-American,47,3,0,1.9166666666666667,0
race,African-American,47,4,0,2.3793103448275863,0
race,African-American,47,1,1,3.0,0
race,African-American,47,4,1,5.333333333333333,0
race,African-American,36,1,0,1.7105263157894737,0
race,African-American,36,2,0,1.9130434782608696,0
race,African-American,36,3,0,2.1538461538461537,0
race,African-American,36,4,0,2.473684210526316,0
race,African-American,36,1,1,2.3333333333333335,0
race,African-American,36,2,1,3.5,0
race,African-American,36,3,1,4.0,0
race,African-American,36,4,1,3.7142857142857144,0
race,African-American,44,1,0,1.8571428571428572,0
race,African-American,44,2,0,2.3125,0
race,African-American,44,3,0,1.7142857142857142,0
race,African-American,44,4,0,2.4166666666666665,0
race,African-American,44,1,1,2.0,0
race,African-American,44,2,1,5.0,0
race,African-American,44,3,1,6.0,0
race,African-American,44,4,1,4.833333333333333,0
race,African-American,48,1,0,2.08,0
race,African-American,48,2,0,1.7,0
race,African-American,48,3,0,1.6,0
race,African-American,48,4,0,2.5555555555555554,0
race,African-American,48,1,1,4.0,0
race,African-American,48,2,1,5.0,0
race,African-American,48,3,1,5.0,0
race,African-American,48,4,1,4.25,0
race,African-American,49,1,0,1.4193548387096775,0
race,African-American,49,2,0,2.263157894736842,0
race,African-American,49,3,0,2.5555555555555554,0
race,African-American,49,4,0,2.65,0
race,African-American,49,1,1,6.0,0
race,African-American,49,2,1,3.0,0
race,African-American,49,4,1,5.0,0
race,African-American,63,1,0,1.6,0
race,African-American,63,2,0,1.0,0
race,African-American,63,4,0,3.0,0
race,African-American,27,1,1,2.0,0
race,African-American,27,2,1,3.5,0
race,African-American,27,3,1,3.0,0
race,African-American,27,4,1,3.6875,0
race,African-American,27,1,0,1.6891891891891893,0
race,African-American,27,2,0,2.235294117647059,0
race,African-American,27,3,0,2.2,0
race,African-American,27,4,0,1.9836065573770492,0
race,African-American,21,1,0,1.0384615384615385,0
race,African-American,21,2,0,1.1282051282051282,0
race,African-American,21,3,0,1.3888888888888888,0
race,African-American,21,4,0,1.703125,0
race,African-American,21,1,1,2.4285714285714284,0
race,African-American,21,2,1,2.5,0
race,African-American,21,3,1,1.5,0
race,African-American,21,4,1,3.55,0
race,African-American,43,1,0,1.4473684210526316,0
race,African-American,43,2,0,1.6923076923076923,0
race,African-American,43,3,0,2.5,0
race,African-American,43,4,0,2.3870967741935485,0
race,African-American,43,1,1,5.0,0
race,African-American,43,4,1,3.1666666666666665,0
race,African-American,45,1,0,1.794871794871795,0
race,African-American,45,2,0,1.9545454545454546,0
race,African-American,45,3,0,2.0,0
race,African-American,45,4,0,2.6923076923076925,0
race,African-American,45,1,1,3.5,0
race,African-American,45,4,1,4.0,0
race,African-American,55,1,0,1.7222222222222223,0
race,African-American,55,2,0,1.5,0
race,African-American,55,3,0,1.2,0
race,African-American,55,4,0,2.411764705882353,0
race,African-American,55,1,1,5.0,0
race,African-American,55,2,1,4.0,0
race,African-American,55,3,1,2.0,0
race,African-American,55,4,1,5.0,0
race,African-American,59,1,0,1.8333333333333333,0
race,African-American,59,2,0,2.3333333333333335,0
race,African-American,59,3,0,0.5,0
race,African-American,59,4,0,2.6,0
race,African-American,59,1,1,2.0,0
race,African-American,20,1,0,0.88,0
race,African-American,20,2,0,1.263157894736842,0
race,African-American,20,3,0,1.4761904761904763,0
race,African-American,20,4,0,1.627906976744186,0
race,African-American,20,1,1,1.6,0
race,African-American,20,2,1,3.3333333333333335,0
race,African-American,20,3,1,2.75,0
race,African-American,20,4,1,3.75,0
race,African-American,19,1,0,1.0789473684210527,0
race,African-American,19,2,0,1.4736842105263157,0
race,African-American,19,3,0,1.6,0
race,African-American,19,4,0,1.9047619047619047,0
race,African-American,19,1,1,1.2857142857142858,0
race,African-American,19,2,1,3.1666666666666665,0
race,African-American,19,3,1,3.1666666666666665,0
race,African-American,19,4,1,3.0833333333333335,0
race,African-American,54,1,0,1.8666666666666667,0
race,African-American,54,2,0,2.0,0
race,African-American,54,3,0,2.3333333333333335,0
race,African-American,54,4,0,2.2,0
race,African-American,54,1,1,2.0,0
race,African-American,62,3,1,5.0,0
race,African-American,62,1,0,1.75,0
race,African-American,62,2,0,2.0,0
race,African-American,62,3,0,3.6,0
race,African-American,62,4,0,2.0,0
race,African-American,61,1,0,1.6666666666666667,0
race,African-American,61,2,0,2.2,0
race,African-American,61,4,0,1.6666666666666667,0
race,African-American,65,1,1,2.0,0
race,African-American,65,4,1,3.0,0
race,African-American,65,1,0,1.6666666666666667,0
race,African-American,65,2,0,1.5,0
race,African-American,65,3,0,0.5,0
race,African-American,65,4,0,1.0,0
race,African-American,56,1,1,2.0,0
race,African-American,56,4,1,4.0,0
race,African-American,56,1,0,2.090909090909091,0
race,African-American,56,2,0,2.5,0
race,African-American,56,3,0,1.6666666666666667,0
race,African-American,56,4,0,3.090909090909091,0
race,African-American,57,1,0,1.2,0
race,African-American,57,2,0,1.625,0
race,African-American,57,3,0,1.0,0
race,African-American,57,4,0,1.9090909090909092,0
race,African-American,57,1,1,5.0,0
race,African-American,57,2,1,3.0,0
race,African-American,57,3,1,3.0,0
race,African-American,57,4,1,2.5,0
race,African-American,64,1,0,1.0,0
race,African-American,64,2,0,1.0,0
race,African-American,64,3,0,1.0,0
race,African-American,64,4,0,1.75,0
race,African-American,64,4,1,6.0,0
race,African-American,66,1,0,0.3333333333333333,0
race,African-American,66,2,0,1.75,0
race,African-American,66,3,0,3.0,0
race,African-American,66,1,1,4.0,0
race,African-American,58,1,0,1.9090909090909092,0
race,African-American,58,2,0,1.8571428571428572,0
race,African-American,58,3,0,2.1666666666666665,0
race,African-American,58,4,0,1.6363636363636365,0
race,African-American,58,4,1,3.0,0
race,African-American,69,1,0,1.6666666666666667,0
race,African-American,69,3,0,1.0,0
race,African-American,18,1,0,1.1951219512195121,0
race,African-American,18,2,0,0.8260869565217391,0
race,African-American,18,3,0,1.0,0
race,African-American,18,4,0,1.375,0
race,African-American,18,1,1,2.5384615384615383,0
race,African-American,18,2,1,3.0,0
race,African-American,18,3,1,2.0,0
race,African-American,18,4,1,1.75,0
race,African-American,68,1,0,1.5,0
race,African-American,68,3,0,2.0,0
race,African-American,68,4,0,3.0,0
race,African-American,67,1,0,1.5,0
race,African-American,67,2,0,3.0,0
race,African-American,67,3,0,1.0,0
race,African-American,67,4,0,1.5,0
race,African-American,70,1,0,1.0,0
race,Caucasian,28,1,0,1.178125,0
race,Caucasian,28,2,0,1.4357541899441342,0
race,Caucasian,28,3,0,1.6283185840707965,0
race,Caucasian,28,4,0,1.9101449275362319,0
race,Caucasian,28,1,1,2.076923076923077,0
race,Caucasian,28,2,1,2.5714285714285716,0
race,Caucasian,28,3,1,3.375,0
race,Caucasian,28,4,1,3.5,0
race,Caucasian,23,1,0,0.964735516372796,0
race,Caucasian,23,2,0,1.309782608695652,0
race,Caucasian,23,3,0,1.3716814159292035,0
race,Caucasian,23,4,0,1.6655290102389078,0
race,Caucasian,23,1,1,1.7142857142857142,0
race,Caucasian,23,2,1,2.375,0
race,Caucasian,23,3,1,2.625,0
race,Caucasian,23,4,1,3.2,0
race,Caucasian,49,1,0,1.2671232876712328,0
race,Caucasian,49,2,0,1.8026315789473684,0
race,Caucasian,49,3,0,1.5609756097560976,0
race,Caucasian,49,4,0,1.9285714285714286,0
race,Caucasian,49,1,1,5.0,0
race,Caucasian,49,2,1,2.5,0
race,Caucasian,49,3,1,3.3333333333333335,0
race,Caucasian,49,4,1,5.0,0
race,Caucasian,44,1,0,1.4583333333333333,0
race,Caucasian,44,2,0,1.4891304347826086,0
race,Caucasian,44,3,0,1.641025641025641,0
race,Caucasian,44,4,0,1.9728260869565217,0
race,Caucasian,44,1,1,3.625,0
race,Caucasian,44,2,1,3.0,0
race,Caucasian,44,3,1,2.0,0
race,Caucasian,44,4,1,3.6875,0
race,Caucasian,34,1,0,1.3235294117647058,0
race,Caucasian,34,2,0,1.5886075949367089,0
race,Caucasian,34,3,0,1.8240740740740742,0
race,Caucasian,34,4,0,2.0802292263610314,0
race,Caucasian,34,1,1,2.375,0
race,Caucasian,34,2,1,3.1333333333333333,0
race,Caucasian,34,3,1,3.111111111111111,0
race,Caucasian,34,4,1,3.5135135135135136,0
race,Caucasian,22,1,0,0.7706666666666667,0
race,Caucasian,22,2,0,1.2289156626506024,0
race,Caucasian,22,3,0,1.3245614035087718,0
race,Caucasian,22,4,0,1.5390334572490707,0
race,Caucasian,22,1,1,1.3636363636363635,0
race,Caucasian,22,2,1,2.2,0
race,Caucasian,22,3,1,2.1818181818181817,0
race,Caucasian,22,4,1,2.789473684210526,0
race,Caucasian,43,1,0,1.324742268041237,0
race,Caucasian,43,2,0,1.5526315789473684,0
race,Caucasian,43,3,0,1.6296296296296295,0
race,Caucasian,43,4,0,2.1853932584269664,0
race,Caucasian,43,1,1,3.0,0
race,Caucasian,43,2,1,3.0,0
race,Caucasian,43,3,1,3.0,0
race,Caucasian,43,4,1,3.466666666666667,0
race,Caucasian,40,1,1,2.1,0
race,Caucasian,40,2,1,2.6,0
race,Caucasian,40,3,1,2.625,0
race,Caucasian,40,4,1,3.9583333333333335,0
race,Caucasian,40,1,0,1.4788732394366197,0
race,Caucasian,40,2,0,1.7191011235955056,0
race,Caucasian,40,3,0,1.6376811594202898,0
race,Caucasian,40,4,0,2.1479591836734695,0
race,Caucasian,56,1,0,1.1176470588235294,0
race,Caucasian,56,2,0,1.4411764705882353,0
race,Caucasian,56,3,0,1.7619047619047619,0
race,Caucasian,56,4,0,2.018867924528302,0
race,Caucasian,56,2,1,2.0,0
race,Caucasian,56,3,1,1.0,0
race,Caucasian,56,4,1,4.0,0
race,Caucasian,32,1,0,1.186131386861314,0
race,Caucasian,32,2,0,1.5974842767295598,0
race,Caucasian,32,3,0,1.8695652173913044,0
race,Caucasian,32,4,0,2.037463976945245,0
race,Caucasian,32,1,1,2.7,0
race,Caucasian,32,2,1,3.2857142857142856,0
race,Caucasian,32,3,1,3.176470588235294,0
race,Caucasian,32,4,1,3.375,0
race,Caucasian,24,1,0,1.0819672131147542,0
race,Caucasian,24,2,0,1.297872340425532,0
race,Caucasian,24,3,0,1.2201834862385321,0
race,Caucasian,24,4,0,1.7724358974358974,0
race,Caucasian,24,1,1,2.6666666666666665,0
race,Caucasian,24,2,1,2.4,0
race,Caucasian,24,3,1,1.5,0
race,Caucasian,24,4,1,3.119047619047619,0
race,Caucasian,51,1,0,1.2890625,0
race,Caucasian,51,2,0,1.85,0
race,Caucasian,51,3,0,1.7454545454545454,0
race,Caucasian,51,4,0,2.0526315789473686,0
race,Caucasian,51,1,1,2.0,0
race,Caucasian,51,2,1,2.6666666666666665,0
race,Caucasian,51,3,1,3.5,0
race,Caucasian,51,4,1,4.0,0
race,Caucasian,61,1,1,2.0,0
race,Caucasian,61,4,1,4.0,0
race,Caucasian,61,1,0,1.05,0
race,Caucasian,61,2,0,1.5,0
race,Caucasian,61,3,0,1.8888888888888888,0
race,Caucasian,61,4,0,2.0,0
race,Caucasian,39,1,1,3.0833333333333335,0
race,Caucasian,39,2,1,2.3333333333333335,0
race,Caucasian,39,3,1,3.375,0
race,Caucasian,39,4,1,3.409090909090909,0
race,Caucasian,39,1,0,1.4557522123893805,0
race,Caucasian,39,2,0,1.696969696969697,0
race,Caucasian,39,3,0,1.5151515151515151,0
race,Caucasian,39,4,0,1.8940092165898617,0
race,Caucasian,29,1,0,1.1483679525222552,0
race,Caucasian,29,2,0,1.46524064171123,0
race,Caucasian,29,3,0,1.6407766990291262,0
race,Caucasian,29,4,0,2.0094043887147337,0
race,Caucasian,29,1,1,2.4705882352941178,0
race,Caucasian,29,2,1,2.4166666666666665,0
race,Caucasian,29,3,1,3.0,0
race,Caucasian,29,4,1,3.3260869565217392,0
race,Caucasian,30,1,0,1.1919504643962848,0
race,Caucasian,30,2,0,1.5207100591715976,0
race,Caucasian,30,3,0,1.6293103448275863,0
race,Caucasian,30,4,0,2.1015384615384614,0
race,Caucasian,30,1,1,2.076923076923077,0
race,Caucasian,30,2,1,2.4285714285714284,0
race,Caucasian,30,3,1,3.8333333333333335,0
race,Caucasian,30,4,1,3.15,0
race,Caucasian,38,1,0,1.4311926605504588,0
race,Caucasian,38,2,0,1.5398230088495575,0
race,Caucasian,38,3,0,1.5217391304347827,0
race,Caucasian,38,4,0,2.072340425531915,0
race,Caucasian,38,1,1,2.0,0
race,Caucasian,38,2,1,2.857142857142857,0
race,Caucasian,38,3,1,2.5,0
race,Caucasian,38,4,1,3.68,0
race,Caucasian,25,1,0,1.1314285714285715,0
race,Caucasian,25,2,0,1.2791878172588833,0
race,Caucasian,25,3,0,1.2844827586206897,0
race,Caucasian,25,4,0,1.7303030303030302,0
race,Caucasian,25,1,1,1.6470588235294117,0
race,Caucasian,25,2,1,2.727272727272727,0
race,Caucasian,25,3,1,3.1666666666666665,0
race,Caucasian,25,4,1,3.3863636363636362,0
race,Caucasian,50,1,0,1.2222222222222223,0
race,Caucasian,50,2,0,1.8153846153846154,0
race,Caucasian,50,3,0,1.2352941176470589,0
race,Caucasian,50,4,0,2.0660377358490565,0
race,Caucasian,50,1,1,2.3333333333333335,0
race,Caucasian,50,2,1,2.3333333333333335,0
race,Caucasian,50,3,1,3.0,0
race,Caucasian,50,4,1,3.5,0
race,Caucasian,21,1,0,0.8583569405099151,0
race,Caucasian,21,2,0,1.1696969696969697,0
race,Caucasian,21,3,0,1.431578947368421,0
race,Caucasian,21,4,0,1.595959595959596,0
race,Caucasian,21,1,1,1.6428571428571428,0
race,Caucasian,21,2,1,2.076923076923077,0
race,Caucasian,21,3,1,2.9166666666666665,0
race,Caucasian,21,4,1,2.8857142857142857,0
race,Caucasian,41,1,0,1.4140969162995596,0
race,Caucasian,41,2,0,1.4862385321100917,0
race,Caucasian,41,3,0,1.8823529411764706,0
race,Caucasian,41,4,0,2.1032608695652173,0
race,Caucasian,41,1,1,2.111111111111111,0
race,Caucasian,41,2,1,4.0,0
race,Caucasian,41,3,1,5.0,0
race,Caucasian,41,4,1,3.4782608695652173,0
race,Caucasian,26,1,0,1.1958762886597938,0
race,Caucasian,26,2,0,1.4114583333333333,0
race,Caucasian,26,3,0,1.706896551724138,0
race,Caucasian,26,4,0,1.9375,0
race,Caucasian,26,1,1,2.0,0
race,Caucasian,26,2,1,3.076923076923077,0
race,Caucasian,26,3,1,3.0,0
race,Caucasian,26,4,1,3.5714285714285716,0
race,Caucasian,27,1,0,1.1741573033707866,0
race,Caucasian,27,2,0,1.4147727272727273,0
race,Caucasian,27,3,0,1.5849056603773586,0
race,Caucasian,27,4,0,1.904225352112676,0
race,Caucasian,27,1,1,2.4166666666666665,0
race,Caucasian,27,2,1,2.5555555555555554,0
race,Caucasian,27,3,1,2.8333333333333335,0
race,Caucasian,27,4,1,3.238095238095238,0
race,Caucasian,45,1,0,1.3832335329341316,0
race,Caucasian,45,2,0,1.6164383561643836,0
race,Caucasian,45,3,0,1.6956521739130435,0
race,Caucasian,45,4,0,1.9933333333333334,0
race,Caucasian,45,1,1,3.0,0
race,Caucasian,45,2,1,1.75,0
race,Caucasian,45,3,1,2.0,0
race,Caucasian,45,4,1,3.4375,0
race,Caucasian,54,1,0,1.3333333333333333,0
race,Caucasian,54,2,0,1.7142857142857142,0
race,Caucasian,54,3,0,1.4137931034482758,0
race,Caucasian,54,4,0,2.0597014925373136,0
race,Caucasian,54,1,1,2.5,0
race,Caucasian,54,2,1,3.0,0
race,Caucasian,54,3,1,1.0,0
race,Caucasian,54,4,1,3.5714285714285716,0
race,Caucasian,31,1,0,1.3762376237623761,0
race,Caucasian,31,2,0,1.5235294117647058,0
race,Caucasian,31,3,0,1.5363636363636364,0
