Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.020240063055799323,0
race,Caucasian,26,2,0,0.030383908005770222,0
race,Caucasian,26,3,0,0.03682747093780755,0
race,Caucasian,26,4,0,0.0523058673704914,0
race,Caucasian,26,1,1,0.022794573535407977,0
race,Caucasian,26,2,1,0.05585635619991753,0
race,Caucasian,26,3,1,0.048297114554132936,0
race,Caucasian,26,4,1,0.10123895598404568,0
race,Caucasian,29,1,0,0.01919391046189637,0
race,Caucasian,29,2,0,0.027200102013253076,0
race,Caucasian,29,3,0,0.028503467695092724,0
race,Caucasian,29,4,0,0.04772619371134096,0
race,Caucasian,29,1,1,0.0696172309017811,0
race,Caucasian,29,2,1,0.032025500244593545,0
race,Caucasian,29,3,1,0.05641577721551948,0
race,Caucasian,29,4,1,0.10013386753752601,0
race,Caucasian,28,1,0,0.017571127765582405,0
race,Caucasian,28,2,0,0.023378920022285712,0
race,Caucasian,28,3,0,0.02605399836118055,0
race,Caucasian,28,4,0,0.04505076616325803,0
race,Caucasian,28,1,1,0.03870161498411235,0
race,Caucasian,28,2,1,0.05524205524205524,0
race,Caucasian,28,3,1,0.1360759493670886,0
race,Caucasian,28,4,1,0.08715993709837984,0
race,Caucasian,41,1,0,0.016852570364650158,0
race,Caucasian,41,2,0,0.02350432705580015,0
race,Caucasian,41,3,0,0.029577088425721248,0
race,Caucasian,41,4,0,0.04936808341038719,0
race,Caucasian,41,1,1,0.08334571180622666,0
race,Caucasian,41,2,1,0.024273072885080633,0
race,Caucasian,41,3,1,0.05472636815920398,0
race,Caucasian,41,4,1,0.0965900724609315,0
race,Caucasian,39,1,0,0.018751930698735937,0
race,Caucasian,39,2,0,0.029341621455670614,0
race,Caucasian,39,3,0,0.029674668060911468,0
race,Caucasian,39,4,0,0.04523920191597859,0
race,Caucasian,39,1,1,0.029741946864350315,0
race,Caucasian,39,2,1,0.03733926994126476,0
race,Caucasian,39,4,1,0.10681795819643003,0
race,Caucasian,30,1,0,0.018351900234920854,0
race,Caucasian,30,2,0,0.023063330584688947,0
race,Caucasian,30,3,0,0.033274037638136675,0
race,Caucasian,30,4,0,0.04959335230418311,0
race,Caucasian,30,1,1,0.019985563006649096,0
race,Caucasian,30,2,1,0.05844175539005099,0
race,Caucasian,30,3,1,0.041611448248242706,0
race,Caucasian,30,4,1,0.10186844825665667,0
race,Caucasian,48,1,0,0.013571428303695765,0
race,Caucasian,48,2,0,0.024671851711371894,0
race,Caucasian,48,3,0,0.028406318106189793,0
race,Caucasian,48,4,0,0.043569053899236806,0
race,Caucasian,48,1,1,0.10952689565780946,0
race,Caucasian,48,2,1,0.03434343434343434,0
race,Caucasian,48,3,1,0.03434343434343434,0
race,Caucasian,48,4,1,0.10318554842385626,0
race,Caucasian,53,1,0,0.010217580993104627,0
race,Caucasian,53,2,0,0.028898110999633853,0
race,Caucasian,53,3,0,0.019314107730320298,0
race,Caucasian,53,4,0,0.04199502672228014,0
race,Caucasian,53,1,1,0.061978362909992715,0
race,Caucasian,53,3,1,0.03434343434343434,0
race,Caucasian,53,4,1,0.10093484666897394,0
race,Caucasian,25,1,0,0.016176453818420956,0
race,Caucasian,25,2,0,0.024581363631350696,0
race,Caucasian,25,3,0,0.031041264277012273,0
race,Caucasian,25,4,0,0.055078155899000766,0
race,Caucasian,25,1,1,0.019259177245797163,0
race,Caucasian,25,2,1,0.023739622359045764,0
race,Caucasian,25,3,1,0.02016823205379579,0
race,Caucasian,25,4,1,0.12722579228776756,0
race,Caucasian,34,1,1,0.017145541054123074,0
race,Caucasian,34,2,1,0.012958199356913183,0
race,Caucasian,34,3,1,0.035565884010701446,0
race,Caucasian,34,4,1,0.10755447619629703,0
race,Caucasian,34,1,0,0.018301863991081403,0
race,Caucasian,34,2,0,0.027647293785206518,0
race,Caucasian,34,3,0,0.026838668896768645,0
race,Caucasian,34,4,0,0.046887594249371216,0
race,Caucasian,38,1,0,0.01929350106609439,0
race,Caucasian,38,2,0,0.025537389521789713,0
race,Caucasian,38,3,0,0.026478346945557788,0
race,Caucasian,38,4,0,0.048040798314597996,0
race,Caucasian,38,1,1,0.03874363532454682,0
race,Caucasian,38,2,1,0.07735330646417163,0
race,Caucasian,38,3,1,0.1360759493670886,0
race,Caucasian,38,4,1,0.11441190657240512,0
race,Caucasian,49,1,1,0.08238447544993235,0
race,Caucasian,49,2,1,0.005691768826619965,0
race,Caucasian,49,3,1,0.022339010220695014,0
race,Caucasian,49,4,1,0.16822147361867468,0
race,Caucasian,49,1,0,0.013997623623809682,0
race,Caucasian,49,2,0,0.017666134360262625,0
race,Caucasian,49,3,0,0.03035588182105256,0
race,Caucasian,49,4,0,0.042843891866947995,0
race,Caucasian,52,1,0,0.010996602580977009,0
race,Caucasian,52,2,0,0.022165386922245782,0
race,Caucasian,52,3,0,0.026779288703407917,0
race,Caucasian,52,4,0,0.04452320020451382,0
race,Caucasian,52,2,1,0.014429830162175966,0
race,Caucasian,52,3,1,0.03362462557954202,0
race,Caucasian,52,4,1,0.0855809747020968,0
race,Caucasian,32,1,0,0.017777324275126877,0
race,Caucasian,32,2,0,0.029694368211305593,0
race,Caucasian,32,3,0,0.03220772305190775,0
race,Caucasian,32,4,0,0.050268257378041574,0
race,Caucasian,32,1,1,0.0433661245970709,0
race,Caucasian,32,2,1,0.05542825228892699,0
race,Caucasian,32,3,1,0.03648802766064905,0
race,Caucasian,32,4,1,0.12994081640909994,0
race,Caucasian,44,1,0,0.015121740773992984,0
race,Caucasian,44,2,0,0.022206083111413477,0
race,Caucasian,44,3,0,0.024566128953538435,0
race,Caucasian,44,4,0,0.04207783893072843,0
race,Caucasian,44,1,1,0.03127988029477497,0
race,Caucasian,44,2,1,0.16083826083826083,0
race,Caucasian,44,3,1,0.21363636363636362,0
race,Caucasian,44,4,1,0.07429395880721243,0
race,Caucasian,37,1,0,0.01929700767027287,0
race,Caucasian,37,2,0,0.025800752576754193,0
race,Caucasian,37,3,0,0.0352326237405163,0
race,Caucasian,37,4,0,0.04972146709274815,0
race,Caucasian,37,1,1,0.023750056913662793,0
race,Caucasian,37,2,1,0.05238366716820477,0
race,Caucasian,37,3,1,0.05620183841149651,0
race,Caucasian,37,4,1,0.14104461679583552,0
race,Caucasian,36,1,0,0.017940776572025634,0
race,Caucasian,36,2,0,0.02502731624723441,0
race,Caucasian,36,3,0,0.031459499811482355,0
race,Caucasian,36,4,0,0.05120204939067433,0
race,Caucasian,36,1,1,0.042069396555426464,0
race,Caucasian,36,2,1,0.03318446729401395,0
race,Caucasian,36,3,1,0.04611861494078584,0
race,Caucasian,36,4,1,0.113221421014911,0
race,Caucasian,27,1,0,0.016852447995699186,0
race,Caucasian,27,2,0,0.026655378665834645,0
race,Caucasian,27,3,0,0.03045524569780995,0
race,Caucasian,27,4,0,0.04836054072417631,0
race,Caucasian,27,1,1,0.03496403107401825,0
race,Caucasian,27,2,1,0.09054000800707536,0
race,Caucasian,27,3,1,0.07159268679346228,0
race,Caucasian,27,4,1,0.11902992662618113,0
race,Caucasian,45,1,0,0.016164218197997838,0
