Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.0005668422202906399,0
race,Caucasian,26,2,0,0.0013456104931891533,0
race,Caucasian,26,3,0,0.004412076950115334,0
race,Caucasian,26,4,0,0.010730617306580082,0
race,Caucasian,26,1,1,0.001960658599895448,0
race,Caucasian,26,2,1,0.004075095625781165,0
race,Caucasian,26,3,1,0.004359001464543119,0
race,Caucasian,26,4,1,0.04231085002575719,0
race,Caucasian,29,1,0,0.0006435613552436498,0
race,Caucasian,29,2,0,0.001507853908542132,0
race,Caucasian,29,3,0,0.0019262169257350367,0
race,Caucasian,29,4,0,0.007510776237414839,0
race,Caucasian,29,1,1,0.0034917783092114625,0
race,Caucasian,29,2,1,0.0036447849899863614,0
race,Caucasian,29,3,1,0.010123569725519175,0
race,Caucasian,29,4,1,0.035534021424284884,0
race,Caucasian,28,1,0,0.0005292400505126938,0
race,Caucasian,28,2,0,0.001063138768964641,0
race,Caucasian,28,3,0,0.0029221162292404753,0
race,Caucasian,28,4,0,0.009950175292262699,0
race,Caucasian,28,1,1,0.0010887074508642068,0
race,Caucasian,28,2,1,0.007923495506357339,0
race,Caucasian,28,3,1,0.004061429671031975,0
race,Caucasian,28,4,1,0.04975152138915906,0
race,Caucasian,41,1,0,0.00038086061698691106,0
race,Caucasian,41,2,0,0.0011819943015681025,0
race,Caucasian,41,3,0,0.002983215031457386,0
race,Caucasian,41,4,0,0.007151101527308671,0
race,Caucasian,41,1,1,0.007822218400529202,0
race,Caucasian,41,2,1,0.0024217861208838155,0
race,Caucasian,41,3,1,0.005415148135434388,0
race,Caucasian,41,4,1,0.027596720733536577,0
race,Caucasian,39,1,0,0.00043599766888910153,0
race,Caucasian,39,2,0,0.0018350714946767425,0
race,Caucasian,39,3,0,0.0016632472488458713,0
race,Caucasian,39,4,0,0.0048006476696871025,0
race,Caucasian,39,1,1,0.0010424454523524055,0
race,Caucasian,39,2,1,0.0027908796185575225,0
race,Caucasian,39,4,1,0.03194317816825823,0
race,Caucasian,30,1,0,0.0005024934285737039,0
race,Caucasian,30,2,0,0.0009847061235302513,0
race,Caucasian,30,3,0,0.0021656449000758762,0
race,Caucasian,30,4,0,0.00762742309013932,0
race,Caucasian,30,1,1,0.0005949235552901599,0
race,Caucasian,30,2,1,0.005726526812542442,0
race,Caucasian,30,3,1,0.0058793812043131,0
race,Caucasian,30,4,1,0.049406767323984864,0
race,Caucasian,48,1,0,0.0002879482403762273,0
race,Caucasian,48,2,0,0.0011321962459900283,0
race,Caucasian,48,3,0,0.0017934915794763178,0
race,Caucasian,48,4,0,0.005586401049859586,0
race,Caucasian,48,1,1,0.010120775189002881,0
race,Caucasian,48,2,1,0.001781307375580622,0
race,Caucasian,48,3,1,0.0005691364957855329,0
race,Caucasian,48,4,1,0.02211630673503571,0
race,Caucasian,53,1,0,0.00014701985179475327,0
race,Caucasian,53,2,0,0.0008167924463056565,0
race,Caucasian,53,3,0,0.0007395134453869065,0
race,Caucasian,53,4,0,0.0025882024418294376,0
race,Caucasian,53,1,1,0.0029975438941180254,0
race,Caucasian,53,3,1,0.0009174990446536741,0
race,Caucasian,53,4,1,0.015206797883508755,0
race,Caucasian,25,1,0,0.0005636314009642109,0
race,Caucasian,25,2,0,0.0015628933145246792,0
race,Caucasian,25,3,0,0.0035765721220745172,0
race,Caucasian,25,4,0,0.007719343297891182,0
race,Caucasian,25,1,1,0.0004802593780436028,0
race,Caucasian,25,2,1,0.0008236876042369587,0
race,Caucasian,25,3,1,0.00029183926515987063,0
race,Caucasian,25,4,1,0.04497466703126165,0
race,Caucasian,34,1,1,0.00022906239574358876,0
race,Caucasian,34,2,1,0.00015896171613496976,0
race,Caucasian,34,3,1,0.002320718002396345,0
race,Caucasian,34,4,1,0.027137112545363485,0
race,Caucasian,34,1,0,0.0005319947726591659,0
race,Caucasian,34,2,0,0.0012573008929604502,0
race,Caucasian,34,3,0,0.0016998262219899629,0
race,Caucasian,34,4,0,0.008665648048209683,0
race,Caucasian,38,1,0,0.000522607790518572,0
race,Caucasian,38,2,0,0.0008193292971841297,0
race,Caucasian,38,3,0,0.0018682282738612288,0
race,Caucasian,38,4,0,0.005162659420934583,0
race,Caucasian,38,1,1,0.0003320856227060405,0
race,Caucasian,38,2,1,0.01027497056978217,0
race,Caucasian,38,3,1,0.013419010300471238,0
race,Caucasian,38,4,1,0.023390778207536666,0
race,Caucasian,49,1,1,0.0030236435094662404,0
race,Caucasian,49,2,1,6.724795080195587e-05,0
race,Caucasian,49,3,1,0.000605627724816344,0
race,Caucasian,49,4,1,0.03730740361286406,0
race,Caucasian,49,1,0,0.0003359696551002627,0
race,Caucasian,49,2,0,0.00043864383916970444,0
race,Caucasian,49,3,0,0.001964065288215582,0
race,Caucasian,49,4,0,0.00333062166544304,0
race,Caucasian,52,1,0,0.00027965337920515966,0
race,Caucasian,52,2,0,0.0005234165101050501,0
race,Caucasian,52,3,0,0.0008892766864777463,0
race,Caucasian,52,4,0,0.003916848483499615,0
race,Caucasian,52,2,1,0.0005617621979419491,0
race,Caucasian,52,3,1,0.002189581904405582,0
race,Caucasian,52,4,1,0.008543398431135997,0
race,Caucasian,32,1,0,0.00041920741182338036,0
race,Caucasian,32,2,0,0.0011476682785411436,0
race,Caucasian,32,3,0,0.003313909648188412,0
race,Caucasian,32,4,0,0.009190217643733532,0
race,Caucasian,32,1,1,0.006178678028305605,0
race,Caucasian,32,2,1,0.004531750353918298,0
race,Caucasian,32,3,1,0.0038319998009656037,0
race,Caucasian,32,4,1,0.03926487726932365,0
race,Caucasian,44,1,0,0.000484842763091411,0
race,Caucasian,44,2,0,0.0013964063715871246,0
race,Caucasian,44,3,0,0.0025182231089713922,0
race,Caucasian,44,4,0,0.004461414383846574,0
race,Caucasian,44,1,1,0.0016017967209075474,0
race,Caucasian,44,2,1,0.009284746414828396,0
race,Caucasian,44,3,1,0.009300563631454706,0
race,Caucasian,44,4,1,0.010971499094029358,0
race,Caucasian,37,1,0,0.00048504515621799224,0
race,Caucasian,37,2,0,0.0014456518121859724,0
race,Caucasian,37,3,0,0.0032011594107655304,0
race,Caucasian,37,4,0,0.009810891607745759,0
race,Caucasian,37,1,1,0.0014339582471379346,0
race,Caucasian,37,2,1,0.004380664352622322,0
race,Caucasian,37,3,1,0.014513658502332605,0
race,Caucasian,37,4,1,0.049726546292287684,0
race,Caucasian,36,1,0,0.0004883052948419644,0
race,Caucasian,36,2,0,0.001573635543073329,0
race,Caucasian,36,3,0,0.0030628151288164067,0
race,Caucasian,36,4,0,0.008947672383908607,0
race,Caucasian,36,1,1,0.002302692374568944,0
race,Caucasian,36,2,1,0.001266097805035044,0
race,Caucasian,36,3,1,0.0047044232828997,0
race,Caucasian,36,4,1,0.013387545084264178,0
race,Caucasian,27,1,0,0.000508755646439697,0
race,Caucasian,27,2,0,0.0011327975507076074,0
race,Caucasian,27,3,0,0.0021525437099704685,0
race,Caucasian,27,4,0,0.007661160765037233,0
race,Caucasian,27,1,1,0.00367903449858073,0
race,Caucasian,27,2,1,0.046044634960945574,0
race,Caucasian,27,3,1,0.03352312444631962,0
race,Caucasian,27,4,1,0.03026175971487961,0
race,Caucasian,45,1,0,0.0004623997019223416,0
race,Caucasian,45,2,0,0.0009418444817370712,0
race,Caucasian,45,3,0,0.004104226104658114,0
race,Caucasian,45,4,0,0.011957889328054248,0
race,Caucasian,45,1,1,0.00187349554257105,0
race,Caucasian,45,2,1,0.008798287064903067,0
race,Caucasian,45,3,1,0.0016658412680094843,0
race,Caucasian,45,4,1,0.0469016822121899,0
race,Caucasian,58,1,0,0.00023260675036749492,0
race,Caucasian,58,2,0,0.0006332555915593161,0
race,Caucasian,58,3,0,0.0007308544121662454,0
race,Caucasian,58,4,0,0.011363673108014024,0
race,Caucasian,58,1,1,0.0002382116817152011,0
race,Caucasian,58,2,1,0.0003310834969548164,0
race,Caucasian,58,4,1,0.012406730885277165,0
race,Caucasian,24,1,0,0.0006554913670080775,0
race,Caucasian,24,2,0,0.0021969623777206,0
race,Caucasian,24,3,0,0.0033495214225273545,0
race,Caucasian,24,4,0,0.008497038120920338,0
race,Caucasian,24,1,1,0.005422480446091819,0
race,Caucasian,24,2,1,0.003061989359640291,0
race,Caucasian,24,3,1,0.002443799415880688,0
race,Caucasian,24,4,1,0.03753306712506471,0
race,Caucasian,55,1,0,0.00019691006890986944,0
race,Caucasian,55,2,0,0.00035969570469705705,0
race,Caucasian,55,3,0,0.000810282901607048,0
race,Caucasian,55,4,0,0.003839275955558686,0
race,Caucasian,55,1,1,0.0001474297181299054,0
race,Caucasian,55,2,1,0.0005241324762341758,0
race,Caucasian,55,3,1,0.00038391124338805934,0
race,Caucasian,55,4,1,0.011443423556196085,0
race,Caucasian,43,1,0,0.00037703926141261277,0
race,Caucasian,43,2,0,0.0011728113363461538,0
race,Caucasian,43,3,0,0.002094957681880162,0
race,Caucasian,43,4,0,0.009078847089383417,0
race,Caucasian,43,1,1,0.004027578615086318,0
race,Caucasian,43,2,1,0.0005161582426690957,0
race,Caucasian,43,3,1,0.0019833451086352055,0
race,Caucasian,43,4,1,0.02396192904490523,0
race,Caucasian,23,1,0,0.0005983726655649611,0
race,Caucasian,23,2,0,0.0015275753196221332,0
race,Caucasian,23,3,0,0.002753628869317101,0
race,Caucasian,23,4,0,0.008705287034432498,0
race,Caucasian,23,1,1,0.0017862940973121626,0
race,Caucasian,23,2,1,0.028684743934219437,0
race,Caucasian,23,3,1,0.0015036687514658215,0
race,Caucasian,23,4,1,0.049599368850043624,0
race,Caucasian,46,1,0,0.0003738930956222435,0
race,Caucasian,46,2,0,0.0008410905817828237,0
race,Caucasian,46,3,0,0.0012562685016883426,0
race,Caucasian,46,4,0,0.006268928352840307,0
race,Caucasian,46,1,1,0.0010158866577729703,0
race,Caucasian,46,2,1,8.182985353677803e-05,0
race,Caucasian,46,3,1,0.020335501992696705,0
race,Caucasian,46,4,1,0.04086684334939204,0
race,Caucasian,35,1,0,0.0004498233158090908,0
race,Caucasian,35,2,0,0.0016478484528390086,0
race,Caucasian,35,3,0,0.002316098038060372,0
race,Caucasian,35,4,0,0.008459226245950567,0
race,Caucasian,35,1,1,0.003759987762533409,0
race,Caucasian,35,2,1,0.0007399215273588818,0
race,Caucasian,35,3,1,0.027454197211295567,0
race,Caucasian,35,4,1,0.04117015234677722,0
race,Caucasian,31,1,0,0.0004395659783074424,0
race,Caucasian,31,2,0,0.0007544981806318041,0
race,Caucasian,31,3,0,0.0015548837375222986,0
race,Caucasian,31,4,0,0.00793739532777382,0
race,Caucasian,31,1,1,0.00010590869129182006,0
race,Caucasian,31,2,1,0.003232298824584107,0
race,Caucasian,31,3,1,0.0004480963733770864,0
race,Caucasian,31,4,1,0.03352676227197037,0
race,Caucasian,64,1,0,0.00012159105832744159,0
race,Caucasian,64,2,0,0.00021663746923442404,0
race,Caucasian,64,3,0,0.001102027948172808,0
race,Caucasian,64,4,0,0.0005354124491296564,0
race,Caucasian,64,1,1,0.0011568253045649902,0
race,Caucasian,64,4,1,0.010298295104982511,0
race,Caucasian,18,1,0,0.0021600380576658235,0
race,Caucasian,18,2,0,0.003183348511120527,0
race,Caucasian,18,3,0,0.0037750503522239074,0
race,Caucasian,18,4,0,0.011003716981025872,0
race,Caucasian,18,1,1,0.0020639010293649358,0
race,Caucasian,18,2,1,0.024040452355790692,0
race,Caucasian,18,3,1,0.006089550864785847,0
race,Caucasian,18,4,1,0.05049945503330396,0
race,Caucasian,33,1,0,0.0004784495748266096,0
race,Caucasian,33,2,0,0.0009758759645862518,0
race,Caucasian,33,3,0,0.0026008718770847254,0
race,Caucasian,33,4,0,0.009612807952474078,0
race,Caucasian,33,1,1,0.0038745339385568155,0
race,Caucasian,33,2,1,0.001232968532504586,0
race,Caucasian,33,3,1,0.01391080027719303,0
race,Caucasian,33,4,1,0.014224400050811747,0
race,Caucasian,47,1,0,0.00033383655254723627,0
race,Caucasian,47,2,0,0.001583877027480945,0
race,Caucasian,47,3,0,0.0011252287283667907,0
race,Caucasian,47,4,0,0.005990556094608489,0
race,Caucasian,47,1,1,0.0037616918740038764,0
race,Caucasian,47,3,1,0.001241541380593825,0
race,Caucasian,47,4,1,0.08090483072631581,0
race,Caucasian,57,1,0,0.00018371986299795765,0
race,Caucasian,57,2,0,0.0008874749360725075,0
race,Caucasian,57,3,0,0.0002231435480102371,0
race,Caucasian,57,4,0,0.0027521413744256125,0
race,Caucasian,57,1,1,0.001958091258672401,0
race,Caucasian,57,3,1,0.0026572856066176768,0
race,Caucasian,42,1,0,0.00040975867119888497,0
race,Caucasian,42,2,0,0.0008348415200958242,0
race,Caucasian,42,3,0,0.001621411147634138,0
race,Caucasian,42,4,0,0.005923948741776244,0
race,Caucasian,42,2,1,0.005271729343807111,0
race,Caucasian,42,3,1,0.03900073651800924,0
race,Caucasian,42,4,1,0.05179759806047682,0
race,Caucasian,40,1,0,0.00031883827194674344,0
race,Caucasian,40,2,0,0.0011101821622396262,0
race,Caucasian,40,3,0,0.0008981654807368814,0
race,Caucasian,40,4,0,0.006822661605888463,0
race,Caucasian,40,1,1,0.0009478548093333214,0
race,Caucasian,40,2,1,0.000652109994030625,0
race,Caucasian,40,3,1,0.012770931067470797,0
race,Caucasian,40,4,1,0.04692112303700955,0
race,Caucasian,56,1,0,0.00016447091210780647,0
race,Caucasian,56,2,0,0.0006092201176252991,0
race,Caucasian,56,3,0,0.00047421846838419796,0
race,Caucasian,56,4,0,0.0028552185335978192,0
race,Caucasian,56,1,1,0.00021598685026802744,0
race,Caucasian,56,2,1,0.0022800464805423516,0
race,Caucasian,56,4,1,0.008347001118093977,0
race,Caucasian,51,1,1,0.001192908275496538,0
race,Caucasian,51,2,1,4.5725180983137534e-05,0
race,Caucasian,51,4,1,0.008166702630646054,0
race,Caucasian,51,1,0,0.00041145748812793125,0
race,Caucasian,51,2,0,0.00038353411328862733,0
race,Caucasian,51,3,0,0.0007097031243531968,0
race,Caucasian,51,4,0,0.005139127037915622,0
race,Caucasian,50,1,0,0.0003259050086719472,0
race,Caucasian,50,2,0,0.0006600450390695463,0
race,Caucasian,50,3,0,0.0019041799529908843,0
race,Caucasian,50,4,0,0.0055541379070535276,0
race,Caucasian,50,1,1,0.0005293165699516902,0
race,Caucasian,50,2,1,0.00018034489772743257,0
race,Caucasian,50,3,1,0.0003389079112298004,0
race,Caucasian,50,4,1,0.028044201074587872,0
race,Caucasian,54,1,0,0.0002034568385563545,0
race,Caucasian,54,2,0,0.0006118204480573219,0
race,Caucasian,54,3,0,0.0009680246268212863,0
race,Caucasian,54,4,0,0.0038624809267899024,0
race,Caucasian,54,4,1,0.030597479684988688,0
race,Caucasian,22,1,0,0.0005412078864111301,0
race,Caucasian,22,2,0,0.0019205619614828817,0
race,Caucasian,22,3,0,0.003828630809553817,0
race,Caucasian,22,4,0,0.0076870616096359765,0
race,Caucasian,22,1,1,0.006561011394785853,0
race,Caucasian,22,2,1,0.0024704838499620364,0
race,Caucasian,22,3,1,0.014584679194261744,0
race,Caucasian,22,4,1,0.05499256590073854,0
race,Caucasian,19,1,0,0.0010860952381605935,0
race,Caucasian,19,2,0,0.0022585477873273527,0
race,Caucasian,19,3,0,0.005974092468442001,0
race,Caucasian,19,4,0,0.006796484488583911,0
race,Caucasian,19,1,1,0.0011137483317505516,0
race,Caucasian,19,2,1,0.006633924845188026,0
race,Caucasian,19,3,1,0.017986368114769034,0
race,Caucasian,19,4,1,0.05587678541861634,0
race,Caucasian,60,1,0,0.00021107332448000847,0
race,Caucasian,60,2,0,0.0004847493072486173,0
race,Caucasian,60,3,0,0.00014288801147725947,0
race,Caucasian,60,4,0,0.004027069043887159,0
race,Caucasian,60,1,1,0.0022110165115837013,0
race,Caucasian,60,4,1,0.027457006996353877,0
race,Caucasian,63,1,0,8.189066094449082e-05,0
race,Caucasian,63,2,0,9.93637136910207e-05,0
race,Caucasian,63,3,0,0.00022671225000976753,0
race,Caucasian,63,4,0,0.001123206223025083,0
race,Caucasian,67,1,0,0.00011290597672507035,0
race,Caucasian,67,2,0,0.0002509467298016583,0
race,Caucasian,67,3,0,0.00020541217452978025,0
race,Caucasian,67,4,0,0.0015069499812828601,0
race,Caucasian,67,4,1,0.008042425718244428,0
race,Caucasian,59,1,0,0.00015975726485849818,0
race,Caucasian,59,2,0,0.00047384044620713326,0
race,Caucasian,59,3,0,0.0006290489073511932,0
race,Caucasian,59,4,0,0.002587991519224361,0
race,Caucasian,59,1,1,0.00011784354200481274,0
race,Caucasian,59,3,1,0.01692619569604121,0
race,Caucasian,59,4,1,0.0029675611932591956,0
race,Caucasian,66,1,0,9.517014261628602e-05,0
race,Caucasian,66,2,0,0.00017389407329151634,0
race,Caucasian,66,3,0,0.0002164053708737127,0
race,Caucasian,66,4,0,0.0011169386731342068,0
race,Caucasian,66,2,1,0.005376945082053238,0
race,Caucasian,66,4,1,0.0012855074485862569,0
race,Caucasian,20,1,0,0.0005528983559236537,0
race,Caucasian,20,2,0,0.0014795730221711086,0
race,Caucasian,20,3,0,0.002630942207065283,0
race,Caucasian,20,4,0,0.008546044947972248,0
race,Caucasian,20,1,1,0.0015461642458644222,0
race,Caucasian,20,2,1,0.01398191958942779,0
race,Caucasian,20,3,1,0.02578395430831899,0
race,Caucasian,20,4,1,0.046249197256114365,0
race,Caucasian,21,1,0,0.0004613904026587574,0
race,Caucasian,21,2,0,0.0026684135675779604,0
race,Caucasian,21,3,0,0.0029222279911158867,0
race,Caucasian,21,4,0,0.008175080448654832,0
race,Caucasian,21,1,1,0.008136798823039016,0
race,Caucasian,21,2,1,0.0007130664575610328,0
race,Caucasian,21,3,1,0.0033866818285604406,0
race,Caucasian,21,4,1,0.09043907994838564,0
race,Caucasian,62,1,0,0.0003261488030207932,0
race,Caucasian,62,2,0,0.0002717605568648612,0
race,Caucasian,62,3,0,0.000253145399966282,0
race,Caucasian,62,4,0,0.0022423909715781486,0
race,Caucasian,62,2,1,1.422910042869206e-05,0
race,Caucasian,62,4,1,0.012985063502266666,0
race,Caucasian,61,1,0,0.00019616674075658515,0
race,Caucasian,61,2,0,0.00023523625969370778,0
race,Caucasian,61,3,0,0.0004839319928812965,0
race,Caucasian,61,4,0,0.004610168945863544,0
race,Caucasian,61,1,1,0.0004998683834555061,0
race,Caucasian,61,4,1,0.0024511040720912045,0
race,Caucasian,70,1,0,0.00012455639193996272,0
race,Caucasian,70,2,0,0.0005903816468724945,0
race,Caucasian,70,3,0,0.00024182337028257213,0
race,Caucasian,70,4,0,0.00021427502386244088,0
race,Caucasian,65,1,0,0.00018815212249390732,0
race,Caucasian,65,2,0,0.0005203900293130978,0
race,Caucasian,65,3,0,0.00031253799831876874,0
race,Caucasian,65,4,0,0.0006149564889778295,0
race,Caucasian,65,4,1,0.0007284704481693128,0
race,Caucasian,69,1,0,5.766536629290466e-05,0
race,Caucasian,69,2,0,0.00033814676845289875,0
race,Caucasian,69,3,0,6.109376978475698e-05,0
race,Caucasian,69,4,0,0.0008931879175763652,0
race,Caucasian,69,4,1,0.004948479690036448,0
race,Caucasian,68,1,0,8.8203515651072e-05,0
race,Caucasian,68,2,0,5.847271616785468e-05,0
race,Caucasian,68,3,0,0.00023806009021974474,0
race,Caucasian,68,4,0,0.001168908208762796,0
race,Caucasian,68,4,1,0.0012108842327801612,0
race,African-American,49,1,0,0.0005336717352651045,0
race,African-American,49,2,0,0.0006631064603655371,0
race,African-American,49,3,0,0.0020216124853744406,0
race,African-American,49,4,0,0.003989137346431239,0
race,African-American,49,1,1,0.005413434794759727,0
race,African-American,49,2,1,0.00011983882521278736,0
race,African-American,49,4,1,0.02958854065242101,0
race,African-American,27,2,1,0.011378981343558477,0
race,African-American,27,3,1,0.027583465819829137,0
race,African-American,27,4,1,0.01981718855562327,0
race,African-American,27,1,0,0.0005593236065493802,0
race,African-American,27,2,0,0.0027667983850953102,0
race,African-American,27,3,0,0.002956906450051846,0
race,African-American,27,4,0,0.01897947580215621,0
race,African-American,31,1,0,0.0005760133318548762,0
race,African-American,31,2,0,0.0020846562646551357,0
race,African-American,31,3,0,0.0035253618035613766,0
race,African-American,31,4,0,0.020522748756656498,0
race,African-American,31,1,1,0.0161531990983217,0
race,African-American,31,3,1,0.005439513582815318,0
race,African-American,31,4,1,0.07426866041131426,0
race,African-American,41,1,0,0.0007028269739669191,0
race,African-American,41,2,0,0.0006954504467043913,0
race,African-American,41,3,0,0.0009138538522961124,0
race,African-American,41,4,0,0.007471643575317187,0
race,African-American,41,2,1,0.009987303262917456,0
race,African-American,41,3,1,0.005991925915144375,0
race,African-American,41,4,1,0.10876104477574544,0
race,African-American,56,1,1,0.0010378670594284108,0
race,African-American,56,2,1,0.0061242885083631895,0
race,African-American,56,3,1,0.0005565021645206344,0
race,African-American,56,4,1,0.006709620741167872,0
race,African-American,56,1,0,0.00036762305458102836,0
race,African-American,56,2,0,0.0024511316655245726,0
race,African-American,56,3,0,0.0012442665084565578,0
race,African-American,56,4,0,0.008285428263033696,0
race,African-American,37,1,0,0.0006956977467584254,0
race,African-American,37,2,0,0.002252487530998271,0
race,African-American,37,3,0,0.001529012611728633,0
race,African-American,37,4,0,0.00851578216770501,0
race,African-American,37,1,1,0.005375520824712831,0
race,African-American,37,2,1,0.0003766451793847743,0
race,African-American,37,3,1,0.0032212546630610442,0
race,African-American,37,4,1,0.03187465441917211,0
race,African-American,55,1,0,0.00047760002520389817,0
race,African-American,55,2,0,0.0008236467270321094,0
race,African-American,55,3,0,0.002347073105031339,0
race,African-American,55,4,0,0.005663752428118507,0
race,African-American,55,2,1,0.0067604759910475515,0
race,African-American,55,4,1,0.004687584837286207,0
race,African-American,25,1,0,0.0014954685402671004,0
race,African-American,25,2,0,0.00128144650859425,0
race,African-American,25,3,0,0.003256923418770299,0
race,African-American,25,4,0,0.007645626480794852,0
race,African-American,25,1,1,0.00012948387999058803,0
race,African-American,25,3,1,0.0012339824060189509,0
race,African-American,25,4,1,0.028675725036639805,0
race,African-American,61,1,0,0.00017137445216993018,0
race,African-American,61,2,0,0.00046226129268363774,0
race,African-American,61,3,0,0.0003778165701412097,0
race,African-American,61,4,0,0.0028621940522101205,0
race,African-American,61,4,1,0.033088188483890904,0
race,African-American,46,1,0,0.0005166377360807679,0
race,African-American,46,2,0,0.0016907805660871863,0
race,African-American,46,3,0,0.0023368584683948483,0
race,African-American,46,4,0,0.022506888494669048,0
race,African-American,46,2,1,0.0011964998171091897,0
race,African-American,46,4,1,0.006896166617529574,0
race,African-American,43,1,0,0.00034337339860795085,0
race,African-American,43,2,0,0.0009252562983473434,0
race,African-American,43,3,0,0.002583515114290733,0
race,African-American,43,4,0,0.019252372124013425,0
race,African-American,43,3,1,0.002549592840474296,0
race,African-American,43,4,1,0.017059704839889153,0
race,African-American,28,1,0,0.0008097806455167543,0
race,African-American,28,2,0,0.0023920260439662514,0
race,African-American,28,3,0,0.0015155685619695723,0
race,African-American,28,4,0,0.00987906444144777,0
race,African-American,28,1,1,0.0016099792808015004,0
race,African-American,28,3,1,0.006650397541709835,0
race,African-American,28,4,1,0.06084689789864073,0
race,African-American,26,1,0,0.0007154972801461543,0
race,African-American,26,2,0,0.0020343552727822454,0
race,African-American,26,3,0,0.0040595053783701604,0
race,African-American,26,4,0,0.013763190999614561,0
race,African-American,26,1,1,0.0019841348917988273,0
race,African-American,26,2,1,0.06226326989174172,0
race,African-American,26,3,1,0.0009939567032106026,0
race,African-American,26,4,1,0.18290735574602057,0
race,African-American,54,1,0,0.00015081108698822678,0
race,African-American,54,2,0,0.0006230958192109022,0
race,African-American,54,3,0,0.0004360291298771028,0
race,African-American,54,4,0,0.008238826341056533,0
race,African-American,54,4,1,0.03887323502833231,0
race,African-American,22,1,0,0.0007808246235178454,0
race,African-American,22,2,0,0.0035532673162615457,0
race,African-American,22,3,0,0.0021491060623592554,0
race,African-American,22,4,0,0.013305457997153755,0
race,African-American,22,1,1,0.0008180375602105773,0
race,African-American,22,2,1,0.0024950679260872344,0
race,African-American,22,3,1,0.012304500588856003,0
race,African-American,22,4,1,0.033594178604333995,0
race,African-American,42,1,0,0.0018489222184683001,0
race,African-American,42,2,0,0.0011500710247066412,0
race,African-American,42,3,0,0.003208417505335494,0
race,African-American,42,4,0,0.013363968310003567,0
race,African-American,42,3,1,0.0005984819352972464,0
race,African-American,42,4,1,0.0006896395785855454,0
race,African-American,29,1,0,0.0006909288963619982,0
race,African-American,29,2,0,0.0021717744817749437,0
race,African-American,29,3,0,0.0017653913590364395,0
race,African-American,29,4,0,0.009714210785406205,0
race,African-American,29,1,1,0.0041738974242334255,0
race,African-American,29,3,1,0.017829877967846134,0
race,African-American,29,4,1,0.019421706520143526,0
race,African-American,39,1,0,0.0002877815380467853,0
race,African-American,39,2,0,0.0007959560916065064,0
race,African-American,39,3,0,0.007468092252803116,0
race,African-American,39,4,0,0.007397707281364104,0
race,African-American,39,4,1,0.02931761983813102,0
