Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.01683707387274704,0
race,Caucasian,26,2,0,0.025551735279674633,0
race,Caucasian,26,3,0,0.03301858687424347,0
race,Caucasian,26,4,0,0.06174867322892929,0
race,Caucasian,26,1,1,0.029815687053657575,0
race,Caucasian,26,2,1,0.040857072603659624,0
race,Caucasian,26,3,1,0.049575493579833506,0
race,Caucasian,26,4,1,0.11926221582525373,0
race,Caucasian,47,1,0,0.015485707372692406,0
race,Caucasian,47,2,0,0.026813132190576617,0
race,Caucasian,47,3,0,0.028109987544949606,0
race,Caucasian,47,4,0,0.06059914442879352,0
race,Caucasian,47,1,1,0.01798620996209156,0
race,Caucasian,47,2,1,0.04742587317756678,0
race,Caucasian,47,4,1,0.13902895068569046,0
race,Caucasian,35,1,0,0.016940265485691074,0
race,Caucasian,35,2,0,0.026561321742418476,0
race,Caucasian,35,3,0,0.02815916043764047,0
race,Caucasian,35,4,0,0.06839637049615686,0
race,Caucasian,35,1,1,0.02534612576596036,0
race,Caucasian,35,2,1,0.04742587317756678,0
race,Caucasian,35,3,1,0.05347407112457758,0
race,Caucasian,35,4,1,0.11888595080552132,0
race,Caucasian,51,1,0,0.017944216037970778,0
race,Caucasian,51,2,0,0.031270637123037175,0
race,Caucasian,51,3,0,0.033415885568292954,0
race,Caucasian,51,4,0,0.0660709643070104,0
race,Caucasian,51,1,1,0.01798620996209156,0
race,Caucasian,51,2,1,0.03761265210574171,0
race,Caucasian,51,3,1,0.04742587317756678,0
race,Caucasian,51,4,1,0.09049210248429726,0
race,Caucasian,30,1,0,0.015993705123404044,0
race,Caucasian,30,2,0,0.025296364116349074,0
race,Caucasian,30,3,0,0.03144048664844372,0
race,Caucasian,30,4,0,0.06733699840373428,0
race,Caucasian,30,1,1,0.03270604156982917,0
race,Caucasian,30,2,1,0.03270604156982917,0
race,Caucasian,30,3,1,0.07024876007229204,0
race,Caucasian,30,4,1,0.12429709561552006,0
race,Caucasian,38,1,0,0.017985782861166727,0
race,Caucasian,38,2,0,0.023485253912569722,0
race,Caucasian,38,3,0,0.029301974835960785,0
race,Caucasian,38,4,0,0.06878808591145466,0
race,Caucasian,38,1,1,0.014221756949489324,0
race,Caucasian,38,2,1,0.02252278600650869,0
race,Caucasian,38,3,1,0.09527723907393397,0
race,Caucasian,38,4,1,0.095328809950202,0
