Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.8366320302275521,0
race,African-American,46,2,1,0.8268052774650453,0
race,African-American,46,3,1,0.8890686735303336,0
race,African-American,46,4,1,0.925727413564454,0
race,African-American,46,1,0,0.714426692552481,0
race,African-American,46,2,0,0.8232622020013017,0
race,African-American,46,3,0,0.7680985454589467,0
race,African-American,46,4,0,0.8232432078950156,0
race,African-American,30,1,0,0.7026852539209183,0
race,African-American,30,2,0,0.7562927699754957,0
race,African-American,30,3,0,0.8001157852447968,0
race,African-American,30,4,0,0.8399242816077622,0
race,African-American,30,1,1,0.7234224508144917,0
race,African-American,30,3,1,0.8812711360573667,0
race,African-American,30,4,1,0.9696126311049897,0
race,African-American,29,1,0,0.7290252306762328,0
race,African-American,29,2,0,0.7662601935088847,0
race,African-American,29,3,0,0.7842545540228849,0
race,African-American,29,4,0,0.8202326020120647,0
race,African-American,29,1,1,0.7050191912466727,0
race,African-American,29,2,1,0.8847692726331321,0
race,African-American,29,3,1,0.9212238159603489,0
race,African-American,29,4,1,0.9137917112019315,0
race,African-American,22,1,0,0.729181428756105,0
race,African-American,22,2,0,0.7784851641336477,0
race,African-American,22,3,0,0.7738943901421378,0
race,African-American,22,4,0,0.8435839933558709,0
race,African-American,22,1,1,0.8906464970333205,0
race,African-American,22,2,1,0.8296468538671791,0
race,African-American,22,3,1,0.9627899722038714,0
race,African-American,22,4,1,0.9359847313163876,0
race,African-American,34,1,0,0.7111050604238102,0
race,African-American,34,2,0,0.742945258082762,0
race,African-American,34,3,0,0.7838942607198424,0
race,African-American,34,4,0,0.8387111305524899,0
race,African-American,34,1,1,0.8913649810893461,0
race,African-American,34,2,1,0.9568053618836379,0
race,African-American,34,3,1,0.8795351387320606,0
race,African-American,34,4,1,0.9665231296690723,0
race,African-American,37,1,0,0.7184129127411508,0
race,African-American,37,2,0,0.7177461497132183,0
race,African-American,37,3,0,0.7618247017517298,0
race,African-American,37,4,0,0.8069337277412906,0
race,African-American,37,1,1,0.9468415100851548,0
race,African-American,37,2,1,0.8631569534433923,0
race,African-American,37,3,1,0.952765376455557,0
race,African-American,37,4,1,0.950598077398414,0
race,African-American,53,1,0,0.6825466623095935,0
race,African-American,53,2,0,0.7343795954750222,0
race,African-American,53,3,0,0.7664193752501032,0
race,African-American,53,4,0,0.820741259089118,0
race,African-American,53,2,1,0.6954524162479623,0
race,African-American,53,3,1,0.969622186962072,0
race,African-American,53,4,1,0.9833549328071892,0
race,African-American,23,1,0,0.747140794725566,0
race,African-American,23,2,0,0.7891590362457759,0
race,African-American,23,3,0,0.7799830671372712,0
race,African-American,23,4,0,0.8457637415601982,0
race,African-American,23,1,1,0.8962214226954389,0
race,African-American,23,2,1,0.8589830620235643,0
race,African-American,23,3,1,0.9436533622434924,0
race,African-American,23,4,1,0.9007264749384462,0
race,African-American,24,1,0,0.7422624353043726,0
race,African-American,24,2,0,0.7831912014452715,0
race,African-American,24,3,0,0.7774603237270529,0
race,African-American,24,4,0,0.8626884867490839,0
race,African-American,24,1,1,0.9494181983759451,0
race,African-American,24,2,1,0.900585042488426,0
race,African-American,24,4,1,0.943443581146654,0
race,African-American,26,1,1,0.8376663331362839,0
race,African-American,26,2,1,0.8702461448829549,0
race,African-American,26,3,1,0.959825229930405,0
race,African-American,26,4,1,0.9418973414487115,0
race,African-American,26,1,0,0.7153202205100321,0
race,African-American,26,2,0,0.7883089640835941,0
race,African-American,26,3,0,0.7433420965215123,0
race,African-American,26,4,0,0.8388379780728452,0
race,African-American,35,1,1,0.8199404178214484,0
race,African-American,35,4,1,0.9304058428349266,0
race,African-American,35,1,0,0.7195532981979099,0
race,African-American,35,2,0,0.7716400680989929,0
race,African-American,35,3,0,0.7431524701544119,0
race,African-American,35,4,0,0.851323529663514,0
race,African-American,38,1,0,0.6869858362821964,0
race,African-American,38,2,0,0.7327424190557644,0
race,African-American,38,3,0,0.7897278059031522,0
race,African-American,38,4,0,0.7855467153600668,0
race,African-American,38,1,1,0.9252349660760667,0
race,African-American,38,2,1,0.9110014960118014,0
race,African-American,38,3,1,0.974373696009683,0
race,African-American,38,4,1,0.9831985432466613,0
race,African-American,25,1,0,0.7376617422763598,0
race,African-American,25,2,0,0.7190800463377817,0
race,African-American,25,3,0,0.7713714853490148,0
race,African-American,25,4,0,0.8398781466883953,0
race,African-American,25,1,1,0.9365302638543214,0
race,African-American,25,2,1,0.947141937727212,0
race,African-American,25,3,1,0.9188478419605473,0
race,African-American,25,4,1,0.9571632160435408,0
race,African-American,32,1,0,0.7131484889368254,0
race,African-American,32,2,0,0.7092955615662992,0
race,African-American,32,3,0,0.7648258524536021,0
race,African-American,32,4,0,0.8400487015064171,0
race,African-American,32,1,1,0.931313740591438,0
race,African-American,32,2,1,0.9666532233617753,0
race,African-American,32,3,1,0.8411071585479716,0
race,African-American,32,4,1,0.9784852818560845,0
race,African-American,42,1,0,0.6901580166218221,0
race,African-American,42,2,0,0.7465097463857138,0
race,African-American,42,3,0,0.7862107898784862,0
race,African-American,42,4,0,0.8309398639469286,0
race,African-American,42,2,1,0.9666092042653156,0
race,African-American,42,4,1,0.9340465485833386,0
race,African-American,41,1,0,0.6965107042065775,0
race,African-American,41,2,0,0.7512896596230423,0
race,African-American,41,3,0,0.7522212264833852,0
race,African-American,41,4,0,0.7813906633441419,0
race,African-American,41,2,1,0.9414628787443293,0
race,African-American,41,4,1,0.9703659211137141,0
race,African-American,33,1,0,0.7037595416788631,0
race,African-American,33,2,0,0.7553274976802842,0
race,African-American,33,3,0,0.76078922343759,0
race,African-American,33,4,0,0.8072051304481423,0
race,African-American,33,1,1,0.8392920181578251,0
race,African-American,33,2,1,0.9625414682664747,0
race,African-American,33,3,1,0.9241646505585035,0
race,African-American,33,4,1,0.9272021413269446,0
race,African-American,31,1,0,0.7016797299602627,0
race,African-American,31,2,0,0.7497885745289032,0
race,African-American,31,3,0,0.7477365155767162,0
race,African-American,31,4,0,0.8489184583478327,0
race,African-American,31,1,1,0.9490774661995338,0
race,African-American,31,2,1,0.9700004943336018,0
race,African-American,31,4,1,0.9400395113696516,0
race,African-American,50,1,0,0.6595034068414793,0
race,African-American,50,2,0,0.7405558564666151,0
race,African-American,50,3,0,0.7413876739758765,0
race,African-American,50,4,0,0.8184258420678912,0
race,African-American,50,1,1,0.943170026540879,0
race,African-American,50,4,1,0.9758693395597043,0
race,African-American,28,1,0,0.6980926873293809,0
race,African-American,28,2,0,0.7610657517717476,0
race,African-American,28,3,0,0.7919335881432219,0
race,African-American,28,4,0,0.8463446306239574,0
race,African-American,28,1,1,0.8476890356969696,0
race,African-American,28,2,1,0.9727412069781578,0
race,African-American,28,3,1,0.8722336241758782,0
race,African-American,28,4,1,0.9339217049157029,0
race,African-American,52,1,0,0.6772839479965143,0
race,African-American,52,2,0,0.7853677889110237,0
race,African-American,52,3,0,0.8229335771168383,0
race,African-American,52,4,0,0.7896838233312323,0
race,African-American,52,1,1,0.9528022719327978,0
race,African-American,52,2,1,0.8810849286310888,0
race,African-American,52,4,1,0.8667973683174169,0
race,African-American,51,1,0,0.6561688801496364,0
race,African-American,51,2,0,0.7684468265507981,0
race,African-American,51,3,0,0.6917630215151429,0
race,African-American,51,4,0,0.7735360041622996,0
race,African-American,51,1,1,0.9697321060970279,0
race,African-American,51,3,1,0.9704902152341733,0
race,African-American,51,4,1,0.8943807344963289,0
race,African-American,40,1,0,0.6681532614702638,0
race,African-American,40,2,0,0.7008278492817692,0
