Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.9855020796197267,0.00012056908608632747,1.0,0.9853849809885932,122.0,8416,0
race,African-American,0.0,0.983303730017762,0.00036114120621162876,1.0,0.9829545454545454,47.0,8448,1
race,African-American,0.0,0.983387927000468,0.0002378686964795433,1.0,0.9831578947368421,71.0,8550,2
race,African-American,0.0,0.9811678313395712,0.0007237635705669482,1.0,0.9804710616641023,26.5,8449,3
race,African-American,0.0,0.985239409576383,0.00012178784557301182,1.0,0.9851211903047756,123.0,8334,4
race,Caucasian,0.0,0.9788521876621291,0.00015141191611779846,1.0,0.9787071116271028,142.66666666666666,40483,0
race,Caucasian,0.125,0.980013357409652,0.00017665169333266038,0.9987639060568603,0.9798441943860516,115.42857142857143,40435,1
race,Caucasian,0.2,0.9782204712703486,0.00010130685847431871,0.9988636363636364,0.9781240709543157,219.75,40364,2
race,Caucasian,0.21428571428571427,0.9779232003951105,0.0002776936281934767,0.9966555183946488,0.9776592855908564,81.27272727272727,40509,3
race,Caucasian,0.0,0.9785916882476261,0.00012600171362330527,1.0,0.9784710234278668,173.6,40550,4
race,Other,0.0,0.9920445505171042,0.0,1.0,0.9920445505171042,inf,1257,0
race,Other,0.0,0.99528672427337,0.0,1.0,0.99528672427337,inf,1273,1
race,Other,0.0,0.9927536231884058,0.0,1.0,0.9927536231884058,inf,1242,2
race,Other,0.0,0.9941520467836257,0.0,1.0,0.9941520467836257,inf,1197,3
race,Other,0.0,0.9960629921259843,0.0007898894154818325,1.0,0.995279307631786,5.0,1271,4
sex,female,0.0,0.981158320687911,6.443714156840002e-05,1.0,0.9810962888031864,298.0,15817,0
sex,female,0.0,0.9841698599158238,0.0002552485482738817,1.0,0.9839226276455442,63.0,15923,1
sex,female,0.0,0.9819330385344283,6.43293663557414e-05,1.0,0.9818710125702735,286.0,15831,2
sex,female,0.0,0.9801672791788113,0.00045231325924011373,1.0,0.9797327253150928,44.714285714285715,15789,3
sex,female,0.0,0.9804354686020826,0.0001287249790821909,1.0,0.9803117309269893,155.0,15847,4
sex,male,0.0,0.9799027175021117,0.00017831139112603643,1.0,0.9797315006261103,115.0,34339,0
sex,male,0.14285714285714285,0.97946005960381,0.00017894956604730234,0.9985795454545454,0.9792889901556977,117.16666666666667,34233,1
sex,male,0.16666666666666666,0.9783210466505434,0.0001488981536628946,0.9986577181208054,0.9781791697013839,148.8,34325,2
sex,male,0.23076923076923078,0.978255174220592,0.0002974773917182294,0.996,0.9779724145958214,74.7,34366,3
sex,male,0.0,0.980001749118153,0.0001487121527571233,1.0,0.9798589250320625,137.2,34308,4
