Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.9855038022813688,0.0,1.0,0.9855038022813688,inf,8416,0
race,African-American,0.0,0.9833096590909091,0.0,1.0,0.9833096590909091,inf,8448,1
race,African-American,0.0,0.983391812865497,0.0,1.0,0.983391812865497,inf,8550,2
race,African-American,0.0,0.9811812048763168,0.0,1.0,0.9811812048763168,inf,8449,3
race,African-American,0.0,0.9852411807055436,0.0,1.0,0.9852411807055436,inf,8334,4
race,Caucasian,0.0,0.9788553219870069,0.0,1.0,0.9788553219870069,inf,40483,0
race,Caucasian,0.25,0.9800153347678762,7.570786857114017e-05,0.9987639060568603,0.979943118585384,269.3333333333333,40435,1
race,Caucasian,0.0,0.9781962338949455,0.00010130685847431871,1.0,0.9780992964027351,220.0,40364,2
race,Caucasian,0.0,0.9778562259306803,2.5244875290316065e-05,1.0,0.9778320866967835,897.0,40509,3
race,Caucasian,0.0,0.9785932721712538,5.040068544932211e-05,1.0,0.9785450061652281,434.0,40550,4
race,Other,0.0,0.9920445505171042,0.0,1.0,0.9920445505171042,inf,1257,0
race,Other,0.0,0.99528672427337,0.0,1.0,0.99528672427337,inf,1273,1
race,Other,0.0,0.9927536231884058,0.0,1.0,0.9927536231884058,inf,1242,2
race,Other,0.0,0.9941520467836257,0.0,1.0,0.9941520467836257,inf,1197,3
race,Other,0.0,0.996066089693155,0.0,1.0,0.996066089693155,inf,1271,4
sex,female,0.0,0.981159511917557,0.0,1.0,0.981159511917557,inf,15817,0
sex,female,0.0,0.9841728426077127,6.381213706847043e-05,1.0,0.984111034352823,252.0,15923,1
sex,female,0.0,0.9819318971507992,0.0001286587327114828,1.0,0.9818078453666856,143.0,15831,2
sex,female,0.0,0.9801760719488252,0.0,1.0,0.9801760719488252,inf,15789,3
sex,female,0.0,0.9804379377800214,0.0,1.0,0.9804379377800214,inf,15847,4
sex,male,0.0,0.9799062290689886,0.0,1.0,0.9799062290689886,inf,34339,0
sex,male,0.3333333333333333,0.979462459830558,5.964985534910078e-05,0.9985795454545454,0.9794058364735782,351.5,34233,1
sex,male,0.0,0.9782944381318649,5.955926146515783e-05,1.0,0.9782374362709395,372.5,34325,2
sex,male,0.0,0.9781754692274116,2.974773917182294e-05,1.0,0.9781470057615085,750.0,34366,3
sex,male,0.0,0.9800034979303912,5.9484861102849326e-05,1.0,0.9799463681940073,343.0,34308,4
