Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.03786694458919576,0.9930795847750865,0.9507380707174734,0.00909090909090909,0.08352629837909362,0.0003610760064993681,6046,0
race,African-American,0.038223140495867766,1.0,0.9429439567859554,0.0,0.09111617312072894,0.0,6146,1
race,African-American,0.04141501294219154,0.9969135802469136,0.9450493365090167,0.004149377593360996,0.09200849812060795,0.00018001800180018,6119,2
race,African-American,0.0414858531504947,0.9939024390243902,0.9442544459644323,0.008298755186721992,0.09279027754967975,0.0003621876131836291,6089,3
race,African-American,0.0419233401779603,1.0,0.9486614706879024,0.0,0.0891491784610379,0.0,6147,4
race,Caucasian,0.04717539189588879,0.9915848527349228,0.9479879349665269,0.009316770186335404,0.09447215003160778,0.0004656216048424647,28474,0
race,Caucasian,0.04860852048048944,0.9930247305009512,0.9421478443976504,0.00837138508371385,0.10108163337208893,0.00043132180527781044,28383,1
race,Caucasian,0.04713880173315404,0.9981873111782478,0.9391797363964361,0.0023715415019762848,0.1025081788440567,0.00011760094080752646,28427,2
race,Caucasian,0.04819051891730223,0.9963724304715841,0.9392038956727045,0.004633204633204633,0.10340821068938807,0.00023567304293177266,28402,3
race,Caucasian,0.04675198686616171,0.9962311557788944,0.9415493476818751,0.004765687053216839,0.09998943401542634,0.00023485204321277596,28393,4
race,Other,0.013793103448275862,1.0,0.9358638743455497,0.0,0.07622739018087855,0.0,774,0
race,Other,0.019858156028368795,1.0,0.9213333333333333,0.0,0.09554973821989529,0.0,764,1
race,Other,0.01443001443001443,1.0,0.926729986431479,0.0,0.0856760374832664,0.0,747,2
race,Other,0.013089005235602094,1.0,0.952020202020202,0.0,0.059850374064837904,0.0,802,3
race,Other,0.015580736543909348,1.0,0.9366576819407008,0.0,0.07702523240371846,0.0,753,4
sex,female,0.042664818847752924,0.9912152269399708,0.9345767298028604,0.013729977116704805,0.10273528048215114,0.0006204115396546376,10785,0
sex,female,0.04062935670185222,0.9962917181705809,0.9227969348659004,0.0072992700729927005,0.11187908948484011,0.00031139713514635666,10851,1
sex,female,0.04394609814963797,1.0,0.9187282566679552,0.0,0.11849791376912379,0.0,10785,2
sex,female,0.04323175053153792,0.9975816203143894,0.9197080291970803,0.004662004662004662,0.11696562032884902,0.00021164021164021165,10704,3
sex,female,0.04169148302561048,0.9987228607918263,0.9250670755078574,0.0023752969121140144,0.11071198305240858,0.00010358400662937643,10857,4
sex,male,0.045799897558477035,0.9925994449583718,0.954200102441523,0.0074005550416281225,0.0875596719572402,0.00035786177588906286,24509,0
sex,male,0.04858873566181209,0.9931330472103004,0.9503497403767756,0.007023705004389816,0.09360936093609361,0.00036123904994129867,24442,1
sex,male,0.046105678504031564,0.9966442953020134,0.9492936104827351,0.0037071362372567192,0.0923371960176269,0.00017984802841598848,24508,2
sex,male,0.047486749871772954,0.9949706621961442,0.9494291070211316,0.005371530886302597,0.0934564236040506,0.00026923939869867623,24589,3
sex,male,0.04678437943033896,0.9956859361518551,0.9505612201182418,0.004570383912248629,0.09179080045834015,0.00022534703443302686,24436,4
