Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,1.0,0.9520105907661758,0.0,0.9897610921501706,0.9520344029110156,inf,6046,0
race,African-American,0.5,0.9513346354166666,0.00017105713308244953,0.9966666666666667,0.9511877643996095,299.0,6146,1
race,African-American,0.125,0.9437080674194076,0.0012123311395912711,0.9971014492753624,0.9426376858963883,49.142857142857146,6119,2
race,African-American,0.2,0.947853265339694,0.0013864818024263432,0.9937304075235109,0.9466250615864674,39.625,6089,3
race,African-American,0.0,0.9443631039531479,0.0,1.0,0.9443631039531479,inf,6147,4
race,Caucasian,0.14285714285714285,0.9478215038650738,0.0004446585392966984,0.9986550100874243,0.9474257217110347,123.75,28474,0
race,Caucasian,0.14285714285714285,0.9455173385959966,0.00022358026531524818,0.9993535875888817,0.9453193813198041,257.6666666666667,28383,1
race,Caucasian,0.22580645161290322,0.9485490914213269,0.0008902407359323417,0.9952316076294278,0.9477609315087768,60.875,28427,2
race,Caucasian,0.34210526315789475,0.9476449019884361,0.0009292298542967588,0.9913217623497997,0.9468347299485952,59.4,28402,3
race,Caucasian,0.2857142857142857,0.9492003100119777,0.00018553564139671232,0.9986149584487535,0.9490367344063678,288.4,28393,4
race,Other,0.0,0.981888745148771,0.0013157894736842105,1.0,0.9806201550387597,14.0,774,0
race,Other,0.0,0.9698952879581152,0.0,1.0,0.9698952879581152,inf,764,1
race,Other,0.0,0.9879032258064516,0.0040650406504065045,1.0,0.9839357429718876,3.0,747,2
race,Other,0.0,0.9850187265917603,0.0012658227848101266,1.0,0.983790523690773,12.0,802,3
race,Other,0.0,0.9800796812749004,0.0,1.0,0.9800796812749004,inf,753,4
sex,female,0.2,0.9539888682745825,0.00038880248833592535,0.9979879275653923,0.9536393138618452,124.0,10785,0
sex,female,0.0,0.9541977697908027,0.0,1.0,0.9541977697908027,inf,10851,1
sex,female,0.06666666666666667,0.9547818012999072,0.0013596193065941536,0.9979508196721312,0.9535465924895689,34.785714285714285,10785,2
sex,female,0.25,0.9569771791994014,0.0008788204276926081,0.9935205183585313,0.9561846038863976,51.111111111111114,10704,3
sex,female,0.5,0.9541225241824044,9.654373431164318e-05,0.9979959919839679,0.9540388689324859,498.0,10857,4
sex,male,0.3076923076923077,0.9472158719790986,0.0003877304842322936,0.9969159599074788,0.9468766575543678,143.66666666666666,24509,0
sex,male,0.2222222222222222,0.943887365448369,0.00030343751354631755,0.9985433357611071,0.9436216348907618,195.85714285714286,24442,1
sex,male,0.25925925925925924,0.9457946979290062,0.0008630361612151549,0.9947526236881559,0.945038354822915,66.35,24508,2
sex,male,0.32432432432432434,0.94485174323884,0.0010765189682642208,0.9912152269399708,0.9439180121192403,54.16,24589,3
sex,male,0.2,0.9467479841185379,0.0001729056799515864,0.999231950844854,0.9465951874283843,325.25,24436,4
