Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.9765922053231939,0.0,1.0,0.9765922053231939,inf,8416,0
race,African-American,1.0,0.9741920208357997,0.0,0.9954337899543378,0.9741950757575758,inf,8448,1
race,African-American,0.0,0.976374269005848,0.0,1.0,0.976374269005848,inf,8550,2
race,African-American,1.0,0.9750236742424242,0.0,0.9952830188679245,0.975026630370458,inf,8449,3
race,African-American,0.25,0.9750300120048019,0.0003692307692307692,0.9952153110047847,0.974682025437965,69.33333333333333,8334,4
race,Caucasian,0.4,0.9749493552052967,7.601287151290952e-05,0.9980314960629921,0.9748783439962453,338.0,40483,0
race,Caucasian,0.14285714285714285,0.9765963236931298,0.00030389748524830955,0.9978902953586498,0.9763076542599234,78.83333333333333,40435,1
race,Caucasian,0.4,0.9750241581803315,7.623113279463333e-05,0.998019801980198,0.9749529283519969,336.0,40364,2
race,Caucasian,0.2222222222222222,0.9753333333333334,0.00017717930545712261,0.998001998001998,0.9751660124910514,142.71428571428572,40509,3
race,Caucasian,0.5,0.9753601026045777,7.58571862041064e-05,0.9970059880239521,0.9752897657213316,333.0,40550,4
race,Other,0.0,0.9912490055688147,0.0,1.0,0.9912490055688147,inf,1257,0
race,Other,0.0,0.992930086410055,0.0,1.0,0.992930086410055,inf,1273,1
race,Other,0.0,0.9887278582930756,0.0,1.0,0.9887278582930756,inf,1242,2
race,Other,0.0,0.9908103592314118,0.0,1.0,0.9908103592314118,inf,1197,3
race,Other,0.0,0.993705743509048,0.0,1.0,0.993705743509048,inf,1271,4
sex,female,0.5,0.9773632627252609,6.469142191745374e-05,0.9972144846796658,0.9773029019409496,358.0,15817,0
sex,female,0.2,0.9801482598316371,0.0002563116749967961,0.9968454258675079,0.9799032845569302,79.0,15923,1
sex,female,0.0,0.9806064434617814,6.441638752898738e-05,1.0,0.9805445012949277,307.0,15831,2
sex,female,0.0,0.9774526569130407,0.0,1.0,0.9774526569130407,inf,15789,3
sex,female,1.0,0.9794256863363837,0.0,0.9939024390243902,0.9794282829557645,inf,15847,4
sex,male,0.3333333333333333,0.9748369058713886,5.9747864013861504e-05,0.9988439306358381,0.9747808614112234,432.0,34339,0
sex,male,0.2,0.9749583613359437,0.0002397075567807275,0.9976717112922002,0.9747319837583618,107.125,34233,1
sex,male,0.5,0.9732816642871711,5.986948452373825e-05,0.9978237214363439,0.9732265112891478,458.5,34325,2
sex,male,0.3,0.9748224473163348,0.0002089676995641531,0.9965437788018433,0.9746260839201536,123.57142857142857,34366,3
sex,male,0.25,0.9740816326530612,0.00017954933117874137,0.9977553310886644,0.9739127900198205,148.16666666666666,34308,4
