Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5,0.9431788426289605,0.0009707391485230897,0.9841269841269841,0.9423680083638265,62.0,7652,0
race,African-American,0.4444444444444444,0.9461859276200727,0.0007104290991759022,0.9900990099009901,0.945579145391024,80.0,7442,1
race,African-American,0.375,0.9359411919138881,0.000700770847932726,0.9938900203665988,0.9353527406241804,97.6,7626,2
race,African-American,0.6,0.9389004689942678,0.000554708084870337,0.9873684210526316,0.9384595368201926,117.25,7686,3
race,African-American,0.23076923076923078,0.944392709857656,0.0014066676044450696,0.9928741092636579,0.9431606905710491,41.8,7530,4
race,Caucasian,0.5813953488372093,0.9410502855550913,0.0005325916501464627,0.9883232134516581,0.9406199565919083,117.55555555555556,35938,0
race,Caucasian,0.525,0.938498601611608,0.0005602901713308366,0.9906333630686887,0.9380411030896468,116.89473684210526,36153,1
race,Caucasian,0.42857142857142855,0.9409009812667262,0.0005922065616487031,0.9929742388758782,0.9404015930041496,106.0,35907,2
race,Caucasian,0.34782608695652173,0.9399609047752024,0.0008904719501335708,0.9926131117266851,0.9392012494422133,71.66666666666667,35856,3
race,Caucasian,0.43243243243243246,0.9391536599616058,0.0012426770814841115,0.985579089680036,0.9381125579587417,52.07142857142857,36017,4
race,Other,0.0,0.9796747967479674,0.0,1.0,0.9796747967479674,inf,984,0
race,Other,0.0,0.9867211440245148,0.0,1.0,0.9867211440245148,inf,979,1
race,Other,1.0,0.9759384023099134,0.0,0.9259259259259259,0.9759846301633045,inf,1041,2
race,Other,0.0,0.9728682170542635,0.0,1.0,0.9728682170542635,inf,1032,3
race,Other,0.0,0.97953216374269,0.0,1.0,0.97953216374269,inf,1026,4
sex,female,0.65,0.948855016976089,0.000532643433267387,0.9819694868238558,0.948423862078915,101.14285714285714,13863,0
sex,female,0.2857142857142857,0.9481880366758841,0.0007668711656441718,0.994413407821229,0.9475138121546961,71.2,13756,1
sex,female,0.42857142857142855,0.9449667341625687,0.0006118546845124283,0.9921773142112125,0.9444444444444444,95.125,13842,2
sex,female,0.375,0.9432368021954214,0.0007650524060898172,0.9924242424242424,0.9425809709298132,78.6,13863,3
sex,female,0.47619047619047616,0.9449167938376571,0.0008452435838327954,0.9869791666666666,0.9442025830793789,68.9090909090909,13782,4
sex,male,0.5135135135135135,0.939297124600639,0.0006243496357960458,0.98989898989899,0.9387841490019863,103.44444444444444,30711,0
sex,male,0.6,0.9375629405840886,0.00048484848484848484,0.9891919711785898,0.9371795703809462,137.28571428571428,30818,1
sex,male,0.45161290322580644,0.9390247874662063,0.0005893364764612078,0.9925768822905621,0.9385331250813485,110.11764705882354,30732,2
sex,male,0.4,0.9393237912034169,0.0008323506970937089,0.9914757591901971,0.9386213408876298,77.54166666666667,30711,3
sex,male,0.3787878787878788,0.9392026037428803,0.001418783306803239,0.9867934495509773,0.9380013640349453,45.5609756097561,30791,4
