Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.8772616136919316,0.0,1.0,0.8772616136919316,inf,6135,0
race,African-American,0,0.8773246329526917,0.0,1.0,0.8773246329526917,inf,6130,1
race,African-American,0,0.878738621586476,0.0,1.0,0.878738621586476,inf,6152,2
race,African-American,0,0.8743801652892562,0.0,1.0,0.8743801652892562,inf,6050,3
race,African-American,0,0.8758223684210527,0.0,1.0,0.8758223684210527,inf,6080,4
race,Caucasian,0,0.8756916787086314,0.0,1.0,0.8756916787086314,inf,28373,0
race,Caucasian,0,0.8757873253809071,0.0,1.0,0.8757873253809071,inf,28419,1
race,Caucasian,0,0.8753919323586401,0.0,1.0,0.8753919323586401,inf,28385,2
race,Caucasian,0,0.8760757314974182,0.0,1.0,0.8760757314974182,inf,28469,3
race,Caucasian,0,0.8758484859142546,0.0,1.0,0.8758484859142546,inf,28433,4
race,Other,0,0.9389312977099237,0.0,1.0,0.9389312977099237,inf,786,0
race,Other,0,0.938255033557047,0.0,1.0,0.938255033557047,inf,745,1
race,Other,0,0.9404761904761905,0.0,1.0,0.9404761904761905,inf,756,2
race,Other,0,0.9483204134366925,0.0,1.0,0.9483204134366925,inf,774,3
race,Other,0,0.9460847240051348,0.0,1.0,0.9460847240051348,inf,779,4
sex,female,0,0.889054079167441,0.0,1.0,0.889054079167441,inf,10762,0
sex,female,0,0.883477131459319,0.0,1.0,0.883477131459319,inf,10779,1
sex,female,0,0.8884782407835166,0.0,1.0,0.8884782407835166,inf,10823,2
sex,female,0,0.8862120088954781,0.0,1.0,0.8862120088954781,inf,10792,3
sex,female,0,0.8820432292628857,0.0,1.0,0.8820432292628857,inf,10826,4
sex,male,0,0.8722484917658568,0.0,1.0,0.8722484917658568,inf,24532,0
sex,male,0,0.8746889659392209,0.0,1.0,0.8746889659392209,inf,24515,1
sex,male,0,0.8724560686554965,0.0,1.0,0.8724560686554965,inf,24470,2
sex,male,0,0.8734745520590996,0.0,1.0,0.8734745520590996,inf,24501,3
sex,male,0,0.8753372026485735,0.0,1.0,0.8753372026485735,inf,24466,4
