Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.14432144321443213,0.978595890410959,0.785029151777318,0.03429355281207133,0.30549123387363547,0.005989458552946814,6046,0
race,African-American,0.14326356431619588,0.9689795918367347,0.7803072367203405,0.05114401076716016,0.3078424991864627,0.009013282732447819,6146,1
race,African-American,0.15409769057837727,0.9690048939641109,0.7769851698892435,0.047979797979797977,0.3173721196273901,0.009180961584923895,6119,2
race,African-American,0.14347026364193746,0.9749163879598662,0.7823408624229979,0.040983606557377046,0.306782722943012,0.0071581961345740875,6089,3
race,African-American,0.14867863627193867,0.9722689075630252,0.7848242514413242,0.04285714285714286,0.3081177810313974,0.007819905213270141,6147,4
race,Caucasian,0.15718381031048054,0.9740276194096035,0.6928976591835104,0.059593023255813955,0.3836131207417293,0.011818286636688574,28474,0
race,Caucasian,0.1632228405516574,0.9716247732573206,0.6975111935783147,0.06096881959910913,0.3830461896205475,0.012664816099930604,28383,1
race,Caucasian,0.1600214728417354,0.9744203629032258,0.6899979955902986,0.05829982768523837,0.3873781967847469,0.011794097141529165,28427,2
race,Caucasian,0.16695992179863148,0.9736842105263158,0.6878960326108892,0.0576551724137931,0.39254277867755794,0.012262379723069702,28402,3
race,Caucasian,0.16206947234334426,0.9743172137308945,0.68741961414791,0.05835468260745801,0.3904131299968302,0.011986201251242471,28393,4
race,Other,0.07142857142857142,0.9906542056074766,0.7103825136612022,0.047619047619047616,0.32558139534883723,0.0038461538461538464,774,0
race,Other,0.08272058823529412,0.990909090909091,0.6959553695955369,0.0425531914893617,0.34424083769633507,0.004008016032064128,764,1
race,Other,0.058712121212121215,0.9817351598173516,0.6980337078651685,0.11428571428571428,0.3293172690763052,0.008048289738430584,747,2
race,Other,0.07387387387387387,0.9757085020242915,0.680794701986755,0.1276595744680851,0.3516209476309227,0.011673151750972763,802,3
race,Other,0.08152173913043478,0.9751243781094527,0.7211948790896159,0.1,0.3200531208499336,0.009861932938856016,753,4
sex,female,0.14294913071474566,0.9741721854304636,0.6934458685005731,0.06565656565656566,0.3757070004636069,0.011720510894064612,10785,0
sex,female,0.14584134307317698,0.9717847769028871,0.6923236730030123,0.07026143790849673,0.37784535987466594,0.012903225806451613,10851,1
sex,female,0.14975970905312377,0.9747245625405055,0.6851580489847184,0.06336311941510966,0.38581363004172464,0.011915673693858845,10785,2
sex,female,0.15058977719528177,0.9746258945998699,0.683866202384721,0.06356968215158924,0.3872384155455904,0.01203517975621046,10704,3
sex,female,0.15747319467769022,0.9765725288831836,0.6818609513852587,0.0565015479876161,0.392557796813116,0.011192885617908616,10857,4
sex,male,0.1571710310069026,0.9753796962430056,0.7160476589407055,0.05094277208071452,0.36598800440654455,0.010009749756256094,24509,0
sex,male,0.16287444753642166,0.9717089125102207,0.7208231535425672,0.054781507283090565,0.36523197774322885,0.011276235171424847,24442,1
sex,male,0.1598308900236095,0.9734710087370929,0.7140457302846477,0.05425601039636127,0.36881834503019423,0.010913606064566723,24508,2
sex,male,0.1646788488893752,0.9735382665187767,0.7130580982626564,0.05256531318854265,0.3722802879336289,0.010937909352894943,24589,3
sex,male,0.15792947906925572,0.9728304299184913,0.7154942743631689,0.055902663597500825,0.36659027664102145,0.011105304415991639,24436,4
