Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.3333333333333333,0.9793149098130068,0.00033783783783783786,0.9920634920634921,0.9789943764472379,62.5,6046,0
race,African-American,0.5,0.9778645833333334,0.00016641704110500916,0.9927007299270073,0.9777090790758217,136.0,6146,1
race,African-American,0.0,0.9746690635724792,0.0,1.0,0.9746690635724792,inf,6119,2
race,African-American,0.0,0.9806176084099869,0.00016747613465081226,1.0,0.9804565610116603,118.0,6089,3
race,African-American,0.0,0.9804782820888238,0.0,1.0,0.9804782820888238,inf,6147,4
race,Caucasian,0.0,0.9776224267547249,0.0002873872902970866,1.0,0.9773477558474397,79.625,28474,0
race,Caucasian,0.125,0.9770925110132158,0.0002524159815375739,0.9984639016897081,0.9768523411901491,92.85714285714286,28383,1
race,Caucasian,0.0,0.9780811314780283,0.00014386419220256078,1.0,0.9779435044148169,155.75,28427,2
race,Caucasian,0.0,0.976934183188365,0.0001801996612246369,1.0,0.9767621998450813,131.0,28402,3
race,Caucasian,0.0,0.9783037475345168,3.600100802822479e-05,1.0,0.9782692917268341,616.0,28393,4
race,Other,0.0,0.9961240310077519,0.0,1.0,0.9961240310077519,inf,774,0
race,Other,0.0,0.9947643979057592,0.0,1.0,0.9947643979057592,inf,764,1
race,Other,0.0,0.9946452476572959,0.0,1.0,0.9946452476572959,inf,747,2
race,Other,0.0,0.9975062344139651,0.0,1.0,0.9975062344139651,inf,802,3
race,Other,0.0,0.9880478087649402,0.0,1.0,0.9880478087649402,inf,753,4
sex,female,0.0,0.9746776736851869,0.000380517503805175,1.0,0.9743161798794622,68.25,10785,0
sex,female,0.0,0.9762211981566821,9.440196356084207e-05,1.0,0.9761312321445028,258.0,10851,1
sex,female,0.0,0.9752410979228486,9.507510933637573e-05,1.0,0.975150672229949,267.0,10785,2
sex,female,0.0,0.9767354947211062,9.564801530368245e-05,1.0,0.976644245142003,249.0,10704,3
sex,female,0.0,0.9766970618034447,0.0,1.0,0.9766970618034447,inf,10857,4
sex,male,0.14285714285714285,0.9799200065300792,0.0002498334443704197,0.9979716024340771,0.9796809335346199,82.0,24509,0
sex,male,0.2222222222222222,0.978226169524823,0.00029278902459427806,0.9962546816479401,0.9779477947794779,76.0,24442,1
sex,male,0.0,0.9789838808406448,0.0001250364689701163,1.0,0.9788640443936674,171.66666666666666,24508,2
sex,male,0.0,0.9786039700618289,0.0002077878901217637,1.0,0.9784049778356175,105.2,24589,3
sex,male,0.0,0.979864947820749,4.17641162712997e-05,1.0,0.9798248485840563,492.0,24436,4
