Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5,0.9905882352941177,0.00013194352816994325,0.9863013698630136,0.990460010454783,72.0,7652,0
race,African-American,0.0,0.9931470034936845,0.0,1.0,0.9931470034936845,inf,7442,1
race,African-American,0.0,0.988722790453711,0.0,1.0,0.988722790453711,inf,7626,2
race,African-American,0.0,0.9897215716887848,0.0,1.0,0.9897215716887848,inf,7686,3
race,African-American,0.0,0.9913655685441021,0.00026791694574681847,1.0,0.9911022576361221,32.5,7530,4
race,Caucasian,0.0,0.9900102957954198,2.81064672981253e-05,1.0,0.9899827480661139,359.0,35938,0
race,Caucasian,0.0,0.990816806350787,0.0,1.0,0.990816806350787,inf,36153,1
race,Caucasian,0.0,0.9902242027572762,5.624929688378895e-05,1.0,0.9901690478179742,175.5,35907,2
race,Caucasian,0.0,0.9905165681133549,0.00011262529564140106,1.0,0.9904060687193217,85.0,35856,3
race,Caucasian,0.0,0.9909752304787293,0.00014008741454667713,1.0,0.9908376599938917,65.0,36017,4
race,Other,0.0,0.9969512195121951,0.0,1.0,0.9969512195121951,inf,984,0
race,Other,0.0,0.9969356486210419,0.0,1.0,0.9969356486210419,inf,979,1
race,Other,0.0,0.9990393852065321,0.0,1.0,0.9990393852065321,inf,1041,2
race,Other,0.0,0.997093023255814,0.0,1.0,0.997093023255814,inf,1032,3
race,Other,0.0,1.0,0.0,0.0,1.0,,1026,4
sex,female,0.0,0.9898290413330448,0.0,1.0,0.9898290413330448,inf,13863,0
sex,female,0.0,0.9909130561209654,0.0,1.0,0.9909130561209654,inf,13756,1
sex,female,0.0,0.9898128747922837,7.298737318443909e-05,1.0,0.9897413668545008,141.0,13842,2
sex,female,0.0,0.9883133746934064,7.298737318443909e-05,1.0,0.9882420832431653,162.0,13863,3
sex,female,0.0,0.9909301988100421,0.0,1.0,0.9909301988100421,inf,13782,4
sex,male,0.3333333333333333,0.9904585124397551,6.575270407995528e-05,0.9965986394557823,0.9903943212529712,146.5,30711,0
sex,male,0.0,0.9915309234862743,0.0,1.0,0.9915309234862743,inf,30818,1
sex,male,0.0,0.9903354918486219,3.285690816494168e-05,1.0,0.9903032669530132,297.0,30732,2
sex,male,0.0,0.9915331509704312,9.851893205477652e-05,1.0,0.9914362931848524,86.66666666666667,30711,3
sex,male,0.0,0.991391632016632,0.00022931271702810718,1.0,0.9911662498782111,37.857142857142854,30791,4
