Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.010721104420619769,0.9981331673926571,0.807673860911271,0.039473684210526314,0.1992633079847909,0.0004453681710213777,8416,0
race,African-American,0.013563869429125056,0.9994249568717654,0.7920057443752991,0.010869565217391304,0.21650094696969696,0.0001511030522816561,8448,1
race,African-American,0.01064638783269962,0.999493670886076,0.767189527066871,0.014084507042253521,0.23906432748538012,0.00015372790161414298,8550,2
race,African-American,0.009810333551340745,0.9987141020145736,0.7221559742427855,0.047619047619047616,0.28287371286542784,0.0004953764861294584,8449,3
race,African-American,0.012267080745341614,0.9994720168954594,0.7706566513205718,0.0125,0.23662107031437485,0.00015720798616569723,8334,4
race,Caucasian,0.012570305617672969,0.9994530039201386,0.7266493791452651,0.015915119363395226,0.27996936985895315,0.00020588134371890335,40483,0
race,Caucasian,0.012662223781129429,0.999412997903564,0.7025482317118826,0.019021739130434784,0.3036725609002102,0.00024867668478453943,40435,1
race,Caucasian,0.014534355583009338,0.999065638869423,0.6788396075290348,0.02912621359223301,0.32779209196313547,0.0004424615611518749,40364,2
race,Caucasian,0.012235222145752084,0.9995820271682341,0.6429086927307568,0.018404907975460124,0.36211706040632946,0.000232252070914299,40509,3
race,Caucasian,0.012761268306554814,0.9994363021420518,0.6911457296436393,0.01912568306010929,0.31491985203452527,0.0002520433514564505,40550,4
race,Other,0.0,1.0,0.7072394590294352,0.0,0.29276054097056486,0.0,1257,0
race,Other,0.0011668611435239206,1.0,0.6729559748427673,0.0,0.3275726630007855,0.0,1273,1
race,Other,0.006097560975609756,1.0,0.6588520614389652,0.0,0.3438003220611916,0.0,1242,2
race,Other,0.005457025920873124,1.0,0.6110645431684828,0.0,0.39097744360902253,0.0,1197,3
race,Other,0.0011792452830188679,1.0,0.6669291338582677,0.0,0.33359559402045635,0.0,1271,4
sex,female,0.011087686421488248,0.9996677740863787,0.8080260303687635,0.006993006993006993,0.19921603338180438,7.895775759968417e-05,15817,0
sex,female,0.01280949105914718,0.9990678163598229,0.7281547241597971,0.026143790849673203,0.27859071782955475,0.00034834102586432116,15923,1
sex,female,0.013110426748790146,0.9988804299149127,0.7154430056771066,0.032467532467532464,0.2912008085402059,0.0004457917261055635,15831,2
sex,female,0.013263332412268583,0.9997972424979724,0.6847992840705702,0.006896551724137931,0.32142630945595035,9.334453467749463e-05,15789,3
sex,female,0.012863143157157858,0.9990948178320888,0.7187181447502549,0.026490066225165563,0.2878778317662649,0.0003545784948142895,15847,4
sex,male,0.012374513419381275,0.9991946849204751,0.7083076199712011,0.025806451612903226,0.2978537522933108,0.0003319088910094179,34339,0
sex,male,0.012436589756177384,0.9995913780774338,0.7115696389093589,0.012987012987012988,0.2947156252738586,0.00016570008285004143,34233,1
sex,male,0.013842299690034393,0.9992574716911082,0.6832691006442881,0.023952095808383235,0.32314639475600876,0.00034445640473627556,34325,2
sex,male,0.01083717149823896,0.9993453355155483,0.6420657717333959,0.03225806451612903,0.3623348658557877,0.00036519674974892725,34366,3
sex,male,0.012170723574524842,0.9996122528111672,0.6968128895683876,0.013513513513513514,0.30908242975399325,0.00016877637130801687,34308,4
