Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.45454545454545453,0.9613918806959404,0.0010330578512396695,0.9789915966386554,0.9604697320542508,38.833333333333336,6046,0
race,African-American,0.16666666666666666,0.9633550488599348,0.0008445945945945946,0.995575221238938,0.9625772860397006,45.0,6146,1
race,African-American,0.5555555555555556,0.9595744680851064,0.0006817794443497528,0.9801587301587301,0.9589802255270469,61.75,6119,2
race,African-American,0.2,0.9621959237343852,0.0006828269033799932,0.9956709956709957,0.9615700443422566,57.5,6089,3
race,African-American,0.5833333333333334,0.960880195599022,0.000847457627118644,0.97165991902834,0.960143159264682,48.0,6147,4
race,Caucasian,0.6,0.9752977968305281,0.0002161227577263886,0.9873595505617978,0.9751000913113718,117.16666666666667,28474,0
race,Caucasian,0.35294117647058826,0.973982937319326,0.00039798834979557873,0.9919354838709677,0.9736109643096219,67.0909090909091,28383,1
race,Caucasian,0.5,0.9758578215731127,0.00021633315305570578,0.9913294797687862,0.975656945861329,114.33333333333333,28427,2
race,Caucasian,0.23809523809523808,0.9757936647757303,0.000577408877661494,0.9927745664739884,0.9752482219562003,42.9375,28402,3
race,Caucasian,0.2,0.9759320600465149,0.00043310354783989606,0.9956268221574344,0.9755221357376819,56.916666666666664,28393,4
race,Other,0.0,0.9909560723514211,0.0,1.0,0.9909560723514211,inf,774,0
race,Other,0.0,0.9895287958115183,0.0,1.0,0.9895287958115183,inf,764,1
race,Other,0.0,0.9892904953145917,0.0,1.0,0.9892904953145917,inf,747,2
race,Other,0.0,0.986284289276808,0.0,1.0,0.986284289276808,inf,802,3
race,Other,0.0,0.9880478087649402,0.0,1.0,0.9880478087649402,inf,753,4
sex,female,1.0,0.9846995548961425,0.0,0.9939759036144579,0.9847009735744089,inf,10785,0
sex,female,0.5,0.981565121209328,9.389671361502347e-05,0.9950248756218906,0.9814763616256567,200.0,10851,1
sex,female,1.0,0.9839562273949736,0.0,0.9885714285714285,0.9839592025961984,inf,10785,2
sex,female,0.0,0.9847706250583949,9.48676596148373e-05,1.0,0.9846786248131539,163.0,10704,3
sex,female,0.5,0.9828650391524643,9.372071227741331e-05,0.9946524064171123,0.9827760891590679,186.0,10857,4
sex,male,0.52,0.9682241463813103,0.0005059448520111307,0.9835651074589128,0.9677669427557224,64.83333333333333,24509,0
sex,male,0.2857142857142857,0.9684288112689898,0.0006338474540460595,0.9922779922779923,0.9678422387693315,51.4,24442,1
sex,male,0.47368421052631576,0.9686389807668749,0.00042138974337364626,0.9884169884169884,0.9682552635874,76.8,24508,2
sex,male,0.24,0.96885686370298,0.0007977160130993367,0.9922178988326849,0.9681158241490098,40.26315789473684,24589,3
sex,male,0.36,0.9694400065544222,0.0006756471432794223,0.9880794701986755,0.9688165002455393,46.625,24436,4
