Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.9886588421469076,0.0,1.0,0.9886588421469076,inf,7583,0
race,African-American,0,0.9888816219751472,0.0,1.0,0.9888816219751472,inf,7645,1
race,African-American,0,0.9889200373781871,0.0,1.0,0.9889200373781871,inf,7491,2
race,African-American,0,0.9900393184796854,0.0,1.0,0.9900393184796854,inf,7630,3
race,African-American,0,0.989060234611836,0.0,1.0,0.989060234611836,inf,7587,4
race,Caucasian,0,0.9939100692416785,0.0,1.0,0.9939100692416785,inf,35961,0
race,Caucasian,0,0.9938472674629026,0.0,1.0,0.9938472674629026,inf,35919,1
race,Caucasian,0,0.9938165483584738,0.0,1.0,0.9938165483584738,inf,36064,2
race,Caucasian,0,0.9936529146484049,0.0,1.0,0.9936529146484049,inf,35922,3
race,Caucasian,0,0.9939730592973198,0.0,1.0,0.9939730592973198,inf,36005,4
race,Other,0,0.9980601357904947,0.0,1.0,0.9980601357904947,inf,1031,0
race,Other,0,0.999009900990099,0.0,1.0,0.999009900990099,inf,1010,1
race,Other,0,0.9990186457311089,0.0,1.0,0.9990186457311089,inf,1019,2
race,Other,0,0.9980411361410382,0.0,1.0,0.9980411361410382,inf,1021,3
race,Other,0,0.9938837920489296,0.0,1.0,0.9938837920489296,inf,981,4
sex,female,0,0.9963694452512344,0.0,1.0,0.9963694452512344,inf,13772,0
sex,female,0,0.9965524671407024,0.0,1.0,0.9965524671407024,inf,13923,1
sex,female,0,0.996749259553565,0.0,1.0,0.996749259553565,inf,13843,2
sex,female,0,0.9962018844496384,0.0,1.0,0.9962018844496384,inf,13691,3
sex,female,0,0.9967572241839014,0.0,1.0,0.9967572241839014,inf,13877,4
sex,male,0,0.991656656819141,0.0,1.0,0.991656656819141,inf,30803,0
sex,male,0,0.9915500309940948,0.0,1.0,0.9915500309940948,inf,30651,1
sex,male,0,0.9914744069506362,0.0,1.0,0.9914744069506362,inf,30731,2
sex,male,0,0.9917751440968849,0.0,1.0,0.9917751440968849,inf,30882,3
sex,male,0,0.9914972634870993,0.0,1.0,0.9914972634870993,inf,30696,4
