Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.014151646059883808,0.9994128009395185,0.7954326923076923,0.010416666666666666,0.21352186311787072,0.0001511030522816561,8416,0
race,African-American,0.013050118006386228,0.9991967871485944,0.8510714713276667,0.010526315789473684,0.15838068181818182,0.00014066676044450696,8448,1
race,African-American,0.013064133016627079,0.9988974641675854,0.7858156028368795,0.022222222222222223,0.2222222222222222,0.00030084235860409147,8550,2
race,African-American,0.011262249524645312,0.999379652605459,0.8075498745669574,0.01282051282051282,0.19978695703633567,0.00014792899408284024,8449,3
race,African-American,0.012939876913365947,0.9979969954932398,0.7583656644034917,0.046511627906976744,0.2489800815934725,0.000639488409272582,8334,4
race,Caucasian,0.00806645384958638,0.9991189427312775,0.7181768477558527,0.04081632653061224,0.2859224859817701,0.0003460447089763998,40483,0
race,Caucasian,0.00775709219858156,0.9995480736639928,0.779848703528592,0.01606425702811245,0.22485470508223074,0.0001276364912728549,40435,1
race,Caucasian,0.008237232289950576,0.9994085340092944,0.7051991426150241,0.028925619834710745,0.29885541571697555,0.00024740227610094015,40364,2
race,Caucasian,0.007652364033889041,0.9991100827623031,0.7212414649286157,0.042735042735042736,0.2826779234244242,0.0003442577802258331,40509,3
race,Caucasian,0.008493791614180313,0.999529964747356,0.6834623399821376,0.024793388429752067,0.32046855733662144,0.00021779374931939454,40550,4
race,Other,0.0049382716049382715,1.0,0.6432561851556265,0.0,0.35879077167859985,0.0,1257,0
race,Other,0.002197802197802198,1.0,0.7143981117230527,0.0,0.2867242733699921,0.0,1273,1
race,Other,0.0035842293906810036,1.0,0.6731234866828087,0.0,0.3285024154589372,0.0,1242,2
race,Other,0.0049813200498132005,1.0,0.6697401508801342,0.0,0.33249791144527985,0.0,1197,3
race,Other,0.0,0.9977728285077951,0.647244094488189,1.0,0.35247836349331235,0.0012165450121654502,1271,4
sex,female,0.006304092317555294,0.999380613192939,0.5903262663450553,0.06349206349206349,0.4117721438958083,0.00043010752688172043,15817,0
sex,female,0.005207269756994078,0.9995105237395986,0.613964332976243,0.05555555555555555,0.3879294102870062,0.0003079133737041979,15923,1
sex,female,0.004125237994499683,0.9993727458052376,0.5963389916392197,0.09302325581395349,0.40502810940559664,0.00042485395645246946,15831,2
sex,female,0.0053739855231410396,0.9989506820566632,0.5764317040615268,0.125,0.42516942174931915,0.0007718601830411291,15789,3
sex,female,0.0047485430606518456,0.9996960948184167,0.5836339472185305,0.043478260869565216,0.4179339938158642,0.00021687269572760788,15847,4
sex,male,0.010074367146572883,0.9990059642147118,0.7934345362186922,0.024822695035460994,0.2128774862401351,0.00025904818296203095,34339,0
sex,male,0.00969802360967127,0.9995381062355658,0.8724846056391974,0.00684931506849315,0.1348990739929308,6.753790564954581e-05,34233,1
sex,male,0.010770039027319123,0.9993487039208024,0.7745717391943114,0.017123287671232876,0.23187181354697742,0.00018967413982777588,34325,2
sex,male,0.009210620997337556,0.9993913572732805,0.8074239136808773,0.015384615384615385,0.19856835244136647,0.00014525383106979447,34366,3
sex,male,0.01067061297608848,0.9989571263035921,0.7466274797942689,0.03180212014134275,0.259268975166142,0.00035427491733585264,34308,4
