Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.9224581300276935,0.0,1.0,0.9224581300276935,inf,7583,0
race,African-American,0,0.9191545574636724,0.0,1.0,0.9191545574636724,inf,7570,1
race,African-American,0,0.924433249370277,0.0,1.0,0.924433249370277,inf,7543,2
race,African-American,0,0.9201210685616529,0.0,1.0,0.9201210685616529,inf,7599,3
race,African-American,0,0.919382279806308,0.0,1.0,0.919382279806308,inf,7641,4
race,Caucasian,0,0.9052184061353784,0.0,1.0,0.9052184061353784,inf,35988,0
race,Caucasian,0,0.9059327455288849,0.0,1.0,0.9059327455288849,inf,35953,1
race,Caucasian,0,0.9050817351724904,0.0,1.0,0.9050817351724904,inf,36031,2
race,Caucasian,0,0.9057248409766395,0.0,1.0,0.9057248409766395,inf,36001,3
race,Caucasian,0,0.90562148309098,0.0,1.0,0.90562148309098,inf,35898,4
race,Other,0,0.9790836653386454,0.0,1.0,0.9790836653386454,inf,1004,0
race,Other,0,0.9762131303520457,0.0,1.0,0.9762131303520457,inf,1051,1
race,Other,0,0.971,0.0,1.0,0.971,inf,1000,2
race,Other,0,0.9815005138746146,0.0,1.0,0.9815005138746146,inf,973,3
race,Other,0,0.9854932301740812,0.0,1.0,0.9854932301740812,inf,1034,4
sex,female,0,0.9177507950274646,0.0,1.0,0.9177507950274646,inf,13836,0
sex,female,0,0.9186669602877486,0.0,1.0,0.9186669602877486,inf,13623,1
sex,female,0,0.9155152561888313,0.0,1.0,0.9155152561888313,inf,13896,2
sex,female,0,0.9196338474845034,0.0,1.0,0.9196338474845034,inf,13874,3
sex,female,0,0.9169128774230741,0.0,1.0,0.9169128774230741,inf,13877,4
sex,male,0,0.9062428836331696,0.0,1.0,0.9062428836331696,inf,30739,0
sex,male,0,0.9059481115311299,0.0,1.0,0.9059481115311299,inf,30951,1
sex,male,0,0.9072625334115653,0.0,1.0,0.9072625334115653,inf,30678,2
sex,male,0,0.9054040848236099,0.0,1.0,0.9054040848236099,inf,30699,3
sex,male,0,0.9066327860307531,0.0,1.0,0.9066327860307531,inf,30696,4
