Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.07927070947284978,0.9879518072289156,0.9883704439086655,0.0016638935108153079,0.08912702561421851,0.00014349261013057828,7652,0
race,African-American,0.07884719956498097,1.0,0.987467210725736,0.0,0.08949207202364956,0.0,7442,1
race,African-American,0.08121693121693122,1.0,0.9905875641756988,0.0,0.08916863362182009,0.0,7626,2
race,African-American,0.08092105263157895,0.9883720930232558,0.987977369165488,0.0016233766233766235,0.09107468123861566,0.00014316392269148176,7686,3
race,African-American,0.0781965006729475,0.99,0.9857512953367875,0.001718213058419244,0.0903054448871182,0.0001460067163089502,7530,4
race,Caucasian,0.09588886059474294,0.9714285714285714,0.9822328783966556,0.0049911920140927775,0.11038455117146197,0.0005320147712336484,35938,0
race,Caucasian,0.0964786555377568,0.9824561403508771,0.982879853255885,0.002904443799012489,0.11044726578707162,0.00031104199066874026,36153,1
race,Caucasian,0.09451624763143754,0.9799270072992701,0.9835043312649752,0.003280644199224575,0.10802907511070264,0.0003435674797763688,35907,2
race,Caucasian,0.09443579215630751,0.9852125693160814,0.9836065573770492,0.0023930601256356566,0.10787594823739402,0.0002501563477173233,35856,3
race,Caucasian,0.0969959266802444,0.968421052631579,0.9802253815211718,0.00608695652173913,0.11308548740872366,0.0006578329104407481,36017,4
race,Other,0.022364217252396165,0.9777777777777777,0.9542619542619543,0.045454545454545456,0.06605691056910569,0.0010893246187363835,984,0
race,Other,0.019271948608137045,1.0,0.9531737773152965,0.0,0.06435137895812053,0.0,979,1
race,Other,0.019153225806451613,1.0,0.952054794520548,0.0,0.06532180595581172,0.0,1041,2
race,Other,0.025458248472505093,1.0,0.9503475670307845,0.0,0.07267441860465117,0.0,1032,3
race,Other,0.024514811031664963,1.0,0.9530938123752495,0.0,0.06920077972709551,0.0,1026,4
sex,female,0.08221214598974207,0.975609756097561,0.9686200674668549,0.008960573476702509,0.10863449469811728,0.0008099133392726978,13863,0
sex,female,0.0854463615903976,0.9835680751173709,0.9667724028548771,0.006108202443280977,0.1132596685082873,0.0005741940775982282,13756,1
sex,female,0.08505884105467004,0.9855769230769231,0.9677012761934772,0.005226480836236934,0.11212252564658286,0.0004884402474763921,13842,2
sex,female,0.08292501855976243,0.9949109414758269,0.9693188951663528,0.0017873100983020554,0.10877876361537907,0.0001619039909333765,13863,3
sex,female,0.08568646543330087,0.9651972157772621,0.9670442842430484,0.012942191544434857,0.11319111885067479,0.001228803145736053,13782,4
sex,male,0.0955326008290019,0.9712460063897763,0.9890639614360746,0.003089598352214212,0.10445768617107877,0.0003273441478140685,30711,0
sex,male,0.0946861801394755,0.9890909090909091,0.9902589263331304,0.0010362694300518134,0.10266727237328833,0.00010849517196484756,30818,1
sex,male,0.09293094964736756,0.979757085020243,0.9913242991324299,0.0017618040873854828,0.10005857087075361,0.00018081874728771878,30732,2
sex,male,0.09392973346041344,0.9753521126760564,0.9900524312289019,0.002443280977312391,0.10208068770147505,0.000253908375349124,30711,3
sex,male,0.0950345281157514,0.9816272965879265,0.9865920986592098,0.002416292716603383,0.10600500146146602,0.00025436046511627907,30791,4
