Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5542168674698795,0.8693877551020408,0.014269186270728885,0.8930232558139535,0.8607343698312934,10.378378378378379,6046,0
race,African-American,0.6025641025641025,0.8654424040066778,0.01181852840259245,0.8955555555555555,0.8587699316628702,13.0,6146,1
race,African-American,0.5625,0.8600836820083682,0.012110726643598616,0.9116684841875682,0.8530805687203792,13.26984126984127,6119,2
race,African-American,0.496551724137931,0.8569986541049798,0.014128120766402168,0.9219088937093276,0.8484151749055674,11.643835616438356,6089,3
race,African-American,0.5,0.8545575294703636,0.011902476483010174,0.9339019189765458,0.8474052383276395,14.129032258064516,6147,4
race,Caucasian,0.5317679558011049,0.8696576576576577,0.013852566198103955,0.9037981009495253,0.8610662358642972,10.669616519174042,28474,0
race,Caucasian,0.5083102493074793,0.8654423195112252,0.014612661562525726,0.9102470041574957,0.8563576788922946,10.48450704225352,28383,1
race,Caucasian,0.47295208655332305,0.8684305255579554,0.013937709474372598,0.9227467811158798,0.859429415696345,10.718475073313783,28427,2
race,Caucasian,0.5300896286811779,0.8714383983201187,0.015018210091255065,0.8955863808322825,0.8620519681712555,9.67574931880109,28402,3
race,Caucasian,0.5307167235494881,0.8684503901895206,0.011259416966917785,0.9216427311665407,0.8614799422392844,13.301818181818183,28393,4
race,Other,0.6666666666666666,0.9520103761348897,0.0013605442176870747,0.9487179487179487,0.9509043927648578,37.0,774,0
race,Other,0.0,0.9369250985545335,0.004189944134078212,1.0,0.9332460732984293,16.0,764,1
race,Other,0.3333333333333333,0.9568151147098516,0.005610098176718092,0.9411764705882353,0.9518072289156626,8.0,747,2
race,Other,0.0,0.9576059850374065,0.0,1.0,0.9576059850374065,inf,802,3
race,Other,0.0,0.9373333333333334,0.00424929178470255,1.0,0.9335989375830013,15.666666666666666,753,4
sex,female,0.4870689655172414,0.8870463375343505,0.012552742616033756,0.9134099616858238,0.878442280945758,10.016806722689076,10785,0
sex,female,0.48325358851674644,0.884138319864687,0.011348113901439529,0.9242878560719641,0.87641692009953,11.416666666666666,10851,1
sex,female,0.47435897435897434,0.8870249265472467,0.012971946846656823,0.9148119723714505,0.8780713954566528,9.691056910569106,10785,2
sex,female,0.45188284518828453,0.8897276636407071,0.013874179199322177,0.9144215530903328,0.8799514200298953,8.80916030534351,10704,3
sex,female,0.45933014354066987,0.8794139744552968,0.011923604516197108,0.9304347826086956,0.8713272543059777,11.36283185840708,10857,4
sex,male,0.5537065052950075,0.8645588728614559,0.014106058432553914,0.8982202447163515,0.8561752825492677,10.94915254237288,24509,0
sex,male,0.5357142857142857,0.8593605384938999,0.015044119774338203,0.9027815284904132,0.8504623189591687,10.71474358974359,24442,1
sex,male,0.4937833037300178,0.8608895385257883,0.013637016125173453,0.9229703518980327,0.8524563407866819,11.687719298245614,24508,2
sex,male,0.5502183406113537,0.8627311522048364,0.014763497372193025,0.8966930855424979,0.8539997559884501,10.618122977346278,24589,3
sex,male,0.5496031746031746,0.8622346648838375,0.010881027705876714,0.9224958030218243,0.8557865444426256,14.524229074889869,24436,4
