Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.10811143984220907,0.9901315789473685,0.9600583864118896,0.003409090909090909,0.13997148288973385,0.000414651002073255,8416,0
race,African-American,0.10838097555041966,0.986784140969163,0.9703468361133174,0.003355704697986577,0.13198390151515152,0.0004092769440654843,8448,1
race,African-American,0.10563125527553359,1.0,0.9665102945009122,0.0,0.13251461988304095,0.0,8550,2
race,African-American,0.11000246366100025,0.9939577039274925,0.956446915541435,0.0022346368715083797,0.144632500887679,0.0002768166089965398,8449,3
race,African-American,0.10518518518518519,0.9957264957264957,0.968854431225772,0.0011723329425556857,0.13018958483321336,0.0001379690949227373,8334,4
race,Caucasian,0.10196984177551237,0.9921847246891652,0.9237302020753686,0.005695055656225731,0.1638712546006966,0.0006503680491914743,40483,0
race,Caucasian,0.10066991155074057,0.9909950472760019,0.939810763509079,0.00517196793379881,0.14957338939037962,0.0005819536182966218,40435,1
race,Caucasian,0.10134515037889713,0.9887741356084419,0.9396282283270275,0.006426735218508998,0.15030720443959963,0.0007294584500466854,40364,2
race,Caucasian,0.10234473170601288,0.9903412749517064,0.9160732312897328,0.007776049766718507,0.17043126218864943,0.0008935219657483246,40509,3
race,Caucasian,0.10201840619117339,0.9939183318853171,0.9375443577004968,0.003575076608784474,0.15265104808877927,0.000407616607465207,40550,4
race,Other,0.03475238922675934,0.9905660377358491,0.9136513157894737,0.024390243902439025,0.11535401750198886,0.0009000900090009,1257,0
race,Other,0.02936241610738255,1.0,0.9345718901453958,0.0,0.09112333071484682,0.0,1273,1
race,Other,0.041025641025641026,1.0,0.9396984924623115,0.0,0.0966183574879227,0.0,1242,2
race,Other,0.036077705827937095,1.0,0.8998272884283247,0.0,0.12949039264828738,0.0,1197,3
race,Other,0.03410059676044331,1.0,0.9203899268887084,0.0,0.10857592446892211,0.0,1271,4
sex,female,0.09087851473160231,0.9947423764458465,0.9345826706313533,0.003687315634218289,0.14522349370930013,0.0003699593044765076,15817,0
sex,female,0.08475135206437145,0.988173455978975,0.9485952559983595,0.006955177743431221,0.12792815424229104,0.000648555163219716,15923,1
sex,female,0.08539817145885782,0.9918588873812755,0.9497110621904238,0.004633204633204633,0.12759775124755227,0.00043462513582035497,15831,2
sex,female,0.08935036546212173,0.9930434782608696,0.9210944517377185,0.0060790273556231,0.15517132180632084,0.0006001050183782162,15789,3
sex,female,0.0867224880382775,0.9949937421777222,0.9453157243087082,0.0030557677616501145,0.13251719568372564,0.00029105726551699045,15847,4
sex,male,0.10625292374863558,0.9907651715039578,0.927113325353434,0.006126021003500583,0.16482716444858617,0.0007327796775769418,34339,0
sex,male,0.10743878022485753,0.9920814479638009,0.9429240831733429,0.003997715591090805,0.1531270995822744,0.00048314180211892193,34233,1
sex,male,0.10767242970528518,0.9895547003848268,0.941569824060248,0.005399261153736857,0.15440640932265112,0.0006550368889195339,34325,2
sex,male,0.10799987485530144,0.9900124843945068,0.9229847847199741,0.006904487917146145,0.16967351452016527,0.0008417803654729753,34366,3
sex,male,0.10744310658085178,0.9940054495912807,0.9407945988055051,0.003142857142857143,0.15486183980412732,0.00037951973502622135,34308,4
