Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6260543580131209,0.7654147419160474,0.09477434679334917,0.6361655773420479,0.7408203771088323,2.927318295739348,6046,0
race,African-American,0.6606118546845124,0.7623529411764706,0.08366721659203394,0.6368891224382554,0.7450374227139603,3.4140845070422534,6146,1
race,African-American,0.6540483701366983,0.7527089783281734,0.07798056411471913,0.6726315789473685,0.7373753881353162,3.884498480243161,6119,2
race,African-American,0.6285178236397748,0.7597053553653196,0.09401709401709402,0.6430474160895046,0.7367383806864838,3.047979797979798,6089,3
race,African-American,0.6169014084507042,0.7512790240062968,0.09654519640321817,0.6579906298802707,0.7279973971042785,3.0980392156862746,6147,4
race,Caucasian,0.6254316473694902,0.7702008407286315,0.0922784366711705,0.6373807560946885,0.7451710332232915,2.934924078091106,28474,0
race,Caucasian,0.6339113680154143,0.7645074224021593,0.0861982054642605,0.6534815681685197,0.7430151851460381,3.265497076023392,28383,1
race,Caucasian,0.6405353728489483,0.7636843624963907,0.0751323808572285,0.6812938518254251,0.7455587997326485,3.8091755319148937,28427,2
race,Caucasian,0.634268956849602,0.7694261046216353,0.08762420957542909,0.6427560169891459,0.7467079783113865,3.120274914089347,28402,3
race,Caucasian,0.6358555460017197,0.7676593235331284,0.08504442994126211,0.6509322633939107,0.7460641707463107,3.256198347107438,28393,4
race,Other,0.5,0.8773333333333333,0.01791044776119403,0.8846153846153846,0.8656330749354005,7.666666666666667,774,0
race,Other,0.46153846153846156,0.9020689655172414,0.03111111111111111,0.797752808988764,0.8795811518324608,3.380952380952381,764,1
race,Other,0.6521739130434783,0.899171270718232,0.012139605462822459,0.8295454545454546,0.891566265060241,9.125,747,2
race,Other,0.3870967741935484,0.8871595330739299,0.02702702702702703,0.8787878787878788,0.8678304239401496,4.578947368421052,802,3
race,Other,0.45714285714285713,0.8676880222841226,0.029595015576323987,0.8558558558558559,0.848605577689243,5.0,753,4
sex,female,0.5989430416911333,0.7857300154151068,0.08735132369868269,0.6561024949426838,0.7562355122855818,2.849194729136164,10785,0
sex,female,0.5982085732565579,0.7734711455641688,0.08038914490527393,0.6923330042777229,0.748225969956686,3.3503184713375798,10851,1
sex,female,0.6031528444139822,0.7812567016941883,0.07361729179910997,0.6986301369863014,0.7571627260083449,3.523316062176166,10785,2
sex,female,0.6229180546302465,0.7810496577203085,0.07299458344080474,0.6830508474576271,0.7588751868460388,3.560070671378092,10704,3
sex,female,0.6171360095865788,0.7768828907270353,0.08216535939308217,0.6655844155844156,0.7523256884959013,3.208137715179969,10857,4
sex,male,0.6353514265831594,0.766016437271017,0.09223187045294531,0.6330877427997321,0.7430331714880248,3.0063613231552164,24509,0
sex,male,0.6522776055330313,0.7647785075806213,0.08604815864022664,0.63523606295012,0.7454790933638819,3.2668038408779148,24442,1
sex,male,0.6588267099216004,0.7577971070210006,0.07410017027772885,0.6740671392269627,0.74285947445732,3.9936608557844693,24508,2
sex,male,0.6350114416475973,0.7662100004945843,0.09334581845847721,0.63009864036257,0.7428931636097442,2.963636363636364,24589,3
sex,male,0.6370315944158707,0.7629342111728,0.0871252204585538,0.6497441422030703,0.7418972008512031,3.255735492577598,24436,4
