Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.2168966351972888,0.974025974025974,0.9773413897280967,0.0022271714922048997,0.2307509505703422,0.0006182380216383308,8416,0
race,African-American,0.22854387656702024,0.9539473684210527,0.9778456837280367,0.0036784025223331584,0.24159564393939395,0.00109375,8448,1
race,African-American,0.22040377493728347,0.9720670391061452,0.9740298507462687,0.002702702702702703,0.23614035087719298,0.0007661661048115232,8550,2
race,African-American,0.2230406955681681,0.9523809523809523,0.9757355171367911,0.00431266846361186,0.23754290448573795,0.0012433944668946222,8449,3
race,African-American,0.22472184863675265,0.967741935483871,0.9768910799568633,0.0027129679869777536,0.23854091672666186,0.0007885191610156126,8334,4
race,Caucasian,0.21076661163846472,0.9556851311953353,0.9491562228564338,0.009215472292955013,0.2423239384432972,0.0024839036506847075,40483,0
race,Caucasian,0.20886681668865265,0.9503945885005637,0.9477565691621219,0.010780350361386744,0.2413997774205515,0.0028771333289740403,40435,1
race,Caucasian,0.2138111119729052,0.9525222551928784,0.9498656837633536,0.009580838323353293,0.24464869685858687,0.002630800092078003,40364,2
race,Caucasian,0.21428571428571427,0.955256064690027,0.9448713561273061,0.009921109251733206,0.2482164457281098,0.002732870172203747,40509,3
race,Caucasian,0.2114378495399603,0.9571183533447685,0.9481268011527377,0.009059065104481217,0.2436004932182491,0.0024512207079125403,40550,4
race,Other,0.07005838198498748,1.0,0.9505541346973572,0.0,0.11296738265712013,0.0,1257,0
race,Other,0.05955334987593052,0.984375,0.9475,0.0136986301369863,0.10604870384917518,0.0008795074758135445,1273,1
race,Other,0.07463952502120441,0.9682539682539683,0.9470486111111112,0.022222222222222223,0.11996779388083736,0.0018331805682859762,1242,2
race,Other,0.0715547703180212,1.0,0.9417562724014337,0.0,0.12197159565580618,0.0,1197,3
race,Other,0.07035175879396985,0.987012987012987,0.9359190556492412,0.011764705882352941,0.12588512981904013,0.0009009009009009009,1271,4
sex,female,0.1991979488528039,0.9620462046204621,0.954324663115011,0.0075335735342286275,0.22842511222102801,0.0018881865199901486,15817,0
sex,female,0.18727058206607236,0.9535232383808095,0.9512082853855006,0.010734072022160665,0.2193682095082585,0.0025002016291636423,15923,1
sex,female,0.19796186719263642,0.964573268921095,0.9531958118456009,0.007253544345532476,0.22803360495230876,0.0018034265103697023,15831,2
sex,female,0.1961887117051545,0.9571005917159763,0.949433372411098,0.009686038744154976,0.22876686300589016,0.0023872242344418833,15789,3
sex,female,0.19362051956593226,0.9579439252336449,0.9522367194780987,0.009087849209020532,0.2245850949706569,0.002202104232933692,15847,4
sex,male,0.2125204433945121,0.9568508705526116,0.9536401980561159,0.008057675996607293,0.24115437257928304,0.002192223376023999,34339,0
sex,male,0.2183530841689456,0.9508692365835223,0.953376324957379,0.008964280788856709,0.24666257704554084,0.0025268232001243976,34233,1
sex,male,0.21781398588691359,0.9502297090352221,0.9541525048027191,0.008956869229709246,0.24568099053168244,0.002516746040964882,34325,2
sex,male,0.2198822601201675,0.9560906515580736,0.9501071771749575,0.008483853311439518,0.2501309433742653,0.0024117006379337173,34366,3
sex,male,0.21784100215353816,0.9596713965646004,0.9525339834515366,0.007462686567164179,0.24679375072869303,0.0020940784116027455,34308,4
